date,Bonds,Precious Metals,Private Credit,Public Equities,Reinsurance,Digital Assets,Private Equity & Venture,Equity Indices,Equity ETFs,Real Estate,Carbon Credits,Oil,Industrial Metals,Commodities,Commodity Baskets,Natural Gas,Agricultural Commodities,Mixed Public Markets
2024-11-19,1749870648.0,1126087918.0,,3587423.0,,30318889.73120729,193802062.58140725,3590616.0,2078.473804100228,,13371646.0,,6.0,,,,213.0,
2024-11-20,1763104253.0,1137278672.0,,3601842.0,,30297337.4191344,193671224.5423729,3604581.0,2083.73576309795,,13354655.0,,6.0,,,,213.0,
2024-11-21,1770359922.0,1142678580.0,,3753729.0,,30302847.107061505,193540386.5033385,3620192.0,2088.997722095672,,14065143.0,,6.0,,,,213.0,
2024-11-22,1766182403.0,1148631784.0,,3708429.0,,30363044.79498861,193409548.4643041,3606019.0,2094.259681093394,,12727850.0,,6.0,,,,208.0,
2024-11-23,1789446505.0,1171540070.0,,3490945.0,,27069505.48291572,193278710.4252696,3634866.0,2099.5216400911163,,12656483.0,,6.0,,,,208.0,
2024-11-24,1789784627.0,1173095464.0,,3572941.0,,27075168.170842823,193147872.3862352,3637164.0,2104.7835990888384,,12711830.0,,6.0,,,,208.0,
2024-11-25,1786939116.0,1174436140.0,,3572941.0,,27080830.85876993,193017034.3472008,3637164.0,2110.0455580865605,,12314627.0,,6.0,,,,208.0,
2024-11-26,1802572202.0,1130306872.0,,3583571.0,,27437383.54669704,192886196.3081664,3659632.0,2115.3075170842826,,12281771.0,,6.0,,,,203.0,
2024-11-27,1796762634.0,1135298604.0,,3649995.0,,22448166.234624147,192755358.269132,3652166.0,2120.5694760820047,,12138776.0,,6.0,,,,203.0,
2024-11-28,1802546163.0,1139318574.0,,3426160.0,,22453827.92255125,192624520.2300976,3675088.0,2125.8314350797264,,11689497.0,,6.0,,,,203.0,
2024-11-29,1819351660.0,1142840458.0,,3577181.0,,22459490.61047836,192493682.1910632,3666757.0,2131.0933940774485,,11580079.0,,6.0,,,,203.0,
2024-11-30,1821918866.0,1147955386.0,,3582146.0,,22479528.29840547,192362844.1520288,3672350.0,2136.3553530751706,,11710100.0,,6.0,,,,200.0,
2024-12-01,1832897386.5,1147181924.0,,3458832.0,,22485190.986332573,192232006.1129944,3683498.0,2141.6173120728927,,11863055.0,,6.0,,,,200.0,
2024-12-02,1844156950.0,1148009861.0,,3458832.0,,22490853.67425968,192101168.07395995,4962078.0,2146.879271070615,,11957157.0,,6.0,,,,200.0,
2024-12-03,1855866136.5,1144744719.0,,3457749.0,,22496516.36218679,191970330.03492552,4955030.0,2152.141230068337,,12123773.0,,6.0,,,,200.0,
2024-12-04,1878667283.0,1143951145.0,,3462994.0,,22541250.05011389,191839491.9958911,4977339.0,2157.403189066059,,12229274.0,,6.0,,,,201.3333333333333,
2024-12-05,1864149428.5,1146338103.0,,3573550.0,,22546912.738041,191708653.95685667,4984524.0,2162.665148063781,,12310807.0,,6.0,,,,202.66666666666663,
2024-12-06,1846043720.0,1141075067.0,,3781950.0,,22552582.42596811,191577815.91782227,5006525.0,2167.927107061503,,12185938.0,,5.0,,,,204.0,
2024-12-07,1872328462.5,1140324991.0,,3612645.0,,22538762.11389521,191446977.8787879,4999787.0,2184.1890660592253,,12235682.0,,5.0,,,,205.3333333333333,
2024-12-08,1907462569.0,1140001652.0,,3617613.0,,22544424.801822323,191316139.8397535,5012801.0,2189.4510250569474,,12342841.0,,5.0,,,,206.66666666666663,
2024-12-09,1939312618.5,1144330867.0,,3902648.0,,22550087.48974943,191185301.80071908,5012801.0,2194.71298405467,,12362444.0,,5.0,,,,208.0,
2024-12-10,1958590545.0,1152359637.0,,3916151.0,,23264498.177676536,191054463.76168463,5014159.0,2199.974943052392,,12180383.0,,5.0,,,,209.3333333333333,
2024-12-11,2024623298.5,1165448524.0,,3637782.0,,23310563.865603644,190923625.72265023,4981032.0,2205.236902050114,,12338987.0,,5.0,,,,210.66666666666663,
2024-12-12,2115146669.0,1167755453.0,,3652710.0,,20222448.55353076,190792787.68361583,4969789.0,2210.4988610478363,,12343031.0,,5.0,,,,212.0,
2024-12-13,2149265127.5,1159635212.0,,3698533.0,,20245312.241457857,190661949.64458144,5003332.533333333,2215.7608200455584,,12081346.0,,5.0,,,,213.3333333333333,
2024-12-14,2156409299.0,1148925427.0,,3697581.0,,15297926.929384964,190531111.6055469,4993352.066666666,2221.0227790432805,,12246354.0,,5.0,,,,214.66666666666663,
2024-12-15,2162189733.5,1146032709.0,,3677245.0,,15303589.617312074,190400273.56651264,4982597.6,2226.2847380410026,,12054250.0,,5.0,,,,216.0,
2024-12-16,2161747639.0,1142927736.0,,3673061.0,,15309252.30523918,190269435.52747816,4982610.133333334,2231.5466970387247,,12211591.0,,5.0,,,,217.3333333333333,
2024-12-17,2156544388.5,1143517784.0,,3704298.0,,15327340.659832953,190138597.4884438,4982863.666666667,2236.8086560364463,,12313046.0,,6.0,,,,218.66666666666663,
2024-12-18,2165232512.0,1146111864.0,,3764032.0,,15333004.014426729,190007759.44940937,4986880.2,2242.0706150341684,,12213163.0,,6.0,,,,220.0,
2024-12-19,2300310661.5,1120572596.0,,3682239.0,,17337712.3690205,189876921.41037497,4989094.733333333,2247.3325740318905,,11688542.0,,6.0,,,,220.0,
2024-12-20,2484165189.0,1120884562.0,,3410452.0,,17357942.056947608,189746083.37134057,4077110.2666666666,2252.5945330296126,,11450687.0,,5.0,,,,220.0,
2024-12-21,2619194694.5,1134856090.0,,6181390.0,,17340012.744874716,189615245.3323061,4824643.8,2257.8564920273348,,11632997.0,,5.0,,,,220.0,
2024-12-22,2640721345.0,1134266337.0,,6494363.0,,17345675.43280182,189484407.2932717,4901111.333333333,2263.118451025057,,11799866.0,,5.0,,,,220.0,
2024-12-23,2654233360.5,1133341461.0,,6494363.0,,16829338.12072893,189353569.2542373,4901123.866666666,2268.380410022779,,11772018.0,,5.0,,,,220.0,
2024-12-24,2697151300.0,1130081912.0,,6635887.0,,16835305.808656037,189222731.21520293,4907217.4,2273.642369020501,,11471008.0,,5.0,,,,220.0,
2024-12-25,2793063296.5,1132953060.0,,6535677.0,,16855136.496583145,189091893.17616844,4922230.933333334,2280.481251095146,,11162409.0,,5.0,,,,220.0,
2024-12-26,2855194738.0,1135481993.0,,6703834.0,,16860799.18451025,188961055.13713408,4926814.466666667,2287.3201331697915,,10393024.0,,5.0,,,,220.0,
2024-12-27,2924003700.5,1139784452.0,,6745649.0,,16880535.872437358,188830217.0980996,4926853.0,2294.1590152444364,,9397657.0,,5.0,,,,220.0,
2024-12-28,2978021245.0,1135542180.0,,6564070.0,,16927700.560364466,188699379.0590652,4959666.0,2300.997897319082,,9333034.0,,5.0,,,,220.0,
2024-12-29,2987448436.5,1139013377.0,,6501619.0,,16933363.24829157,188568541.0200309,4914196.0,2307.836779393727,,9358561.0,,5.0,,,,220.0,
2024-12-30,2999656741.0,1137960331.0,,6501620.0,,16939025.93621868,188437702.9809964,4914196.0,2314.6756614683723,,9290814.0,,5.0,,,,220.0,
2024-12-31,2969867960.5,1129876011.0,,6450606.0,,19123361.624145787,188306864.94196203,4903236.0,2321.514543543017,,9299237.0,,5.0,,,,220.0,
2025-01-01,2876749669.0,1141358682.0,,6382984.0,,19129146.31207289,188176026.9029276,4939773.0,2328.3534256176627,,9151684.0,,31.0,,,,293.0,
2025-01-02,2917399575.526316,1144624445.131579,,6290818.143991691,,28403665.55263158,188045188.8638932,4958892.421052632,2335.192307692308,,9036728.315789474,,30.973684210526315,,,,293.44736842105266,
2025-01-03,2980779320.0526314,1147890208.2631578,,6272818.287983379,,28469464.793190267,187914350.82485875,4956244.842105264,2784.031189766953,,8921772.631578948,,30.94736842105263,,,,293.89473684210526,
2025-01-04,3015142978.0789475,1151155971.3947368,,6449862.431975071,,28465674.03374895,187783512.7858243,4927569.263157895,2626.870071841598,,8806816.94736842,,30.92105263157895,,,,294.3421052631579,
2025-01-05,3052131326.105263,1154421734.526316,,6556399.575966764,,28498932.27430764,187652674.74679,4957997.684210526,2633.7089539162434,,8691861.263157895,,30.894736842105264,,,,294.7894736842105,
2025-01-06,3082954089.131579,1157687497.6578946,,6557734.719958454,,28539414.51486632,187521836.70775545,4958293.105263158,2640.5478359908884,,8576905.578947369,,30.86842105263158,,,,295.2368421052632,
2025-01-07,3099977161.1578946,1160953260.7894735,,6746385.8639501445,,29635871.75542501,187390998.6687212,4979968.52631579,2460.3867180655334,,8461949.894736841,,30.84210526315789,,,,295.6842105263158,
2025-01-08,3097314748.18421,1164219023.9210527,,6902395.007941836,,28866234.995983694,187260160.62968668,4998312.947368422,2675.225600140179,,8346994.2105263155,,30.81578947368421,,,,296.13157894736844,
2025-01-09,3028076654.2105265,1167484788.0526314,,6644967.151933527,,29584184.23654238,187129322.59065235,4954919.368421053,2664.064482214824,,8232038.526315791,,30.789473684210527,,,,296.57894736842104,
2025-01-10,2908153782.236842,1170750551.1842103,,6589543.295925218,,30110525.477101065,186998484.5516179,4933679.7894736845,2670.903364289469,,8117082.842105264,,30.76315789473684,,,,297.0263157894737,
2025-01-11,2832394795.263158,1174016314.3157897,,6541250.439916908,,31841939.71765976,186867646.51258343,4941179.210526316,2668.742246364114,,8002127.157894736,,30.73684210526316,,,,297.4736842105263,
2025-01-12,2802220190.289473,1177282077.4473686,,6528394.583908599,,31849043.95821844,186736808.47354907,4871989.631578947,2675.58112843876,,7887171.473684209,,30.71052631578948,,,,297.92105263157896,
2025-01-13,2796894165.3157897,1180547840.5789473,,6529729.727900291,,31856838.198777128,186605970.4345146,4872285.052631578,2682.4200105134046,,7772215.789473684,,30.68421052631579,,,,298.3684210526316,
2025-01-14,2801877006.3421054,1183813603.7105265,,6463690.87189198,,34033483.43933581,186475132.39548025,4860186.47368421,2541.25889258805,,7657260.105263158,,30.657894736842103,,,,298.8157894736842,
2025-01-15,2784788172.368421,1187079366.8421054,,6328010.015883671,,35629065.67989449,186344294.3564458,4907191.894736842,2548.097774662695,,7542304.421052632,,30.63157894736842,,,,299.2631578947368,
2025-01-16,2687344382.394737,1190345129.973684,,6467468.159875362,,36506664.92045318,186213456.3174114,4896023.315789474,2730.9366567373404,,7427348.736842105,,30.605263157894736,,,,299.7105263157895,
2025-01-17,2679714309.4210525,1193610893.1052632,,6648652.303867054,,36522569.16101187,186082618.2783769,5006935.736842105,2556.7755388119854,,7312393.052631579,,30.57894736842105,,,,300.1578947368421,
2025-01-18,2673737598.4473686,1196876656.2368422,,6772126.447858745,,36539994.40157055,185951780.2393425,4984225.157894736,2563.614420886631,,7197437.368421052,,30.55263157894737,,,,300.60526315789474,
2025-01-19,2670885318.4736843,1200142419.368421,,6773044.591850435,,36536513.64212924,185820942.20030817,5028674.578947368,2570.453302961276,,7082481.684210526,,30.526315789473685,,,,301.05263157894734,
2025-01-20,2536732171.5,1203408182.5,,6885633.7358421255,,36541825.88268793,185690104.1612737,5028970.0,2577.2921850359203,,6967526.0,,30.5,,,,301.5,
2025-01-21,2486524981.526316,1206673945.631579,,6973605.879833817,,36551309.12324662,185559266.1222393,5028800.421052632,2584.131067110566,,6852570.315789474,,30.473684210526315,,,,301.94736842105266,
2025-01-22,2474233505.5526314,1209939708.7631578,,6986593.023825506,,37257896.3638053,185428428.0832049,5032039.842105264,2623.9699491852107,,6737614.631578948,,30.44736842105263,,,,302.39473684210526,
2025-01-23,2472773955.5789475,1213205471.8947368,,7005714.167817197,,37290658.60436399,185297590.04417053,5080905.263157895,2988.808831259857,,6622658.947368421,,30.42105263157895,,,,302.8421052631579,
2025-01-24,2476470069.605263,1216471235.026316,,7000437.31180889,,37340638.84492267,185166752.0051361,5089023.684210526,2922.647713334501,,6507703.263157895,,30.394736842105264,,,,303.2894736842105,
2025-01-25,2477842400.631579,1219736998.1578946,,6965385.45580058,,40474421.08548136,185035913.9661017,5118600.105263158,3044.486595409147,,6392747.578947368,,30.36842105263158,,,,303.7368421052632,
2025-01-26,2476395496.6578946,1223002761.2894735,,6983498.59979227,,40478014.326040044,184905075.9270673,5124705.52631579,3051.3254774837915,,6277791.894736842,,30.34210526315789,,,,304.1842105263158,
2025-01-27,2474313384.6842103,1226268524.4210527,,6984833.743783961,,40491989.566598736,184774237.88803285,5125000.947368422,3058.1643595584374,,6162836.210526316,,30.31578947368421,,,,304.63157894736844,
2025-01-28,2462291216.7105265,1229534286.5526316,,6726056.887775652,,46679109.80715742,184643399.84899843,5029009.368421053,3106.003241633082,,6047880.526315791,,30.289473684210527,,,,305.07894736842104,
2025-01-29,2443266918.736842,1232800131.6842103,,6641107.031767342,,46438322.0477161,184512561.809964,5044642.7894736845,3112.842123707728,,5932924.842105264,,30.26315789473684,,,,305.5263157894737,
2025-01-30,2435924679.763158,1236065894.8157897,,6607076.175759034,,46476107.28827479,184381723.7709296,5091417.210526316,3174.6810057823723,,5817969.157894736,,30.23684210526316,,,,305.9736842105263,
2025-01-31,2436358093.789473,1239331657.9473686,,6694025.319750724,,46319670.52883347,184250885.73189527,5082648.631578947,3140.519887857018,,5703013.473684209,,30.21052631578948,,,,306.42105263157896,
2025-02-01,2453931355.3157897,1242597486.5789473,,6728993.963742415,,46415248.76939216,184120047.69286084,5106571.052631578,3167.8587699316627,,5588057.7894736845,,30.18421052631579,,,,306.8684210526316,
2025-02-02,2454013287.8421054,1245863315.2105265,,6652380.6077341065,,46417176.00995085,183989209.6538264,5120189.47368421,3195.197652006308,,5473102.105263158,,30.157894736842103,,,,307.3157894736842,
2025-02-03,2454669680.868421,1249129078.3421054,,6653715.751725797,,45319136.25050953,183858371.614792,5120484.894736842,3202.036534080953,,5358146.421052631,,30.13157894736842,,,,307.7631578947368,
2025-02-04,2445423003.894737,1252394852.473684,,6582979.895717488,,39080131.49106821,183727533.5757576,4983669.315789474,3140.8754161555985,,5243190.736842105,,30.105263157894736,,,,308.2105263157895,
2025-02-05,2446697835.9210525,1255660649.605263,,6544367.03970918,,39020823.731626906,183596695.5367232,5023780.736842105,3037.7142982302435,,5128235.052631579,,30.07894736842105,,,,308.6578947368421,
2025-02-06,2442570001.9473686,1258926448.7368424,,6536105.183700871,,37132137.97218559,183465857.4976888,5037943.157894736,3154.553180304889,,5013279.368421053,,30.05263157894737,,,,309.10526315789474,
2025-02-07,2440239484.9736843,1262192174.8684208,,6461065.327692561,,37197433.21274427,183335019.4586544,5090913.578947368,3199.392062379534,,4898323.684210526,,30.026315789473685,,,,309.5526315789474,
2025-02-08,2442081173.0,1265457955.0,,6366102.471684252,,37218256.453302965,183204181.41961995,5099265.0,3206.230944454179,,4783368.0,,30.0,,,,310.0,
2025-02-09,2445075427.0,1264063887.0,,6407258.036728573,,37223062.14123007,183073343.3805855,5069364.0,3213.0698265288243,,4792118.0,,30.0,,,,310.0,
2025-02-10,2443640014.0,1271578011.0,,6407670.601772896,,37235446.82915717,182942505.34155115,5069364.0,3219.908708603469,,5008676.0,,30.0,,,,310.0,
2025-02-11,2432006661.0,1292759315.0,,6492798.166817218,,37271042.517084286,182811667.3025167,5068858.0,3180.747590678114,,5112276.0,,30.0,,,,310.0,
2025-02-12,2431596172.0,1284646255.0,,6516015.73186154,,37278460.20501139,182680829.2634823,5068692.0,3249.58647275276,,5042583.0,,30.0,,,,310.0,
2025-02-13,2434350100.0,1281533125.0,,6337791.296905863,,37438266.892938495,182549991.2244479,5088959.0,3256.425354827405,,4922669.0,,30.0,,,,310.0,
2025-02-14,2456998647.0,1294955719.0,,6542430.861950185,,37451322.58086561,182419153.18541345,5078347.0,3263.26423690205,,4798976.0,,30.0,,,,310.0,
2025-02-15,2451187277.0,1277997723.0,,6720945.426994508,,39825446.26879271,182288315.14637908,5133045.0,2838.526195899772,,4882102.0,,30.0,,,,310.0,
2025-02-16,2471072805.0,1276815078.0,,6546345.99203883,,39828145.956719816,182157477.10734463,5128398.0,2843.788154897494,,4779716.0,,30.0,,,,310.0,
2025-02-17,2542640045.0,1275235204.0,,6548739.557083152,,39837604.64464693,182026639.06831023,5128398.0,2849.0501138952163,,4844895.0,,30.0,,,,310.0,
2025-02-18,2540615895.0,1281485556.0,,6586560.122127475,,39834285.33257403,181895801.0292757,5133201.0,2854.3120728929384,,4827644.0,,30.0,,,,310.0,
2025-02-19,2529122479.0,1296551618.0,,10102567.687171796,,40339941.02050114,181764962.9902414,5146429.0,2859.5740318906605,,4822110.0,,38.0,,,,310.0,
2025-02-20,2580732518.0,1299854610.0,,10124338.25221612,,40646580.70842825,181634124.9512069,5149022.0,3118.835990888382,,4981786.0,,38.0,,,,120.0,
2025-02-21,2636849203.0,1313395762.0,,9982788.817260442,,51877537.39635535,181503286.9121725,5145901.0,3096.097949886105,,4967604.0,,38.0,,,,120.0,
2025-02-22,2661549118.0,1311834867.0,,9737914.382304763,,51137883.08428246,181372448.8731382,5137249.0,3144.359908883827,,4918604.0,,38.0,,,,120.0,
2025-02-23,2666289952.0,1313912945.0,,9570937.947349088,,51145532.77220957,181241610.83410373,5114314.0,3149.6218678815494,,4996526.0,,38.0,,,,120.0,
2025-02-24,2665669033.0,1316125838.0,,9571330.51239341,,51150419.460136674,181110772.7950694,5114314.0,3154.883826879271,,5043347.0,,38.0,,,,120.0,
2025-02-25,2659627024.0,1318516921.0,,9351895.07743773,,51428563.14806378,180979934.7560349,8237950.5,3337.1457858769936,,4809361.0,,38.0,,,,120.0,
2025-02-26,2652208281.0,1306718474.0,,8852197.642482053,,39345793.83599089,180849096.71700057,11362291.0,3219.407744874716,,4758497.0,,38.0,,,,120.0,
2025-02-27,2680611016.0,1308503931.0,,8575983.207526376,,39455625.523918,180718258.6779661,11374296.0,3224.6697038724374,,4657414.0,,38.0,,,,120.0,
2025-02-28,2729594092.0,1289896274.0,,8386984.772570698,,39185546.2118451,180587420.6389317,11374878.0,3229.9316628701595,,4812244.0,,38.0,,,,120.0,
2025-03-01,2683448437.0,1279863230.0,,8547502.337615022,,38675381.89977221,180456582.59989727,13048794.0,3348.1936218678816,,4808747.0,,38.0,,,,120.0,
2025-03-02,2701253673.0,1278390518.0,,8552741.902659344,,38680755.58769932,180325744.5608628,13067881.0,3353.455580865604,,4809445.0,,38.0,,,,120.0,
2025-03-03,2691143038.0,1282931275.0,,8571947.467703667,,38688133.27562642,180194906.5218285,13067881.0,3358.717539863326,,4968457.0,,38.0,,,,120.0,
2025-03-04,2669346235.0,1293008682.0,,8351195.032747989,,38717529.96355353,180064068.48279402,13243388.0,3304.979498861048,,4667156.0,,38.0,,,,120.0,
2025-03-05,2676738898.0,1307535725.0,,8163855.597792312,,38748906.65148064,179933230.44375968,12818854.0,3310.24145785877,,4706610.0,,38.0,,,,120.0,
2025-03-06,2657875678.0,1309195800.0,,8403657.162836634,,37250289.33940774,179802392.40472522,12912162.0,3243.503416856492,,4713849.0,,38.0,,,,120.0,
2025-03-07,2650408867.0,1305767591.0,,8365950.727880956,,34807413.027334854,179671554.3656908,12927343.0,3162.765375854214,,4662312.0,,38.0,,,,120.0,
2025-03-08,2631990950.0,1305234217.0,,8387332.292925279,,35311863.71526196,179540716.3266564,12800921.0,3168.0273348519363,,4656028.0,,38.0,,,,120.0,
2025-03-09,2625973180.0,1309452718.0,,8407779.8579696,,35319534.40318906,179409878.28762195,12641363.0,3173.2892938496584,,4676895.0,,38.0,,,,120.0,
2025-03-10,2616738003.0,1308518771.0,,8408192.423013924,,35325538.091116175,179279040.2485876,12641363.0,3178.5512528473805,,4452628.0,,38.0,,,,120.0,
2025-03-11,2606236914.0,1295978723.0,,7894377.988058246,,34512019.77904328,179148202.20955312,12748197.0,3308.8132118451026,,4263299.0,,38.0,,,,128.0,
2025-03-12,2649635026.0,1308684097.0,,7749413.553102568,,33173162.466970388,179017364.17051873,12480417.0,3314.0751708428247,,4241420.0,,38.0,,,,128.0,
2025-03-13,2732591032.0,1317176885.0,,7937516.118146891,,33313736.154897496,178886526.1314843,12446949.0,3319.337129840547,,4610384.0,,38.0,,,,128.0,
