date,Taker Buy Ratio
2021-03-15,0.49384379
2021-03-16,0.49646921
2021-03-17,0.49836486
2021-03-18,0.49983041
2021-03-19,0.49762495
2021-03-20,0.49498014
2021-03-21,0.50130714
2021-03-22,0.48963465
2021-03-23,0.48873392
2021-03-24,0.48089221
2021-03-25,0.49821906
2021-03-26,0.51398406
2021-03-27,0.49819167
2021-03-28,0.49308695
2021-03-29,0.51009541
2021-03-30,0.5062211
2021-03-31,0.49554696
2021-04-01,0.49504967
2021-04-02,0.50603881
2021-04-03,0.48097282
2021-04-04,0.49143824
2021-04-05,0.49198126
2021-04-06,0.48117108
2021-04-07,0.47903596
2021-04-08,0.49747612
2021-04-09,0.48223937
2021-04-10,0.50118772
2021-04-11,0.49165362
2021-04-12,0.47984
2021-04-13,0.50217878
2021-04-14,0.48687708
2021-04-15,0.49373151
2021-04-16,0.48177303
2021-04-17,0.4831327
2021-04-18,0.47945982
2021-04-19,0.49216634
2021-04-20,0.49553222
2021-04-21,0.50044598
2021-04-22,0.49492843
2021-04-23,0.48914581
2021-04-24,0.48940146
2021-04-25,0.49528785
2021-04-26,0.50541186
2021-04-27,0.50187324
2021-04-28,0.49606253
2021-04-29,0.49662119
2021-04-30,0.4923018
2021-05-01,0.50048636
2021-05-02,0.48712653
2021-05-03,0.50076188
2021-05-04,0.48456738
2021-05-05,0.48970615
2021-05-06,0.48485993
2021-05-07,0.48817462
2021-05-08,0.50001633
2021-05-09,0.48180421
2021-05-10,0.48843877
2021-05-11,0.48889586
2021-05-12,0.48931694
2021-05-13,0.49722399
2021-05-14,0.49581705
2021-05-15,0.48675879
2021-05-16,0.48896841
2021-05-17,0.48848443
2021-05-18,0.49837751
2021-05-19,0.48876179
2021-05-20,0.49899725
2021-05-21,0.49740917
2021-05-22,0.50166608
2021-05-23,0.4942087
2021-05-24,0.50758148
2021-05-25,0.49767724
2021-05-26,0.49842523
2021-05-27,0.49758069
2021-05-28,0.49451709
2021-05-29,0.49798585
2021-05-30,0.50341665
2021-05-31,0.50916278
2021-06-01,0.4960928
2021-06-02,0.49663423
2021-06-03,0.49964051
2021-06-04,0.49488657
2021-06-05,0.49638876
2021-06-06,0.5067334
2021-06-07,0.49705608
2021-06-08,0.49551225
2021-06-09,0.5077533
2021-06-10,0.49426095
2021-06-11,0.50168804
2021-06-12,0.50211034
2021-06-13,0.50904891
2021-06-14,0.5004548
2021-06-15,0.49192521
2021-06-16,0.48419693
2021-06-17,0.49730663
2021-06-18,0.48302321
2021-06-19,0.50741735
2021-06-20,0.50214426
2021-06-21,0.4961094
2021-06-22,0.50255633
2021-06-23,0.50685646
2021-06-24,0.50811853
2021-06-25,0.49386648
2021-06-26,0.50449094
2021-06-27,0.50890505
2021-06-28,0.50506172
2021-06-29,0.5012886
2021-06-30,0.50421984
2021-07-01,0.49335837
2021-07-02,0.50038153
2021-07-03,0.50853663
2021-07-04,0.50457733
2021-07-05,0.48612062
2021-07-06,0.50361176
2021-07-07,0.49622529
2021-07-08,0.48846706
2021-07-09,0.50678187
2021-07-10,0.49526161
2021-07-11,0.50532454
2021-07-12,0.47707496
2021-07-13,0.49059902
2021-07-14,0.50180464
2021-07-15,0.49899522
2021-07-16,0.50023385
2021-07-17,0.50303003
2021-07-18,0.49865454
2021-07-19,0.48176193
2021-07-20,0.4965348
2021-07-21,0.51520424
2021-07-22,0.5065736
2021-07-23,0.51320218
2021-07-24,0.50423178
2021-07-25,0.49975721
2021-07-26,0.49728526
2021-07-27,0.49485087
2021-07-28,0.49156018
2021-07-29,0.50885295
2021-07-30,0.50177003
2021-07-31,0.50062083
2021-08-01,0.49644815
2021-08-02,0.4957549
2021-08-03,0.48633768
2021-08-04,0.50478751
2021-08-05,0.49435979
2021-08-06,0.49669731
2021-08-07,0.50203149
2021-08-08,0.4889408
2021-08-09,0.49347449
2021-08-10,0.48953203
2021-08-11,0.49173196
2021-08-12,0.48566076
2021-08-13,0.50264743
2021-08-14,0.48504281
2021-08-15,0.49059421
2021-08-16,0.47815727
2021-08-17,0.48490427
2021-08-18,0.49515255
2021-08-19,0.49535203
2021-08-20,0.49593703
2021-08-21,0.48358103
2021-08-22,0.4903137
2021-08-23,0.49867975
2021-08-24,0.48247942
2021-08-25,0.49352185
2021-08-26,0.48234185
2021-08-27,0.51037874
2021-08-28,0.48065947
2021-08-29,0.49086526
2021-08-30,0.48882152
2021-08-31,0.49709041
2021-09-01,0.51204724
2021-09-02,0.48931167
2021-09-03,0.49646163
2021-09-04,0.48647808
2021-09-05,0.4924005
2021-09-06,0.4783504
2021-09-07,0.47823679
2021-09-08,0.49681315
2021-09-09,0.4925283
2021-09-10,0.48513881
2021-09-11,0.49777457
2021-09-12,0.49686094
2021-09-13,0.49230916
2021-09-14,0.507341
2021-09-15,0.50829237
2021-09-16,0.49078711
2021-09-17,0.48014003
2021-09-18,0.49054616
2021-09-19,0.47944742
2021-09-20,0.48231268
2021-09-21,0.48866407
2021-09-22,0.5115608
2021-09-23,0.49962713
2021-09-24,0.49614315
2021-09-25,0.50182053
2021-09-26,0.50418581
2021-09-27,0.49000978
2021-09-28,0.49359652
2021-09-29,0.49839829
2021-09-30,0.50528777
2021-10-01,0.51998734
2021-10-02,0.50414192
2021-10-03,0.50120072
2021-10-04,0.49777409
2021-10-05,0.50520231
2021-10-06,0.49737903
2021-10-07,0.49206256
2021-10-08,0.48624386
2021-10-09,0.49139998
2021-10-10,0.47917324
2021-10-11,0.49529524
2021-10-12,0.49308913
2021-10-13,0.49743806
2021-10-14,0.50759094
2021-10-15,0.49278019
2021-10-16,0.48130027
2021-10-17,0.47944362
2021-10-18,0.48012699
2021-10-19,0.49434768
2021-10-20,0.49230262
2021-10-21,0.48149167
2021-10-22,0.47800999
2021-10-23,0.50134318
2021-10-24,0.48132076
2021-10-25,0.49171942
2021-10-26,0.4831361
2021-10-27,0.48249261
2021-10-28,0.50553492
2021-10-29,0.49508212
2021-10-30,0.4811266
2021-10-31,0.48613162
2021-11-01,0.48723443
2021-11-02,0.5037771
2021-11-03,0.49376361
2021-11-04,0.47251837
2021-11-05,0.48262017
2021-11-06,0.48323956
2021-11-07,0.50071492
2021-11-08,0.49417731
2021-11-09,0.4890938
2021-11-10,0.4832406
2021-11-11,0.4954058
2021-11-12,0.48481683
2021-11-13,0.49140458
2021-11-14,0.49570022
2021-11-15,0.47931235
2021-11-16,0.47546095
2021-11-17,0.49171102
2021-11-18,0.48225488
2021-11-19,0.50399903
2021-11-20,0.50391914
2021-11-21,0.4799756
2021-11-22,0.48997028
2021-11-23,0.50636617
2021-11-24,0.49256
2021-11-25,0.50659604
2021-11-26,0.47587146
2021-11-27,0.48958135
2021-11-28,0.49561237
2021-11-29,0.50767563
2021-11-30,0.50113206
2021-12-01,0.49154225
2021-12-02,0.48768831
2021-12-03,0.48253651
2021-12-04,0.48193312
2021-12-05,0.49954466
2021-12-06,0.50292507
2021-12-07,0.50297572
2021-12-08,0.50392763
2021-12-09,0.48538419
2021-12-10,0.48910083
2021-12-11,0.49726538
2021-12-12,0.50542678
2021-12-13,0.47503445
2021-12-14,0.50405552
2021-12-15,0.50209448
2021-12-16,0.49805154
2021-12-17,0.49192435
2021-12-18,0.50436867
2021-12-19,0.49689026
2021-12-20,0.4965859
2021-12-21,0.50874422
2021-12-22,0.49592732
2021-12-23,0.50119284
2021-12-24,0.48654857
2021-12-25,0.50488527
2021-12-26,0.48803223
2021-12-27,0.49076647
2021-12-28,0.47903835
2021-12-29,0.48167945
2021-12-30,0.49798919
2021-12-31,0.49286453
2022-01-01,0.49622223
2022-01-02,0.51319246
2022-01-03,0.49016734
2022-01-04,0.50599433
2022-01-05,0.48434946
2022-01-06,0.49086764
2022-01-07,0.48959597
2022-01-08,0.48946758
2022-01-09,0.50297092
2022-01-10,0.495523
2022-01-11,0.50447579
2022-01-12,0.51192132
2022-01-13,0.49651638
2022-01-14,0.50086809
2022-01-15,0.49744771
2022-01-16,0.50846258
2022-01-17,0.49429378
2022-01-18,0.49740152
2022-01-19,0.49625666
2022-01-20,0.50462378
2022-01-21,0.48732976
2022-01-22,0.49670934
2022-01-23,0.50861733
2022-01-24,0.50274479
2022-01-25,0.50683089
2022-01-26,0.50654633
2022-01-27,0.50108359
2022-01-28,0.51077729
2022-01-29,0.50572753
2022-01-30,0.51373065
2022-01-31,0.51492899
2022-02-01,0.51383547
2022-02-02,0.49171434
2022-02-03,0.50109056
2022-02-04,0.52224528
2022-02-05,0.5055204
2022-02-06,0.50393798
2022-02-07,0.50806536
2022-02-08,0.4951016
2022-02-09,0.50799363
2022-02-10,0.49778867
2022-02-11,0.48797242
2022-02-12,0.49397378
2022-02-13,0.49183155
2022-02-14,0.50382217
2022-02-15,0.51898528
2022-02-16,0.4960383
2022-02-17,0.48261465
2022-02-18,0.49648008
2022-02-19,0.49535102
2022-02-20,0.4910048
2022-02-21,0.50406529
2022-02-22,0.50732121
2022-02-23,0.49445753
2022-02-24,0.50367938
2022-02-25,0.51129644
2022-02-26,0.50293977
2022-02-27,0.49074273
2022-02-28,0.51178713
2022-03-01,0.50120792
2022-03-02,0.49577636
2022-03-03,0.48360333
2022-03-04,0.48498659
2022-03-05,0.49735617
2022-03-06,0.48605484
2022-03-07,0.49602222
2022-03-08,0.50330801
2022-03-09,0.51141693
2022-03-10,0.48728719
2022-03-11,0.49700422
2022-03-12,0.5026342
2022-03-13,0.48796774
2022-03-14,0.508318
2022-03-15,0.50685248
2022-03-16,0.51671336
2022-03-17,0.50826985
2022-03-18,0.51395448
2022-03-19,0.49142065
2022-03-20,0.48639416
2022-03-21,0.50245533
2022-03-22,0.50291185
2022-03-23,0.49630131
2022-03-24,0.50708415
2022-03-25,0.4977495
2022-03-26,0.50188674
2022-03-27,0.52231245
2022-03-28,0.499538
2022-03-29,0.5023516
2022-03-30,0.49457054
2022-03-31,0.48548247
2022-04-01,0.50472644
2022-04-02,0.49809855
