date,timestamp_utc,Market Cap
2016-07-21,2016-07-21T00:00:00Z,1047914019.0163304
2016-07-22,2016-07-22T00:00:00Z,1218267098.5680273
2016-07-23,2016-07-23T00:00:00Z,1174834302.9424832
2016-07-24,2016-07-24T00:00:00Z,1051685304.0054896
2016-07-25,2016-07-25T00:00:00Z,1142865611.9008417
2016-07-26,2016-07-26T00:00:00Z,981758280.2279536
2016-07-27,2016-07-27T00:00:00Z,1072979255.603266
2016-07-28,2016-07-28T00:00:00Z,1065937331.0614012
2016-07-29,2016-07-29T00:00:00Z,1060103008.5480292
2016-07-30,2016-07-30T00:00:00Z,1030458262.8150676
2016-07-31,2016-07-31T00:00:00Z,988504722.2123868
2016-08-01,2016-08-01T00:00:00Z,906638181.1750792
2016-08-02,2016-08-02T00:00:00Z,710341357.0767779
2016-08-03,2016-08-03T00:00:00Z,882483445.8094463
2016-08-04,2016-08-04T00:00:00Z,926643768.773192
2016-08-05,2016-08-05T00:00:00Z,924525904.3498112
2016-08-06,2016-08-06T00:00:00Z,910815581.0398996
2016-08-07,2016-08-07T00:00:00Z,909515977.1564728
2016-08-08,2016-08-08T00:00:00Z,938591475.5399864
2016-08-09,2016-08-09T00:00:00Z,1017070713.4336144
2016-08-10,2016-08-10T00:00:00Z,987673123.9005672
2016-08-11,2016-08-11T00:00:00Z,970805006.769568
2016-08-12,2016-08-12T00:00:00Z,979283063.4910464
2016-08-13,2016-08-13T00:00:00Z,953116388.8140252
2016-08-14,2016-08-14T00:00:00Z,936057073.9966342
2016-08-15,2016-08-15T00:00:00Z,923969368.9873374
2016-08-16,2016-08-16T00:00:00Z,928478350.5341864
2016-08-17,2016-08-17T00:00:00Z,898082119.1454409
2016-08-18,2016-08-18T00:00:00Z,892027252.6547377
2016-08-19,2016-08-19T00:00:00Z,895469259.0543995
2016-08-20,2016-08-20T00:00:00Z,939900169.206624
2016-08-21,2016-08-21T00:00:00Z,932780803.9038584
2016-08-22,2016-08-22T00:00:00Z,923986151.778603
2016-08-23,2016-08-23T00:00:00Z,917848041.5758936
2016-08-24,2016-08-24T00:00:00Z,917204081.9305248
2016-08-25,2016-08-25T00:00:00Z,945059630.4391032
2016-08-26,2016-08-26T00:00:00Z,940418824.3966345
2016-08-27,2016-08-27T00:00:00Z,932442963.7029364
2016-08-28,2016-08-28T00:00:00Z,919445455.2011056
2016-08-29,2016-08-29T00:00:00Z,913960627.1099308
2016-08-30,2016-08-30T00:00:00Z,942699137.8969415
2016-08-31,2016-08-31T00:00:00Z,969801837.4400852
2016-09-01,2016-09-01T00:00:00Z,1003254327.181535
2016-09-02,2016-09-02T00:00:00Z,1015677574.053057
