date,Binance,Bitget,Bitstamp,Bybit,Crypto.com,Gate.io,HTX,Kraken
2025-09-02,22765557666.41062,1933858000.2258413,530736220.0581834,3950378699.7713313,4223310684.579989,3758976684.409812,3295657710.827035,1414382594.66556
2025-09-03,16828861908.416714,1493979509.1521828,458290718.5866337,3231207870.045273,2914582144.189953,2893430625.951024,2694226141.099519,1218667013.4726658
2025-09-04,17696330250.509804,1734745529.6499786,480280288.2866241,3166690023.514376,3144583561.3943906,3256024096.0313263,2706668919.47693,1233184873.2334733
2025-09-05,23095088890.35491,2023948461.173491,577365299.8464491,4319052994.880444,4510044115.251416,4297913645.575484,3458039413.614011,1441020229.4122808
2025-09-06,8587641469.794441,1154280132.1660266,226899849.66723824,1518644930.171452,995305994.050156,1835353272.8809192,1569879900.1885784,324913378.54740334
2025-09-07,9999368715.725122,1293393986.85016,250860268.14773983,1954455048.1977704,941107138.3885312,2071623219.7381744,1857195134.150847,394292240.0024824
2025-09-08,20596369036.52666,2073444976.377655,464043208.42255926,4781799762.648322,2556862616.448873,4100222270.790788,3297104478.1481457,1387425074.6491077
2025-09-09,22587496826.43129,2330868589.188628,422521239.7426569,4758186047.527725,2859914067.394549,4436663074.42529,3789862742.5369377,1435808275.497167
2025-09-10,22816487882.472748,2215125543.307358,472745591.93749833,4690863756.820482,3149230278.2425537,4705491606.520424,3482176585.402313,1665669158.5175314
2025-09-11,21566839460.65134,1942870949.576531,514177208.4888645,4410139738.916698,3087935249.1943936,4339865180.876871,3803515145.438717,1699312540.863097
2025-09-12,25448525263.892563,2102883717.2106943,697262758.0878767,5086828808.758481,3285858526.525434,4905189946.567551,3730155443.716804,2097673754.6685123
2025-09-13,19349028957.40929,1699181531.6523378,310744207.85343075,3891340598.952095,1798492543.4773693,3959424877.794084,3478216678.859313,1036288178.4210109
2025-09-14,17184363085.319653,1647220978.5337837,286291716.64676684,3823108653.889054,1733616954.5659332,3499129201.0980783,3312967123.0548816,961311863.486704
2025-09-15,23186475183.14772,2001244263.9032123,569525848.7334517,5508214182.335098,3089586375.2788057,4427327705.309656,3700873533.693095,1682597071.7925022
2025-09-16,19367154213.6478,1950133781.743864,492393888.32104087,4362310527.191761,2629505104.123547,3554375369.735171,3281182254.265313,1463610449.3678453
2025-09-17,28488374061.110027,2342037047.402405,732829674.21611,4821187112.122129,3873519942.453356,4879341333.599628,3775911268.2032585,1784448391.0878096
2025-09-18,29801789719.88592,1661662284.8145776,671188745.6064366,4457406236.562659,2617583543.960415,4198327829.071162,3900720856.9443097,1732468631.8559074
2025-09-19,18363517331.995823,1367352637.997857,536844682.6070127,3681916438.624672,2429657276.885563,3446513493.930704,3384992181.135892,1222757296.9574966
2025-09-20,11367652255.526766,939516575.536544,240670607.6827508,2699387138.0229177,773109136.7073966,2063589528.3595595,2137446872.217199,641395083.2056867
2025-09-21,12565016944.604568,1134895182.3242977,189715072.28844783,4386364576.941964,870466428.274591,2306588327.200756,2362034385.389711,699089461.0875119
2025-09-22,34194762978.827003,2560231227.652247,740753942.1868672,8303773475.139052,4884078821.763041,6602251528.091292,4257860274.343038,2540015520.17236
2025-09-23,21537135544.727467,1736158079.594216,480373552.7162439,4637535869.91535,3290268932.7027683,4225184372.958348,3093828923.0616584,1484462449.9313054
2025-09-24,22597350061.2014,1753821550.1479037,448957681.2215856,4407899997.520474,2960138189.03692,4150432549.4936,2760380890.3955865,1365162212.0065165
2025-09-25,37643022455.9495,2531243963.467636,819884686.4817249,7574432535.316447,6584279221.353537,6905472306.804919,4541595475.674533,2026064697.1724188
2025-09-26,26859738513.922894,1866478751.395416,605182668.3769102,5794929257.208762,5116465170.057654,5073761663.875181,3415053582.6209865,1718640143.7309108
2025-09-27,11397224184.638063,1043080229.6322829,143335243.82031032,3483277780.61266,1389740263.198621,2312055026.638701,1737363945.5055273,505456380.0042781
2025-09-28,13149373383.651402,1314865383.9475143,198166845.6965271,3455863669.8460875,2194900910.185936,2735047348.8187304,2086372489.0877576,575660567.7740535
