date,Aave,Benqi Finance,Compound,Euler,Fluid,Goldfinch,Jupiter,Kamino,Liquity,Lista,Maker,Moonwell,Morpho,Seamless Protocol,Sonne Finance,Spark,Maple,Tydro,Venus
2022-01-30,20326716857.231422,2501290739.182837,7602178001.624104,0.0,0.0,70853804.14173125,0.0,0.0,993693355.6000144,0.0,15211439613.33582,0.0,0.0,0.0,0.0,0.0,491357142.85714287,0.0,2281684144.8784976
2022-02-06,21323750976.237576,2518269267.002404,7601030005.353589,0.0,0.0,86415228.58057384,0.0,0.0,1099165647.4456785,0.0,16256281862.853449,0.0,0.0,0.0,0.0,0.0,512209504.2857143,0.0,2263786828.0785627
2022-02-13,23436604441.82591,2943843998.369034,8155835486.236911,0.0,0.0,86770333.37798987,0.0,0.0,1199117356.4147477,0.0,17248006750.610374,0.0,0.0,0.0,0.0,0.0,526923790.0,0.0,2437393275.0649114
2022-02-20,21349148811.57093,2794088290.4510946,8234904139.046376,0.0,0.0,88362554.53855209,0.0,0.0,1150131639.6589935,0.0,16673887013.478916,0.0,0.0,0.0,0.0,0.0,556230932.8571428,0.0,2451340090.725823
2022-02-27,18671688352.55834,2468681901.582833,7675224215.251061,0.0,0.0,89761788.78406227,0.0,0.0,1012865773.4316636,0.0,15378665587.300655,0.0,0.0,0.0,0.0,0.0,621262744.1714287,0.0,2183191335.197085
2022-03-06,18288793614.572628,2497335795.433588,7363720709.010904,0.0,0.0,91190715.20810065,0.0,0.0,1053105910.3623508,0.0,15553589190.31743,0.0,0.0,0.0,0.0,0.0,651670531.2285715,0.0,2478001706.5829973
2022-03-13,17763678465.264343,2351016513.493866,7233274855.721982,0.0,0.0,95663270.28157048,0.0,0.0,966243488.993408,0.0,15049085832.160711,0.0,0.0,0.0,0.0,0.0,645680756.3142856,0.0,2370499633.16716
2022-03-20,18467064036.34187,2283042623.4259734,7215885149.264587,0.0,0.0,109959242.1758705,0.0,0.0,1013303103.0503732,0.0,15757656842.444489,0.0,0.0,0.0,0.0,0.0,696521218.8285714,0.0,2361443729.900523
2022-03-27,19855169260.75302,2383420780.708528,7439635882.6575985,0.0,0.0,109354838.82596104,0.0,0.0,1119899276.0038457,0.0,16596368295.950253,0.0,0.0,0.0,0.0,0.0,760982038.2571428,0.0,2498973928.4424863
2022-04-03,21655358768.90441,2423833290.826116,7002589165.757707,0.0,0.0,110286962.56848168,0.0,0.0,1257295598.637292,0.0,16285081539.929598,0.0,0.0,0.0,0.0,0.0,809035638.542857,0.0,2648195500.7900705
2022-04-10,22046535092.21827,2202678912.3082952,6621813306.563684,0.0,0.0,110244157.3461255,0.0,0.0,1248817626.9337046,0.0,15183460517.391314,0.0,0.0,0.0,0.0,0.0,805607652.8285713,0.0,2538202694.002993
2022-04-17,21571330243.37746,1842579473.6253948,6340852993.138164,0.0,0.0,109963007.07318868,0.0,0.0,1149414414.0757868,0.0,14109315063.26771,0.0,0.0,0.0,0.0,0.0,809625449.2571428,0.0,2331129556.881747
2022-04-24,22498327544.961086,1784837443.5353303,6346398573.459038,0.0,0.0,111875980.53638723,0.0,0.0,1128676643.2588727,0.0,13951835935.777826,0.0,0.0,0.0,0.0,0.0,823196877.8285713,0.0,2364428816.8992305
2022-05-01,22683960612.84531,1626551645.7891517,6070046941.115655,0.0,0.0,113036386.46112216,0.0,0.0,1058306278.910009,0.0,13453653731.31556,0.0,0.0,0.0,0.0,0.0,836491362.2857141,0.0,2394923837.5796247
2022-05-08,21847659865.5498,1418931589.2061136,5391529899.830901,0.0,0.0,115920664.45380436,0.0,0.0,1014715460.2635442,0.0,12854624573.300455,0.0,0.0,0.0,0.0,0.0,863768668.8428571,0.0,2517442462.879899
2022-05-15,16325893194.67264,797150670.7440875,4541473860.237366,0.0,0.0,106444486.99219024,0.0,0.0,745964060.0811232,0.0,10742002618.717665,0.0,0.0,0.0,0.0,0.0,872067211.6999999,0.0,1637750706.6862798
2022-05-22,14241243962.656712,512574593.8295421,3968979721.122143,0.0,0.0,101055256.61646526,0.0,0.0,659260162.0188552,0.0,9967308730.09512,0.0,0.0,0.0,0.0,0.0,809441897.4142857,0.0,1243463001.71026
2022-05-29,14097776980.253729,437736415.8847046,3943279618.242924,0.0,0.0,100851860.55364044,0.0,0.0,627518023.974368,0.0,9437234034.788332,0.0,0.0,0.0,0.0,0.0,801337549.1685714,0.0,1211313514.6805797
2022-06-05,15073651454.683502,406658779.4263045,3990983842.3396463,0.0,0.0,100869230.99820876,0.0,0.0,632119517.9594142,0.0,9548929559.860975,0.0,0.0,0.0,0.0,0.0,777821547.34,0.0,1230148892.5310214
