date,Aerodrome Finance,Balancer,Blackhole ,Cetus Finance,Curve,Drift Protocol,Fluid,Frax,GMX,Hyperliquid,Meteora,Orca,PancakeSwap,Pendle,Pump.fun,Quickswap,Raydium,SushiSwap,Trader Joe V1,Uniswap
2025-03-27,233424.7065447092,22601.445140349108,,169024.69370415446,39001.80929385172,79.33758768520005,,1828.9022767752072,2236.572255243276,11995.84,777154.6789140122,234551.0,1213608.53702611,63663.01252552651,792973.5514819368,28671.43377087267,1417805.7754034724,5315.62705371533,6454.509867916957,1262918.7001375817
2025-03-28,302422.2521757384,26305.669164727056,,113245.27544439332,41231.18822722306,79.08603555799996,,1502.9171385093898,30188.1045712082,18514.73,591810.5387373008,242214.0,564352.3922608007,31352.34666829857,838951.8436916793,27127.62141053511,716868.5065493414,8919.382023530978,7071.554436871125,1582006.642978293
2025-03-29,237155.1667669933,23534.950699471687,,96665.86787659505,26518.849759198547,12.6957760596,,1369.4449719240554,6137.410236059683,12539.27,432805.8373225727,147579.0,404363.9028825772,19791.28421779436,598046.3082516917,27274.631309377328,620115.4192576794,7337.388260641331,4974.792232248167,1048928.3521294268
2025-03-30,198482.39395073085,17507.487533774693,,116816.35251852316,20423.63358171522,4.1644458898,,1521.7892318427105,4063.485462668975,7490.08,229600.08183450816,153261.0,314417.3530917802,16420.886957158866,499886.2343674304,26568.759539198,471214.0186137709,6415.9063917777385,3556.157099322817,869832.9227251579
2025-03-31,269297.53587178094,26195.353917032084,,143631.05712960145,35431.44463279121,96.63643227700004,,2057.7948280739324,6661.975432139956,12648.15,508930.7423477936,210582.0,349701.7758493139,14591.55261990168,709631.2715831418,26650.708758339548,555184.7420195803,8322.675055828928,5323.536951056653,1292784.9742937775
2025-04-01,279393.33617466706,20831.56661303878,,154873.418704417,34840.73896655063,49.4890726372,,2116.512298257249,5423.718676804494,9205.86,340622.6046983442,225452.0,357806.74861671973,10286.523899643811,733440.1766362601,28968.676544556834,679932.8854225567,8099.478644149654,4149.392979588508,1355685.35136648
2025-04-02,430874.1219768972,28533.65546493604,,175855.12414365466,27945.49575992409,26.373442468600008,,3106.1129625227086,22252.06749319363,22319.17,683381.7485028222,458545.0,520524.5432920954,11266.372241949995,616901.6013389106,32167.886283999505,866646.3823246805,10952.966201169646,5448.534232886533,2045713.5689108137
2025-04-03,289104.69643565826,22630.867836933685,,145096.84949997574,43556.30887134279,65.02243210739996,,2242.147971347153,7728.261192949426,18495.78,436560.2833433116,233365.0,374051.7869155892,24461.27402179421,521520.53488942224,31278.04501830837,597983.1792656631,9284.385451709994,4223.407798192622,1407967.610662577
2025-04-04,288385.0467852236,31436.784176151123,,161705.7404957811,49444.35352145475,39.506808838000005,,1903.0163822170653,8268.11465180498,17385.87,525104.047900004,413640.0,326977.69633108965,14103.307629729556,555363.3279677782,32351.096333176523,601843.0890302539,7739.280431161389,3343.2497296289207,1517881.907883387
2025-04-05,121191.59162314847,11465.880276225407,,69822.64163988704,20968.203277763005,46.77450269079999,,624.2260657974415,1973.8721144765204,6278.5,247384.4376467948,166072.0,220660.7282903673,6647.538183116823,550673.8311230156,31419.39359654064,368189.1191822098,4946.406660349315,1867.1946017296448,705528.3992068726
2025-04-06,262443.85502515675,27904.15570304302,,89693.19552428742,42116.660733678895,155.68762724,,2861.927625696392,27822.487080581777,18086.87,272095.3773034404,251106.0,337030.414377675,8164.119371374196,536756.9902236036,31740.9754980274,564214.6918756799,22774.985281107027,6358.408920194275,1806048.3514301768
2025-04-07,418551.8336079567,59302.213704491485,,202415.54964493265,118880.40299073169,78.58583067899994,,4058.289831663876,37021.95824028301,36200.89,899184.6894714537,495456.0,543422.5938656067,18723.82380714892,664923.378329595,36051.45947441062,694904.9088382862,33206.46497839388,11921.672341842544,2765492.651763687
2025-04-08,251064.18956216043,43570.511989336585,,106024.62121116272,41555.092952868086,52.812619713,,2216.833741789642,11376.831132767666,20990.17,614439.6157781208,340551.0,302337.7260309262,10392.32144112506,794514.66114428,31846.823864548373,571048.0964774074,12142.101382016906,6176.081751046359,1407102.679775685
2025-04-09,391088.9123879788,35590.61254558761,,204285.6317745076,55340.31243206853,33.32423807560002,,3326.4647174173906,35246.13442692747,36443.96,807200.2340021253,550944.0,417920.68092784384,12165.197134597767,903636.373678002,35444.207297878434,776578.4610264088,20028.13894914952,9449.681873944486,2362129.876419811
2025-04-10,265028.9950833686,20669.34335417745,,121739.17561863604,45010.98336545403,130.7821163612,,1469.7187633749425,5621.368711929505,23134.93,357986.53270541586,294593.0,312918.8034265868,8578.692817353114,803812.7644404399,35151.060428291,579833.7465765743,12642.949717685788,5812.66279208986,1903787.9910709504
2025-04-11,275764.39381645265,19052.14925262408,,99988.22315327868,43931.05352264354,18.99655196820001,,1496.5369910074112,8093.731525994142,24450.4,538018.5052488316,397941.0,310657.00870626856,10108.824688870034,796681.0037485578,34408.613814818804,737779.7705081971,9912.537079117365,6080.778987867951,1571923.8506531264
2025-04-12,254242.17674638983,20303.768831048408,,100409.24494306282,30076.3853766267,63.46310808679998,,1007.1165682403938,6920.494017413743,15657.54,727039.5973748681,381204.0,633507.7767527675,6853.20043468287,961991.7697357282,31870.97695533933,803827.6161016219,7702.548095547511,4720.631403447336,1372638.396951883
