date,Avantis - Perpetuals Daily Active Users,dYdX v4 - Perpetuals Daily Active Users,Gains Network - Perpetuals Daily Active Users,GMX - Perpetuals Daily Active Users,Holdstation - Perpetuals Daily Active Users,Hyperliquid - Perpetuals Daily Active Users,Jupiter - Perpetuals Daily Active Users,Mux Protocol - Perpetuals Daily Active Users,Paradex - Perpetuals Daily Active Users,Perpetual Protocol - Perpetuals Daily Active Users,Vertex Protocol - Perpetuals Daily Active Users
2023-04-23,0.0,0.0,409.1428571428572,1601.142857142857,0.0,0.0,0.0,279.85714285714283,0.0,352.42857142857144,10.428571428571429
2023-04-30,0.0,0.0,329.1428571428572,1283.857142857143,0.0,0.0,0.0,245.8571428571429,0.0,226.57142857142856,72.28571428571429
2023-05-07,0.0,0.0,306.42857142857144,1138.571428571429,0.0,0.0,0.0,242.0,0.0,220.28571428571428,92.42857142857144
2023-05-14,0.0,0.0,322.42857142857144,1106.142857142857,4.5,0.0,0.0,254.8571428571429,0.0,240.57142857142856,87.0
2023-05-21,0.0,0.0,271.1428571428572,770.2857142857143,13.428571428571429,0.0,0.0,185.1428571428572,0.0,197.0,87.0
2023-05-28,0.0,0.0,278.1428571428572,895.4285714285714,14.285714285714286,0.0,0.0,179.14285714285714,0.0,210.1428571428572,137.14285714285714
2023-06-04,0.0,0.0,247.8571428571429,792.4285714285714,27.285714285714285,0.0,0.0,178.0,0.0,201.1428571428572,87.85714285714286
2023-06-11,0.0,0.0,311.85714285714283,1131.7142857142858,38.42857142857143,0.0,0.0,260.85714285714283,0.0,658.1428571428571,97.85714285714286
2023-06-18,0.0,0.0,300.85714285714283,988.0,135.14285714285714,224.1428571428572,0.0,230.57142857142856,0.0,499.57142857142856,88.14285714285714
2023-06-25,0.0,0.0,292.42857142857144,1230.7142857142858,162.71428571428572,302.57142857142856,0.0,319.42857142857144,0.0,238.7142857142857,135.14285714285714
2023-07-02,0.0,0.0,265.42857142857144,1020.0,277.85714285714283,240.0,0.0,259.42857142857144,0.0,225.57142857142856,188.8571428571429
2023-07-09,0.0,0.0,236.8571428571429,905.1428571428572,426.0,338.57142857142856,0.0,228.28571428571428,0.0,211.0,209.8571428571429
2023-07-16,0.0,0.0,312.7142857142857,1020.5714285714286,395.0,372.0,0.0,266.0,0.0,228.0,273.7142857142857
2023-07-23,0.0,0.0,268.85714285714283,811.8571428571429,437.0,396.1428571428572,2.857142857142857,243.1428571428572,0.0,198.42857142857144,234.1428571428572
2023-07-30,0.0,0.0,234.7142857142857,681.2857142857143,340.0,79.57142857142857,2.0,208.28571428571428,0.0,201.7142857142857,350.57142857142856
2023-08-06,0.0,0.0,248.8571428571429,828.5714285714286,366.0,159.42857142857142,0.5714285714285714,173.42857142857142,0.0,279.7142857142857,291.0
2023-08-13,0.0,0.0,201.57142857142856,727.2857142857143,308.7142857142857,589.1428571428571,0.7142857142857143,140.14285714285714,0.0,233.0,365.0
2023-08-20,0.0,0.0,204.1428571428572,935.4285714285714,276.0,204.42857142857144,0.5714285714285714,177.85714285714286,0.0,276.7142857142857,267.57142857142856
2023-08-27,0.0,0.0,163.28571428571428,676.4285714285714,258.1428571428572,428.1428571428572,0.2857142857142857,148.71428571428572,0.0,243.57142857142856,172.0
2023-09-03,0.0,0.0,176.42857142857142,843.7142857142857,236.28571428571428,398.1428571428572,0.0,207.28571428571428,0.0,206.8571428571429,210.8571428571429
2023-09-10,0.0,0.0,142.28571428571428,613.4285714285714,251.42857142857144,368.4285714285714,0.0,305.85714285714283,0.0,261.85714285714283,207.42857142857144
2023-09-17,0.0,0.0,170.28571428571428,771.1428571428571,253.1428571428572,418.8571428571428,1.4285714285714286,233.1428571428572,0.0,593.8571428571429,238.42857142857144
2023-09-24,0.0,0.0,157.71428571428572,703.1428571428571,248.7142857142857,426.7142857142857,1.7142857142857142,197.57142857142856,0.0,1135.142857142857,198.0
2023-10-01,0.0,0.0,165.42857142857142,13647.857142857143,234.8571428571429,442.1428571428572,1.2857142857142858,231.0,0.0,914.2857142857144,210.57142857142856
2023-10-08,0.0,0.0,142.71428571428572,2323.5714285714284,279.85714285714283,500.4285714285714,1.2857142857142858,249.57142857142856,0.0,810.8571428571429,229.57142857142856
2023-10-15,0.0,0.0,175.71428571428572,1047.857142857143,229.7142857142857,363.8571428571428,3.571428571428572,210.0,0.0,431.1428571428572,218.28571428571428
2023-10-22,0.0,0.0,223.57142857142856,1185.2857142857142,270.57142857142856,409.0,7.285714285714286,249.1428571428572,0.0,472.2857142857143,232.8571428571429
2023-10-29,0.0,0.0,274.7142857142857,1437.0,314.57142857142856,608.1428571428571,12.142857142857142,262.2857142857143,0.0,416.57142857142856,371.8571428571428
2023-11-05,0.0,0.0,260.85714285714283,1271.7142857142858,426.0,838.5714285714286,518.1428571428571,470.2857142857143,0.0,516.5714285714286,524.7142857142857
2023-11-12,0.0,0.0,302.2857142857143,1524.428571428571,692.7142857142857,1110.142857142857,1164.428571428571,327.2857142857143,0.0,705.0,544.4285714285714
2023-11-19,0.0,20.0,279.42857142857144,1334.428571428571,917.5714285714286,1235.428571428571,1363.571428571429,282.57142857142856,0.0,430.7142857142857,422.8571428571428
2023-11-26,0.0,24.571428571428573,219.42857142857144,2391.714285714286,1021.5714285714286,1355.428571428571,1293.571428571429,258.0,0.0,239.42857142857144,353.7142857142857
2023-12-03,0.0,107.28571428571428,213.57142857142856,1304.571428571429,989.0,1533.142857142857,1360.7142857142858,263.7142857142857,0.0,269.2857142857143,403.7142857142857
2023-12-10,0.0,205.8571428571429,304.0,1522.7142857142858,1104.142857142857,2328.1428571428573,2388.714285714286,301.1428571428572,0.0,253.0,418.0
2023-12-17,0.0,234.57142857142856,253.57142857142856,1167.857142857143,1127.857142857143,2611.8571428571427,2929.8571428571427,314.42857142857144,0.0,171.71428571428572,336.1428571428572
2023-12-24,0.0,218.7142857142857,258.0,1132.2857142857142,1089.571428571429,2807.8571428571427,3700.0,266.85714285714283,0.0,176.57142857142858,341.42857142857144
2023-12-31,0.0,253.7142857142857,320.85714285714283,1047.0,1205.0,3080.428571428572,3324.1428571428573,341.1428571428572,0.0,195.0,322.0
2024-01-07,0.0,309.2857142857143,459.2857142857143,1354.7142857142858,1123.7142857142858,3512.0,4074.285714285714,512.1428571428571,0.0,195.0,353.7142857142857
2024-01-14,0.0,387.1428571428572,772.1428571428571,1822.857142857143,1207.0,5246.285714285715,4474.571428571428,380.57142857142856,0.0,255.8571428571429,397.1428571428572
2024-01-21,0.0,293.85714285714283,711.0,988.5714285714286,1129.571428571429,5472.428571428572,3748.428571428572,310.85714285714283,0.0,191.7142857142857,319.85714285714283
2024-01-28,5.0,310.2857142857143,800.4285714285714,1225.857142857143,1232.857142857143,6585.571428571428,4580.285714285715,382.57142857142856,0.0,189.7142857142857,309.57142857142856
2024-02-04,65.57142857142857,310.0,733.4285714285714,1008.1428571428572,1167.7142857142858,8058.285714285715,6139.857142857143,172.85714285714286,0.0,163.85714285714286,281.7142857142857
2024-02-11,106.85714285714286,349.1428571428572,743.4285714285714,1003.5714285714286,1117.857142857143,9216.285714285714,6031.0,428.1428571428572,0.0,198.28571428571428,292.0
2024-02-18,116.0,433.2857142857143,422.2857142857143,1215.857142857143,1219.0,9809.142857142857,5810.571428571428,800.0,0.0,225.57142857142856,315.85714285714283
2024-02-25,90.28571428571428,465.4285714285714,298.1428571428572,1019.4285714285714,1447.857142857143,10240.57142857143,4818.857142857143,458.1428571428572,0.0,277.57142857142856,310.85714285714283
2024-03-03,84.14285714285714,683.5714285714286,315.1428571428572,1324.428571428571,1590.857142857143,11408.42857142857,6163.285714285715,283.0,0.0,293.0,375.0
2024-03-10,72.57142857142857,801.8571428571429,298.1428571428572,1347.142857142857,1134.571428571429,11124.142857142857,6673.0,190.7142857142857,0.0,185.28571428571428,381.0
2024-03-17,191.8571428571429,847.1428571428571,274.0,1406.2857142857142,1209.0,10962.285714285714,5904.142857142857,205.7142857142857,0.0,160.71428571428572,405.4285714285714
2024-03-24,278.42857142857144,790.4285714285714,213.8571428571429,1395.7142857142858,1435.571428571429,11176.57142857143,5960.428571428572,172.28571428571428,0.0,144.0,350.7142857142857
2024-03-31,208.7142857142857,731.2857142857143,170.57142857142858,1735.857142857143,1562.428571428571,13240.0,4585.571428571428,248.28571428571428,0.0,138.71428571428572,309.2857142857143
2024-04-07,261.7142857142857,711.4285714285714,151.42857142857142,1486.2857142857142,1441.2857142857142,15492.285714285714,4477.571428571428,111.28571428571428,0.0,187.8571428571429,297.1428571428572
2024-04-14,322.0,703.2857142857143,150.85714285714286,2010.428571428572,1374.142857142857,17631.85714285714,4677.0,136.85714285714286,0.0,329.85714285714283,322.1428571428572
