date,Bedrock,Eigenpie,EtherFi,Kelp DAO,Puffer Finance,Renzo Protocol,Swell Network
2023-11-06,17314486.217329938,,15676073.730136769,,,,
2023-11-07,17574680.277005527,,15591657.9671227,,,,
2023-11-08,17613571.447325177,,15616270.49868258,,,,
2023-11-09,20025958.213103864,,17412208.088469427,,,,
2023-11-10,19557853.41098858,,17043366.32057071,,,,
2023-11-11,21351143.69506305,,16838273.162694257,,,,
2023-11-12,21279305.63172496,,16789560.121840496,,,,
2023-11-13,21561415.806603864,,16938162.816403486,,,,
2023-11-14,20724113.466062527,,16283993.517281853,,,,
2023-11-15,21572954.20949605,,16968314.085846506,,,,
2023-11-16,20532919.537468567,,15946650.439695343,,,,
2023-11-17,20472998.40966823,,17054283.985234316,,,,
2023-11-18,20536966.24377716,,17556463.24076212,,,,
2023-11-19,21044430.009208813,,18632529.891284816,,,,
2023-11-20,21162269.5758298,,18919793.86960243,,,,
2023-11-21,20304814.4956625,,18757605.08298682,,,,
2023-11-22,21618011.241872054,,24621405.71055651,,,,
2023-11-23,21645581.21630008,,24831070.444973208,,,,
2023-11-24,21840620.0469126,,25011063.526487533,,,,
2023-11-25,21888637.81968402,,29062352.25858005,,,,
2023-11-26,21664522.99386542,,28574214.85440893,,,,
2023-11-27,21306885.30900124,,28625483.59748257,,,,
2023-11-28,21501426.05382544,,29132453.920613263,,,,
2023-11-29,21264238.191527653,,29552248.417255323,,,,
2023-11-30,21535238.511547565,,30476731.606066987,,,,
2023-12-01,21891636.94442458,,37802054.41750047,,,,
2023-12-02,22726966.558465883,,39505673.367469534,,,,
2023-12-03,22993629.60772045,,40852563.7074666,,,,
2023-12-04,23542124.3519428,,44355390.97425711,,,,
2023-12-05,24078822.90278143,,45978085.07034768,,,,
2023-12-06,23427339.020449,,47444105.21402377,,,0.0,
2023-12-07,24711645.22721013,,50947488.38609295,,,75340.38179027481,
2023-12-08,24769395.536848985,,52553161.01300793,,,75516.44980746642,
2023-12-09,24571896.762169503,,54682520.9961772,,,74914.31939685823,
2023-12-10,24687628.25421968,,56788192.84252794,,,75267.15931164536,
2023-12-11,23325752.41584673,,54276945.7595192,,,71115.09882880101,
2023-12-12,23094702.68503444,,54540600.60339376,3344.734782620111,,70410.67891778793,
2023-12-13,23730221.172628384,,56823458.06012793,2190694.202731433,,72348.2352824036,
2023-12-14,24324113.420626327,,59554487.62258011,9480059.24089068,,315427.34710499004,
2023-12-15,23300612.181230783,,58201503.47334436,12124901.262849385,,317050.6103697861,
2023-12-16,23384420.94913396,,61004961.43999395,15465557.510392703,,502467.5674843082,
2023-12-17,23086373.11199329,,60340748.65566288,17421452.965867274,,677477.6557019223,
2023-12-18,23268886.92636234,,64825221.34974104,33385581.116833657,,1117144.982225984,
2023-12-19,22848106.47525245,,67158185.81484212,83844891.6502056,,1938014.1897028408,
2023-12-20,23074631.06121785,,68295568.2874698,91665524.58392684,,2989398.239604385,
2023-12-21,23471018.350562416,,71296962.25247827,96584251.64389952,,3267231.123079328,
2023-12-22,24424705.91262027,,77601852.64934118,105757930.21290842,,3708290.6815883657,
2023-12-23,24329741.22004581,,80084978.65312238,114189282.43093622,,3789675.125164442,
2023-12-24,23844984.520575207,,80624044.00717662,119704830.10229324,,3896644.694921295,
2023-12-25,23936804.14034308,,83470149.63474944,123021242.07962649,,4729127.490531593,
2023-12-26,23486664.469318766,,84182813.37821896,121842459.9941327,,6882837.737980477,
2023-12-27,25022647.712463982,,91271187.65052536,132522450.9700086,,7945754.891031271,
2023-12-28,24690904.741664067,,92035345.45573242,132933721.6614126,,8211525.345227864,
2023-12-29,24209411.91019393,,91255848.87453292,131304766.0698554,,9603408.60876631,
2023-12-30,24668786.75622252,,92671425.22976623,135472159.3385959,,9788520.517241044,
2023-12-31,24513925.72413347,,93438854.01942734,136269380.80777058,,9805820.842971371,
2024-01-01,25267482.62716349,,97300214.35110883,142349961.47579688,,10187190.895203035,
2024-01-02,25383129.349821948,,98708227.87933756,144744020.52602017,,10482804.383859796,
2024-01-03,23774508.7411924,,93539580.80748785,137303134.6735416,,11558623.322378108,
2024-01-04,24635563.261892326,,97981055.06766424,141427962.35650596,,11994315.047168177,
2024-01-05,24593360.16093757,,99417917.318136,141401597.30692497,,15232064.318239676,
2024-01-06,24387637.79780616,,111008826.18798669,140107986.75216854,,17549328.68923966,
2024-01-07,24155248.991175003,,111659125.7646733,139114285.7837868,,18543030.54278224,
2024-01-08,25368464.384259745,,118698716.61199751,147368136.93168494,,20109106.597410407,
2024-01-09,25471827.59199343,,120468363.3848326,149200808.33384323,,22659533.033085123,
2024-01-10,28165808.50344029,,137196002.7072134,165345113.0160138,,26167690.24498672,
2024-01-11,28822575.119756576,,142973971.56919673,168164647.98356906,,28565908.868194163,
2024-01-12,27789714.646354783,,147132535.7945735,162927395.29979774,,29933228.895793464,
2024-01-13,28355779.487650365,,155864037.79173708,167012157.7939861,,32398103.552613635,
2024-01-14,27277135.76256596,,158400903.28352487,161164933.98654446,,32001545.559208017,
2024-01-15,27688642.3441738,,168869051.24727866,164239046.1703949,,34416541.48203125,
2024-01-16,28505024.808987767,,191727161.3077449,169459367.69545978,,37971441.26425452,
2024-01-17,27831843.270254944,,202456201.40281865,166429685.6859774,,75211274.27272299,
2024-01-18,27160357.39547909,,218001535.40317208,163730370.51189452,,83635394.01257975,
2024-01-19,27405715.6557044,,235759830.3642605,166177082.78643465,,97071036.73981026,
2024-01-20,25295499.41866166,,261050440.9259744,174404837.8981349,,100565935.77127998,
2024-01-21,24745488.196865525,,278610823.9371435,178728581.8359738,,103056299.3830731,
2024-01-22,23260476.99526764,,294301337.49693847,171047397.55082804,,116632065.4896195,
2024-01-23,22598783.183645807,,303240835.91448647,171241472.36726716,,115635430.93006665,
2024-01-24,22546332.276021868,,321680777.7240359,175049459.02128804,,117841781.69326906,
2024-01-25,22586797.43128973,,329015152.0839338,179160822.9646011,,120485125.99628612,
2024-01-26,23088028.56382006,,389405880.2493871,203757229.4517172,,126844784.51124352,
2024-01-27,23078230.299433783,,413316822.22268766,213263274.7606184,,135954638.6978559,0.0
2024-01-28,22678883.260759044,0.0,425474751.2186058,228651052.6766145,,138256023.36544424,0.0
2024-01-29,23405181.884783763,27909383.22455722,452952506.8940501,241843162.00903696,,148886881.61641574,0.0
2024-01-30,23702542.15699874,8822821.269673977,475947672.2027128,254306287.7268048,,155544165.2138985,2216184.8701694645
2024-01-31,23153536.635008696,20932677.886402283,482617957.9875805,253223565.2977651,,155527267.1430038,6441942.23308808
2024-02-01,23348823.16418712,25507852.750938646,517073580.8895084,263397065.7033511,28.899472103924893,165705947.17559895,9706162.590686109
2024-02-02,23406600.3366125,28907520.6049962,565752811.289937,271885444.1027269,145776218.40705127,170120081.6111902,12121224.799002614
2024-02-03,23277598.341215912,32316484.36902048,603112207.6948241,278673733.58877563,281378250.5314496,174604672.79509676,14897705.227085125
2024-02-04,23230617.09574519,42167325.76734584,626996046.9149617,285456877.44452536,319527706.8707848,177551010.65284395,18683215.47929282
2024-02-05,22214345.97810022,45102202.23885601,641516788.6070169,292548397.55176204,367975922.9037423,184336218.3816276,23136563.064931072
2024-02-06,62033460.41363543,54193858.47029656,704639925.9092265,310459367.69727856,463286178.3144414,207469148.451479,25841203.266766228
2024-02-07,60815144.43919118,56699068.41648125,756585488.1323406,329292482.05337083,522664990.3462114,222869774.3211921,31139646.331045657
2024-02-08,59652665.354845926,58350184.26877015,794907973.9620309,334808951.062877,570663150.5200752,236265281.13484383,32487433.63160203
2024-02-09,64007427.88307876,63596932.4850413,885992569.6236445,366673066.18142825,800347669.4045559,255413412.0355268,34476811.35967315
2024-02-10,64306934.913976654,69123456.3528461,953447723.8288608,384572597.2119121,855536190.026331,260067349.4315232,39554824.57530577
2024-02-11,64450616.127902426,69277899.13779314,973578657.79356,386319515.1190287,860317614.6706277,263080574.31549183,39958836.11907395
2024-02-12,85991305.67886461,73506724.73259771,1050859144.3440452,412715107.4724554,913830417.2583272,285204001.8150713,43259480.30764367
2024-02-13,85458975.82606643,73051680.77614574,1067404452.6255634,411644849.23600674,909971846.2103068,287308810.2507757,43482699.70316375
2024-02-14,89950626.4841771,76891214.62104097,1147999132.2641156,442614806.1874726,959306025.102944,309775703.08008724,46419795.52931694
2024-02-15,91543786.67409404,78175747.91477492,1177213716.7816925,452358925.004079,976481873.9634732,320510481.37652373,52033073.10136352
2024-02-16,90554581.65370856,77637864.44795728,1180028838.378828,455190802.43703336,971044546.0056508,321173095.6668792,53752171.10080506
2024-02-17,89947834.34110735,77117663.65027666,1202075654.0521796,456425403.5286303,967594225.5932994,320773750.9543323,56560890.33079016
2024-02-18,92734234.82394852,79506611.60888816,1252247150.8145356,475509090.97975457,998486786.47421,332902427.079471,61292762.4896033
2024-02-19,94952731.82258804,81408661.90952605,1291578735.8535335,488989079.1148303,1023614120.0869416,345702870.0659835,64125928.49165964
2024-02-20,97265998.83771364,83391964.21927613,1348430514.4167314,505906957.4961996,1054175848.952364,363249180.25706,69349118.26970825
