date,Exchange Inflow (Total)
2019-06-02,28033721.885513
2019-06-03,55976104.3051
2019-06-04,98884567.348605
2019-06-05,76713421.539725
2019-06-06,52725369.954113
2019-06-07,34818631.170853
2019-06-08,21018355.250581
2019-06-09,26800752.769618
2019-06-10,90826689.529647
2019-06-11,73719035.316618
2019-06-12,86706603.959287
2019-06-13,87187033.669282
2019-06-14,70033032.896315
2019-06-15,71309580.413791
2019-06-16,70509233.612489
2019-06-17,98406203.54989
2019-06-18,61441087.795709
2019-06-19,49957573.688421
2019-06-20,73547234.892729
2019-06-21,67717189.760251
2019-06-22,100137104.222172
2019-06-23,60720433.184723
2019-06-24,61181618.70961
2019-06-25,77625551.813922
2019-06-26,63168670.106643
2019-06-27,90679716.973498
2019-06-28,91895151.979037
2019-06-29,82617078.390944
2019-06-30,58922024.601883
2019-07-01,93049455.283425
2019-07-02,81170854.638905
2019-07-03,111179509.371809
2019-07-04,122199080.991059
2019-07-05,147949403.19736
2019-07-06,123246762.48453
2019-07-07,66153260.93073
2019-07-08,198332878.734747
2019-07-09,248912068.9158
2019-07-10,242809512.539072
2019-07-11,231925789.339984
2019-07-12,130614269.807738
2019-07-13,95515651.561083
2019-07-14,118903477.357299
2019-07-15,178477628.089023
2019-07-16,133254864.633319
2019-07-17,230872422.019758
2019-07-18,169834544.858681
2019-07-19,134739927.563671
2019-07-20,88014596.669308
2019-07-21,73041402.563439
2019-07-22,118333848.931027
2019-07-23,93161438.601606
2019-07-24,92378297.90657
2019-07-25,97853657.726552
2019-07-26,102544299.310502
2019-07-27,186395143.042229
2019-07-28,78723574.178112
2019-07-29,115977938.990874
2019-07-30,137786689.11075
2019-07-31,153312602.234308
2019-08-01,94363401.784166
2019-08-02,202925702.195112
2019-08-03,115150650.268642
2019-08-04,103236667.215384
2019-08-05,282401872.453255
2019-08-06,201124649.385001
2019-08-07,210800984.072503
2019-08-08,189611061.208425
2019-08-09,189515585.900554
2019-08-10,188863951.267767
2019-08-11,94931481.787455
2019-08-12,130217144.157707
2019-08-13,155889904.88108
2019-08-14,166703475.824495
