date,Exchange Outflow (Total)
2019-08-17,86237382.755743
2019-08-18,80582969.5682
2019-08-19,149239083.631151
2019-08-20,155916364.366176
2019-08-21,153627833.95828
2019-08-22,144633345.519755
2019-08-23,132475788.019372
2019-08-24,109847218.540181
2019-08-25,108460802.734532
2019-08-26,217940167.339486
2019-08-27,143023717.828461
2019-08-28,180095145.851166
2019-08-29,170331755.349771
2019-08-30,125795224.38843
2019-08-31,80069083.992719
2019-09-01,89057907.487815
2019-09-02,207811982.761374
2019-09-03,200285483.726544
2019-09-04,158229866.283973
2019-09-05,159930652.42394
2019-09-06,194313680.925642
2019-09-07,93216858.569979
2019-09-08,106672782.360111
2019-09-09,164563777.938759
2019-09-10,184614707.766537
2019-09-11,148306790.701283
2019-09-12,194545689.343837
2019-09-13,98457404.82372
2019-09-14,98419148.665988
2019-09-15,112012982.494623
2019-09-16,210613435.591003
2019-09-17,212962479.561017
2019-09-18,242030555.543756
2019-09-19,223019790.254556
2019-09-20,199422497.233904
2019-09-21,98820630.872401
2019-09-22,94157485.981587
2019-09-23,181247708.345993
2019-09-24,336272247.66446
2019-09-25,301853186.777335
2019-09-26,208318834.674619
2019-09-27,177744532.979793
2019-09-28,124110323.583954
2019-09-29,121964060.460198
2019-09-30,186170953.593408
2019-10-01,130162492.676341
2019-10-02,101618765.483128
2019-10-03,112761687.671405
2019-10-04,107628774.228726
2019-10-05,88965451.213226
2019-10-06,90744950.715125
2019-10-07,134858922.266823
2019-10-08,184968398.901547
2019-10-09,243807625.987932
2019-10-10,191074121.441823
2019-10-11,207437052.875733
2019-10-12,107271374.114264
2019-10-13,93656809.30033
2019-10-14,144072689.062504
2019-10-15,159945729.949908
2019-10-16,154722272.005823
2019-10-17,143094969.448438
2019-10-18,162678692.910616
2019-10-19,115585800.370711
2019-10-20,125052985.469745
2019-10-21,217179394.519899
2019-10-22,243383238.005411
2019-10-23,360520769.277935
2019-10-24,398232996.902442
2019-10-25,593496345.909742
2019-10-26,558562970.784076
2019-10-27,226265293.964706
2019-10-28,520317838.87092
2019-10-29,409659658.996802
2019-10-30,427190046.732972
2019-10-31,383177112.447115
2019-11-01,275156932.579624
2019-11-02,199007871.304695
2019-11-03,162920787.921463
2019-11-04,248830829.469086
2019-11-05,243035797.057099
2019-11-06,230619316.731123
2019-11-07,203017038.511009
2019-11-08,209165851.353793
2019-11-09,128249264.966566
2019-11-10,120802448.908073
2019-11-11,223778474.488956
2019-11-12,215150414.463495
2019-11-13,220176721.606606
2019-11-14,175913962.294842
2019-11-15,201777908.284374
2019-11-16,109352982.972433
2019-11-17,110950550.890886
2019-11-18,223482569.109208
2019-11-19,191076588.751401
2019-11-20,181119637.023502
2019-11-21,283772964.37918
2019-11-22,319018897.391577
2019-11-23,177570987.503946
2019-11-24,141258889.580563
2019-11-25,304694446.183891
2019-11-26,183774717.095099
2019-11-27,250056032.882393
2019-11-28,195260996.797968
2019-11-29,198951030.647344
2019-11-30,128244909.23185
2019-12-01,161814966.66491
2019-12-02,182295039.364433
2019-12-03,184203948.622398
2019-12-04,205235588.004251
2019-12-05,191885363.348825
2019-12-06,173179203.085501
2019-12-07,110137904.00546
2019-12-08,71422424.601536
2019-12-09,197345332.300257
2019-12-10,194606703.735077
2019-12-11,205153015.92969
2019-12-12,167612827.387561
2019-12-13,140949245.839139
2019-12-14,119545616.413397
2019-12-15,82776231.58272
2019-12-16,192400101.349374
2019-12-17,173159089.579342
2019-12-18,219373015.131728
2019-12-19,207438265.526383
2019-12-20,165163492.831456
2019-12-21,91268383.256918
2019-12-22,95792581.48104
2019-12-23,219682293.518095
2019-12-24,147875151.318776
2019-12-25,121263191.445688
2019-12-26,145961544.960994
2019-12-27,150145633.72038
2019-12-28,85044806.910288
2019-12-29,88577503.175343
2019-12-30,166180094.919565
2019-12-31,122585382.213502
2020-01-01,64262517.526181
2020-01-02,108739995.781981
2020-01-03,187664495.743455
2020-01-04,159721038.095577
2020-01-05,94339341.779134
2020-01-06,173631093.128397
2020-01-07,191054200.54611
2020-01-08,186326542.455317
2020-01-09,176104502.517428
2020-01-10,179490180.621659
2020-01-11,108598615.767799
2020-01-12,85229507.535451
2020-01-13,160514623.592245
2020-01-14,274330293.161533
2020-01-15,240917402.652503
2020-01-16,189241493.654851
2020-01-17,226164954.240521
2020-01-18,141965082.170897
2020-01-19,155407789.604732
2020-01-20,206379932.242761
2020-01-21,185800355.858018
2020-01-22,141076653.120262
2020-01-23,185727829.949642
2020-01-24,100156538.750198
2020-01-25,46799051.227406
2020-01-26,60158459.013598
2020-01-27,127736742.584272
2020-01-28,119257487.196083
2020-01-29,140213048.949616
2020-01-30,139366922.130569
2020-01-31,140575181.12109
2020-02-01,94680519.495696
2020-02-02,104125842.898022
2020-02-03,189463435.37219
2020-02-04,188525846.519493
2020-02-05,232030447.895587
2020-02-06,230515268.690286
2020-02-07,206678827.322602
2020-02-08,142683528.796144
2020-02-09,168016065.797113
2020-02-10,228106650.741376
2020-02-11,208998533.23212
2020-02-12,267850420.314029
2020-02-13,283998087.525385
2020-02-14,201660881.765893
2020-02-15,187678348.313642
2020-02-16,146967373.768958
2020-02-17,227268129.473964
2020-02-18,218226328.454081
2020-02-19,231062562.275995
2020-02-20,220903458.194147
2020-02-21,161209792.59754
2020-02-22,128309874.942534
2020-02-23,154106559.637242
2020-02-24,205721231.449455
2020-02-25,191009572.52665
2020-02-26,269582797.758586
2020-02-27,228206610.298456
2020-02-28,206339586.30092
2020-02-29,142624685.458891
2020-03-01,113538794.083143
2020-03-02,217889586.75256
2020-03-03,229584106.580979
2020-03-04,193659782.504888
2020-03-05,228004943.316923
2020-03-06,191447905.843105
2020-03-07,128142618.947624
2020-03-08,196290675.839841
2020-03-09,309769443.343656
2020-03-10,270234806.625872
2020-03-11,263217535.017067
2020-03-12,348565645.799173
2020-03-13,597188405.048707
2020-03-14,206055704.870897
2020-03-15,227627183.685127
2020-03-16,384602695.743312
2020-03-17,328138016.179461
2020-03-18,266980586.662088
2020-03-19,305987293.885191
2020-03-20,270120468.293882
2020-03-21,149371659.376382
2020-03-22,174697146.613802
2020-03-23,258083426.644025
2020-03-24,273381564.880012
2020-03-25,219472418.385648
2020-03-26,202052860.052205
2020-03-27,187027938.804739
2020-03-28,198577405.626983
2020-03-29,134236235.356173
2020-03-30,238079850.663071
2020-03-31,197695753.011577
2020-04-01,221307492.047113
2020-04-02,269605113.640143
2020-04-03,191980730.972857
2020-04-04,104528855.515471
2020-04-05,93006057.432349
2020-04-06,219056671.93911
2020-04-07,243811479.150797
2020-04-08,199646651.329918
2020-04-09,187208486.036076
2020-04-10,205648344.530059
2020-04-11,130251480.716053
2020-04-12,143560197.048754
2020-04-13,201580467.089952
2020-04-14,266524212.27935
2020-04-15,244592474.022012
2020-04-16,331757794.283506
2020-04-17,209912239.679089
2020-04-18,137247700.781933
2020-04-19,126336455.493323
2020-04-20,238740486.715414
2020-04-21,226301224.690816
2020-04-22,234225004.370316
2020-04-23,288356445.316251
2020-04-24,291815309.848993
2020-04-25,157781029.325797
2020-04-26,145669480.787532
2020-04-27,240237260.457615
2020-04-28,268103883.898048
2020-04-29,404580737.886877
2020-04-30,474185627.423238
2020-05-01,223529862.32126
2020-05-02,137908180.509127
2020-05-03,166213902.541978
2020-05-04,254268905.049511
2020-05-05,234614024.855979
2020-05-06,325016427.342824
2020-05-07,351773171.062094
2020-05-08,406916215.45597
2020-05-09,233423547.640036
2020-05-10,244596910.965734
2020-05-11,357622292.410364
2020-05-12,294519416.070969
2020-05-13,304256610.731239
2020-05-14,323400546.781318
2020-05-15,267923181.713779
2020-05-16,144475470.160815
2020-05-17,195684361.001799
2020-05-18,375947464.699023
2020-05-19,345057710.967077
2020-05-20,303868116.768848
2020-05-21,337135431.353274
2020-05-22,267689134.153188
2020-05-23,150913042.699304
2020-05-24,173028413.889728
2020-05-25,253569797.292342
2020-05-26,236497744.438404
2020-05-27,290007457.637406
2020-05-28,351492867.697578
2020-05-29,325450452.742326
2020-05-30,237162471.080457
2020-05-31,210465962.005899
2020-06-01,364137988.134237
2020-06-02,520846842.826023
2020-06-03,308923125.247826
2020-06-04,311871263.984504
2020-06-05,280895813.479852
2020-06-06,169203268.916113
2020-06-07,181296077.573645
2020-06-08,344094041.639688
2020-06-09,327705153.239548
2020-06-10,343116020.165587
2020-06-11,435568519.293839
2020-06-12,292382278.041678
2020-06-13,161088975.652727
2020-06-14,154911655.203003
2020-06-15,334551675.895141
2020-06-16,360210459.407055
2020-06-17,345135912.760208
2020-06-18,350218096.683991
2020-06-19,351956354.596657
2020-06-20,195524905.379387
2020-06-21,182570076.380639
2020-06-22,429227581.405476
2020-06-23,420645192.388315
2020-06-24,378436465.244885
2020-06-25,279202576.936597
2020-06-26,252887748.021196
2020-06-27,168010216.545815
2020-06-28,186506133.639665
2020-06-29,334912793.9386
2020-06-30,321779904.968972
2020-07-01,322127955.417204
2020-07-02,380881357.483544
2020-07-03,318359654.904461
2020-07-04,198687337.864331
2020-07-05,168900970.760779
2020-07-06,424614657.187738
2020-07-07,363657694.429296
2020-07-08,453514103.910081
2020-07-09,387041820.820991
2020-07-10,343794700.140221
2020-07-11,223696981.29714
2020-07-12,246483777.145938
2020-07-13,431394074.157727
2020-07-14,390388870.388494
2020-07-15,350661762.561344
2020-07-16,393134191.951242
2020-07-17,334178915.911366
2020-07-18,221368704.091361
2020-07-19,213185506.254007
2020-07-20,490248732.927135
2020-07-21,437379019.785674
2020-07-22,436374996.34094
2020-07-23,537590595.242335
2020-07-24,415918316.72285
2020-07-25,285569016.38405
2020-07-26,308488560.145323
2020-07-27,786397089.303968
2020-07-28,579303516.939272
2020-07-29,499723773.927216
2020-07-30,547616018.67536
2020-07-31,535554505.723933
2020-08-01,365063478.060392
2020-08-02,386947755.677742
2020-08-03,446891565.14515
2020-08-04,521698615.581782
2020-08-05,436024532.254309
2020-08-06,510860918.262972
2020-08-07,426094582.774274
