Date,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,MSBT,GBTC,BTC,Total
2025-11-21,-122.0,108.0,22.8,39.1,35.8,0.0,0.0,8.3,0.0,,61.5,84.9,238.4
2025-11-24,-149.1,15.5,-5.8,-11.6,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-151.0
2025-11-25,83.0,170.8,-12.3,-75.9,0.0,0.0,0.0,-36.9,0.0,,0.0,0.0,128.7
2025-11-26,42.8,-33.3,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,5.6,0.0,21.1
2025-11-28,-113.7,77.5,0.0,88.0,0.0,0.0,0.0,0.0,0.0,,10.7,8.9,71.4
2025-12-01,-65.9,67.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,8.5
2025-12-02,120.1,21.9,7.4,-90.9,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,58.5
2025-12-03,42.2,0.0,0.0,-37.1,0.0,0.0,0.0,0.0,0.0,,-19.6,-0.4,-14.9
2025-12-04,-113.0,-54.2,-3.0,0.0,0.0,0.0,0.0,-14.3,0.0,,-10.1,0.0,-194.6
2025-12-05,-32.5,27.3,4.9,42.8,0.0,0.0,0.0,11.4,0.9,,0.0,0.0,54.8
2025-12-08,28.8,-39.4,0.0,0.0,0.0,0.0,0.0,-5.8,0.0,,-44.0,0.0,-60.4
2025-12-09,-135.4,198.9,16.2,5.3,6.5,8.1,0.0,0.0,1.0,,17.5,33.8,151.9
2025-12-10,192.9,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,223.5
2025-12-11,76.7,-103.6,8.4,-16.4,0.0,0.0,0.0,-19.4,0.0,,-12.2,-11.0,-77.5
2025-12-12,51.1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,49.1
2025-12-15,0.0,-230.1,-44.3,-34.5,0.0,0.0,0.0,-21.2,0.0,,-27.5,0.0,-357.6
2025-12-16,-210.7,26.7,-50.9,-16.9,0.0,0.0,0.0,-18.0,0.0,,0.0,-7.4,-277.2
2025-12-17,111.2,391.5,-8.4,-37.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,457.3
2025-12-18,32.8,-170.3,-11.5,-12.3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-161.3
2025-12-19,-173.6,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-158.3
2025-12-22,6.0,-3.8,-35.0,-21.4,0.0,0.0,0.0,-33.6,0.0,,-29.0,-25.4,-142.2
2025-12-23,-157.3,-15.3,-5.7,0.0,0.0,0.0,0.0,0.0,0.0,,-10.3,0.0,-188.6
2025-12-24,-91.4,-17.2,-13.3,-9.9,0.0,-5.1,0.0,-8.0,0.0,,-24.6,-5.8,-175.3
2025-12-26,-192.6,-74.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.9,0.0,-275.9
2025-12-29,-7.9,5.7,0.0,-6.7,-10.4,0.0,0.0,0.0,0.0,,0.0,0.0,-19.3
2025-12-30,143.7,78.6,13.9,109.6,0.0,0.0,0.0,5.0,0.0,,0.0,4.3,355.1
2025-12-31,-99.0,-66.6,-13.8,-76.5,0.0,-5.1,0.0,-6.8,0.0,,-69.1,-11.2,-348.1
2026-01-02,287.4,88.1,41.5,6.7,4.5,13.0,0.0,8.3,0.0,,15.4,6.4,471.3
2026-01-05,372.5,191.2,38.5,36.0,15.0,13.6,7.2,5.3,0.0,,0.0,17.9,697.2
2026-01-06,228.7,-312.2,0.0,-29.5,0.0,0.0,0.0,-14.4,0.0,,-83.1,-32.7,-243.2
2026-01-07,-130.0,-247.6,-39.0,-42.3,0.0,0.0,0.0,-11.6,0.0,,-15.6,0.0,-486.1
2026-01-08,-193.3,-120.5,3.0,-9.6,0.0,0.0,0.0,0.0,1.9,,-73.1,-7.2,-398.8
2026-01-09,-252.0,7.9,-5.9,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-250.0
2026-01-12,-70.7,111.7,0.0,0.0,0.0,0.0,0.0,6.5,0.0,,64.3,4.9,116.7
2026-01-13,126.3,351.4,159.4,84.9,0.0,0.0,0.0,10.0,3.0,,0.0,18.8,753.8
2026-01-14,648.4,125.4,10.6,27.0,0.0,5.6,0.0,8.3,0.0,,15.3,0.0,840.6
2026-01-15,315.8,-188.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,-36.4,6.7,100.2
2026-01-16,15.1,-205.2,-90.4,-69.4,0.0,0.0,0.0,0.0,0.0,,-44.8,0.0,-394.7
2026-01-20,-56.9,-152.1,-40.4,-46.4,0.0,-10.4,0.0,-12.7,0.0,,-160.8,0.0,-479.7
2026-01-21,-356.6,-287.7,-25.9,-29.8,0.0,0.0,-3.8,6.4,0.0,,-11.3,0.0,-708.7
2026-01-22,-22.4,-9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-32.2
2026-01-23,-101.6,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-103.5
2026-01-26,15.9,-5.7,-11.0,-2.9,0.0,0.0,0.0,0.0,2.8,,0.0,7.7,6.8
2026-01-27,-102.8,-44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-147.4
