date,Number of Contracts
2022-08-07,23896487
2022-08-08,23902712
2022-08-09,23908778
2022-08-10,23914949
2022-08-11,23922549
2022-08-12,23929821
2022-08-13,23939437
2022-08-14,23950133
2022-08-15,23959932
2022-08-16,23970270
2022-08-17,23980299
2022-08-18,23989320
2022-08-19,23995508
2022-08-20,24005946
2022-08-21,24024522
2022-08-22,24033652
2022-08-23,24040750
2022-08-24,24049648
2022-08-25,24058694
2022-08-26,24066153
2022-08-27,24076519
2022-08-28,24087100
2022-08-29,24094811
2022-08-30,24101480
2022-08-31,24107277
2022-09-01,24113096
2022-09-02,24120521
2022-09-03,24127557
2022-09-04,24137677
2022-09-05,24145666
2022-09-06,24151493
2022-09-07,24157340
2022-09-08,24163255
2022-09-09,24169079
2022-09-10,24175452
2022-09-11,24183087
2022-09-12,24188884
2022-09-13,24195623
2022-09-14,24202215
2022-09-15,24210353
2022-09-16,24219454
2022-09-17,24230845
2022-09-18,24242105
2022-09-19,24252838
2022-09-20,24261618
2022-09-21,24269819
2022-09-22,24277901
2022-09-23,24285124
2022-09-24,24294681
2022-09-25,24301920
2022-09-26,24308861
2022-09-27,24316229
2022-09-28,24325153
2022-09-29,24332884
2022-09-30,24340662
2022-10-01,24349537
2022-10-02,24360832
2022-10-03,24366765
2022-10-04,24373812
2022-10-05,24382852
2022-10-06,24391445
2022-10-07,24400730
2022-10-08,24406636
2022-10-09,24413964
2022-10-10,24423769
2022-10-11,24439467
2022-10-12,24457145
2022-10-13,24467607
2022-10-14,24494282
2022-10-15,24532427
2022-10-16,24566334
2022-10-17,24581018
2022-10-18,24596212
2022-10-19,24613150
2022-10-20,24621241
2022-10-21,24632220
2022-10-22,24681387
2022-10-23,24714314
2022-10-24,24757858
2022-10-25,24788407
2022-10-26,24804377
2022-10-27,24822019
2022-10-28,24841960
2022-10-29,24872147
2022-10-30,24921974
2022-10-31,24943126
2022-11-01,24962231
2022-11-02,25019608
2022-11-03,25067742
2022-11-04,25122210
2022-11-05,25203201
2022-11-06,25274422
2022-11-07,25303382
2022-11-08,25323820
2022-11-09,25333051
2022-11-10,25345441
2022-11-11,25374124
2022-11-12,25437057
2022-11-13,25493348
2022-11-14,25511556
2022-11-15,25546900
2022-11-16,25602199
2022-11-17,25655425
2022-11-18,25733902
2022-11-19,25843515
2022-11-20,25927789
2022-11-21,25989682
2022-11-22,26045579
2022-11-23,26118059
2022-11-24,26241407
2022-11-25,26361747
2022-11-26,26482029
2022-11-27,26597630
2022-11-28,26671979
2022-11-29,26736068
2022-11-30,26786269
2022-12-01,26861217
2022-12-02,26932561
2022-12-03,27029174
2022-12-04,27127245
2022-12-05,27204179
2022-12-06,27278654
2022-12-07,27360192
2022-12-08,27433634
2022-12-09,27476705
2022-12-10,27552751
2022-12-11,27629761
2022-12-12,27678579
2022-12-13,27699274
2022-12-14,27732958
2022-12-15,27768337
2022-12-16,27793089
2022-12-17,27832862
2022-12-18,27887865
2022-12-19,27929955
2022-12-20,27955386
2022-12-21,27993080
2022-12-22,28044810
2022-12-23,28087644
2022-12-24,28156424
2022-12-25,28268411
2022-12-26,28330673
2022-12-27,28360912
2022-12-28,28400806
2022-12-29,28447784
2022-12-30,28516214
2022-12-31,28620667
2023-01-01,28747596
2023-01-02,28812190
2023-01-03,28877597
2023-01-04,28918014
2023-01-05,28948905
2023-01-06,28982208
2023-01-07,29046841
2023-01-08,29107236
2023-01-09,29126739
2023-01-10,29145368
2023-01-11,29161048
2023-01-12,29178532
2023-01-13,29198006
2023-01-14,29207672
2023-01-15,29250368
2023-01-16,29270834
2023-01-17,29290632
2023-01-18,29306854
2023-01-19,29335478
2023-01-20,29372431
2023-01-21,29416093
2023-01-22,29487481
2023-01-23,29543319
2023-01-24,29588243
2023-01-25,29632409
2023-01-26,29667206
2023-01-27,29700503
2023-01-28,29757747
2023-01-29,29806252
2023-01-30,29835583
2023-01-31,29859124
2023-02-01,29878155
2023-02-02,29891374
2023-02-03,29899914
2023-02-04,29912725
2023-02-05,29936013
2023-02-06,29951909
2023-02-07,29958787
2023-02-08,29966259
2023-02-09,29974229
2023-02-10,29984971
2023-02-11,30027999
2023-02-12,30067813
2023-02-13,30085012
2023-02-14,30104090
2023-02-15,30109431
2023-02-16,30115882
2023-02-17,30117748
2023-02-18,30122485
2023-02-19,30128572
2023-02-20,30133688
2023-02-21,30138416
2023-02-22,30143393
2023-02-23,30149579
2023-02-24,30154325
2023-02-25,30162841
2023-02-26,30208878
2023-02-27,30234892
2023-02-28,30247117
2023-03-01,30254227
2023-03-02,30258562
2023-03-03,30264953
2023-03-04,30284137
2023-03-05,30302306
2023-03-06,30312490
2023-03-07,30318852
2023-03-08,30326705
2023-03-09,30335138
2023-03-10,30340900
2023-03-11,30346951
2023-03-12,30360057
2023-03-13,30370228
2023-03-14,30380243
2023-03-15,30388065
2023-03-16,30398689
2023-03-17,30413654
2023-03-18,30444476
2023-03-19,30487110
2023-03-20,30502590
2023-03-21,30519808
2023-03-22,30534877
2023-03-23,30551727
2023-03-24,30561761
2023-03-25,30580209
2023-03-26,30601738
2023-03-27,30608255
2023-03-28,30615468
2023-03-29,30622716
2023-03-30,30629026
2023-03-31,30636748
2023-04-01,30659018
2023-04-02,30707153
2023-04-03,30729377
2023-04-04,30748236
2023-04-05,30761508
2023-04-06,30778589
2023-04-07,30811888
2023-04-08,30879478
2023-04-09,30954343
2023-04-10,31012215
2023-04-11,31048647
2023-04-12,31090137
2023-04-13,31104115
2023-04-14,31125250
2023-04-15,31204951
2023-04-16,31336261
2023-04-17,31375473
2023-04-18,31395302
2023-04-19,31407421
2023-04-20,31420672
2023-04-21,31470130
2023-04-22,31572792
2023-04-23,31671754
2023-04-24,31750270
2023-04-25,31826518
2023-04-26,31897912
2023-04-27,31988081
2023-04-28,32053733
2023-04-29,32173781
2023-04-30,32220873
2023-05-01,32226373
2023-05-02,32231694
2023-05-03,32238808
2023-05-04,32250378
2023-05-05,32273535
2023-05-06,32279957
2023-05-07,32283557
2023-05-08,32290988
2023-05-09,32298207
2023-05-10,32306524
2023-05-11,32315218
2023-05-12,32323725
2023-05-13,32367026
2023-05-14,32398046
2023-05-15,32405793
2023-05-16,32415334
2023-05-17,32423545
2023-05-18,32437085
2023-05-19,32452973
2023-05-20,32507954
2023-05-21,32550304
2023-05-22,32559356
2023-05-23,32567569
2023-05-24,32576321
2023-05-25,32587883
2023-05-26,32599864
2023-05-27,32644017
2023-05-28,32660059
2023-05-29,32667883
2023-05-30,32675796
2023-05-31,32684620
2023-06-01,32696128
2023-06-02,32712110
2023-06-03,32760876
2023-06-04,32813113
2023-06-05,32833890
2023-06-06,32857111
2023-06-07,32877581
2023-06-08,32913133
2023-06-09,32954588
2023-06-10,33009609
2023-06-11,33111438
2023-06-12,33172514
2023-06-13,33245436
2023-06-14,33284907
2023-06-15,33301040
2023-06-16,33328721
2023-06-17,33392449
2023-06-18,33492342
2023-06-19,33559108
2023-06-20,33596516
2023-06-21,33630993
2023-06-22,33671083
2023-06-23,33721054
2023-06-24,33838084
2023-06-25,33935607
2023-06-26,34000298
2023-06-27,34035603
2023-06-28,34053143
2023-06-29,34062159
2023-06-30,34069655
2023-07-01,34106072
2023-07-02,34171516
2023-07-03,34205820
2023-07-04,34223052
2023-07-05,34229138
2023-07-06,34234686
2023-07-07,34240782
2023-07-08,34266460
2023-07-09,34298652
2023-07-10,34321453
2023-07-11,34333617
2023-07-12,34346936
2023-07-13,34354913
2023-07-14,34367901
2023-07-15,34411049
2023-07-16,34433301
2023-07-17,34441893
2023-07-18,34449450
2023-07-19,34456648
2023-07-20,34465364
2023-07-21,34473662
2023-07-22,34484704
2023-07-23,34500792
2023-07-24,34508850
2023-07-25,34515239
2023-07-26,34522208
2023-07-27,34526577
2023-07-28,34533952
2023-07-29,34541725
2023-07-30,34555132
2023-07-31,34569529
2023-08-01,34577304
2023-08-02,34588300
2023-08-03,34604242
2023-08-04,34621437
2023-08-05,34646081
2023-08-06,34688417
2023-08-07,34703593
2023-08-08,34710857
2023-08-09,34719648
2023-08-10,34729138
2023-08-11,34741808
2023-08-12,34781563
2023-08-13,34837571
2023-08-14,34854272
2023-08-15,34860491
2023-08-16,34865141
2023-08-17,34870139
2023-08-18,34876802
2023-08-19,34892687
2023-08-20,34930783
2023-08-21,34943100
2023-08-22,34950324
2023-08-23,34956905
2023-08-24,34964537
2023-08-25,34970978
2023-08-26,34999697
2023-08-27,35050372
2023-08-28,35060275
2023-08-29,35065449
2023-08-30,35072232
2023-08-31,35081541
2023-09-01,35097392
2023-09-02,35141755
2023-09-03,35202122
2023-09-04,35224234
2023-09-05,35253794
2023-09-06,35270257
2023-09-07,35293140
2023-09-08,35320310
2023-09-09,35373731
2023-09-10,35435640
2023-09-11,35464514
2023-09-12,35498689
2023-09-13,35514669
2023-09-14,35522612
2023-09-15,35537554
2023-09-16,35584323
2023-09-17,35657159
2023-09-18,35689827
2023-09-19,35712291
2023-09-20,35728891
2023-09-21,35751373
2023-09-22,35796643
2023-09-23,35904788
2023-09-24,35995189
2023-09-25,36026615
2023-09-26,36043878
2023-09-27,36062140
2023-09-28,36079153
2023-09-29,36110655
2023-09-30,36147315
2023-10-01,36201836
2023-10-02,36217644
2023-10-03,36241291
2023-10-04,36269912
2023-10-05,36315426
2023-10-06,36359815
2023-10-07,36406112
2023-10-08,36466913
2023-10-09,36498782
2023-10-10,36533876
2023-10-11,36551184
2023-10-12,36585573
2023-10-13,36633097
2023-10-14,36730193
2023-10-15,36806510
2023-10-16,36825887
2023-10-17,36851033
2023-10-18,36866612
2023-10-19,36887771
2023-10-20,36897292
2023-10-21,36919542
2023-10-22,36946134
