asset_i,asset_j,quantile,joint_probability,independence_probability,conditional_probability,excess_probability,excess_ci_low,excess_ci_high,block_length,bootstrap_reps,primary_specification,n,sample_start,sample_end
BTC,DOT,0.025,0.0149551341310143,0.000625,0.598205365240574,0.0143301341310143,0.00884658470749855,0.0208106935024261,10,2000,True,2006,2021-01-02,2026-06-30
BTC,ETH,0.025,0.0169491525739431,0.000625,0.677966102957726,0.0163241525739431,0.00984359346330166,0.0243002250790596,10,2000,True,2006,2021-01-02,2026-06-30
BTC,LINK,0.025,0.0144566297531128,0.000625,0.578265190124512,0.0138316297531128,0.00784957595169544,0.0208106935024261,10,2000,True,2006,2021-01-02,2026-06-30
BTC,LTC,0.025,0.0154536394402385,0.000625,0.618145577609539,0.0148286394402385,0.0093450890854001,0.0213091988116503,10,2000,True,2006,2021-01-02,2026-06-30
BTC,SNX,0.025,0.00947158504277468,0.000625,0.378863401710987,0.00884658504277468,0.00485854968428612,0.0138316294178367,10,2000,True,2006,2021-01-02,2026-06-30
BTC,UNI,0.025,0.0114656034857035,0.000625,0.458624139428139,0.0108406034857035,0.00635406281799078,0.0168226584792137,10,2000,True,2006,2021-01-02,2026-06-30
BTC,XLM,0.025,0.0144566297531128,0.000625,0.578265190124512,0.0138316297531128,0.00784957595169544,0.020312188193202,10,2000,True,2006,2021-01-02,2026-06-30
BTC,XRP,0.025,0.0124626122415066,0.000625,0.498504489660263,0.0118376122415066,0.00685256719589233,0.0178196672350168,10,2000,True,2006,2021-01-02,2026-06-30
DOGE,DOT,0.025,0.0144566297531128,0.000625,0.578265190124512,0.0138316297531128,0.008348080329597,0.019813684746623,10,2000,True,2006,2021-01-02,2026-06-30
DOGE,ETH,0.025,0.011964107863605,0.000625,0.478564314544201,0.011339107863605,0.00635406281799078,0.0168226584792137,10,2000,True,2006,2021-01-02,2026-06-30
DOGE,LINK,0.025,0.0139581253752112,0.000625,0.55832501500845,0.0133331253752112,0.00784957595169544,0.0193151794373989,10,2000,True,2006,2021-01-02,2026-06-30
