date,bitvenus,hibt,bitlo,coinsquare,hashkey-global,bitmart,levex,lbank,hotcoin,woo-x,cex.io,probit-global,nonkyc,p2pb2b,exmo,bitomato,nbx,tothemoon,btse,coinw,arkham-exchange,fastex,latoken,tradeogre,grovex
2023-04-07,-16961,,,-2799122,,,,,,-3394590,,,,,,,-41291,,,,,,,,
2023-04-08,-524,,,-891086,,,,,,-2134275,,,,,,,-151924,,,,,,,,
2023-04-09,494,,,115496,,,,,,-2450897,,,,,,,-130945,,,,,,,,
2023-04-10,128,,,569990,,,,,,-1193853,,,,,,,145252,,,,,,,,
2023-04-11,109106,,,1804124,,,,,,4348132,,,,,,,530903,,,,,,,,
2023-04-12,-347,,,-229472,,,,,,1719067,,,,,,,78454,,,,,,,,
2023-04-13,-6454,,,342432,,,,,,6226162,,,,,,,-84796,,,,,,,,
2023-04-14,7605,,,7557620,,,,,,13787910,,,,,,,629783,,,,,,,,
2023-04-15,-13649,,,-748156,,,,,,2238737,,,,,,,-167094,,,,,,,,
2023-04-16,-4415,,,92187,,,,,,15211574,,,,,,,72731,,,,,,,,
2023-04-17,-2958,,,-787509,,,,,,-6659383,,,,,,,-179479,,,,,,,,
2023-04-18,-4111,,,-1681519,,,,,,-1786923,,,,,,,-146842,,,,,,,,
2023-04-19,405,,,2697162,,,,,,-2174947,,,,,,,353982,,,,,,,,
2023-04-20,-1307,,,-6625011,,,,,,-8324856,,,,,,,-843989,,,,,,,,
2023-04-21,-204211,,,-3860288,,,,,,-3479406,,,,,,,-67656,,,,,,,,
2023-04-22,-3308,,,-7415745,,,,,,-6918264,,,,,,,-473018,,,,,,,,
2023-04-23,-1252,,,731469,,,,,,7512822,,,,,,,105893,,,,,,,,
2023-04-24,2240,,,408856,,,,,,-11053546,,,,,,,44222,,,,,,,,
2023-04-25,-323021,,,-1929083,,,,,,3385731,,,,,,,-102074,,,,,,,,
2023-04-26,-1512,,,1817014,,,,,,3738643,,,,,,,336510,,,,,,,,
2023-04-27,376726,,,2335478,,,,,,7027150,,,,,,,455448,,,,,,,,
2023-04-28,-38094,,,-1155035,,,,,,2852289,,,,,,,199407,,,,,,,,
2023-04-29,-6322,,,-1203763,,,,,,-31972,,,,,,,-161729,,,,,,,,
2023-04-30,2397,,,249284,,,,,,-7257452,,,,,,,12676,,,,,,,,
2023-05-01,-244,,,-567741,,,,,,-1452102,,,,,,,-66805,,,,,,,,
2023-05-02,-353,,,-1820694,,,,,,212686,,,,,,,-414274,,,,,,,,
2023-05-03,227,,,1242539,,,,,,3234323,,,,,,,206204,,,,,,,,
2023-05-04,-79845,,,4181829,,,,,,7312561,,,,,,,356559,,,,,,,,
2023-05-05,-17447,,,-747571,,,,,,-5143996,,,,,,,-195168,,,,,,-33773,,
2023-05-06,-198214,,,4151788,,,,,,6510315,,,,,,,486579,,,,,,363799,,
2023-05-07,-1352,,,-3690859,,,,,,-10695128,,,,,,,-471192,,,,,,-361424,,
2023-05-08,-531,,,-1191282,,,,,,-1458234,,,,,,,-185277,,,,,,-100314,,
2023-05-09,-770,,,-1478369,,,,,,-10575614,,,,,,,-277566,,,,,,-209831,,
2023-05-10,-2425,,,1060551,,,,,,-6607900,,,,,,,17683,,,,,,104560,,
2023-05-11,608659,,,-1134380,,,,,,3844256,,,,,,,-102598,,,,,,2346972,,
2023-05-12,-6650,,,-648487,,,,,,-3000320,,,,,,,-184941,,,,,,-147321,,
2023-05-13,1367,,,-985630,,,,,,13997945,,,,,,,149382,,,,,,306625,,
2023-05-14,-2554,,,-476836,,,,,,-2206471,,,,,,,-42970,,,,,,-80582,,
2023-05-15,-2617,,,-291257,,,,,,-1685304,,,,,,,-9440,,,,,,-79140,,
2023-05-16,-7633,,,2674594,,,,,,1598768,,,,,,,210104,,,,,,39772,,
2023-05-17,-3458,,,191506,,,,,,173717,,,,,,,-18303,,,,,,23655,,
2023-05-18,-1707,,,-700502,,,,,,2114404,,,,,,,-33107,,,,,,-48021,,
2023-05-19,-31022,,,-784721,,,,,,-3417497,,,,,,,-187047,,,,,,-167345,,
2023-05-20,-9401,,,108466,,,,,,-102954,,,,,,,35334,,,,,,-11592,,
2023-05-21,3737,,,884520,,,,,,4782278,,,,,,,178309,,,,,,82590,,
2023-05-22,-5114,,,-1486494,,,,,,-4203503,,,,,,,-268872,,,,,,-139980,,
2023-05-23,-19111,,,835191,,,,,,-942328,,,,,,,-12421,,,,,,55258,,
2023-05-24,-20245,,,1279389,,,,,,-3952964,,,,,,,118319,,,,,,114073,,
2023-05-25,-785941,,,-2563156,,,,,,-2985211,,,,,,,-615071,,,,,,-262241,,
2023-05-26,-468,,,844919,,,,,,1222690,,,,,,,99916,,,,,,9186,,
2023-05-27,239,,,1800093,,,,,,1712799,,,,,,,255152,,,,,,122524,,
2023-05-28,-1956,,,946562,,,,,,934618,,,,,,,120502,,,,,,338356,,
2023-05-29,2535,,,-45812625,,,,,,1781913,,,,,,,545006,,,,,,372571,,
2023-05-30,-1797,,,1423516,,,,,,420066,,,,,,,-287261,,,,,,-172769,,
2023-05-31,-833,,,275439,,,,,,-798793,,,,,,,-31407,,,,,,4546,,
2023-06-01,3821,,,-651191,,,,,,-2240628,,,,,,,-281757,,,,,,-190164,,
2023-06-02,-39156,,,-414038,,,,,,1213947,,,,,,,-111624,,,,,,-128460,,
2023-06-03,-58500,,,811438,,,,,,3020927,,,,,,,234944,,,,,,146615,,
2023-06-04,-451,,,-208011,,,,,,844188,,,,,,,-81798,,,,,,-62184,,
2023-06-05,-17600,,,314241,,,,,,-3444757,,,,,,,-48753,,,,,,-8712,,
2023-06-06,-20268,,,-2047236,,,,,,-6861016,,,,,,,-562749,,,,,,-433920,,
2023-06-07,-6169,,,5883334,,,,,,4433788,,,,,,,910149,,,,,,361676,,
2023-06-08,-2555,,,-1284073,,,,,,-5862558,,,,,,,-493440,,,,,,-284190,,
2023-06-09,-82634,,,223034,,,,,,3439945,,,,,,,93847,,,,,,127257,,
2023-06-10,-381320,,,-193101,,,,,,-4742661,,,,,,,86965,,,,,,-130239,,
2023-06-11,-1725,,,-1622939,,,,,,-9330274,,,,,,,-461841,,,,,,-437822,,
2023-06-12,-1891,,,232818,,,,,,-1057334,,,,,,,5798,,,,,,-785395,,
2023-06-13,-79178,,,-113697,,,,,,2154353,,,,,,,-49409,,,,,,-227536,,
2023-06-14,-243,,,-155566,,,,,,-1986647,,,,,,,127183,,,,,,1022350,,
2023-06-15,-3793,,,-1482436,,,,,,-2000144,,,,,,,-335213,,,,,,-304827,,
2023-06-16,-765,,,1087358,,,,,,3298449,,,,,,,101104,,,,,,-49286,,
2023-06-17,-9513,,,450855,,,,,,6019977,,,,,,,406695,,,,,,-182066,,
2023-06-18,1204,,,263501,,,,,,1270682,,,,,,,96585,,,,,,6410,,
2023-06-19,1292,,,-46231,,,,,,-1376499,,,,,,,-44971,,,,,,-6175,,
2023-06-20,-75904,,,1836064,,,,,,2749275,,,,,,,236435,,,,,,37492,,
2023-06-21,-2129,,,9795133,,,,,,6350991,,,,,,,548824,,,,,,173033,,
2023-06-22,-90240,,,2476905,,,,,,3930543,,,,,,,812654,,,,,,316297,,
2023-06-23,6136,,,-466083,,,,,,162271,,,,,,,-206932,,,,,,-239602,,
2023-06-24,101,,,-4776604,,,,,,720557,,,,,,,299941,,,,,,204251,,
2023-06-25,-301,,,-199371,,,,,,-3059923,,,,,,,68748,,,,,,-12414,,
2023-06-26,-578,,,108810,,,,,,-40100,,,,,,,25817,,,,,,52964,,
2023-06-27,-67714,,,-648042,,,,,,-1043486,,,,,,,-133189,,,,,,-205598,,
2023-06-28,299342,,,484285,,,,,,9453478,,,,,,,74065,,,,,,34416,,
2023-06-29,78,,,-1032088,,,,,,-3745982,,,,,,,-305023,,,,,,-251074,,
2023-06-30,42,,,730973,,,,,,-2934265,,,,,,,276685,,,,,,99353,,
2023-07-01,-899102,,,943425,,,,,,10337207,,,,,,,151687,,,,,,153273,,
2023-07-02,153,,,69657,,,,,,-1971572,,,,,,,34436,,,,,,-39302,,
2023-07-03,-56,,,305548,,,,,,1581451,,,,,,,60136,,,,,,-7793,,
2023-07-04,382,,,802475,,,,,,10769937,,,,,,,248744,,,,,,40224,,
2023-07-05,-302,,,-1960706,,,,,,-5007005,,,,,,,-215028,,,,,,-242504,,
2023-07-06,-964,,,-806075,,,,,,-5514117,,,,,,,-236010,,,,,,-56375,,
2023-07-07,-11303,,,-750745,,,,,,-8587681,,,,,,,-189133,,,,,,-236323,,
2023-07-08,-1354,,,459500,,,,,,890710,,,,,,,107584,,,,,,89384,,
2023-07-09,493,,,97801,,,,,,562058,,,,,,,6664,,,,,,7868,,
2023-07-10,22,,,-298161,,,,,,-3855866,,,,,,,-70828,,,,,,-24708,,
2023-07-11,9165,,,894344,,,,,,-2087242,,,,,,,86762,,,,,,-12692,,
2023-07-12,-1424,,,287472,,,,,,3344351,,,,,,,210460,,,,,,36133,,
2023-07-13,-4665,,,-351417,,,,,,-3177024,,,,,,,-118138,,,,,,-209319,,
2023-07-14,973,,,11164055,,,,,,11305607,,,,,,,820580,,,,,,460721,,
2023-07-15,8976054,,,-2897439,,,,,,-2448226,,,,,,,-572780,,,,,,-306405,,
2023-07-16,-5885,,,250986,,,,,,1056540,,,,,,,-11499,,,,,,11206,,
