date,backpack,bitvavo,weex,valr,bitrue,coinex,biconomy.com,bitunix,coindcx,blofin,ourbit,bydfi,osl,toobit,coinstore,gate-us,coin8,byte-exchange,orangex,bigone,pionex,flipster,bitkan,okcoin,zoomex
2024-02-16,,,,,,2,,,550969,,,,,,,,,,,,,,,88343,
2024-02-17,,,,,,-3,,,705999,,,,,,,,,,,,,,,44709,
2024-02-18,,,,,,3,,,1626945,,,,,,,,,,,,,,,9268956,
2024-02-19,,,,,,6,,,1132625,,,,,,,,,,,,,,,256766,
2024-02-20,,,,,,-28,,,-2292538,,,,,,,,,,,,,,,-827290,
2024-02-21,,,,,,1,,,-2760245,,,,,,,,,,,,,,,178501,
2024-02-22,,,,,,437082,,,3652468,,,,,,,,,,,,,,,160884,
2024-02-23,,,,,,10160,,,-1704867,,,,,,,,,,,,,,,5822187,
2024-02-24,,,,,,35277,,,1970362,,,,,,,,,,,,,,,3465227,
2024-02-25,,,,,,-12248,,,87365,,,,,,,,,,,,,,,-3063830,
2024-02-26,,,,,,49516,,,-907392,,,,,,,,,,,,,,,-31585,
2024-02-27,,,,,,11777,,,6466875,,,,,,,,,,,,,,,477175,
2024-02-28,,,,,,114311,,,5447829,,,,,,,,,,,,,,,466133,
2024-02-29,,,,,,-50954,,,6294992,,,,,,,,,,,,,,,4619091,
2024-03-01,,,,,,30616,,,137787,,,,,,,,,,,,,,,-10746257,
2024-03-02,,,,,,32477,,,9836782,,,,,,,,,,,,,,,929801,
2024-03-03,,,,,,71643,,,10989581,,,,,,,,,,,,,,,456124,
2024-03-04,,,,,,-22465,,,-177284,,,,,,,,,,,,,,,-73669,
2024-03-05,,,,,,11386,,,28424596,,,,,,,,,,,,,,,1255913,
2024-03-06,,,,,,-90339,,,-18005651,,,,,,,,,,,,,,,71540,
2024-03-07,,,,,,42318,,,1249324,,,,,,,,,,,,,,,-305875,
2024-03-08,,,,,,25651,,,-2274352,,,,,,,,,,,,,,,-1963504,
2024-03-09,-434144,,,,,-7431,,,6727360,,,,,,,,,,,,,,,1623397,
2024-03-10,4229252,,,,,215429,,,1177821,,,,,,,,,,,,,,,-106252,
2024-03-11,2286034,,,,,335504,,,-2802289,,,,,,,,,,,,,,,-67982,
2024-03-12,5065923,,,,,-34531,,,8359231,,,,,,,,,,,,,,,-34393,
2024-03-13,4461748,,,,,-102200,,,-4341205,,,,,,,,,,,,,,,27855,
2024-03-14,11207589,,,,,45366,,,2118410,,,,,,,,,,,,,,,2687105,
2024-03-15,1540252,,,,,-39603,,,-1592024,,,,,,,,,,,,,,,1132363,
2024-03-16,2995861,,,,,-87981,,,-8550682,,,,,,,,,,,,,,,-4779628,
2024-03-17,20005226,,,,,-78698,,,-15341209,,,,,,,,,,,,,,,11180477,
2024-03-18,10284007,,,,,50277,,,8650784,,,,,,,,,,,,,,,-11630052,
2024-03-19,-575242,,,,,-66218,,,-4542880,,,,,,,,,,,,,,,-291932,
2024-03-20,-16856520,,,,,-86470,,,-12900724,,,,,,,,,,,,,,,-1247684,
2024-03-21,1415366,,,,,85538,,,13223796,,,,,,,,,,,,,,,690497,
2024-03-22,-6157873,,,,,-35022,,,-2334236,,,,,,,,,,,,,,,97708,
2024-03-23,-7298539,,,,,-7566,,,-3857545,,,,,,,,,,,,,,,-15019,
2024-03-24,-4387661,,,,,133131,,,3834040,,,,,,,,,,,,,,,-36443,
2024-03-25,1873713,,,,,35800,,,4744112,,,,,,,,,,,,,,,3675802,
2024-03-26,1988313,,,,,18918,,,5408056,,,,,,,,,,,,,,,-3113429,
2024-03-27,2072974,,,,,5112,,,3742295,,,,,,,,,,,,,,,186853,
2024-03-28,-1224442,,,,,-47368,,,-3222374,,,,,,,,,,,,,,,-300233,
2024-03-29,1142453,,,,,44966,,,7288925,,,,,,,,,,,,,,,942332,
2024-03-30,282534,,,,,-40280,,,-1588203,,,,,,,,,,,,,,,-963465,
2024-03-31,5884701,,,,,34578,,,-3155329,,,,,,,,,,,,,,,-152026,
2024-04-01,2482090,,,,,22587,,,3179314,,,,,,,,,,,,,,,903645,
2024-04-02,-1659167,,,,,-85598,,,-5806372,,,,,,,,,,,,,,,-1493891,
2024-04-03,-1409073,,,,,-101069,,,-10006158,,,,,,,,,,,,,,,-629830,
2024-04-04,6939972,,,,,-21577,,,-1347943,,,,,,,,,,,,,,,-21951,
2024-04-05,-1727636,,,,,18985,,,4278158,,,,,,,,,,,,,,,80902,
2024-04-06,-9396616,,,,,-12345,,,-2141660,,,,,,,,,,,,,,,-162146,
2024-04-07,11328808,,,,,15949,,,3057136,,,,,,,,,,,,,,,391914,
2024-04-08,6210939,,,,,56408,,,2029911,,,,,,,,,,,,,,,548939,
2024-04-09,-3151529,,,,,71405,,,6107560,,,,,,,,,,,,,,,-89986,
2024-04-10,-6657980,,,,,-64746,,,-5726474,,,,,,,,,,,,,,,-35387,
2024-04-11,-1238677,,,,,-23628,,,-481739,,,,,,,,,,,,,,,-214761,
2024-04-12,-3209083,,,,,-22155,,,-547625,,,,,,,,,,,,,,,-156177,
2024-04-13,-9228029,,,,,-173975,,,-14854345,,,,,,,,,,,,,,,-1141918,
2024-04-14,-10447836,,,,,-166160,,,-18170768,,,,,,,,,,,,,,,-893894,
2024-04-15,4046735,,,,,101137,,,6692404,,,,,,,,,,,,,,,521287,
2024-04-16,-767911,,,,,-38751,,,-5349377,,,,,,,,,,,,,,,-242216,
2024-04-17,-746014,,,,,13131,,,1608637,,,,,,,,,,,,,,,4086,
2024-04-18,-813879,,,,,-15813,,,-425227,,,,,,,,,,,,,,,-155887,
2024-04-19,776408,,,,,55101,,,4266773,,,,,,,,,,,,,,,-43808,
2024-04-20,1407469,,,,,10192,,,1546714,,,,,,,,,,,,,,,89125,
2024-04-21,1136338,,,,,75614,,,7073794,,,,,,,,,,,,,,,419559,
2024-04-22,-1472456,,,,,-12843,,,329476,,,,,,,,,,,,,,,11165,
2024-04-23,2278601,,,,,20993,,,4213064,,,,,,,,,,,,,,,1070,
2024-04-24,1786476,,,,,13485,,,-1035714,,,,,,,,,,,,,,,168719,
2024-04-25,-2622661,,,,,-46355,,,-5486528,,,,,,,,,,,,,,,-320049,
2024-04-26,-1531719,,,,,1462,,,967336,,,,,,,,,,,,,,,104745,
2024-04-27,-2554148,,,,,-21416,,,-1531263,,,,,,,,,,,,,,,708363,
2024-04-28,,,,,,-25245,,,,,,,,,,,,,,,,,,871514,
2024-04-29,816331,,,,,32621,,,-6358039,,,,,,,,,,,,,,,-794095,
2024-04-30,532986,,,,,-51306,,,3506895,,,,,,,,,,,,,,,-173058,
2024-05-01,-3012934,,,,,-50950,,,-7732267,,,,,,,,,,,,,,,-532614,
2024-05-02,2574087,,,,,18995,,,-1393295,,,,,,,,,,,,,,,-186596,
2024-05-03,1616882,,,,,19338,,,4096591,,,,,,,,,,,,,,,372923,
2024-05-04,2858404,,,,,38258,,,7374256,,,,,,,,,,,,,,,353802,
2024-05-05,3771473,,,,,-4447,,,2918499,,,,,,,,,,,,,,,-89395,
2024-05-06,-2600723,,,,,14177,,,284033,,,,,,,,,,,,,,,-56642,
2024-05-07,316749,,,,,953,,,1539255,,,,,,,,,,,,,,,-430512,
2024-05-08,-1734822,,,,,-23386,,,-870727,,,,,,,,,,,,,,,4167855,
2024-05-09,-3214446,,,,,-28539,,,-3591087,,,,,,,,,,,,,,,-9613888,
2024-05-10,1234116,,,,,15471,,,4054287,,,,,,,,,,,,,,,1342075,
2024-05-11,-1691512,,,,,-30265,,,-5024911,,,,,,,,,,,,,-206441,,-11307149,
2024-05-12,-417822,,,,,8203,,,153948,,,,,,,,,,,,,-547,,-101928,
2024-05-13,-574078,,,,,-18291,,,-207084,,,,,,,,,,,,,241689,,-14794,
2024-05-14,887939,,,,,-7417,,,3549161,,,,,,,,,,,,,-2581,,7580564,
2024-05-15,-2466735,,,,,-20814,,,-2310101,,,,,,,,,,,,,4629,,-3496087,
2024-05-16,3241472,,,,,58853,,,10601849,,,,,,,,,,,,,242052,,571355,
2024-05-17,-540937,,,,,7294,,,-2044558,,,,,,,,,,,,,416854,,-193030,
2024-05-18,602814,,,,,28800,,,3932992,,,,,,,,,,,,,560117,,-35304,
2024-05-19,455192,,,,,1216,,,-217261,,,,,,,,,,,,,-1183,,48228,
2024-05-20,-1638191,,,,,-39485,,,-2661553,,,,,,,,,,,,,-153916,,-179348,
2024-05-21,3577541,,,,,-15741,,,7525940,,,,,,,,,,,,,1241776,,901979,
2024-05-22,-2695063,,,,,15233,,,-589959,,,,,,,,,,,,,-18333,,1866066,
2024-05-23,-976974,,,,,47498,,,-527826,,,,,,,,,,,,,73517,,298447,
2024-05-24,277029,,,,,-37226,,,5643562,,,,,,,,,,,,,173464,,-123201,
2024-05-25,-1140652,,,,,-9694,,,1413023,,,,,,,,,,,,,1090673,,427010,
2024-05-26,580203,,,,,20369,,,1330010,,,,,,,,,,,,,466124,,145309,
2024-05-27,-812942,,,,,-12444,,,-2707352,,,,,,,,,,,,,101977,,-133545,
2024-05-28,-51518,,,,,30209,,,4182377,,,,,,,,,,,,,420877,,459412,
2024-05-29,-424576,,,,,10349,,,365786,,,,,,,,,,,,,78654,,-729912,
2024-05-30,-363894,,,,,-38775,,,-945708,,,,,,,,,,,,,-253112,,70266,
