date,Block Size (Mean)
2011-03-06,2355.53649635
2011-03-07,3016.492891
2011-03-08,4463.94117647
2011-03-09,3956.48125
2011-03-10,4933.55454545
2011-03-11,4819.26153846
2011-03-12,6119.77142857
2011-03-13,6795.86324786
2011-03-14,7601.08035714
2011-03-15,8244.78571429
2011-03-16,6970.68382353
2011-03-17,6695.08510638
2011-03-18,6209.03333333
2011-03-19,8085.26086957
2011-03-20,10225.86861314
2011-03-21,10744.15540541
2011-03-22,6028.37815126
2011-03-23,9205.61783439
2011-03-24,5180.74342105
2011-03-25,4319.68208092
2011-03-26,8149.28985507
2011-03-27,6660.05594406
2011-03-28,6379.05357143
2011-03-29,5658.63803681
2011-03-30,4123.42948718
2011-03-31,3937.07960199
2011-04-01,3512.44318182
2011-04-02,3544.94444444
2011-04-03,3536.87428571
2011-04-04,4634.97752809
2011-04-05,3922.78350515
2011-04-06,4507.10135135
2011-04-07,4101.78231293
2011-04-08,4145.36746988
2011-04-09,4020.1025641
2011-04-10,3867.37572254
2011-04-11,4757.53374233
2011-04-12,5618.15337423
2011-04-13,4836.39690722
2011-04-14,6310.14375
2011-04-15,7102.38235294
2011-04-16,6164.20231214
2011-04-17,4610.62777778
2011-04-18,7418.80405405
2011-04-19,8239.06493506
2011-04-20,9102.0625
2011-04-21,4664.14965986
2011-04-22,4423.33522727
2011-04-23,5494.29069767
2011-04-24,5801.0617284
2011-04-25,6000.640625
2011-04-26,6517.92307692
2011-04-27,10654.80327869
2011-04-28,7537.95121951
2011-04-29,6751.525
2011-04-30,9596.19047619
2011-05-01,9391.62011173
2011-05-02,5798.91878173
2011-05-03,6118.31122449
2011-05-04,5970.06598985
2011-05-05,6656.74429224
2011-05-06,6148.37614679
2011-05-07,6394.11682243
2011-05-08,5374.46575342
2011-05-09,6168.73640167
2011-05-10,7986.86338798
2011-05-11,7125.48691099
2011-05-12,8426.72189349
2011-05-13,9412.51690821
2011-05-14,7686.6446281
2011-05-15,7757.89545455
2011-05-16,8022.25910931
2011-05-17,7413.3540856
2011-05-18,8189.31597222
2011-05-19,11566.25146199
2011-05-20,9464.55909091
2011-05-21,9006.89090909
