date,Active Sending Addresses
2022-06-14,196636
2022-06-15,190493
2022-06-16,217083
2022-06-17,227035
2022-06-18,201265
2022-06-19,212720
2022-06-20,211566
2022-06-21,208525
2022-06-22,206704
2022-06-23,192531
2022-06-24,205278
2022-06-25,190271
2022-06-26,180329
2022-06-27,209900
2022-06-28,185647
2022-06-29,182304
2022-06-30,200969
2022-07-01,231096
2022-07-02,259987
2022-07-03,246533
2022-07-04,231040
2022-07-05,219805
2022-07-06,223423
2022-07-07,240274
2022-07-08,234245
2022-07-09,245263
2022-07-10,259733
2022-07-11,217528
2022-07-12,218120
2022-07-13,257338
2022-07-14,287461
2022-07-15,317324
2022-07-16,358661
2022-07-17,324840
2022-07-18,262168
2022-07-19,239507
2022-07-20,250952
2022-07-21,271594
2022-07-22,288312
2022-07-23,270188
2022-07-24,275460
2022-07-25,373542
2022-07-26,799397
2022-07-27,255394
2022-07-28,260613
2022-07-29,297372
2022-07-30,303865
2022-07-31,301728
2022-08-01,372137
2022-08-02,266254
2022-08-03,281740
2022-08-04,588900
2022-08-05,297499
2022-08-06,319048
2022-08-07,304726
2022-08-08,262156
2022-08-09,252386
2022-08-10,264226
2022-08-11,230388
2022-08-12,252243
2022-08-13,268846
2022-08-14,257879
2022-08-15,229328
2022-08-16,266275
2022-08-17,268830
2022-08-18,276458
2022-08-19,239354
2022-08-20,244014
2022-08-21,266666
2022-08-22,230010
2022-08-23,239755
2022-08-24,242414
2022-08-25,251114
2022-08-26,230684
2022-08-27,249384
2022-08-28,248924
2022-08-29,221878
2022-08-30,212164
2022-08-31,224590
2022-09-01,227963
2022-09-02,258389
2022-09-03,288215
2022-09-04,357143
2022-09-05,264448
2022-09-06,242978
2022-09-07,222930
2022-09-08,246412
2022-09-09,259542
2022-09-10,250775
2022-09-11,241710
2022-09-12,228780
2022-09-13,248481
2022-09-14,269652
2022-09-15,248136
2022-09-16,280948
2022-09-17,425827
2022-09-18,266052
2022-09-19,245698
2022-09-20,249288
2022-09-21,232606
2022-09-22,248111
2022-09-23,279456
2022-09-24,321083
2022-09-25,276043
2022-09-26,253943
2022-09-27,227258
2022-09-28,207408
2022-09-29,243660
2022-09-30,237691
2022-10-01,236285
2022-10-02,254421
2022-10-03,214936
2022-10-04,227195
2022-10-05,256162
2022-10-06,290399
2022-10-07,273992
