date,Active Addresses
2023-11-12,286980
2023-11-13,280243
2023-11-14,278945
2023-11-15,294878
2023-11-16,303727
2023-11-17,292210
2023-11-18,275656
2023-11-19,280456
2023-11-20,312493
2023-11-21,316886
2023-11-22,330205
2023-11-23,322762
2023-11-24,314465
2023-11-25,286128
2023-11-26,281485
2023-11-27,286180
2023-11-28,296130
2023-11-29,300056
2023-11-30,306018
2023-12-01,321689
2023-12-02,302595
2023-12-03,307004
2023-12-04,349256
2023-12-05,333459
2023-12-06,334374
2023-12-07,346596
2023-12-08,370792
2023-12-09,349161
2023-12-10,325628
2023-12-11,314833
2023-12-12,322559
2023-12-13,306556
2023-12-14,335751
2023-12-15,332994
2023-12-16,301383
2023-12-17,310631
2023-12-18,326204
2023-12-19,362343
2023-12-20,404437
2023-12-21,402186
2023-12-22,397982
2023-12-23,345454
2023-12-24,336886
2023-12-25,327924
2023-12-26,340915
2023-12-27,351049
2023-12-28,387733
2023-12-29,326824
2023-12-30,341629
2023-12-31,321899
2024-01-01,382711
2024-01-02,350242
2024-01-03,322099
2024-01-04,326035
2024-01-05,322539
2024-01-06,315861
2024-01-07,397888
2024-01-08,333537
2024-01-09,334166
2024-01-10,455087
2024-01-11,424295
2024-01-12,404268
2024-01-13,324233
2024-01-14,262915
2024-01-15,334323
2024-01-16,324110
2024-01-17,325431
2024-01-18,336265
2024-01-19,354641
2024-01-20,331335
2024-01-21,348890
2024-01-22,321858
2024-01-23,325506
2024-01-24,325529
2024-01-25,374964
2024-01-26,373124
2024-01-27,385880
2024-01-28,371328
2024-01-29,352553
2024-01-30,374197
2024-01-31,348266
2024-02-01,346394
2024-02-02,342368
2024-02-03,333187
2024-02-04,351221
2024-02-05,373077
2024-02-06,344556
2024-02-07,353119
2024-02-08,318635
2024-02-09,356171
2024-02-10,319680
2024-02-11,329237
2024-02-12,305553
2024-02-13,371322
2024-02-14,382870
2024-02-15,380154
2024-02-16,379707
2024-02-17,338824
2024-02-18,342276
2024-02-19,374705
2024-02-20,371585
2024-02-21,348942
2024-02-22,344549
2024-02-23,367323
2024-02-24,365675
2024-02-25,383074
2024-02-26,400509
2024-02-27,409717
2024-02-28,423688
2024-02-29,412305
2024-03-01,390309
2024-03-02,392896
2024-03-03,398208
2024-03-04,408476
2024-03-05,428482
2024-03-06,402193
2024-03-07,409333
2024-03-08,403571
2024-03-09,386406
2024-03-10,367066
2024-03-11,423562
2024-03-12,406330
2024-03-13,418142
2024-03-14,427596
2024-03-15,454504
2024-03-16,445702
2024-03-17,416266
2024-03-18,414879
2024-03-19,437093
2024-03-20,460474
2024-03-21,457353
2024-03-22,460152
2024-03-23,457489
2024-03-24,436074
2024-03-25,447059
2024-03-26,427485
2024-03-27,405561
2024-03-28,421856
2024-03-29,448632
2024-03-30,429374
2024-03-31,430541
2024-04-01,417419
2024-04-02,373887
2024-04-03,367925
2024-04-04,387372
2024-04-05,411494
2024-04-06,410870
2024-04-07,393390
