date,Miner to Exchange Flow (Total)
2014-11-18,271.59418529
2014-11-19,234.13301752
2014-11-20,224.5576385
2014-11-21,299.83079077
2014-11-22,214.404001
2014-11-23,286.96055104
2014-11-24,389.5855387
2014-11-25,160.76977776
2014-11-26,447.44915855
2014-11-27,157.97286505
2014-11-28,311.65321034
2014-11-29,321.97558452
2014-11-30,176.04547305
2014-12-01,306.39035286
2014-12-02,269.77485097
2014-12-03,160.92992773
2014-12-04,156.30990419
2014-12-05,195.44384836
2014-12-06,93.55282507
2014-12-07,199.82946391
2014-12-08,344.37889645
2014-12-09,308.43519072
2014-12-10,321.62861376
2014-12-11,218.74204192
2014-12-12,103.35654999
2014-12-13,156.6660856
2014-12-14,130.06237043
2014-12-15,156.80313596
2014-12-16,155.34443116
2014-12-17,152.67905112
2014-12-18,328.99358264
2014-12-19,505.81039597
2014-12-20,622.59350302
2014-12-21,167.4820046
2014-12-22,403.91883081
2014-12-23,6639.69383075
2014-12-24,398.37660005
2014-12-25,134.63765525
2014-12-26,216.76814034
2014-12-27,102.23478065
2014-12-28,148.41241934
2014-12-29,167.58926955
2014-12-30,204.34327329
2014-12-31,254.38232437
2015-01-01,129.61277231
2015-01-02,369.35984159
2015-01-03,330.60249101
2015-01-04,152.63731434
2015-01-05,355.20905662
2015-01-06,435.39836662
2015-01-07,742.01938061
2015-01-08,470.12437804
2015-01-09,662.96858323
2015-01-10,174.48355052
2015-01-11,95.49529819
2015-01-12,298.61596978
2015-01-13,946.25568174
2015-01-14,338.20611115
2015-01-15,827.37938993
2015-01-16,1060.92823081
2015-01-17,204.56587126
2015-01-18,186.36381121
2015-01-19,259.87180554
2015-01-20,380.41256759
2015-01-21,10321.14369797
2015-01-22,598.76682371
2015-01-23,808.20957853
2015-01-24,266.83289615
2015-01-25,445.64249634
2015-01-26,1017.20450191
2015-01-27,357.1909919
2015-01-28,3993.84473158
2015-01-29,569.2392668
2015-01-30,199.67952227
2015-01-31,372.76072206
2015-02-01,449.12824228
2015-02-02,629.10260069
2015-02-03,290.85625099
2015-02-04,403.32115333
2015-02-05,312.69768434
2015-02-06,1408.92586558
2015-02-07,557.81527957
2015-02-08,4175.82818149
2015-02-09,864.80021663
2015-02-10,4293.61607106
2015-02-11,4345.14217316
2015-02-12,234.47224449
2015-02-13,1738.08407455
2015-02-14,211.08150501
2015-02-15,471.91907524
2015-02-16,167.94280669
2015-02-17,289.20215269
2015-02-18,988.38224441
2015-02-19,373.83441697
2015-02-20,244.09193022
2015-02-21,201.26764347
2015-02-22,214.65663446
2015-02-23,241.61035515
