Datetime,0d ~ 1d,1d ~ 1w,1w ~ 1m,1m ~ 3m,3m ~ 6m,6m ~ 12m,12m ~ 18m,18m ~ 2y,2y ~ 3y,3y ~ 5y,5y ~ 7y,7y ~ 10y,10y ~
2015-06-13T00:00:00Z,30594961.5354697,86552270.5378587,154134509.3757689,260752699.4274522,503508425.4748603,771306910.9252456,1386169710.4240358,789099324.588794,100387087.5831985,8226817.2706294,438.5935683,0,0
2015-06-12T00:00:00Z,40692626.9007846,75203724.0589861,156538750.66108,259005674.0131621,504873294.9095872,771983375.926807,1392801159.7667322,782147585.02433,100435542.3377277,8101699.5842159,437.68502,0,0
2015-06-11T00:00:00Z,39242758.1060423,78868008.3366503,152180072.9991927,261610298.2488342,502906557.6014784,816620015.7276354,1353853151.135882,776503143.5835589,101194562.896555,8097165.4560519,437.0482246,0,0
2015-06-10T00:00:00Z,42027062.8119367,75494376.5639023,154389852.8452733,259561050.862222,503756869.850561,861653054.8558421,1321041296.2937274,765025326.4310896,100966315.0144688,8093277.9858504,436.5813816,0,0
2015-06-09T00:00:00Z,40491073.1136985,78644431.3566291,153903780.4226614,304720934.1302368,458722335.3771621,905969590.8767895,1288311903.8519847,753620360.1445454,100476233.0590943,8089062.4511834,436.1468585,0,0
2015-06-08T00:00:00Z,39409717.8671497,83011146.1874806,148303968.7130773,315472455.1797531,450845858.5126995,907737090.5621253,1298809863.232048,740273710.4613076,100298474.3335165,8084674.5959374,435.5291677,0,0
2015-06-07T00:00:00Z,26648576.9514677,99322573.9734932,145307934.6202597,330534001.6760475,436477391.2067956,908088567.7711802,1306352287.6089666,730962150.2438442,100191965.4499245,8075583.2173282,428.2377408,0,0
2015-06-06T00:00:00Z,26282289.9608559,101650738.0947426,144712303.3947903,350705133.489293,422807833.6151952,902384129.7667007,1320679717.3092394,716850143.5457892,99984274.3160196,8070203.116066,427.5195208,0,0
2015-06-05T00:00:00Z,44892084.8495084,92884077.8182495,136470241.6320086,377133340.6479598,414002376.5885704,886469103.6624862,1327693758.1745925,707382139.8444914,98697395.0046066,8064572.6127991,426.8731228,0,0
2015-06-04T00:00:00Z,39769412.1561044,98040195.7451235,137014897.8055521,381641478.1579948,410911365.8472409,888598931.9177473,1337312632.430754,694116263.7173053,98436478.694218,8047737.768064,426.3344578,0,0
2015-06-03T00:00:00Z,47765643.8070043,92788320.516696,134880249.2089306,385358136.2989473,420219811.6170729,879664613.9970616,1350683174.1260278,677495026.1521297,97913017.7006131,8041881.6815116,425.8676148,0,0
2015-06-02T00:00:00Z,48330896.2651591,88444540.082274,136925088.3867757,391549776.4065935,427263672.1924033,875805878.9315015,1364368303.414759,658416666.4926966,96796474.93029,8036521.3993072,425.3289498,0,0
2015-06-01T00:00:00Z,47811827.4458866,85844119.9848663,139035147.3913085,393953538.4490121,450196871.7764034,860194262.1748995,1374838087.5558538,642495183.159936,95958268.2920779,8026184.631753,424.5987284,0,0
2015-05-31T00:00:00Z,30941780.8536496,95508754.5965813,140198700.8968434,408560275.7220394,444797199.3195482,863782064.6377605,1402687224.1940038,612247031.4683446,95465956.53016,8022635.1001057,424.1318854,0,0
2015-05-30T00:00:00Z,38513123.8774943,86238800.8697019,141339491.2979406,409595411.9838678,448288258.2446615,862052844.9508687,1418001089.8502789,596242160.0709435,95173710.5304711,8017116.0596043,423.7535989,0,0
2015-05-29T00:00:00Z,40596369.7091236,76927632.8293967,140372812.7222117,409824764.5940441,448471185.4103793,889728358.0694801,1421551540.135221,585666647.0468725,94595912.9204584,8009297.2666519,423.3944889,0,0
2015-05-28T00:00:00Z,41002818.3133428,85220954.6443982,130737903.6235592,411257541.7830062,448136917.7450153,891403058.5130951,1433646431.8910182,571728158.779864,94233473.4012567,8003631.7247605,422.7840019,0,0
2015-05-27T00:00:00Z,40923208.6682322,80252355.4466339,134514315.2114913,411789110.2361048,449918678.5022699,893248938.6860291,1454901435.6893933,549394068.0431927,93910509.9349353,7996733.7155876,421.9939599,0,0
