date,Short Liquidations USD
2023-02-22,9624749.97191
2023-02-23,14262356.25189
2023-02-24,7803217.57858958
2023-02-25,3072172.16987
2023-02-26,13064244.0982651
2023-02-27,13093982.25449273
2023-02-28,5902978.62724
2023-03-01,19955612.37268061
2023-03-02,3684776.79212
2023-03-03,4670693.43804
2023-03-04,986686.4019
2023-03-05,5207717.66328715
2023-03-06,2272109.80763
2023-03-07,5533947.82758
2023-03-08,4357714.89658
2023-03-09,282496.15684
2023-03-10,18553633.17376308
2023-03-11,24785878.89913505
2023-03-12,41241905.70434093
2023-03-13,78939162.02673836
2023-03-14,72077447.2148541
2023-03-15,30720770.42889839
2023-03-16,17956696.18119
2023-03-17,83499116.3457395
2023-03-18,20908450.58783389
2023-03-19,31854468.14009729
2023-03-20,21282322.99614939
2023-03-21,19297506.46750105
2023-03-22,24501195.9124684
2023-03-23,29969102.52240847
2023-03-24,19863796.19491991
2023-03-25,5939661.82539686
2023-03-26,11688488.47512792
2023-03-27,11767131.5329
2023-03-28,15713070.68416
2023-03-29,30008724.1002225
2023-03-30,20797536.80362
2023-03-31,15923873.11019332
2023-04-01,4128938.22836
2023-04-02,4442257.90967
2023-04-03,21230127.45454235
2023-04-04,11612365.14705795
2023-04-05,16541559.25479041
2023-04-06,4598694.13748
2023-04-07,1382346.20011
2023-04-08,1409924.53407453
2023-04-09,15133631.0287614
2023-04-10,42093783.64750362
2023-04-11,38977981.12701271
2023-04-12,13717194.85804706
2023-04-13,10868859.63596
2023-04-14,29302970.68610779
2023-04-15,1362873.94601
2023-04-16,6519495.59078
2023-04-17,2785922.28771412
2023-04-18,23458291.99706601
2023-04-19,5671679.28713
2023-04-20,10107837.7941808
2023-04-21,8093741.7403428
2023-04-22,9378845.10731206
2023-04-23,4972548.943115
2023-04-24,19668602.22153
2023-04-25,19356376.34262636
2023-04-26,67573444.77921796
2023-04-27,33053547.87592578
2023-04-28,8009727.45237
2023-04-29,1652618.3028939
2023-04-30,12946656.13930309
2023-05-01,6567054.3477884
2023-05-02,16243549.73410705
2023-05-03,19212235.03150216
2023-05-04,6201662.77238029
2023-05-05,28780994.7833748
2023-05-06,11395911.1891145
2023-05-07,4892162.19630638
2023-05-08,9806014.5153
2023-05-09,7824027.1300228
2023-05-10,30990326.72871765
2023-05-11,6239289.43002
2023-05-12,15659146.08333098
2023-05-13,4568253.52994482
2023-05-14,4871196.29175
2023-05-15,10767156.47220784
2023-05-16,4330201.54477
2023-05-17,15872151.41845
2023-05-18,7228318.90776671
2023-05-19,5108321.13439
2023-05-20,2691419.29524
2023-05-21,2123574.62912
2023-05-22,5095750.52359096
2023-05-23,8429170.49928
2023-05-24,7740298.94860032
2023-05-25,10879415.65877
2023-05-26,9303323.40140614
2023-05-27,1973361.12813
2023-05-28,40862114.5798838
2023-05-29,11391014.13973419
2023-05-30,6332067.00712915
2023-05-31,4937558.53498
2023-06-01,5455874.96609359
2023-06-02,7874389.03222
2023-06-03,872868.47601
2023-06-04,6293336.37138
2023-06-05,6747743.28845
2023-06-06,30940562.3555351
2023-06-07,11925798.31902
2023-06-08,4974195.67506896
2023-06-09,3485073.11149
2023-06-10,17928839.9315973
2023-06-11,5560194.43815
2023-06-12,4487944.92977
2023-06-13,12833693.25125297
2023-06-14,4246096.96619
2023-06-15,18016540.64157694
2023-06-16,23561601.16657953
2023-06-17,9204086.64901985
2023-06-18,2592494.583
2023-06-19,9868234.07491679
2023-06-20,43394803.42601118
2023-06-21,78638000.21665575
2023-06-22,12819588.9156184
2023-06-23,27654329.56791555
2023-06-24,9505170.98757
2023-06-25,8377694.53711
2023-06-26,9783509.41274332
2023-06-27,12530348.54057
2023-06-28,5282525.35167
2023-06-29,12757737.57404
2023-06-30,35961619.75651411
2023-07-01,1113185.59456
2023-07-02,3988856.40095
2023-07-03,13882997.42626561
2023-07-04,2127468.74501
2023-07-05,3398614.98339
2023-07-06,19720132.73395844
2023-07-07,6493883.46383868
2023-07-08,591493.69215
2023-07-09,2859634.71888
2023-07-10,24874375.30860243
2023-07-11,5528784.29712
2023-07-12,20485062.01034
2023-07-13,52356555.32513963
2023-07-14,6457635.03795
2023-07-15,573437.00746
2023-07-16,1821759.47231
2023-07-17,7106073.32879
2023-07-18,4364492.46466
2023-07-19,4983536.43698
2023-07-20,7248080.30654668
2023-07-21,2941520.11584
2023-07-22,617113.03261
2023-07-23,9084959.34281
2023-07-24,2772951.07553
2023-07-25,3350609.9751
2023-07-26,7364782.20932706
