date,Exchange Netflow (Total)
2024-06-20,119541089.135284
2024-06-21,191372198.077976
2024-06-22,-23778356.77456
2024-06-23,2417302.057504
2024-06-24,-253688901.297412
2024-06-25,-38713497.2566
2024-06-26,81223746.224856
2024-06-27,-110549136.445962
2024-06-28,43052377.212758
2024-06-29,-10418667.436833
2024-06-30,-11037736.704009
2024-07-01,187240225.249661
2024-07-02,31917926.690528
2024-07-03,64113263.372595
2024-07-04,96199230.301004
2024-07-05,299842509.499157
2024-07-06,156248562.577736
2024-07-07,14477243.664771
2024-07-08,86977654.258847
2024-07-09,52105318.969563
2024-07-10,67276402.409153
2024-07-11,-87906493.518677
2024-07-12,-69466694.64962
2024-07-13,2590963.7431
2024-07-14,36281723.593882
2024-07-15,45437390.891741
2024-07-16,78692660.089647
2024-07-17,-84313592.708863
2024-07-18,-5323063.478457
2024-07-19,209280621.872522
2024-07-20,-8549047.132755
2024-07-21,-108807585.555825
2024-07-22,-81406718.826223
2024-07-23,10995085.19993
2024-07-24,-110399251.444658
2024-07-25,-77802462.894682
2024-07-26,233553083.971521
2024-07-27,40996048.018431
2024-07-28,39372621.349065
2024-07-29,-140219130.827006
2024-07-30,-234980998.916484
2024-07-31,-205761503.650644
2024-08-01,-297675353.227172
2024-08-02,-167947716.220732
2024-08-03,43619506.658154
2024-08-04,-51769360.339757
2024-08-05,-47281889.443704
2024-08-06,261803530.88792
2024-08-07,204558234.536186
2024-08-08,132348258.709271
2024-08-09,103264360.550426
2024-08-10,8084862.436777
2024-08-11,-35707023.265888
2024-08-12,125244632.993771
2024-08-13,113457341.955179
2024-08-14,73017034.805738
2024-08-15,145676280.62344
2024-08-16,141307505.817643
2024-08-17,56747264.114811
2024-08-18,-27905687.0284
2024-08-19,140303859.965981
2024-08-20,-51832636.369082
2024-08-21,20384392.722965
2024-08-22,-338585610.605017
2024-08-23,100991922.371068
2024-08-24,75343110.560733
2024-08-25,-24647007.496753
2024-08-26,-115700353.548559
2024-08-27,-248359859.343472
2024-08-28,-108543569.774039
2024-08-29,176111557.102719
2024-08-30,-124449648.142393
2024-08-31,-70054824.254693
2024-09-01,22935100.681192
2024-09-02,-33276255.391164
2024-09-03,6295048.289589
2024-09-04,208066076.994133
2024-09-05,-120976235.307871
2024-09-06,-200267436.444373
2024-09-07,64653717.303552
2024-09-08,42416676.253151
2024-09-09,165143903.613556
2024-09-10,536497740.093009
2024-09-11,186725393.02104
2024-09-12,-74245184.040615
2024-09-13,-24106989.725905
2024-09-14,20498215.752017
2024-09-15,-59353223.798514
2024-09-16,-193608279.768046
2024-09-17,224141313.476159
2024-09-18,-94934782.272432
2024-09-19,-95200171.323201
2024-09-20,-315741443.091171
2024-09-21,50383959.615216
2024-09-22,27898588.89668
2024-09-23,25925438.581006
2024-09-24,69246071.571477
2024-09-25,-27054342.519537
2024-09-26,210645150.260633
2024-09-27,-15730248.544575
2024-09-28,-18249300.957626
2024-09-29,35765487.222185
2024-09-30,-392514695.9631
2024-10-01,55737901.562774
2024-10-02,47904271.701453
2024-10-03,-48089008.465193
2024-10-04,83159056.683093
2024-10-05,30083216.779275
2024-10-06,-5066810.371309
2024-10-07,-195424908.517374
2024-10-08,-197494685.602545
2024-10-09,-269042733.284939
2024-10-10,72250830.803289
2024-10-11,322562951.675791
2024-10-12,11739432.515386
2024-10-13,-10126482.730741
2024-10-14,139196174.986489
2024-10-15,144828770.746442
2024-10-16,50751010.923322
2024-10-17,112689624.641154
2024-10-18,65271911.600669
2024-10-19,27347385.408398
2024-10-20,-13629271.106677
2024-10-21,-119781996.369453
2024-10-22,77873060.187987
2024-10-23,-243299260.806576
2024-10-24,-43635964.64348
2024-10-25,514955299.616989
2024-10-26,-87501149.450125
2024-10-27,-9919397.120255
2024-10-28,150975488.46884
2024-10-29,73049774.760864
2024-10-30,-145026429.654642
2024-10-31,-41314114.816041
2024-11-01,188371359.811162
2024-11-02,41465416.050002
2024-11-03,-31755898.584552
2024-11-04,307233067.987347
2024-11-05,274092545.270727
2024-11-06,37483310.832377
2024-11-07,-96329203.229912
2024-11-08,100043776.325278
2024-11-09,69061051.292676
2024-11-10,108097668.683386
2024-11-11,472780006.163143
2024-11-12,-17293618.732971
2024-11-13,376246122.315334
2024-11-14,24141246.913368
2024-11-15,-80664792.034243
2024-11-16,77215205.262401
2024-11-17,10502621.732389
2024-11-18,176458579.529526
2024-11-19,-260610305.551863
2024-11-20,185852404.71541
2024-11-21,-411057458.771528
2024-11-22,518294958.930139
2024-11-23,190740338.628955
2024-11-24,7933412.129924
2024-11-25,-224956637.827379
2024-11-26,-80356946.592692
2024-11-27,900596526.77062
2024-11-28,-99385676.058708
2024-11-29,-48577041.009382
2024-11-30,4126896.294904
2024-12-01,64961983.938357
2024-12-02,-361306088.614224
2024-12-03,352056373.074184
2024-12-04,204264920.407012
2024-12-05,-231980670.958343
2024-12-06,654969470.759483
2024-12-07,-133819134.397129
2024-12-08,-70628142.020137
2024-12-09,-417615036.66804
2024-12-10,280717889.16221
2024-12-11,363795933.521048
2024-12-12,-240811673.859679
2024-12-13,439379617.783762
2024-12-14,27270938.818242
2024-12-15,239193256.152285
2024-12-16,90121169.264666
2024-12-17,-323263602.880478
2024-12-18,-212789103.567663
2024-12-19,-145307050.096903
2024-12-20,501554244.888456
2024-12-21,-126037091.221645
2024-12-22,-41054420.187419
2024-12-23,-303528407.386821
2024-12-24,-175319943.689307
2024-12-25,-131123884.489192
2024-12-26,66696852.446773
2024-12-27,218508058.786415
2024-12-28,-7496187.347391
2024-12-29,178639361.265856
2024-12-30,290303513.119264
2024-12-31,-132677421.563648
2025-01-01,441502787.671659
2025-01-02,-5895868.780903
2025-01-03,48738884.785519
2025-01-04,-79469476.20834
2025-01-05,-36931736.484691
2025-01-06,141079062.405974
2025-01-07,-181594455.360724
2025-01-08,-164505409.971733
2025-01-09,-116067263.905876
2025-01-10,54629914.658915
2025-01-11,26438627.192151
2025-01-12,5909738.504639
2025-01-13,-57542243.793659
2025-01-14,-7080211.239882
2025-01-15,145728241.506235
2025-01-16,195777834.372209
2025-01-17,489568463.522397
2025-01-18,-53956012.88678
2025-01-19,292270515.821308
2025-01-20,-865142826.895366
2025-01-21,60209868.002589
2025-01-22,-443817174.238846
2025-01-23,53460200.210976
2025-01-24,-85429856.376041
2025-01-25,-161295490.121147
2025-01-26,-57746272.107071
2025-01-27,-216492370.459138
2025-01-28,-128768250.633965
2025-01-29,64393484.148268
2025-01-30,92110513.435112
2025-01-31,4549489.776511
2025-02-01,-94289858.562457
2025-02-02,-49966456.914962
2025-02-03,35598221.136193
2025-02-04,-70262407.887714
2025-02-05,-249642477.445332
2025-02-06,-136048968.092166
2025-02-07,-289098079.857355
2025-02-08,-364254657.872223
2025-02-09,5561258.118512
2025-02-10,-209627746.794914
2025-02-11,-64262082.650491
2025-02-12,1079701867.777272
2025-02-13,111757284.096053
2025-02-14,-18281123.205169
2025-02-15,17888650.852574
2025-02-16,15418851.053078
2025-02-17,-15777795.948211
2025-02-18,-108052002.265726
2025-02-19,-677879821.235109
2025-02-20,194652648.816402
2025-02-21,-164390706.793292
2025-02-22,-23951486.391953
2025-02-23,65213429.556994
2025-02-24,-497039755.850745
2025-02-25,197078906.901866
2025-02-26,621559754.154986
2025-02-27,-180190201.469717
2025-02-28,-525123823.774553
2025-03-01,-57368685.75757
2025-03-02,580197926.148179
2025-03-03,-353173158.499578
2025-03-04,143585054.092462
2025-03-05,22756987.823286
2025-03-06,138205450.764361
2025-03-07,-177049972.380915
2025-03-08,-26784086.847118
2025-03-09,97573937.685012
2025-03-10,-39998189.9529
2025-03-11,29229440.164301
2025-03-12,6274380.469734
2025-03-13,-87911198.027776
2025-03-14,-45393116.761172
2025-03-15,117664985.8925
2025-03-16,57448310.627065
2025-03-17,-65567716.553857
2025-03-18,-222657264.747086
2025-03-19,313964468.949834
2025-03-20,408616625.432931
2025-03-21,723274484.405471
2025-03-22,20452506.18167
2025-03-23,-97172620.431049
2025-03-24,-610996208.768833
2025-03-25,-198190586.668343
2025-03-26,-234198692.949136
2025-03-27,607915119.372451
2025-03-28,332778766.979083
2025-03-29,-65294334.396238
2025-03-30,-11814919.643589
2025-03-31,-1101463430.924187
2025-04-01,154437547.421464
2025-04-02,-2683239.065884
2025-04-03,-231918471.298775
2025-04-04,107546951.63492
2025-04-05,-91907979.2883
2025-04-06,-78222504.775153
2025-04-07,-209841625.471373
2025-04-08,58722851.515155
2025-04-09,190809727.504964
2025-04-10,459630807.76524
2025-04-11,710217607.693974
2025-04-12,133419642.838002
2025-04-13,41751706.350322
2025-04-14,25078446.976586
2025-04-15,-476577477.489452
2025-04-16,-15639549.158168
2025-04-17,295210219.605611
2025-04-18,418626766.378618
2025-04-19,-27868340.175418
2025-04-20,-2243570.312317
2025-04-21,131040028.265328
2025-04-22,405478044.807149
2025-04-23,-86529701.516856
2025-04-24,-382975931.934807
2025-04-25,142651573.823709
2025-04-26,97763965.348641
2025-04-27,-75642415.973141
2025-04-28,62132318.726624
2025-04-29,-181974031.647443
2025-04-30,-205181163.444968
2025-05-01,135305544.463436
2025-05-02,-215157597.940636
2025-05-03,-165526231.648216
2025-05-04,-62198986.742163
2025-05-05,224963590.71026
2025-05-06,993607568.001548
2025-05-07,248483236.715886
2025-05-08,12218097.133743
2025-05-09,371583814.665625
2025-05-10,61172056.181338
2025-05-11,106677814.256494
2025-05-12,80035681.555351
2025-05-13,-33264142.540263
2025-05-14,-89335.533583
2025-05-15,594520233.698359
2025-05-16,828452722.201302
2025-05-17,-77173141.389496
2025-05-18,-159064011.996996
2025-05-19,-121495927.515119
2025-05-20,282497434.702977
2025-05-21,1168364180.353784
2025-05-22,-441926975.563119
2025-05-23,946396228.403298
2025-05-24,32597993.000047
2025-05-25,59910654.491994
2025-05-26,-631968881.826512
2025-05-27,-8025709.173419
2025-05-28,-145929889.163823
2025-05-29,-272296634.060514
2025-05-30,-118775025.607007
2025-05-31,-3489169.051324
2025-06-01,2332976.874037
2025-06-02,333375633.429674
2025-06-03,180577732.531138
2025-06-04,-127791622.407384
2025-06-05,-364978512.053068
2025-06-06,153333954.278119
2025-06-07,-59696675.936005
2025-06-08,20093632.657623
2025-06-09,19419470.915064
2025-06-10,-100501533.423791
2025-06-11,621845772.074617
2025-06-12,-169837303.999347
2025-06-13,492720666.772021
2025-06-14,-60075353.701693
2025-06-15,46334980.07142
2025-06-16,466586477.286625
2025-06-17,258521694.184567
2025-06-18,-83287500.874034
2025-06-19,-12148172.316743
2025-06-20,-371903420.291654
2025-06-21,118290498.851557
2025-06-22,218500313.287472
2025-06-23,269776278.000468
2025-06-24,-218139489.575277
2025-06-25,70003207.454657
2025-06-26,40625747.023545
2025-06-27,-79977254.886889
2025-06-28,-71027611.647486
2025-06-29,-39464919.061514
2025-06-30,98984063.397404
2025-07-01,-63989704.132815
2025-07-02,-213137649.156348
2025-07-03,307819203.449661
2025-07-04,-348685668.007017
2025-07-05,8937127.899742
2025-07-06,24725973.521221
2025-07-07,-335949853.970831
2025-07-08,-169204507.95145
2025-07-09,105028115.738203
2025-07-10,95518246.125929
2025-07-11,705507548.890453
2025-07-12,482729245.297055
2025-07-13,-172913849.306685
2025-07-14,50588584.496663
2025-07-15,-819427355.615359
2025-07-16,967239285.619544
2025-07-17,195377591.951927
2025-07-18,984207709.454442
2025-07-19,-60818289.900225
2025-07-20,-218684829.288671
