date,Total Supply
2011-06-05,6443899.98999999
2011-06-06,6455549.98999999
2011-06-07,6464049.98999999
2011-06-08,6473299.98999999
2011-06-09,6484399.98999999
2011-06-10,6495549.98999999
2011-06-11,6508149.98999999
2011-06-12,6519799.98999999
2011-06-13,6531149.98999999
2011-06-14,6543499.98999999
2011-06-15,6557449.98999999
2011-06-16,6566449.98999999
2011-06-17,6575749.98999999
2011-06-18,6585599.98999999
2011-06-19,6596749.98999999
2011-06-20,6608449.98999999
2011-06-21,6621099.98999999
2011-06-22,6634099.98999999
2011-06-23,6646099.98999999
2011-06-24,6656899.98999999
2011-06-25,6664049.98999999
2011-06-26,6671499.98999999
2011-06-27,6679949.98999999
2011-06-28,6687949.98999999
2011-06-29,6696549.98999999
2011-06-30,6706099.98999999
2011-07-01,6714749.98999999
2011-07-02,6723199.98999999
2011-07-03,6731449.98999999
2011-07-04,6739949.98999999
2011-07-05,6746899.98999999
2011-07-06,6754749.98999999
2011-07-07,6761299.98999999
2011-07-08,6769549.98999999
2011-07-09,6776999.98999999
2011-07-10,6783849.98999999
2011-07-11,6791699.98999999
2011-07-12,6798749.98999999
2011-07-13,6808299.98999999
2011-07-14,6815499.98999999
2011-07-15,6823599.98999999
2011-07-16,6831449.98999999
2011-07-17,6839949.98999999
2011-07-18,6848449.98999999
2011-07-19,6855549.98999999
2011-07-20,6862999.98999999
2011-07-21,6870599.98999999
2011-07-22,6878149.98999999
2011-07-23,6885449.98999999
2011-07-24,6893749.98999999
2011-07-25,6901999.98999999
2011-07-26,6910799.98999999
2011-07-27,6919499.98999999
2011-07-28,6927249.98999999
2011-07-29,6935449.98999999
2011-07-30,6943049.98999999
2011-07-31,6951799.98999999
2011-08-01,6960049.98999999
2011-08-02,6967749.98999999
2011-08-03,6975599.98999999
2011-08-04,6982049.98999999
2011-08-05,6989049.98999999
2011-08-06,6995149.98999999
2011-08-07,7001449.98999999
2011-08-08,7008249.98999999
2011-08-09,7015549.98999999
