date,Transaction Count (Mean)
2022-05-19,178.88857984
2022-05-20,180.82726682
2022-05-21,177.6849026
2022-05-22,172.43449853
2022-05-23,174.60411642
2022-05-24,181.21748436
2022-05-25,177.55701541
2022-05-26,175.8338805
2022-05-27,175.85541975
2022-05-28,173.50016218
2022-05-29,173.03995452
2022-05-30,175.57742782
2022-05-31,186.97396681
2022-06-01,178.34335676
2022-06-02,177.42750447
2022-06-03,173.999185
2022-06-04,174.48643608
2022-06-05,169.57551776
2022-06-06,180.24145668
2022-06-07,176.42840356
2022-06-08,177.24783274
2022-06-09,176.04373278
2022-06-10,183.05036459
2022-06-11,175.86396181
2022-06-12,174.96746018
2022-06-13,190.13453299
2022-06-14,189.0998782
2022-06-15,190.7826087
2022-06-16,189.05704467
2022-06-17,189.19574106
2022-06-18,181.96973865
2022-06-19,178.37051305
2022-06-20,177.6099472
2022-06-21,185.33613907
2022-06-22,184.6280112
2022-06-23,182.32529667
2022-06-24,189.98732762
2022-06-25,175.66672901
2022-06-26,173.20546139
2022-06-27,183.71872112
2022-06-28,183.84356175
2022-06-29,188.59077269
2022-06-30,187.35483298
2022-07-01,182.59024012
2022-07-02,183.3202836
2022-07-03,176.91926606
2022-07-04,179.02082362
2022-07-05,182.5697082
2022-07-06,179.23333333
2022-07-07,186.06169185
2022-07-08,182.02640012
2022-07-09,182.52993452
2022-07-10,176.89022325
2022-07-11,176.7996607
2022-07-12,174.45799416
2022-07-13,183.23175296
2022-07-14,181.89097859
2022-07-15,189.1852082
2022-07-16,192.54063275
2022-07-17,193.82897603
2022-07-18,187.97475217
2022-07-19,181.52038295
2022-07-20,184.92193078
2022-07-21,186.03599011
2022-07-22,185.79143476
2022-07-23,177.27199504
2022-07-24,175.33244805
2022-07-25,199.50914777
2022-07-26,263.17680251
2022-07-27,186.14145811
2022-07-28,179.96442995
2022-07-29,185.63443874
2022-07-30,183.73290765
2022-07-31,180.94971107
2022-08-01,208.38410185
2022-08-02,187.12147068
2022-08-03,196.83524784
2022-08-04,228.45562686
2022-08-05,185.40746429
2022-08-06,179.83163665
2022-08-07,180.91968992
2022-08-08,181.7087031
2022-08-09,177.32687155
2022-08-10,182.02039216
2022-08-11,174.01124485
2022-08-12,178.28283147
2022-08-13,173.39122257
2022-08-14,174.48037354
2022-08-15,176.14162679
2022-08-16,170.24165491
2022-08-17,174.84666773
2022-08-18,176.20870113
2022-08-19,174.7616688
2022-08-20,172.53077286
2022-08-21,169.29907276
2022-08-22,169.21136654
2022-08-23,169.32441366
2022-08-24,166.85102302
2022-08-25,173.03752013
2022-08-26,169.59563893
2022-08-27,168.04826812
2022-08-28,164.29620131
2022-08-29,171.20309783
2022-08-30,169.37111576
2022-08-31,165.6216
2022-09-01,173.29287767
2022-09-02,172.13093914
2022-09-03,167.03
2022-09-04,177.55925985
2022-09-05,176.85140172
2022-09-06,172.06087234
2022-09-07,171.8070119
2022-09-08,171.43817546
2022-09-09,180.37361913
2022-09-10,165.1485771
2022-09-11,168.8892186
2022-09-12,176.7767488
2022-09-13,180.27786939
2022-09-14,187.7089186
2022-09-15,188.14330311
2022-09-16,184.97588832
2022-09-17,185.42454418
2022-09-18,162.25708275
2022-09-19,159.74877193
2022-09-20,160.97380219
2022-09-21,155.95832152
2022-09-22,156.36143736
2022-09-23,156.25715083
2022-09-24,154.74414063
2022-09-25,154.46665737
2022-09-26,159.65556799
2022-09-27,170.0453718
2022-09-28,154.94359118
2022-09-29,157.89180878
2022-09-30,171.16531695
2022-10-01,162.25837186
2022-10-02,162.21268293
2022-10-03,182.63825625
2022-10-04,166.19026921
2022-10-05,163.59205372
2022-10-06,168.04065949
2022-10-07,165.17744193
2022-10-08,164.60929
2022-10-09,149.19449874
2022-10-10,156.78855548
2022-10-11,157.77624232
2022-10-12,149.94472362
2022-10-13,157.06706721
2022-10-14,149.66419994
2022-10-15,144.81233431
2022-10-16,137.02361325
2022-10-17,149.99482807
2022-10-18,148.23688616
2022-10-19,152.16689964
2022-10-20,161.2824843
2022-10-21,155.87187718
2022-10-22,133.88459392
2022-10-23,140.97040346
2022-10-24,145.96067416
2022-10-25,146.53285794
2022-10-26,154.16173598
2022-10-27,155.23387322
2022-10-28,148.15897651
2022-10-29,145.28671329
2022-10-30,144.17898996
2022-10-31,148.47758693
2022-11-01,150.20120499
2022-11-02,141.97107323
2022-11-03,152.89685535
2022-11-04,141.48088728
2022-11-05,133.02598854
2022-11-06,134.32547433
2022-11-07,154.39606585
2022-11-08,157.99692952
2022-11-09,170.67562273
2022-11-10,165.42829214
2022-11-11,156.47699622
2022-11-12,144.17382813
2022-11-13,158.03708868
2022-11-14,166.43281708
2022-11-15,158.98629562
2022-11-16,151.57986014
2022-11-17,154.12781115
2022-11-18,140.86953485
2022-11-19,127.27006281
2022-11-20,129.44757783
2022-11-21,134.57406115
2022-11-22,134.67468531
