date,timestamp_utc,Tokens Transferred by External Contract Calls USD (Median)
2025-02-06,2025-02-06T00:00:00Z,26.8720441811
2025-02-07,2025-02-07T00:00:00Z,21.92532395114859
2025-02-08,2025-02-08T00:00:00Z,23.70207661578
2025-02-09,2025-02-09T00:00:00Z,20.62517396334816
2025-02-10,2025-02-10T00:00:00Z,21.1080174082687
2025-02-11,2025-02-11T00:00:00Z,30.43297293123064
2025-02-12,2025-02-12T00:00:00Z,21.936975145463844
2025-02-13,2025-02-13T00:00:00Z,21.12850875677837
2025-02-14,2025-02-14T00:00:00Z,20.444060945925
2025-02-15,2025-02-15T00:00:00Z,21.665517310896465
2025-02-16,2025-02-16T00:00:00Z,23.9935666130612
2025-02-17,2025-02-17T00:00:00Z,47.47171993271645
2025-02-18,2025-02-18T00:00:00Z,26.7041029148
2025-02-19,2025-02-19T00:00:00Z,27.1667915062
2025-02-20,2025-02-20T00:00:00Z,29.50987094884993
2025-02-21,2025-02-21T00:00:00Z,23.95009941858
2025-02-22,2025-02-22T00:00:00Z,24.87143986731
2025-02-23,2025-02-23T00:00:00Z,21.995768901132
2025-02-24,2025-02-24T00:00:00Z,20.13309837824
2025-02-25,2025-02-25T00:00:00Z,19.96827671704636
2025-02-26,2025-02-26T00:00:00Z,18.68668057944
2025-02-27,2025-02-27T00:00:00Z,18.466194496
2025-02-28,2025-02-28T00:00:00Z,20.72166411492988
2025-03-01,2025-03-01T00:00:00Z,15.051003416562173
2025-03-02,2025-03-02T00:00:00Z,24.668987324696605
2025-03-03,2025-03-03T00:00:00Z,11.81191378686
2025-03-04,2025-03-04T00:00:00Z,9.299076188271616
2025-03-05,2025-03-05T00:00:00Z,11.20734062285
2025-03-06,2025-03-06T00:00:00Z,12.017993765153877
2025-03-07,2025-03-07T00:00:00Z,5.838938266521935
2025-03-08,2025-03-08T00:00:00Z,11.03066723845
2025-03-09,2025-03-09T00:00:00Z,4.7225115716867245
2025-03-10,2025-03-10T00:00:00Z,5.60024828127
2025-03-11,2025-03-11T00:00:00Z,5.773361576887085
2025-03-12,2025-03-12T00:00:00Z,4.2167885847477
2025-03-13,2025-03-13T00:00:00Z,5.59524770019
2025-03-14,2025-03-14T00:00:00Z,12.43681398245
2025-03-15,2025-03-15T00:00:00Z,19.184257010458072
2025-03-16,2025-03-16T00:00:00Z,9.4354533046
2025-03-17,2025-03-17T00:00:00Z,10.5084298432145
2025-03-18,2025-03-18T00:00:00Z,9.66113051405
2025-03-19,2025-03-19T00:00:00Z,18.2960464888618
2025-03-20,2025-03-20T00:00:00Z,20.7068973286416
2025-03-21,2025-03-21T00:00:00Z,11.7902036739
2025-03-22,2025-03-22T00:00:00Z,12.710798882974483
2025-03-23,2025-03-23T00:00:00Z,13.858903685883
2025-03-24,2025-03-24T00:00:00Z,18.532007236182416
2025-03-25,2025-03-25T00:00:00Z,14.46707337292
2025-03-26,2025-03-26T00:00:00Z,13.470767706472994
2025-03-27,2025-03-27T00:00:00Z,14.405840991166412
2025-03-28,2025-03-28T00:00:00Z,11.37716617626
2025-03-29,2025-03-29T00:00:00Z,7.6716751537450385
2025-03-30,2025-03-30T00:00:00Z,9.861126597359377
2025-03-31,2025-03-31T00:00:00Z,16.215802325481
2025-04-01,2025-04-01T00:00:00Z,18.47901549683288
2025-04-02,2025-04-02T00:00:00Z,9.07483200131136
2025-04-03,2025-04-03T00:00:00Z,7.26510126176
2025-04-04,2025-04-04T00:00:00Z,5.84781405617474
2025-04-05,2025-04-05T00:00:00Z,10.009003407272314
2025-04-06,2025-04-06T00:00:00Z,7.89850060405
2025-04-07,2025-04-07T00:00:00Z,15.5250116309
2025-04-08,2025-04-08T00:00:00Z,7.36258202595
2025-04-09,2025-04-09T00:00:00Z,12.36411101032915
2025-04-10,2025-04-10T00:00:00Z,13.69293463377
2025-04-11,2025-04-11T00:00:00Z,10.491967482195
2025-04-12,2025-04-12T00:00:00Z,8.21963424945
2025-04-13,2025-04-13T00:00:00Z,5.140591325717698
2025-04-14,2025-04-14T00:00:00Z,12.3451744206322
2025-04-15,2025-04-15T00:00:00Z,12.747849256304262
2025-04-16,2025-04-16T00:00:00Z,9.223737919065975
2025-04-17,2025-04-17T00:00:00Z,8.4677326063165
2025-04-18,2025-04-18T00:00:00Z,9.298065424244092
2025-04-19,2025-04-19T00:00:00Z,7.985984401919826
2025-04-20,2025-04-20T00:00:00Z,5.03129444842116
2025-04-21,2025-04-21T00:00:00Z,6.31809980664
2025-04-22,2025-04-22T00:00:00Z,17.5698332649
2025-04-23,2025-04-23T00:00:00Z,16.863891569680675
2025-04-24,2025-04-24T00:00:00Z,19.9632403872548
2025-04-25,2025-04-25T00:00:00Z,17.8574975401
2025-04-26,2025-04-26T00:00:00Z,9.19034541246446
2025-04-27,2025-04-27T00:00:00Z,7.58050590842333
2025-04-28,2025-04-28T00:00:00Z,9.00059967785
2025-04-29,2025-04-29T00:00:00Z,10.162557665351674
2025-04-30,2025-04-30T00:00:00Z,9.919288772395596
2025-05-01,2025-05-01T00:00:00Z,12.87142752679
