date,Transaction Count - Internal, External, EOA (Total)
2023-11-23,5433334,,
2023-11-24,5368081,,
2023-11-25,5273253,,
2023-11-26,5470817,,
2023-11-27,5602060,,
2023-11-28,5603349,,
2023-11-29,5607654,,
2023-11-30,5637339,,
2023-12-01,5486296,,
2023-12-02,5706669,,
2023-12-03,5698784,,
2023-12-04,5826049,,
2023-12-05,5583375,,
2023-12-06,5335665,,
2023-12-07,5748302,,
2023-12-08,5511560,,
2023-12-09,5427159,,
2023-12-10,5627709,,
2023-12-11,5369138,,
2023-12-12,5073987,,
2023-12-13,4934493,,
2023-12-14,5161565,,
2023-12-15,5256739,,
2023-12-16,4733601,,
2023-12-17,5173170,,
2023-12-18,5597695,,
2023-12-19,5234831,,
2023-12-20,5028923,,
2023-12-21,5493740,,
2023-12-22,5463178,,
2023-12-23,5571874,,
2023-12-24,5484797,,
2023-12-25,5398583,,
2023-12-26,5406935,,
2023-12-27,5180727,,
2023-12-28,5529380,,
2023-12-29,5476855,,
2023-12-30,5395829,,
2023-12-31,5667539,,
2024-01-01,5464346,,
2024-01-02,5454475,,
2024-01-03,5483234,,
2024-01-04,5493676,,
2024-01-05,5265526,,
2024-01-06,4860519,,
2024-01-07,4442611,,
2024-01-08,5311066,,
2024-01-09,5574805,,
2024-01-10,5110283,,
2024-01-11,5502465,,
2024-01-12,5362631,,
2024-01-13,5396969,,
2024-01-14,5267378,,
2024-01-15,5455928,,
2024-01-16,5536930,,
2024-01-17,5691355,,
2024-01-18,5441135,,
2024-01-19,5801619,,
2024-01-20,5737853,,
2024-01-21,5593620,,
2024-01-22,5782647,,
2024-01-23,5880771,,
2024-01-24,5619475,,
2024-01-25,5383500,,
2024-01-26,5563898,,
2024-01-27,5558161,,
2024-01-28,5658752,,
2024-01-29,5673286,,
2024-01-30,5710766,,
2024-01-31,5655849,,
2024-02-01,5909096,,
2024-02-02,5818434,,
2024-02-03,5847301,,
2024-02-04,6017744,,
2024-02-05,5871512,,
2024-02-06,5304310,,
2024-02-07,5212278,,
2024-02-08,5285855,,
2024-02-09,5273696,,
2024-02-10,4899851,,
2024-02-11,5210255,,
2024-02-12,5264123,,
2024-02-13,5117141,,
2024-02-14,5452910,,
2024-02-15,5254522,,
2024-02-16,5448896,,
2024-02-17,5590692,,
2024-02-18,5527338,,
2024-02-19,5529315,,
2024-02-20,5247198,,
2024-02-21,4954347,,
2024-02-22,4780491,,
2024-02-23,5108532,,
2024-02-24,5469178,,
2024-02-25,5559262,,
2024-02-26,5395288,,
2024-02-27,5458418,,
2024-02-28,5308351,,
2024-02-29,5324123,,
2024-03-01,5886064,,
2024-03-02,5833344,,
2024-03-03,5889665,,
2024-03-04,5865831,,
2024-03-05,5689091,,
2024-03-06,5889351,,
2024-03-07,5780060,,
2024-03-08,5816887,,
2024-03-09,5761604,,
2024-03-10,5998063,,
2024-03-11,5953805,,
2024-03-12,5807905,,
2024-03-13,5659087,,
2024-03-14,5846764,,
2024-03-15,6161528,,
2024-03-16,6166451,,
2024-03-17,6455793,,
2024-03-18,6169815,,
2024-03-19,5915920,,
2024-03-20,6012361,,
2024-03-21,6035822,,
2024-03-22,6199404,,
2024-03-23,6190050,,
2024-03-24,6447737,,
2024-03-25,6368807,,
2024-03-26,6250360,,
2024-03-27,6029555,,
2024-03-28,6189286,,
2024-03-29,6300430,,
2024-03-30,6246072,,
2024-03-31,6491272,,
2024-04-01,6613447,,
2024-04-02,6378597,,
2024-04-03,6527784,,
2024-04-04,6528484,,
2024-04-05,6385550,,
2024-04-06,6710355,,
2024-04-07,6879457,,
2024-04-08,6605399,,
2024-04-09,6171680,,
2024-04-10,6736042,,
2024-04-11,6709118,,
2024-04-12,6719113,,
2024-04-13,7001421,,
2024-04-14,7062636,,
2024-04-15,6646402,,
2024-04-16,6581948,,
2024-04-17,6079962,,
2024-04-18,6803028,,
2024-04-19,6804611,,
2024-04-20,6948848,,
2024-04-21,7044010,,
2024-04-22,6921525,,
2024-04-23,6795455,,
2024-04-24,7004552,,
2024-04-25,6836286,,
2024-04-26,6754171,,
2024-04-27,6814697,,
2024-04-28,7032769,,
2024-04-29,6540629,,
2024-04-30,6236423,,
2024-05-01,6414043,,
2024-05-02,6407850,,
2024-05-03,6584704,,
2024-05-04,6615814,,
2024-05-05,6482210,,
2024-05-06,6569058,,
2024-05-07,6363695,,
2024-05-08,6329178,,
2024-05-09,6346733,,
2024-05-10,6232136,,
2024-05-11,6151447,,
2024-05-12,6388065,,
2024-05-13,6520211,,
2024-05-14,6498877,,
2024-05-15,6799126,,
2024-05-16,6428049,,
2024-05-17,6377636,,
2024-05-18,6596280,,
2024-05-19,6368022,,
2024-05-20,6610158,,
2024-05-21,6646927,,
2024-05-22,6836494,,
2024-05-23,6688766,,
2024-05-24,7051944,,
2024-05-25,7683737,,
2024-05-26,7126553,,
2024-05-27,8194744,,
2024-05-28,9844514,,
2024-05-29,6974035,,
2024-05-30,6554784,,
2024-05-31,6829693,,
2024-06-01,7058899,,
2024-06-02,7234542,,
2024-06-03,6960972,,
2024-06-04,7096584,,
2024-06-05,7065954,,
2024-06-06,6969138,,
2024-06-07,6910029,,
2024-06-08,7415383,,
2024-06-09,7209086,,
2024-06-10,6908260,,
2024-06-11,7015100,,
2024-06-12,6544085,,
2024-06-13,6312993,,
2024-06-14,6630664,,
2024-06-15,6686375,,
2024-06-16,6960178,,
2024-06-17,6718900,,
2024-06-18,6765651,,
2024-06-19,6693023,,
2024-06-20,6632504,,
2024-06-21,6899215,,
2024-06-22,7035490,,
2024-06-23,7137556,,
2024-06-24,6954746,,
2024-06-25,7101456,,
2024-06-26,6721880,,
2024-06-27,6917251,,
2024-06-28,7066069,,
2024-06-29,7014130,,
2024-06-30,7249405,,
2024-07-01,7167125,,
2024-07-02,7045917,,
2024-07-03,7111451,,
2024-07-04,7037645,,
2024-07-05,6968219,,
2024-07-06,7175876,,
2024-07-07,7228947,,
2024-07-08,7171944,,
2024-07-09,7231902,,
2024-07-10,6909383,,
2024-07-11,6994035,,
2024-07-12,7267522,,
2024-07-13,7149976,,
2024-07-14,7254686,,
2024-07-15,6975779,,
2024-07-16,7121565,,
2024-07-17,6943145,,
2024-07-18,6827543,,
2024-07-19,7207320,,
2024-07-20,7695071,,
2024-07-21,7360128,,
2024-07-22,7120189,,
2024-07-23,7084193,,
2024-07-24,7062701,,
2024-07-25,7317417,,
2024-07-26,7103816,,
2024-07-27,6963823,,
2024-07-28,7008215,,
2024-07-29,6968449,,
2024-07-30,6609197,,
2024-07-31,6758381,,
2024-08-01,6923042,,
2024-08-02,7016814,,
2024-08-03,7128479,,
2024-08-04,7109090,,
2024-08-05,7440599,,
2024-08-06,7150558,,
2024-08-07,7130391,,
2024-08-08,7146231,,
2024-08-09,7201180,,
2024-08-10,7134636,,
2024-08-11,7088227,,
2024-08-12,6868492,,
2024-08-13,6960354,,
2024-08-14,6947610,,
2024-08-15,6906806,,
2024-08-16,7226063,,
2024-08-17,7151171,,
2024-08-18,7334024,,
2024-08-19,7278038,,
2024-08-20,7265060,,
2024-08-21,6938373,,
2024-08-22,6706178,,
2024-08-23,6891803,,
2024-08-24,7222578,,
2024-08-25,6657042,,
2024-08-26,6695674,,
2024-08-27,6835760,,
2024-08-28,6753856,,
2024-08-29,6897449,,
2024-08-30,6903876,,
2024-08-31,6624912,,
2024-09-01,6882786,,
2024-09-02,7158314,,
2024-09-03,7176838,,
2024-09-04,7319809,,
2024-09-05,7437531,,
2024-09-06,7285223,,
2024-09-07,7231715,,
2024-09-08,7004905,,
2024-09-09,6968926,,
2024-09-10,6848787,,
2024-09-11,6982255,,
2024-09-12,7032265,,
2024-09-13,6824837,,
2024-09-14,6878693,,
2024-09-15,6893257,,
2024-09-16,6806294,,
2024-09-17,6723665,,
2024-09-18,6972290,,
2024-09-19,7065945,,
2024-09-20,6988703,,
2024-09-21,7233329,,
2024-09-22,7356406,,
