date,Transactions Between EOA (Total)
2024-08-29,397656
2024-08-30,395001
2024-08-31,361634
2024-09-01,349252
2024-09-02,374607
2024-09-03,364641
2024-09-04,342445
2024-09-05,356492
2024-09-06,366805
2024-09-07,354241
2024-09-08,339780
2024-09-09,362081
2024-09-10,382982
2024-09-11,404373
2024-09-12,380354
2024-09-13,366333
2024-09-14,349739
2024-09-15,316593
2024-09-16,327751
2024-09-17,346539
2024-09-18,342425
2024-09-19,364879
2024-09-20,360383
2024-09-21,314882
2024-09-22,303877
2024-09-23,335213
2024-09-24,346464
2024-09-25,354202
2024-09-26,354874
2024-09-27,384070
2024-09-28,337756
2024-09-29,340393
2024-09-30,383197
2024-10-01,379331
2024-10-02,345147
2024-10-03,357620
2024-10-04,351609
2024-10-05,336610
2024-10-06,303872
2024-10-07,351068
2024-10-08,350378
2024-10-09,387389
2024-10-10,353426
2024-10-11,390700
2024-10-12,387939
2024-10-13,314315
2024-10-14,369159
2024-10-15,393370
2024-10-16,363418
2024-10-17,390845
2024-10-18,406681
2024-10-19,377420
2024-10-20,356219
2024-10-21,381846
2024-10-22,385648
2024-10-23,381950
2024-10-24,373191
2024-10-25,377952
2024-10-26,375389
2024-10-27,302904
2024-10-28,349317
2024-10-29,411093
2024-10-30,353159
2024-10-31,368790
2024-11-01,367577
2024-11-02,339511
2024-11-03,368475
2024-11-04,357863
2024-11-05,359972
2024-11-06,378990
2024-11-07,396641
2024-11-08,398469
2024-11-09,359233
2024-11-10,379417
2024-11-11,421557
2024-11-12,422671
2024-11-13,430954
2024-11-14,425552
2024-11-15,426441
2024-11-16,413044
2024-11-17,398466
2024-11-18,397274
2024-11-19,395409
2024-11-20,436607
2024-11-21,434761
2024-11-22,451492
2024-11-23,419272
2024-11-24,377302
2024-11-25,444449
2024-11-26,434464
2024-11-27,437712
2024-11-28,415683
2024-11-29,427154
2024-11-30,399934
2024-12-01,396744
2024-12-02,460094
2024-12-03,449557
2024-12-04,446950
2024-12-05,460465
2024-12-06,455442
2024-12-07,419890
2024-12-08,402217
2024-12-09,435090
2024-12-10,475607
2024-12-11,456676
2024-12-12,488327
2024-12-13,450898
2024-12-14,420825
2024-12-15,399575
2024-12-16,427322
2024-12-17,456107
2024-12-18,445629
2024-12-19,439386
2024-12-20,484234
2024-12-21,454555
2024-12-22,464048
2024-12-23,477873
2024-12-24,466071
2024-12-25,434411
2024-12-26,406253
2024-12-27,433063
2024-12-28,391198
2024-12-29,394851
2024-12-30,419219
2024-12-31,439049
2025-01-01,335084
2025-01-02,371794
2025-01-03,416916
2025-01-04,381582
2025-01-05,361213
2025-01-06,392888
2025-01-07,392638
2025-01-08,384568
2025-01-09,391338
2025-01-10,388700
2025-01-11,377196
2025-01-12,357954
2025-01-13,426240
2025-01-14,452683
2025-01-15,430788
2025-01-16,425751
2025-01-17,436884
2025-01-18,430424
2025-01-19,518102
2025-01-20,551914
2025-01-21,447300
2025-01-22,446406
2025-01-23,466822
2025-01-24,525059
2025-01-25,578998
2025-01-26,428161
2025-01-27,419277
2025-01-28,404930
2025-01-29,393648
2025-01-30,405572
2025-01-31,404320
2025-02-01,373436
2025-02-02,353587
2025-02-03,395155
2025-02-04,404948
2025-02-05,388664
2025-02-06,453218
2025-02-07,453420
2025-02-08,440019
2025-02-09,421611
2025-02-10,485129
2025-02-11,412011
2025-02-12,410281
2025-02-13,438250
2025-02-14,463040
2025-02-15,435506
2025-02-16,420694
2025-02-17,475677
2025-02-18,414057
2025-02-19,433079
2025-02-20,483365
2025-02-21,485995
2025-02-22,411723
2025-02-23,424564
2025-02-24,456715
2025-02-25,459458
2025-02-26,465901
2025-02-27,469093
2025-02-28,448436
2025-03-01,401115
2025-03-02,420109
2025-03-03,452974
2025-03-04,451228
2025-03-05,467894
2025-03-06,463445
2025-03-07,429575
2025-03-08,400888
2025-03-09,406593
2025-03-10,424991
2025-03-11,425933
2025-03-12,410949
2025-03-13,410963
2025-03-14,426227
2025-03-15,378107
2025-03-16,338285
2025-03-17,389742
2025-03-18,437042
2025-03-19,442453
2025-03-20,463763
2025-03-21,423567
2025-03-22,407475
2025-03-23,354310
2025-03-24,451846
2025-03-25,451320
2025-03-26,462762
2025-03-27,466352
2025-03-28,473600
2025-03-29,403165
2025-03-30,381498
2025-03-31,484692
2025-04-01,462449
2025-04-02,458253
2025-04-03,470119
2025-04-04,438814
2025-04-05,399443
2025-04-06,396614
2025-04-07,563154
2025-04-08,574921
2025-04-09,549749
2025-04-10,455838
2025-04-11,437623
2025-04-12,394390
2025-04-13,369795
2025-04-14,395320
2025-04-15,406746
2025-04-16,431889
2025-04-17,410711
2025-04-18,401087
2025-04-19,415362
2025-04-20,382604
2025-04-21,412426
2025-04-22,449656
2025-04-23,461654
2025-04-24,434998
2025-04-25,495793
2025-04-26,473204
2025-04-27,396190
2025-04-28,449895
2025-04-29,464868
2025-04-30,477435
2025-05-01,433843
2025-05-02,468521
2025-05-03,404031
2025-05-04,551463
2025-05-05,558324
2025-05-06,444221
2025-05-07,464686
2025-05-08,491208
2025-05-09,491527
2025-05-10,417109
2025-05-11,393914
2025-05-12,437461
2025-05-13,464553
2025-05-14,494272
2025-05-15,498318
2025-05-16,476110
2025-05-17,515719
2025-05-18,431647
2025-05-19,450137
2025-05-20,495220
2025-05-21,466058
2025-05-22,453708
2025-05-23,497252
2025-05-24,413614
2025-05-25,407707
2025-05-26,463265
2025-05-27,479660
2025-05-28,493597
2025-05-29,473001
2025-05-30,555951
2025-05-31,677115
2025-06-01,449635
2025-06-02,487982
2025-06-03,494016
2025-06-04,470820
2025-06-05,473534
2025-06-06,462621
2025-06-07,476319
2025-06-08,472075
2025-06-09,463312
2025-06-10,527369
2025-06-11,502408
2025-06-12,528598
2025-06-13,497231
2025-06-14,496581
2025-06-15,458863
2025-06-16,450147
2025-06-17,488439
2025-06-18,506060
2025-06-19,468741
2025-06-20,471766
2025-06-21,500422
2025-06-22,410358
2025-06-23,452343
2025-06-24,555022
2025-06-25,634910
2025-06-26,541173
2025-06-27,482420
2025-06-28,517607
2025-06-29,467764
2025-06-30,502011
2025-07-01,470308
2025-07-02,504599
2025-07-03,520251
2025-07-04,575992
2025-07-05,479546
2025-07-06,452675
2025-07-07,549884
2025-07-08,564679
2025-07-09,526770
2025-07-10,536569
2025-07-11,527954
2025-07-12,507772
2025-07-13,443451
2025-07-14,503735
2025-07-15,514849
2025-07-16,528291
2025-07-17,534428
2025-07-18,543197
2025-07-19,518705
2025-07-20,494950
2025-07-21,545764
2025-07-22,550543
2025-07-23,528844
2025-07-24,543416
2025-07-25,583958
2025-07-26,521501
2025-07-27,523719
2025-07-28,544484
2025-07-29,568097
2025-07-30,565506
2025-07-31,619951
2025-08-01,668774
2025-08-02,709155
2025-08-03,656804
2025-08-04,710446
2025-08-05,754391
2025-08-06,699126
2025-08-07,680774
2025-08-08,628514
2025-08-09,592979
2025-08-10,637618
2025-08-11,612523
2025-08-12,618912
2025-08-13,659698
2025-08-14,649669
2025-08-15,623304
2025-08-16,593647
2025-08-17,603586
2025-08-18,631315
2025-08-19,638477
2025-08-20,623523
2025-08-21,598532
2025-08-22,604389
2025-08-23,592314
2025-08-24,603513
2025-08-25,569878
2025-08-26,564718
2025-08-27,521769
2025-08-28,570901
2025-08-29,585622
2025-08-30,586788
2025-08-31,561554
2025-09-01,568274
2025-09-02,606856
2025-09-03,572380
2025-09-04,615044
2025-09-05,612398
2025-09-06,509567
2025-09-07,493145
2025-09-08,628114
2025-09-09,629083
2025-09-10,599190
2025-09-11,639461
2025-09-12,692988
2025-09-13,620549
2025-09-14,561354
2025-09-15,612700
2025-09-16,609514
2025-09-17,556116
2025-09-18,642461
2025-09-19,577523
2025-09-20,516767
2025-09-21,485622
2025-09-22,505932
2025-09-23,556285
2025-09-24,510891
2025-09-25,496608
2025-09-26,529549
2025-09-27,463129
2025-09-28,475807
2025-09-29,519996
2025-09-30,554934
2025-10-01,560763
2025-10-02,620759
2025-10-03,547155
2025-10-04,485387
2025-10-05,452061
2025-10-06,563778
2025-10-07,514561
2025-10-08,526840
2025-10-09,539502
2025-10-10,535285
2025-10-11,529447
2025-10-12,511786
2025-10-13,510897
2025-10-14,514272
2025-10-15,570907
2025-10-16,541219
2025-10-17,559331
2025-10-18,478229
2025-10-19,447651
2025-10-20,484742
2025-10-21,563200
2025-10-22,537787
2025-10-23,506475
2025-10-24,513543
2025-10-25,445469
2025-10-26,440454
2025-10-27,529810
2025-10-28,585784
2025-10-29,520762
2025-10-30,526089
2025-10-31,608508
2025-11-01,493929
2025-11-02,526552
2025-11-03,497543
2025-11-04,511932
2025-11-05,502173
2025-11-06,520522
2025-11-07,486398
2025-11-08,500269
2025-11-09,509558
2025-11-10,533204
2025-11-11,476814
2025-11-12,468471
2025-11-13,486936
2025-11-14,529072
2025-11-15,520370
2025-11-16,444535
2025-11-17,461609
2025-11-18,466958
2025-11-19,488967
2025-11-20,527652
2025-11-21,472794
2025-11-22,449071
2025-11-23,406515
2025-11-24,468240
2025-11-25,522367
2025-11-26,538720
2025-11-27,698304
2025-11-28,551710
2025-11-29,481917
2025-11-30,522865
2025-12-01,579193
2025-12-02,601508
2025-12-03,626027
2025-12-04,555145
2025-12-05,548654
2025-12-06,461436
2025-12-07,365625
2025-12-08,411937
2025-12-09,459492
2025-12-10,503025
2025-12-11,507750
2025-12-12,463394
2025-12-13,403371
2025-12-14,347817
2025-12-15,447805
2025-12-16,495579
2025-12-17,511377
2025-12-18,590066
2025-12-19,545194
2025-12-20,562228
2025-12-21,449724
2025-12-22,576717
2025-12-23,582857
2025-12-24,607234
2025-12-25,491682
2025-12-26,538798
2025-12-27,519651
2025-12-28,561010
2025-12-29,918472
2025-12-30,727613
2025-12-31,740669
2026-01-01,775728
2026-01-02,678044
2026-01-03,774733
2026-01-04,593490
2026-01-05,747514
2026-01-06,652741
2026-01-07,752843
2026-01-08,743114
2026-01-09,768209
2026-01-10,705706
2026-01-11,706848
2026-01-12,830654
2026-01-13,955518
2026-01-14,1185226
2026-01-15,1276228
2026-01-16,1528072
2026-01-17,1088639
2026-01-18,736160
2026-01-19,994747
2026-01-20,825834
2026-01-21,1010359
2026-01-22,887578
2026-01-23,1140946
2026-01-24,934402
2026-01-25,853055
2026-01-26,891606
2026-01-27,1063881
2026-01-28,1217247
2026-01-29,1191544
2026-01-30,779193
2026-01-31,667734
2026-02-01,1181289
2026-02-02,981355
2026-02-03,1231830
2026-02-04,1142447
2026-02-05,886388
2026-02-06,1049083
2026-02-07,1719159
2026-02-08,1062351
2026-02-09,1327029
2026-02-10,1476210
2026-02-11,1150387
2026-02-12,837905
2026-02-13,885844
2026-02-14,752229
2026-02-15,637928
2026-02-16,771871
2026-02-17,703378
2026-02-18,731068
2026-02-19,680514
2026-02-20,674859
2026-02-21,636077
2026-02-22,660750
2026-02-23,814519
2026-02-24,791706
2026-02-25,1066148
2026-02-26,775025
2026-02-27,734868
2026-02-28,785659
2026-03-01,665628
2026-03-02,841931
2026-03-03,678699
2026-03-04,667116
2026-03-05,790602
2026-03-06,806926
2026-03-07,714690
2026-03-08,627628
2026-03-09,791750
2026-03-10,831746
2026-03-11,839409
2026-03-12,921894
2026-03-13,861473
2026-03-14,879765
2026-03-15,622427
2026-03-16,823247
2026-03-17,1113402
2026-03-18,1319185
2026-03-19,1282445
2026-03-20,1104875
2026-03-21,1080529
2026-03-22,783785
2026-03-23,1256251
2026-03-24,1254034
2026-03-25,824152
2026-03-26,1239286
2026-03-27,1453646
2026-03-28,1456415
2026-03-29,839579
2026-03-30,1082607
2026-03-31,1313833
2026-04-01,1089738
2026-04-02,1259431
2026-04-03,1266157
2026-04-04,1157820
2026-04-05,1141542
2026-04-06,1247824
2026-04-07,1395040
2026-04-08,1095969
2026-04-09,1233431
2026-04-10,1285615
