date,Transfer Event Count
2020-10-09,28823
2020-10-10,23044
2020-10-11,22585
2020-10-12,25836
2020-10-13,28704
2020-10-14,26226
2020-10-15,60265
2020-10-16,51038
2020-10-17,41083
2020-10-18,23939
2020-10-19,30195
2020-10-20,40178
2020-10-21,53234
2020-10-22,52973
2020-10-23,45733
2020-10-24,38185
2020-10-25,35144
2020-10-26,52171
2020-10-27,43662
2020-10-28,45794
2020-10-29,50992
2020-10-30,50579
2020-10-31,50148
2020-11-01,45404
2020-11-02,51593
2020-11-03,57609
2020-11-04,52801
2020-11-05,51090
2020-11-06,52835
2020-11-07,54361
2020-11-08,52104
2020-11-09,60156
2020-11-10,46972
2020-11-11,44562
2020-11-12,46034
2020-11-13,45976
2020-11-14,46476
2020-11-15,41759
2020-11-16,46741
2020-11-17,57693
2020-11-18,55137
2020-11-19,51565
2020-11-20,60387
2020-11-21,64750
2020-11-22,62587
2020-11-23,59021
2020-11-24,64449
2020-11-25,64100
2020-11-26,61114
2020-11-27,41083
2020-11-28,51556
2020-11-29,44489
2020-11-30,63317
2020-12-01,54127
2020-12-02,33995
2020-12-03,35863
2020-12-04,35850
2020-12-05,30753
2020-12-06,29095
2020-12-07,32599
2020-12-08,37328
2020-12-09,36318
2020-12-10,33218
2020-12-11,45052
2020-12-12,71540
2020-12-13,71135
2020-12-14,60214
2020-12-15,62391
2020-12-16,56336
2020-12-17,67036
2020-12-18,43823
2020-12-19,43452
2020-12-20,43054
2020-12-21,45255
2020-12-22,53691
2020-12-23,48890
2020-12-24,44596
2020-12-25,46489
2020-12-26,48856
2020-12-27,50238
2020-12-28,46366
2020-12-29,51646
2020-12-30,48624
2020-12-31,48848
2021-01-01,49785
2021-01-02,54357
2021-01-03,50500
2021-01-04,51862
2021-01-05,51128
2021-01-06,53148
2021-01-07,51505
2021-01-08,53186
2021-01-09,52018
2021-01-10,52872
2021-01-11,58697
2021-01-12,50610
2021-01-13,48314
2021-01-14,54121
2021-01-15,52518
2021-01-16,48963
2021-01-17,49749
2021-01-18,48067
2021-01-19,50436
2021-01-20,51196
2021-01-21,50627
2021-01-22,54719
2021-01-23,43295
2021-01-24,41236
2021-01-25,48906
2021-01-26,55047
2021-01-27,52284
2021-01-28,53679
2021-01-29,61077
2021-01-30,46123
2021-01-31,44427
2021-02-01,47679
2021-02-02,49150
2021-02-03,52602
2021-02-04,55677
2021-02-05,52617
2021-02-06,55964
2021-02-07,49313
2021-02-08,48190
2021-02-09,50623
2021-02-10,54974
2021-02-11,54391
2021-02-12,58875
2021-02-13,59552
2021-02-14,49566
2021-02-15,47255
2021-02-16,55572
2021-02-17,52514
2021-02-18,53329
2021-02-19,56678
2021-02-20,59906
2021-02-21,51971
2021-02-22,58251
2021-02-23,66820
2021-02-24,65172
2021-02-25,56717
2021-02-26,64950
2021-02-27,56373
2021-02-28,57587
2021-03-01,53906
2021-03-02,50969
2021-03-03,55254
2021-03-04,53710
2021-03-05,58353
2021-03-06,44090
2021-03-07,44237
2021-03-08,46191
2021-03-09,53768
2021-03-10,50010
2021-03-11,51341
2021-03-12,55410
2021-03-13,48346
2021-03-14,40785
2021-03-15,48786
2021-03-16,55402
2021-03-17,50179
2021-03-18,47849
2021-03-19,52514
2021-03-20,46609
2021-03-21,52568
2021-03-22,74452
2021-03-23,60563
2021-03-24,64794
2021-03-25,69309
2021-03-26,54921
2021-03-27,49899
2021-03-28,45331
2021-03-29,55215
2021-03-30,53020
2021-03-31,54328
2021-04-01,53903
2021-04-02,61192
2021-04-03,48774
2021-04-04,41489
2021-04-05,46221
2021-04-06,58394
2021-04-07,56042
2021-04-08,57791
2021-04-09,53900
2021-04-10,59917
2021-04-11,58535
2021-04-12,70918
2021-04-13,78433
2021-04-14,78961
2021-04-15,59453
2021-04-16,81538
2021-04-17,62036
2021-04-18,75416
2021-04-19,63850
2021-04-20,71918
2021-04-21,73726
2021-04-22,79300
2021-04-23,91472
2021-04-24,61088
2021-04-25,62936
2021-04-26,75864
2021-04-27,71754
2021-04-28,73317
2021-04-29,86149
2021-04-30,76731
2021-05-01,66224
2021-05-02,61988
2021-05-03,77336
2021-05-04,82338
2021-05-05,76054
2021-05-06,75737
2021-05-07,79883
2021-05-08,54097
2021-05-09,65468
2021-05-10,61244
2021-05-11,49653
2021-05-12,56484
2021-05-13,87889
2021-05-14,63585
2021-05-15,61570
2021-05-16,62555
2021-05-17,76616
2021-05-18,67318
2021-05-19,107891
2021-05-20,90288
2021-05-21,86657
2021-05-22,76985
2021-05-23,93965
2021-05-24,87454
2021-05-25,75904
2021-05-26,80406
2021-05-27,71932
2021-05-28,77990
2021-05-29,68741
2021-05-30,60798
2021-05-31,63680
2021-06-01,64197
2021-06-02,68898
2021-06-03,69738
2021-06-04,75513
2021-06-05,56757
2021-06-06,48818
2021-06-07,70751
2021-06-08,86187
2021-06-09,72109
2021-06-10,71366
2021-06-11,75989
2021-06-12,67491
2021-06-13,60826
2021-06-14,81531
2021-06-15,78595
2021-06-16,77348
2021-06-17,78514
2021-06-18,83377
2021-06-19,63407
2021-06-20,66507
2021-06-21,92160
2021-06-22,98757
2021-06-23,79420
2021-06-24,70793
2021-06-25,74130
2021-06-26,70101
2021-06-27,61218
2021-06-28,70293
2021-06-29,81014
2021-06-30,65324
2021-07-01,64100
2021-07-02,67267
2021-07-03,58404
2021-07-04,69914
2021-07-05,63821
2021-07-06,56784
2021-07-07,54467
2021-07-08,63016
2021-07-09,62286
2021-07-10,58005
2021-07-11,53380
2021-07-12,60556
2021-07-13,76123
2021-07-14,81928
2021-07-15,72165
2021-07-16,68297
2021-07-17,60365
2021-07-18,54989
2021-07-19,70501
2021-07-20,84345
2021-07-21,77262
2021-07-22,64074
2021-07-23,66020
2021-07-24,63423
2021-07-25,56017
2021-07-26,86900
2021-07-27,74023
2021-07-28,69466
2021-07-29,66446
2021-07-30,69492
2021-07-31,63949
2021-08-01,59607
2021-08-02,64930
2021-08-03,66369
2021-08-04,71375
2021-08-05,59348
2021-08-06,65407
2021-08-07,64010
2021-08-08,61509
2021-08-09,66133
2021-08-10,60862
2021-08-11,64622
2021-08-12,77015
2021-08-13,60092
2021-08-14,54276
2021-08-15,51867
2021-08-16,63264
2021-08-17,65613
2021-08-18,68500
2021-08-19,73982
2021-08-20,69155
2021-08-21,57832
2021-08-22,57821
2021-08-23,62648
2021-08-24,63255
2021-08-25,56253
2021-08-26,54861
2021-08-27,48942
2021-08-28,46658
2021-08-29,44597
2021-08-30,59421
2021-08-31,61451
2021-09-01,60583
2021-09-02,66241
2021-09-03,57637
2021-09-04,46768
2021-09-05,43428
2021-09-06,55404
2021-09-07,75749
2021-09-08,71534
2021-09-09,69441
2021-09-10,81135
2021-09-11,65499
2021-09-12,61486
2021-09-13,68718
2021-09-14,67757
2021-09-15,72715
2021-09-16,66258
2021-09-17,61795
2021-09-18,56269
2021-09-19,52066
2021-09-20,81104
2021-09-21,72933
2021-09-22,68573
2021-09-23,56542
2021-09-24,62131
2021-09-25,52091
2021-09-26,48461
2021-09-27,54459
2021-09-28,58712
2021-09-29,64872
2021-09-30,58359
2021-10-01,69638
2021-10-02,59117
2021-10-03,50275
2021-10-04,58014
2021-10-05,60353
2021-10-06,58703
2021-10-07,59327
2021-10-08,56850
2021-10-09,55631
2021-10-10,57011
2021-10-11,56145
2021-10-12,62061
2021-10-13,62523
2021-10-14,63894
2021-10-15,68879
2021-10-16,58201
2021-10-17,57823
2021-10-18,68800
2021-10-19,66374
2021-10-20,72381
2021-10-21,70773
2021-10-22,60527
2021-10-23,50427
2021-10-24,50591
2021-10-25,60476
2021-10-26,59999
2021-10-27,61752
2021-10-28,62854
2021-10-29,65363
2021-10-30,51988
2021-10-31,48441
2021-11-01,57773
2021-11-02,66816
2021-11-03,67458
2021-11-04,66375
2021-11-05,62510
2021-11-06,59030
2021-11-07,56713
2021-11-08,66894
2021-11-09,66587
2021-11-10,70846
2021-11-11,62059
2021-11-12,60595
2021-11-13,50140
2021-11-14,51861
2021-11-15,71523
2021-11-16,86133
2021-11-17,66573
2021-11-18,68936
2021-11-19,62522
2021-11-20,53960
2021-11-21,53525
2021-11-22,57777
2021-11-23,62004
2021-11-24,62967
2021-11-25,59694
2021-11-26,81100
2021-11-27,57335
2021-11-28,52485
2021-11-29,58949
2021-11-30,63446
2021-12-01,67854
2021-12-02,66493
2021-12-03,69371
2021-12-04,87919
2021-12-05,60679
2021-12-06,80759
2021-12-07,67566
2021-12-08,67410
2021-12-09,69850
2021-12-10,70035
2021-12-11,54543
2021-12-12,49682
2021-12-13,66061
2021-12-14,74698
2021-12-15,63450
2021-12-16,57491
2021-12-17,70793
2021-12-18,56912
2021-12-19,54327
2021-12-20,68980
2021-12-21,77849
2021-12-22,65299
2021-12-23,60641
2021-12-24,61764
2021-12-25,43499
2021-12-26,48800
2021-12-27,56282
2021-12-28,58350
2021-12-29,57580
2021-12-30,64009
2021-12-31,61995
2022-01-01,48273
2022-01-02,41638
2022-01-03,56407
2022-01-04,57593
2022-01-05,68282
2022-01-06,65961
2022-01-07,67377
2022-01-08,54055
2022-01-09,40757
2022-01-10,50606
2022-01-11,50839
2022-01-12,52357
2022-01-13,48444
2022-01-14,50126
2022-01-15,42089
2022-01-16,38610
2022-01-17,49850
2022-01-18,52914
2022-01-19,51672
2022-01-20,54373
2022-01-21,81360
2022-01-22,93861
2022-01-23,60803
2022-01-24,82914
2022-01-25,59733
2022-01-26,62050
2022-01-27,60084
2022-01-28,57322
2022-01-29,44901
2022-01-30,41287
2022-01-31,53009
2022-02-01,51512
2022-02-02,46029
2022-02-03,48017
2022-02-04,51304
2022-02-05,46024
2022-02-06,38828
2022-02-07,52013
2022-02-08,53173
2022-02-09,53746
2022-02-10,53467
2022-02-11,58123
2022-02-12,43850
2022-02-13,40420
2022-02-14,49953
2022-02-15,54562
2022-02-16,48645
2022-02-17,52880
2022-02-18,48326
2022-02-19,40182
2022-02-20,47998
2022-02-21,49823
2022-02-22,56053
2022-02-23,52977
2022-02-24,92724
2022-02-25,60022
2022-02-26,47512
2022-02-27,48393
2022-02-28,62015
2022-03-01,68399
2022-03-02,59608
2022-03-03,57735
2022-03-04,59947
2022-03-05,46067
2022-03-06,50468
2022-03-07,65952
2022-03-08,57523
2022-03-09,62392
2022-03-10,57515
2022-03-11,58878
2022-03-12,48142
2022-03-13,43489
2022-03-14,57999
2022-03-15,59018
2022-03-16,60242
2022-03-17,58752
2022-03-18,66582
2022-03-19,50728
2022-03-20,48040
2022-03-21,52010
2022-03-22,61084
2022-03-23,57925
2022-03-24,62775
2022-03-25,63472
2022-03-26,48346
2022-03-27,48613
2022-03-28,67462
2022-03-29,81690
2022-03-30,62171
2022-03-31,61608
2022-04-01,64383
2022-04-02,54685
2022-04-03,45927
2022-04-04,57800
2022-04-05,52471
2022-04-06,61287
2022-04-07,56374
2022-04-08,53093
2022-04-09,41918
2022-04-10,41178
2022-04-11,67303
2022-04-12,61250
2022-04-13,52816
2022-04-14,50458
2022-04-15,47650
2022-04-16,38770
2022-04-17,46774
2022-04-18,59532
2022-04-19,56886
2022-04-20,52212
2022-04-21,57480
2022-04-22,51139
2022-04-23,44407
2022-04-24,38575
2022-04-25,55915
2022-04-26,54181
2022-04-27,51701
2022-04-28,57461
2022-04-29,63707
2022-04-30,59538
2022-05-01,45846
2022-05-02,55592
2022-05-03,50573
2022-05-04,56570
2022-05-05,88886
2022-05-06,61536
2022-05-07,50648
2022-05-08,72509
2022-05-09,104090
2022-05-10,102587
2022-05-11,132938
2022-05-12,156080
2022-05-13,104250
2022-05-14,75986
2022-05-15,68826
2022-05-16,79274
2022-05-17,66686
2022-05-18,74025
2022-05-19,68987
2022-05-20,60447
2022-05-21,44922
2022-05-22,48500
2022-05-23,69513
2022-05-24,60782
2022-05-25,54393
2022-05-26,65899
2022-05-27,72937
2022-05-28,51211
2022-05-29,45217
2022-05-30,61295
2022-05-31,62865
2022-06-01,64933
2022-06-02,53130
2022-06-03,53393
2022-06-04,41000
2022-06-05,39912
2022-06-06,54461
2022-06-07,60938
2022-06-08,44814
2022-06-09,47093
2022-06-10,62571
2022-06-11,69068
2022-06-12,79325
2022-06-13,142687
2022-06-14,107162
2022-06-15,113152
2022-06-16,84506
2022-06-17,80978
2022-06-18,100786
2022-06-19,79520
2022-06-20,73751
2022-06-21,69091
2022-06-22,64145
2022-06-23,58992
2022-06-24,63498
2022-06-25,49291
2022-06-26,44854
2022-06-27,57822
2022-06-28,65878
2022-06-29,65909
2022-06-30,74728
2022-07-01,82634
2022-07-02,66767
2022-07-03,53288
2022-07-04,66004
2022-07-05,67697
2022-07-06,65650
2022-07-07,64663
2022-07-08,65669
2022-07-09,50179
2022-07-10,50544
2022-07-11,59894
2022-07-12,64670
2022-07-13,64158
2022-07-14,61071
2022-07-15,64932
2022-07-16,62975
2022-07-17,54400
2022-07-18,102915
2022-07-19,91765
2022-07-20,90254
2022-07-21,80825
2022-07-22,77837
2022-07-23,61986
2022-07-24,60031
2022-07-25,77077
2022-07-26,78822
2022-07-27,84439
2022-07-28,95376
2022-07-29,88638
2022-07-30,79120
2022-07-31,67432
2022-08-01,112972
2022-08-02,82743
2022-08-03,77941
2022-08-04,71502
2022-08-05,75275
2022-08-06,63016
2022-08-07,57211
2022-08-08,84071
2022-08-09,75079
2022-08-10,75565
2022-08-11,76521
2022-08-12,66955
2022-08-13,72039
2022-08-14,72665
2022-08-15,78930
