date,Market Cap
2019-07-09,223781130566.38025
2019-07-10,215439001624.3073
2019-07-11,202104074901.03253
2019-07-12,209886038231.2465
2019-07-13,202545315073.8896
2019-07-14,181380694763.1308
2019-07-15,193226847929.48383
2019-07-16,168124666623.05673
2019-07-17,172547371126.7
2019-07-18,189501914455.26987
2019-07-19,187708520600.3805
2019-07-20,191737019344.1325
2019-07-21,188820354836.41263
2019-07-22,184132395923.9041
2019-07-23,175731741591.2644
2019-07-24,174144513178.2605
2019-07-25,176274806948.76062
2019-07-26,175294740644.22324
2019-07-27,169083533649.746
2019-07-28,170032784521.76193
2019-07-29,169555242652.5937
2019-07-30,171071602065.66528
2019-07-31,180061029597.21698
2019-08-01,185532618249.15152
2019-08-02,188001055156.91232
2019-08-03,193158498919.03528
2019-08-04,195328907547.78867
2019-08-05,211134914091.86465
2019-08-06,204951778678.27063
2019-08-07,213828809075.08112
2019-08-08,214581536231.5154
2019-08-09,212120730312.6792
2019-08-10,201992361823.5464
2019-08-11,206232247272.984
2019-08-12,203585670330.27643
2019-08-13,193932376020.784
2019-08-14,179514067106.1392
2019-08-15,184169742271.60056
2019-08-16,185040543329.40967
2019-08-17,182704041894.63007
2019-08-18,184638475236.4113
2019-08-19,195280893628.3365
2019-08-20,192515235457.2677
2019-08-21,181491121549.5825
2019-08-22,180744740655.133
2019-08-23,185930932263.18616
2019-08-24,181540101193.21613
2019-08-25,181483842645.6721
2019-08-26,185527493235.548
2019-08-27,182306104858.59875
2019-08-28,173994940067.05942
2019-08-29,169988564152.74756
2019-08-30,171752322058.96616
2019-08-31,171737741731.67523
2019-09-01,174140925936.4223
2019-09-02,185640732190.43005
2019-09-03,190194751871.0505
2019-09-04,189367527943.72665
2019-09-05,189330645483.6932
2019-09-06,184808225208.3025
2019-09-07,187963442155.0087
2019-09-08,186411176595.719
2019-09-09,185110101766.9785
2019-09-10,181031784516.52924
2019-09-11,182174698397.5037
2019-09-12,186853676924.429
2019-09-13,185548186792.57025
2019-09-14,185426114758.58783
2019-09-15,184840146878.6484
2019-09-16,184249054334.922
2019-09-17,183008697515.7721
2019-09-18,182262213502.3753
2019-09-19,183974666171.2243
2019-09-20,182505022630.0301
2019-09-21,179212980668.44348
2019-09-22,180192219298.1664
2019-09-23,174088572687.47726
2019-09-24,153113325391.40414
2019-09-25,151524010722.9273
2019-09-26,144865186366.43384
2019-09-27,146954989943.3417
2019-09-28,147641716661.28958
2019-09-29,144800790378.11594
2019-09-30,149347150051.12854
2019-10-01,149315994926.4168
2019-10-02,150832596114.26843
2019-10-03,148128002520.46838
2019-10-04,146403157266.73953
2019-10-05,146229677457.8758
2019-10-06,141323247473.91824
2019-10-07,147632580214.60022
2019-10-08,146908036090.242
2019-10-09,154368155696.18463
2019-10-10,154118321001.48782
2019-10-11,148857257275.55524
2019-10-12,149438639014.03928
2019-10-13,149043687069.51035
2019-10-14,150337461270.21002
2019-10-15,146953679043.61337
2019-10-16,143929705608.8849
2019-10-17,145360240146.18094
2019-10-18,143204824936.05792
2019-10-19,143257355200.7335
2019-10-20,148267999379.50232
2019-10-21,148024392441.6989
2019-10-22,144582576755.6882
2019-10-23,134521401940.1652
2019-10-24,133923267811.61893
2019-10-25,155956858882.1106
2019-10-26,166803865604.12033
2019-10-27,172078100782.8178
2019-10-28,166186124653.55627
2019-10-29,169927131699.49756
2019-10-30,165188285334.66867
2019-10-31,164965360863.24164
2019-11-01,167089994261.80606
2019-11-02,167664487811.46564
2019-11-03,166085975443.13516
2019-11-04,169986915539.54996
2019-11-05,167895225936.72556
2019-11-06,168373718368.38812
2019-11-07,166137758597.78806
2019-11-08,158105635535.45032
2019-11-09,159065521533.24637
2019-11-10,163103665504.68973
2019-11-11,157561105288.4922
2019-11-12,159111381259.01917
2019-11-13,158554711840.2574
2019-11-14,155731152127.66202
2019-11-15,153079040491.47626
2019-11-16,153481281885.0308
2019-11-17,153486407769.7725
2019-11-18,147550434134.34894
2019-11-19,146630532879.45596
2019-11-20,146199199215.77637
2019-11-21,138352498596.59238
2019-11-22,131837289037.37527
2019-11-23,132224253623.26418
2019-11-24,125390469165.22456
2019-11-25,129155286650.36612
2019-11-26,129409695600.5486
2019-11-27,136240483354.79362
2019-11-28,134111034058.81224
2019-11-29,140167774264.9508
2019-11-30,136344430098.67024
2019-12-01,134241971676.25064
2019-12-02,132023009531.18275
2019-12-03,131899481595.0474
2019-12-04,130192692204.90404
2019-12-05,134252922144.70384
2019-12-06,136268075562.65508
2019-12-07,136208398858.11156
2019-12-08,136102334393.4844
2019-12-09,132803075678.19638
2019-12-10,130846623754.02065
2019-12-11,130577198745.02766
2019-12-12,130585300375.84724
2019-12-13,131229138148.0292
2019-12-14,128118063036.73634
2019-12-15,129369433400.45848
2019-12-16,124641474566.32114
2019-12-17,119800164116.24963
2019-12-18,132430387996.2894
2019-12-19,129494986841.518
2019-12-20,130456302538.6153
2019-12-21,129214011308.38297
2019-12-22,136177547043.46046
2019-12-23,132910589125.3608
2019-12-24,131733639559.3891
2019-12-25,130396144499.858
2019-12-26,130519366067.74425
2019-12-27,131926516766.73547
2019-12-28,132268333392.25592
2019-12-29,133802308457.55098
2019-12-30,130790973604.51408
2019-12-31,130188442322.90189
2020-01-01,130490056323.49442
2020-01-02,126233809917.3982
2020-01-03,133070026481.7064
2020-01-04,133286762630.41476
2020-01-05,133449927785.58704
2020-01-06,140801757241.92368
2020-01-07,147971497781.05283
2020-01-08,146139470108.88873
2020-01-09,141913435839.08313
2020-01-10,148768421808.21033
2020-01-11,145573314665.95047
2020-01-12,148508827296.1743
2020-01-13,147195794090.3324
2020-01-14,159592201791.60117
2020-01-15,159974478942.83173
2020-01-16,158296863908.2982
2020-01-17,161655464023.12476
2020-01-18,161933277530.39206
2020-01-19,158074742060.71225
2020-01-20,156836146306.67502
2020-01-21,158745616439.29514
2020-01-22,157427652947.57825
2020-01-23,152333665482.40192
2020-01-24,153284852074.96783
2020-01-25,151484808212.8627
2020-01-26,156460190536.91156
2020-01-27,161720840631.6737
2020-01-28,170671585369.8609
2020-01-29,168829632460.03247
2020-01-30,172872262456.40045
2020-01-31,169960062973.9838
2020-02-01,170740235414.11737
2020-02-02,170039272969.19064
2020-02-03,168899521012.9656
2020-02-04,166866103687.96338
2020-02-05,174974597340.79785
2020-02-06,177629178217.4576
2020-02-07,178421620054.84787
2020-02-08,180181235920.56232
2020-02-09,184997925676.2438
2020-02-10,179342342124.69128
2020-02-11,186932025909.2961
2020-02-12,188195063366.1241
2020-02-13,186201237863.88184
2020-02-14,188496416208.90952
2020-02-15,180384790869.1908
2020-02-16,180867873220.992
2020-02-17,177001235108.9035
2020-02-18,185626829592.38016
2020-02-19,174867507621.04306
2020-02-20,175125503905.06348
2020-02-21,176644099650.1651
2020-02-22,176127601430.76016
2020-02-23,181829635312.3216
2020-02-24,176140797211.8639
2020-02-25,169720773264.8787
2020-02-26,160189290501.39316
2020-02-27,161050531541.60504
2020-02-28,158818518172.778
2020-02-29,155867281220.37225
2020-03-01,155477135423.16995
2020-03-02,162911713317.19507
2020-03-03,159868628485.75076
2020-03-04,160121518492.5479
2020-03-05,165597397106.6185
2020-03-06,167132566581.46494
2020-03-07,162279323907.36786
2020-03-08,147183015293.7355
2020-03-09,145074158070.33484
2020-03-10,144207591655.63565
2020-03-11,144927809030.24738
2020-03-12,88513666176.01154
2020-03-13,102713736810.36945
2020-03-14,94671312525.38936
2020-03-15,98254938866.60497
2020-03-16,92144927030.34308
2020-03-17,97569003075.8037
2020-03-18,98936809114.04118
2020-03-19,112997072764.64091
2020-03-20,113405094627.10304
2020-03-21,113330540399.85435
2020-03-22,106441058776.93452
2020-03-23,118684377898.566
2020-03-24,123746149310.2185
2020-03-25,122293829161.61996
2020-03-26,123589147913.59944
2020-03-27,116486852942.42957
2020-03-28,114351421803.1752
2020-03-29,107577339440.39545
2020-03-30,117240221118.30637
2020-03-31,117579294867.53906
2020-04-01,121976166012.9256
2020-04-02,124392840672.92786
2020-04-03,123501779440.575
2020-04-04,125582489409.4797
2020-04-05,124128670023.9838
2020-04-06,134408761246.45769
2020-04-07,131850752011.3351
