date,Realized Cap
2020-06-14,106122050808.31108
2020-06-15,106091421167.37376
2020-06-16,106173179119.06372
2020-06-17,106198127760.30902
2020-06-18,106476841755.07434
2020-06-19,106484912067.40623
2020-06-20,106507478986.64156
2020-06-21,106542844049.18996
2020-06-22,106617506982.32697
2020-06-23,106701272574.07924
2020-06-24,106678378600.73494
2020-06-25,106662725161.27512
2020-06-26,106987284395.90063
2020-06-27,106995971122.208
2020-06-28,106997523100.41946
2020-06-29,107019335360.23256
2020-06-30,107082750079.25832
2020-07-01,107115917664.84378
2020-07-02,107124043265.7636
2020-07-03,107139263937.7502
2020-07-04,107154662704.2878
2020-07-05,107161595676.46376
2020-07-06,107210277747.7491
2020-07-07,107245821120.3852
2020-07-08,107396223759.41074
2020-07-09,107439710610.1074
2020-07-10,107444064164.45444
2020-07-11,107461467045.49954
2020-07-12,107479890611.71362
2020-07-13,107496462865.12012
2020-07-14,107565065046.34216
2020-07-15,107621656593.50958
2020-07-16,107625729223.30362
2020-07-17,107632803837.93706
2020-07-18,107647884732.93454
2020-07-19,107675911095.83595
2020-07-20,107691107283.3114
2020-07-21,107730682587.86412
2020-07-22,107798320010.3763
2020-07-23,107888594682.37018
2020-07-24,107952666163.968
2020-07-25,108011572815.7021
2020-07-26,108097373555.20708
2020-07-27,108466366271.6341
2020-07-28,108870116267.88084
2020-07-29,109097549202.92638
2020-07-30,109276021314.65717
2020-07-31,109482927033.0568
2020-08-01,109665881972.62367
2020-08-02,109773237137.90532
2020-08-03,110166247127.7721
2020-08-04,110274102859.91109
2020-08-05,110543536321.7283
2020-08-06,111025577566.58614
2020-08-07,111365046021.26389
2020-08-08,111591214023.97002
2020-08-09,111738549679.3318
2020-08-10,111914254961.14998
2020-08-11,112122189056.90192
2020-08-12,112246843575.47612
2020-08-13,112376561558.39278
2020-08-14,112583249159.9717
2020-08-15,112689932697.0589
2020-08-16,112781943484.5818
2020-08-17,113152015510.52563
2020-08-18,113308921086.6927
2020-08-19,113365390857.22227
2020-08-20,113481893538.93304
2020-08-21,113638578623.60645
2020-08-22,113675639219.23262
2020-08-23,113720693818.61438
2020-08-24,113849410316.55682
2020-08-25,113916562428.72363
2020-08-26,113984572758.46826
2020-08-27,114041940031.07196
2020-08-28,114171560260.82072
2020-08-29,114201297178.99171
2020-08-30,114285255543.96692
2020-08-31,114461017759.20912
2020-09-01,114712139558.84155
2020-09-02,114767043463.11366
2020-09-03,114767336821.6974
