date,Active Sending Addresses (%)
2019-05-12,80.32230704
2019-05-13,77.42922724
2019-05-14,76.81438664
2019-05-15,68.77384196
2019-05-16,78.75576037
2019-05-17,82.60869565
2019-05-18,83.50449294
2019-05-19,74.74985285
2019-05-20,84.07578085
2019-05-21,76.70454545
2019-05-22,77.81753131
2019-05-23,74.33808554
2019-05-24,72.59862779
2019-05-25,74.95954693
2019-05-26,79.80732177
2019-05-27,77.13761468
2019-05-28,75.33521524
2019-05-29,83.20084791
2019-05-30,79.01944673
2019-05-31,83.54469533
2019-06-01,80.06396588
2019-06-02,71.16346956
2019-06-03,82.52611586
2019-06-04,80.25568182
2019-06-05,85.72821213
2019-06-06,81.71867722
2019-06-07,85.01202244
2019-06-08,82.66889472
2019-06-09,75.30929192
2019-06-10,71.14976665
2019-06-11,62.69331017
2019-06-12,72.03978744
2019-06-13,63.61181703
2019-06-14,67.9379715
2019-06-15,65.56191117
2019-06-16,61.79814588
2019-06-17,68.91629712
2019-06-18,71.4556962
2019-06-19,79.45622876
2019-06-20,81.17589537
2019-06-21,83.53490346
2019-06-22,86.60263514
2019-06-23,84.55414013
2019-06-24,69.74494283
2019-06-25,60.70516717
2019-06-26,82.43495444
2019-06-27,84.01299927
2019-06-28,82.92682927
2019-06-29,88.420137
2019-06-30,77.83390284
2019-07-01,69.95326063
2019-07-02,83.61630799
2019-07-03,82.92887029
2019-07-04,80.93528767
2019-07-05,83.56590704
2019-07-06,87.68784886
2019-07-07,83.63657985
2019-07-08,84.90112239
2019-07-09,76.03822882
2019-07-10,66.38295229
2019-07-11,64.60361251
2019-07-12,55.23255814
2019-07-13,50.9779091
2019-07-14,64.59352909
2019-07-15,59.03872247
2019-07-16,60.03879728
2019-07-17,66.95897741
2019-07-18,65.3103777
2019-07-19,64.88161646
2019-07-20,50.31386463
2019-07-21,54.08866309
2019-07-22,63.32028995
2019-07-23,63.57075804
2019-07-24,56.0852737
2019-07-25,54.49512259
2019-07-26,47.57817895
2019-07-27,65.01087937
2019-07-28,57.69407706
2019-07-29,66.22754491
2019-07-30,68.92971904
2019-07-31,71.32625141
2019-08-01,59.8184529
2019-08-02,58.95054969
2019-08-03,69.3035835
2019-08-04,68.94922617
2019-08-05,69.54614549
2019-08-06,67.99242424
2019-08-07,70.46554235
2019-08-08,74.71208435
2019-08-09,70.17136967
2019-08-10,75.09971994
2019-08-11,79.625513
2019-08-12,83.53092515
2019-08-13,90.90157155
2019-08-14,81.18803037
2019-08-15,81.79106985
2019-08-16,81.09560583
2019-08-17,72.96805002
2019-08-18,69.62102957
2019-08-19,58.83160622
2019-08-20,53.62928829
2019-08-21,58.9155727
2019-08-22,59.28133191
2019-08-23,65.09970064
2019-08-24,64.90961481
2019-08-25,67.23545459
2019-08-26,70.9197341
2019-08-27,75.81469649
2019-08-28,70.15561416
2019-08-29,69.67502474
2019-08-30,70.0404532
2019-08-31,71.55670303
2019-09-01,72.01117854
2019-09-02,78.44511101
2019-09-03,74.99190929
2019-09-04,74.21772116
2019-09-05,74.38692927
2019-09-06,76.57742553
2019-09-07,76.73268324
2019-09-08,76.28206382
2019-09-09,73.03606438
2019-09-10,68.94288689
2019-09-11,67.70025328
2019-09-12,73.977802
2019-09-13,70.37640559
2019-09-14,72.79863943
2019-09-15,70.51913604
2019-09-16,72.66860514
2019-09-17,71.61051993
2019-09-18,71.02366205
2019-09-19,68.77140071
2019-09-20,75.90732858
2019-09-21,76.88010204
2019-09-22,61.45747014
2019-09-23,71.1794723
2019-09-24,74.81944868
2019-09-25,78.12757794
2019-09-26,70.64696117
2019-09-27,78.13224822
2019-09-28,80.27810843
2019-09-29,72.76276443
2019-09-30,72.33156005
2019-10-01,78.6718581
2019-10-02,75.84087573
2019-10-03,77.37532142
2019-10-04,76.60261291
2019-10-05,76.89880408
2019-10-06,83.16746444
2019-10-07,72.8543397
2019-10-08,82.32444873
2019-10-09,73.73931094
2019-10-10,78.27454609
2019-10-11,80.49227825
2019-10-12,77.2538466
2019-10-13,76.5555834
2019-10-14,74.80143355
2019-10-15,77.86255747
2019-10-16,70.58541267
2019-10-17,76.0881025
2019-10-18,77.04292748
2019-10-19,81.47126074
2019-10-20,81.21284882
2019-10-21,78.45490343
2019-10-22,78.65785762
2019-10-23,81.36649096
2019-10-24,80.94997339
2019-10-25,72.88488846
2019-10-26,77.03478727
2019-10-27,77.305504
2019-10-28,78.88236289
2019-10-29,72.19275997
2019-10-30,75.37053616
2019-10-31,80.3388265
2019-11-01,69.88111282
2019-11-02,71.74557808
2019-11-03,76.52883094
2019-11-04,74.07772574
2019-11-05,75.79507487
2019-11-06,75.69279092
2019-11-07,73.96394455
2019-11-08,72.90427658
2019-11-09,77.01487424
2019-11-10,77.79127242
2019-11-11,72.52084523
2019-11-12,75.14174264
2019-11-13,80.20625904
2019-11-14,73.15344638
2019-11-15,71.58786456
2019-11-16,71.73196949
2019-11-17,74.96191106
2019-11-18,71.29907901
2019-11-19,70.40715235
2019-11-20,72.33588983
2019-11-21,72.92902894
2019-11-22,70.57509544
2019-11-23,73.90482399
2019-11-24,66.34020341
2019-11-25,71.35389145
2019-11-26,70.43549785
2019-11-27,71.24650216
2019-11-28,72.33370201
2019-11-29,70.29180546
2019-11-30,67.62465917
2019-12-01,70.61533594
2019-12-02,78.37853489
2019-12-03,73.60564563
2019-12-04,72.90334612
2019-12-05,70.99089963
2019-12-06,70.62865869
2019-12-07,70.28335257
2019-12-08,68.85502471
2019-12-09,70.95118294
2019-12-10,71.98537459
2019-12-11,71.43237416
2019-12-12,73.01077041
2019-12-13,71.56612695
2019-12-14,70.38682039
2019-12-15,72.28136285
2019-12-16,72.22780159
2019-12-17,69.24089402
2019-12-18,72.038954
2019-12-19,71.1826219
2019-12-20,70.05289075
2019-12-21,68.42760639
2019-12-22,66.87325141
2019-12-23,69.4306508
2019-12-24,69.24167676
2019-12-25,68.40641905
2019-12-26,70.22346369
2019-12-27,69.8264202
2019-12-28,69.94390617
2019-12-29,66.55083795
2019-12-30,68.16026748
2019-12-31,67.62491253
2020-01-01,66.0020753
2020-01-02,64.50909335
2020-01-03,63.77858002
2020-01-04,66.01795487
2020-01-05,66.07723313
2020-01-06,70.61949797
2020-01-07,69.06125282
2020-01-08,66.14223114
2020-01-09,63.2754475
2020-01-10,68.38815129
2020-01-11,69.45495481
2020-01-12,67.51840469
2020-01-13,68.98378955
2020-01-14,69.75607219
2020-01-15,74.37204301
2020-01-16,81.99962788
2020-01-17,71.76553562
2020-01-18,65.5980705
2020-01-19,67.46284877
2020-01-20,70.12556395
2020-01-21,72.52519517
2020-01-22,74.3859291
2020-01-23,71.8254248
2020-01-24,70.86993085
2020-01-25,69.70860927
2020-01-26,70.17420713
2020-01-27,70.21557814
2020-01-28,72.52586171
2020-01-29,71.84811074
2020-01-30,72.60985444
2020-01-31,71.88876014
2020-02-01,71.00494847
2020-02-02,68.98000278
2020-02-03,61.68856543
2020-02-04,65.35576453
2020-02-05,66.9700093
2020-02-06,66.91420708
2020-02-07,68.88411056
2020-02-08,72.42381273
2020-02-09,59.02934537
2020-02-10,63.5649705
2020-02-11,64.16024526
2020-02-12,63.92372777
2020-02-13,63.48050372
2020-02-14,56.59320495
2020-02-15,58.48273477
2020-02-16,68.36026593
2020-02-17,67.15564186
2020-02-18,71.61012454
2020-02-19,63.06637061
2020-02-20,62.06924794
2020-02-21,74.22757551
2020-02-22,64.56307
2020-02-23,58.2124018
2020-02-24,60.08724855
2020-02-25,64.27677951
2020-02-26,64.20815752
2020-02-27,65.68121875
2020-02-28,59.21897621
2020-02-29,66.94393543
2020-03-01,62.20161505
2020-03-02,70.23413227
2020-03-03,66.56668388
2020-03-04,71.21454058
2020-03-05,73.75340283
2020-03-06,68.88274247
2020-03-07,63.94026777
2020-03-08,71.32599026
2020-03-09,66.99722528
2020-03-10,67.73062262
2020-03-11,62.06862389
2020-03-12,47.01994468
2020-03-13,58.84257587
2020-03-14,58.64119385
2020-03-15,57.28638217
2020-03-16,62.53411082
2020-03-17,55.71115569
2020-03-18,52.42394798
2020-03-19,55.70330325
2020-03-20,60.58096161
2020-03-21,62.0711501
2020-03-22,62.08158168
2020-03-23,64.89910331
2020-03-24,58.98879228
2020-03-25,59.33546768
2020-03-26,54.73115466
2020-03-27,59.19023547
2020-03-28,56.16982651
2020-03-29,47.86801943
2020-03-30,61.49141995
2020-03-31,56.61567115
2020-04-01,66.53516141
2020-04-02,69.58939381
2020-04-03,68.77529402
2020-04-04,62.50678024
2020-04-05,58.09346717
2020-04-06,54.23238065
2020-04-07,57.18239587
2020-04-08,56.86300693
2020-04-09,50.86267339
2020-04-10,57.31080973
2020-04-11,51.33458618
2020-04-12,60.80197957
2020-04-13,57.64176759
2020-04-14,53.61335047
2020-04-15,54.56147573
2020-04-16,54.12018224
2020-04-17,56.62125752
2020-04-18,57.82636692
2020-04-19,57.74923166
2020-04-20,60.12037529
2020-04-21,56.91167283
2020-04-22,55.99083459
2020-04-23,55.31040475
2020-04-24,52.0039374
2020-04-25,48.96783422
2020-04-26,51.89807221
2020-04-27,56.84459284
2020-04-28,55.69864845
2020-04-29,54.53029124
2020-04-30,53.01482256
2020-05-01,60.77089379
2020-05-02,58.90462599
2020-05-03,57.05168565
2020-05-04,57.31387907
2020-05-05,50.89206225
2020-05-06,52.95422637
2020-05-07,61.7571743
2020-05-08,57.60461314
2020-05-09,54.5510038
2020-05-10,56.50127558
2020-05-11,62.75568738
2020-05-12,56.97415524
2020-05-13,48.61190704
2020-05-14,51.0113727
2020-05-15,54.44635096
2020-05-16,54.41462202
2020-05-17,55.16155289
2020-05-18,56.90788152
2020-05-19,52.65511005
2020-05-20,53.75246714
2020-05-21,48.42856242
2020-05-22,49.9654475
2020-05-23,57.32861976
2020-05-24,55.30627967
2020-05-25,49.4365471
2020-05-26,56.76630913
2020-05-27,62.06046913
2020-05-28,63.94430721
2020-05-29,65.89943583
2020-05-30,66.32154896
2020-05-31,66.47389353
2020-06-01,64.96119322
2020-06-02,65.55274553
2020-06-03,60.18806738
2020-06-04,61.59503829
2020-06-05,55.47360823
2020-06-06,28.28389386
2020-06-07,27.034587
2020-06-08,44.03630822
2020-06-09,70.86207037
2020-06-10,69.77666403
2020-06-11,68.53221273
2020-06-12,75.45447477
2020-06-13,73.17533917
2020-06-14,73.31959142
2020-06-15,71.14393086
2020-06-16,74.74978216
2020-06-17,73.07167638
2020-06-18,76.53804905
2020-06-19,76.02019833
2020-06-20,79.38129208
2020-06-21,73.63825776
2020-06-22,66.22176051
2020-06-23,63.4846988
2020-06-24,77.65580464
2020-06-25,78.20238296
2020-06-26,81.75903983
2020-06-27,82.92134117
2020-06-28,80.33238511
2020-06-29,74.17658183
2020-06-30,62.99580329
2020-07-01,70.21151343
2020-07-02,77.69391676
2020-07-03,76.66201315
2020-07-04,79.09787564
2020-07-05,72.8589841
2020-07-06,72.27138916
2020-07-07,75.32006473
2020-07-08,73.30825887
2020-07-09,73.04209255
2020-07-10,71.63979741
2020-07-11,72.56283
