date,Active Receiving Addresses (%)
2022-07-21,75.31352132
2022-07-22,69.42582587
2022-07-23,67.25324188
2022-07-24,71.73793794
2022-07-25,74.29269935
2022-07-26,44.31519151
2022-07-27,48.79805699
2022-07-28,74.6973492
2022-07-29,73.11551765
2022-07-30,75.7209432
2022-07-31,62.14452391
2022-08-01,61.76785127
2022-08-02,46.59715969
2022-08-03,49.50816948
2022-08-04,61.79614486
2022-08-05,66.22401756
2022-08-06,57.89200154
2022-08-07,48.02365339
2022-08-08,73.84594396
2022-08-09,75.71529527
2022-08-10,77.43415371
2022-08-11,78.63616051
2022-08-12,74.01466392
2022-08-13,68.19318876
2022-08-14,66.47710763
2022-08-15,73.26907602
2022-08-16,74.27618507
2022-08-17,70.42984232
2022-08-18,69.50388085
2022-08-19,74.26819523
2022-08-20,68.92467226
2022-08-21,63.56474007
2022-08-22,78.6966788
2022-08-23,76.02384411
2022-08-24,75.7860527
2022-08-25,76.1753605
2022-08-26,79.37362368
2022-08-27,75.8616798
2022-08-28,71.83193361
2022-08-29,79.34220596
2022-08-30,79.93873322
2022-08-31,80.14309341
2022-09-01,75.66234151
2022-09-02,78.42005608
2022-09-03,69.21187086
2022-09-04,77.77836551
2022-09-05,78.71299731
2022-09-06,79.1138263
2022-09-07,79.42006132
2022-09-08,78.8431663
2022-09-09,79.59036269
2022-09-10,73.78994024
2022-09-11,78.20100744
2022-09-12,81.23227347
2022-09-13,79.95875671
2022-09-14,76.2120725
2022-09-15,78.66275375
2022-09-16,73.2480691
2022-09-17,75.33181184
2022-09-18,73.42917174
2022-09-19,75.47487299
2022-09-20,78.02871856
2022-09-21,73.95351128
2022-09-22,70.48472244
2022-09-23,73.55307596
2022-09-24,68.30026831
2022-09-25,67.58293839
2022-09-26,57.06359205
2022-09-27,35.27835204
2022-09-28,53.67288228
2022-09-29,67.38893332
2022-09-30,64.65821651
2022-10-01,60.65786592
2022-10-02,76.94833317
2022-10-03,66.00580586
2022-10-04,72.95585517
2022-10-05,81.13927415
2022-10-06,78.30359524
2022-10-07,81.73169102
2022-10-08,56.98488658
2022-10-09,67.58946005
2022-10-10,79.5878431
2022-10-11,76.15534856
2022-10-12,77.37325674
2022-10-13,80.41594917
2022-10-14,82.32373721
2022-10-15,66.54063973
2022-10-16,75.93744745
2022-10-17,78.25178147
2022-10-18,77.78876002
2022-10-19,76.95336723
2022-10-20,80.94041186
2022-10-21,70.34899698
2022-10-22,72.49158184
2022-10-23,71.06654073
2022-10-24,67.72422039
2022-10-25,77.07393577
2022-10-26,78.29328304
2022-10-27,73.94346446
2022-10-28,76.72239491
2022-10-29,72.56428005
2022-10-30,71.81071064
2022-10-31,71.22710523
2022-11-01,78.50652997
2022-11-02,77.08030598
2022-11-03,53.29488993
2022-11-04,79.57976654
2022-11-05,76.61516622
2022-11-06,76.54907695
2022-11-07,77.19884006
2022-11-08,74.73658803
2022-11-09,72.72464814
2022-11-10,67.40199278
2022-11-11,71.60312018
2022-11-12,71.15604674
2022-11-13,74.15523746
2022-11-14,74.21723586
2022-11-15,69.06833918
2022-11-16,67.9375589
2022-11-17,66.94864276
2022-11-18,64.73937801
2022-11-19,62.98142275
2022-11-20,66.29815024
2022-11-21,74.06381303
2022-11-22,70.89410107
2022-11-23,75.06724901
2022-11-24,57.04926471
2022-11-25,54.45875166
2022-11-26,67.25136033
2022-11-27,78.46536166
2022-11-28,71.90637496
2022-11-29,54.82931727
2022-11-30,71.16811509
2022-12-01,78.72530032
2022-12-02,70.32321041
2022-12-03,78.80170218
2022-12-04,76.91304417
2022-12-05,73.88451067
2022-12-06,76.42802454
2022-12-07,82.28454663
2022-12-08,82.27017825
2022-12-09,27.09140537
2022-12-10,22.09016792
2022-12-11,54.24583387
2022-12-12,60.02325259
2022-12-13,70.8542416
2022-12-14,62.66417204
2022-12-15,66.69178661
2022-12-16,62.84109498
2022-12-17,71.51136303
2022-12-18,60.79161843
2022-12-19,82.98681091
2022-12-20,82.89110783
2022-12-21,81.22214176
2022-12-22,86.98311102
2022-12-23,81.93910921
2022-12-24,74.7216775
2022-12-25,75.32116802
2022-12-26,72.92790683
2022-12-27,59.83121522
2022-12-28,81.42278436
2022-12-29,80.75919849
2022-12-30,77.54595814
2022-12-31,74.54322085
2023-01-01,77.17300285
2023-01-02,80.30393367
2023-01-03,78.92392973
2023-01-04,74.47163665
2023-01-05,73.74873468
2023-01-06,76.87791435
2023-01-07,77.24924613
2023-01-08,76.53736342
2023-01-09,75.11427987
2023-01-10,77.91998356
2023-01-11,75.64453089
2023-01-12,77.81515761
2023-01-13,73.95256514
2023-01-14,74.99834258
2023-01-15,75.53097256
2023-01-16,81.73530063
2023-01-17,83.42955562
2023-01-18,82.87872538
2023-01-19,83.57520212
2023-01-20,82.36071785
2023-01-21,85.08791914
2023-01-22,84.3540146
2023-01-23,84.78530265
2023-01-24,81.0474345
2023-01-25,82.12771878
2023-01-26,79.52924394
2023-01-27,69.26998222
2023-01-28,78.59679162
2023-01-29,80.19993752
2023-01-30,80.83883235
2023-01-31,83.60953113
2023-02-01,84.38986068
2023-02-02,83.97151539
2023-02-03,84.1752334
2023-02-04,81.05535799
2023-02-05,77.98492358
2023-02-06,85.90102033
2023-02-07,83.76404
2023-02-08,86.75818243
2023-02-09,85.4339014
2023-02-10,86.1895689
2023-02-11,81.37895036
2023-02-12,84.75105528
2023-02-13,72.77527774
2023-02-14,63.3201465
2023-02-15,77.11368447
2023-02-16,75.80421782
2023-02-17,79.67764666
2023-02-18,79.31263726
2023-02-19,80.11370621
2023-02-20,82.53907474
2023-02-21,81.57068278
2023-02-22,84.21346608
2023-02-23,85.78275717
2023-02-24,82.86754458
2023-02-25,78.51820631
2023-02-26,79.66238835
2023-02-27,84.11037553
2023-02-28,82.2297825
2023-03-01,81.61432023
2023-03-02,79.81226908
2023-03-03,77.55593025
2023-03-04,77.04334389
2023-03-05,81.73088223
2023-03-06,82.92128825
2023-03-07,82.68701468
2023-03-08,80.68629949
2023-03-09,78.34243913
2023-03-10,82.87052466
2023-03-11,83.57270216
2023-03-12,77.29620662
2023-03-13,82.94288273
2023-03-14,78.75280312
2023-03-15,81.85242908
2023-03-16,83.33380196
2023-03-17,72.98686715
2023-03-18,74.09271982
2023-03-19,74.82818456
2023-03-20,69.83672021
2023-03-21,82.74369383
2023-03-22,83.86710053
2023-03-23,81.32003908
2023-03-24,83.41561113
2023-03-25,81.8198986
2023-03-26,79.2487591
2023-03-27,82.70622663
2023-03-28,81.86141515
2023-03-29,73.10402288
2023-03-30,76.75630965
2023-03-31,71.7261289
2023-04-01,77.87030717
2023-04-02,79.97664741
2023-04-03,79.96920414
2023-04-04,79.28828282
2023-04-05,79.96876317
2023-04-06,77.79727445
2023-04-07,77.27007421
2023-04-08,77.34798744
2023-04-09,75.37737913
2023-04-10,78.65980174
2023-04-11,78.2084702
2023-04-12,78.67904673
2023-04-13,78.77665895
2023-04-14,79.2172002
2023-04-15,74.15602667
2023-04-16,76.61739429
2023-04-17,79.31325748
2023-04-18,75.83956286
2023-04-19,76.65057395
2023-04-20,75.39713621
2023-04-21,70.40125311
2023-04-22,75.57875388
2023-04-23,74.76934198
2023-04-24,75.76285127
2023-04-25,77.38145416
2023-04-26,79.89480148
2023-04-27,79.27734106
2023-04-28,79.49614439
2023-04-29,76.44108884
2023-04-30,77.68494439
2023-05-01,79.53249794
2023-05-02,75.00744934
2023-05-03,76.53338968
2023-05-04,72.24258014
2023-05-05,74.80195003
2023-05-06,73.86031085
2023-05-07,72.81785644
2023-05-08,77.6149623
2023-05-09,74.03346041
2023-05-10,74.99139779
2023-05-11,77.07339274
2023-05-12,73.7351441
2023-05-13,72.65081308
2023-05-14,71.55712802
2023-05-15,77.07595154
2023-05-16,78.90424025
2023-05-17,77.4676881
2023-05-18,78.12023322
2023-05-19,74.03744744
2023-05-20,75.46554935
2023-05-21,69.62541315
2023-05-22,76.4664219
2023-05-23,77.85984401
2023-05-24,77.63825095
2023-05-25,71.81438377
2023-05-26,72.08962494
2023-05-27,72.0428296
2023-05-28,75.23762701
2023-05-29,76.8218639
2023-05-30,76.83306638
2023-05-31,75.65538067
2023-06-01,77.64243776
2023-06-02,74.2239898
2023-06-03,69.82291227
2023-06-04,63.73238834
2023-06-05,70.08116846
2023-06-06,66.25337281
2023-06-07,77.38817591
2023-06-08,79.40200247
2023-06-09,75.57742061
2023-06-10,60.67587186
2023-06-11,40.30717259
2023-06-12,73.59199438
2023-06-13,75.74280773
2023-06-14,77.29049867
2023-06-15,74.22085214
2023-06-16,73.46764332
2023-06-17,69.69721218
2023-06-18,73.80271155
2023-06-19,73.91751219
2023-06-20,77.30004447
2023-06-21,77.76042334
2023-06-22,78.01099777
2023-06-23,76.71333246
2023-06-24,73.41878758
2023-06-25,75.9898966
2023-06-26,75.36736653
2023-06-27,77.49149309
2023-06-28,76.6298798
2023-06-29,74.66166182
2023-06-30,74.86261244
2023-07-01,71.40832969
2023-07-02,74.58038142
2023-07-03,79.52134462
2023-07-04,77.25136838
2023-07-05,79.29342493
2023-07-06,77.03282298
2023-07-07,75.88260044
2023-07-08,73.22085993
2023-07-09,75.25033098
2023-07-10,79.2492604
2023-07-11,74.63762811
2023-07-12,77.6765917
2023-07-13,80.60778364
2023-07-14,78.33584571
2023-07-15,77.00581395
2023-07-16,75.73210458
2023-07-17,79.62446574
2023-07-18,79.89087579
2023-07-19,77.69627507
2023-07-20,79.61486683
2023-07-21,78.28212604
2023-07-22,75.4200071
2023-07-23,75.91066259
2023-07-24,79.7252245
2023-07-25,77.58790852
2023-07-26,77.76695322
2023-07-27,79.74071986
2023-07-28,77.3150581
2023-07-29,75.34124298
2023-07-30,75.91170641
2023-07-31,79.2273486
2023-08-01,76.73450885
2023-08-02,79.31321593
2023-08-03,78.25785249
2023-08-04,77.6834954
2023-08-05,74.80888305
2023-08-06,72.15877109
2023-08-07,74.56341769
2023-08-08,71.89798978
2023-08-09,71.42115884
2023-08-10,74.01189473
2023-08-11,80.87142159
2023-08-12,74.1510614
2023-08-13,73.76440711
2023-08-14,76.85689893
2023-08-15,77.93774273
2023-08-16,80.52931954
2023-08-17,75.98642933
2023-08-18,75.47920474
2023-08-19,71.26994464
2023-08-20,75.12076437
2023-08-21,76.96419708
2023-08-22,75.99460823
2023-08-23,72.85524603
