Datetime,0 ~ 0.01 BTC,0.01 ~ 0.1 BTC,0.1 ~ 1 BTC,1 ~ 10 BTC,10 ~ 100 BTC,100 ~ 1K BTC,1K ~ 10K BTC,10K ~ BTC
2022-02-04T00:00:00Z,70241.63447321,276917.77317212,920937.46474526,1966521.41792849,4846693.75343009,5273807.48577409,3965744.1671544,1628119.8482933
2022-02-03T00:00:00Z,70090.86999906,276460.10294494,920181.54262633,1964131.42979271,4846103.67522135,5266446.45993365,3976498.75596975,1628258.20848317
2022-02-02T00:00:00Z,70006.45668514,276274.18938488,919759.83296918,1961531.95023385,4848658.67373854,5263898.53471215,3978319.44618548,1628803.21106174
2022-02-01T00:00:00Z,70060.90719843,276280.93073849,919375.41222495,1959796.67566016,4846213.53768294,5267263.12405888,3977787.68094155,1629517.77646556
2022-01-31T00:00:00Z,70293.01528993,276461.88885362,919327.21199785,1960505.46450147,4873241.17287919,5311430.72947121,3992007.74544867,1542066.31652902
2022-01-30T00:00:00Z,70898.64145673,276321.5297073,918711.39253523,1959128.49835855,4873754.26942082,5348314.15245667,3973327.90407953,1523983.40695613
2022-01-29T00:00:00Z,71112.23910028,278400.48629149,922941.53287548,1968076.73978258,4896444.61026391,5355073.82927137,3971305.65942149,1480172.19796436
2022-01-28T00:00:00Z,71019.21225307,279965.75953669,926780.84465579,1977146.57528034,4905401.3397908,5325691.28247544,3976438.5790027,1480152.45197613
2022-01-27T00:00:00Z,70969.55149473,280136.01630829,926835.93536048,1978392.96946977,4909468.0088375,5317240.32367649,3977247.01970573,1481343.72011797
2022-01-26T00:00:00Z,70893.49229253,279869.0450147,926318.42748974,1977766.22683218,4903603.996124,5316988.39989579,3969360.45058914,1496014.75673288
2022-01-25T00:00:00Z,70771.83960945,279440.20500697,925738.90398446,1978071.89419601,4901812.15463866,5312544.97224114,3963650.97723899,1507971.34805528
2022-01-24T00:00:00Z,70629.58376283,278996.17784256,925294.89209114,1977133.5152498,4903426.70943407,5314864.14620777,3960666.62213631,1508040.64824648
2022-01-23T00:00:00Z,70702.23918978,278761.92699157,925568.13747505,1980347.22930788,4890760.76641046,5315620.92936886,3963886.78586767,1512466.78035969
2022-01-22T00:00:00Z,70516.63700254,278461.24512761,925316.31539178,1979450.23822901,4889616.83595148,5311610.97679588,3973072.50340755,1509188.79306511
2022-01-21T00:00:00Z,70536.58192709,278475.27883858,926619.0915232,1985184.49497895,4885098.22056198,5315402.46144091,3971722.86040179,1503357.05529846
2022-01-20T00:00:00Z,70438.83576084,278154.73320243,926347.18311062,1983937.93639361,4870490.80898247,5316492.61885414,3986267.76421815,1503428.6644487
2022-01-19T00:00:00Z,70347.38734593,278085.85404151,926634.79222438,1984573.27256756,4869161.75954284,5316572.16205691,3975335.63033828,1513791.43685355
2022-01-18T00:00:00Z,70291.09422379,277813.96220562,926113.61069457,1983417.37131168,4872473.83526144,5327163.38885557,3962422.56959964,1513725.21281865
2022-01-17T00:00:00Z,70179.2492638,277580.65894401,926015.15096762,1983664.88433776,4870465.03949932,5327153.50148925,3963989.42178296,1513523.13868624
2022-01-16T00:00:00Z,70287.77021817,277601.55264627,925649.66682926,1984503.13322449,4869076.27166032,5322007.67336437,3966111.68839902,1516327.03862906
