date,Phase 0 Success Rate (%)
2022-03-02,1854.47
2022-03-03,1862.7
2022-03-04,1868.48
2022-03-05,1873.05
2022-03-06,1875.56
2022-03-07,1886.65
2022-03-08,1894.9
2022-03-09,1905.54
2022-03-10,1912.72
2022-03-11,1919.37
2022-03-12,1923.74
2022-03-13,1925.62
2022-03-14,1933.12
2022-03-15,1971.7
2022-03-16,1983.82
2022-03-17,1993.14
2022-03-18,2002.74
2022-03-19,2024.34
2022-03-20,2027.18
2022-03-21,2028.81
2022-03-22,2033.77
2022-03-23,2040.81
2022-03-24,2044.73
2022-03-25,2049.06
2022-03-26,2051.56
2022-03-27,2053.19
2022-03-28,2055.5
2022-03-29,2059.98
2022-03-30,2072.53
2022-03-31,2095.65
2022-04-01,2103.53
2022-04-02,2108.47
2022-04-03,2116.15
2022-04-04,2119.22
2022-04-05,2132.07
2022-04-06,2138.24
2022-04-07,2147.54
2022-04-08,2155.19
2022-04-09,2158.79
2022-04-10,2164.42
2022-04-11,2167.66
2022-04-12,2173.04
2022-04-13,2186.7
2022-04-14,2191.19
2022-04-15,2204.82
2022-04-16,2211.61
2022-04-17,2212.04
2022-04-18,2212.8
2022-04-19,2226.05
2022-04-20,2235.24
2022-04-21,2245.16
2022-04-22,2253.5
2022-04-23,2256.05
2022-04-24,2257.37
2022-04-25,2260.28
2022-04-26,2272.15
2022-04-27,2285.32
2022-04-28,2294.05
2022-04-29,2300.18
2022-04-30,2303.72
2022-05-01,2314.15
2022-05-02,2337.35
2022-05-03,2348.94
2022-05-04,2355.87
2022-05-05,2360.03
2022-05-06,2370.43
2022-05-07,2374.03
2022-05-08,2375.27
2022-05-09,2387.91
2022-05-10,2391.1
2022-05-11,2394.86
2022-05-12,2397.11
2022-05-13,2399.79
2022-05-14,2400.85
2022-05-15,2401.66
2022-05-16,2402.58
2022-05-17,2404.11
2022-05-18,2405.73
2022-05-19,2410.79
2022-05-20,2412.49
2022-05-21,2414.18
2022-05-22,2414.53
2022-05-23,2415.21
