date,Number of ETH 2.0 Deposits
2024-11-27,2461
2024-11-28,2078
2024-11-29,1679
2024-11-30,1854
2024-12-01,1079
2024-12-02,2560
2024-12-03,1223
2024-12-04,2751
2024-12-05,1332
2024-12-06,1246
2024-12-07,704
2024-12-08,369
2024-12-09,422
2024-12-10,600
2024-12-11,1454
2024-12-12,697
2024-12-13,1358
2024-12-14,522
2024-12-15,350
2024-12-16,631
2024-12-17,2199
2024-12-18,3693
2024-12-19,1137
2024-12-20,933
2024-12-21,881
2024-12-22,1417
2024-12-23,2330
2024-12-24,2438
2024-12-25,3190
2024-12-26,1125
2024-12-27,704
2024-12-28,405
2024-12-29,579
2024-12-30,1149
2024-12-31,3129
2025-01-01,522
2025-01-02,677
2025-01-03,1434
2025-01-04,649
2025-01-05,1275
2025-01-06,837
2025-01-07,1516
2025-01-08,3971
2025-01-09,2616
2025-01-10,1634
2025-01-11,572
2025-01-12,733
2025-01-13,3233
2025-01-14,1377
2025-01-15,1636
2025-01-16,679
2025-01-17,1138
2025-01-18,1469
2025-01-19,2124
2025-01-20,1281
2025-01-21,3281
2025-01-22,1198
2025-01-23,964
2025-01-24,1794
2025-01-25,1712
2025-01-26,644
2025-01-27,2105
2025-01-28,2904
2025-01-29,804
2025-01-30,2108
2025-01-31,2053
2025-02-01,950
2025-02-02,1480
2025-02-03,1670
2025-02-04,2265
2025-02-05,1775
2025-02-06,1264
2025-02-07,998
2025-02-08,1056
2025-02-09,221
2025-02-10,582
2025-02-11,2271
2025-02-12,1038
2025-02-13,1694
2025-02-14,1798
2025-02-15,1295
2025-02-16,1142
2025-02-17,1333
2025-02-18,1741
2025-02-19,1471
2025-02-20,2510
2025-02-21,1770
2025-02-22,1489
2025-02-23,853
2025-02-24,996
2025-02-25,1656
2025-02-26,954
2025-02-27,779
2025-02-28,1136
2025-03-01,728
2025-03-02,326
2025-03-03,1444
2025-03-04,5135
2025-03-05,1873
2025-03-06,2108
2025-03-07,1078
2025-03-08,450
2025-03-09,1490
2025-03-10,2053
2025-03-11,1528
2025-03-12,1988
2025-03-13,2904
2025-03-14,1135
2025-03-15,414
2025-03-16,559
2025-03-17,3594
2025-03-18,3080
2025-03-19,3662
2025-03-20,3207
2025-03-21,2459
2025-03-22,1615
2025-03-23,3158
2025-03-24,3317
2025-03-25,3221
2025-03-26,2315
2025-03-27,2530
2025-03-28,1860
2025-03-29,920
2025-03-30,460
2025-03-31,1294
2025-04-01,1024
2025-04-02,3118
2025-04-03,835
2025-04-04,901
2025-04-05,411
2025-04-06,480
2025-04-07,975
2025-04-08,1520
2025-04-09,1386
2025-04-10,5931
2025-04-11,852
2025-04-12,489
2025-04-13,387
2025-04-14,2212
2025-04-15,1430
2025-04-16,2450
2025-04-17,3255
2025-04-18,1024
2025-04-19,556
2025-04-20,527
2025-04-21,535
2025-04-22,4077
2025-04-23,1253
2025-04-24,810
2025-04-25,833
2025-04-26,518
2025-04-27,380
2025-04-28,908
2025-04-29,429
2025-04-30,851
2025-05-01,1948
2025-05-02,960
2025-05-03,371
2025-05-04,428
2025-05-05,1508
2025-05-06,4052
2025-05-07,830
2025-05-08,1818
2025-05-09,1971
2025-05-10,1578
2025-05-11,1657
2025-05-12,4195
2025-05-13,1393
2025-05-14,1340
2025-05-15,949
2025-05-16,1763
2025-05-17,877
2025-05-18,1445
2025-05-19,1688
2025-05-20,1852
2025-05-21,2386
2025-05-22,2969
2025-05-23,1900
2025-05-24,963
2025-05-25,332
2025-05-26,977
2025-05-27,2470
2025-05-28,2955
2025-05-29,2422
2025-05-30,2898
2025-05-31,2251
2025-06-01,2430
2025-06-02,6970
2025-06-03,2806
2025-06-04,4511
2025-06-05,1685
2025-06-06,1221
2025-06-07,2727
2025-06-08,650
2025-06-09,2396
2025-06-10,2619
2025-06-11,1759
2025-06-12,627
2025-06-13,3946
2025-06-14,2201
2025-06-15,610
2025-06-16,3655
2025-06-17,2576
2025-06-18,1138
2025-06-19,1155
2025-06-20,1465
2025-06-21,3225
2025-06-22,1470
2025-06-23,1467
2025-06-24,865
2025-06-25,739
2025-06-26,449
2025-06-27,544
2025-06-28,977
2025-06-29,1094
2025-06-30,630
2025-07-01,1937
2025-07-02,1292
2025-07-03,1000
2025-07-04,2791
2025-07-05,1175
2025-07-06,371
2025-07-07,6429
2025-07-08,3801
2025-07-09,3434
2025-07-10,1785
2025-07-11,2944
2025-07-12,1146
2025-07-13,493
2025-07-14,1642
2025-07-15,2052
2025-07-16,2527
2025-07-17,1771
2025-07-18,1820
2025-07-19,658
2025-07-20,594
2025-07-21,935
2025-07-22,864
2025-07-23,523
2025-07-24,735
2025-07-25,353
2025-07-26,272
2025-07-27,2770
2025-07-28,566
2025-07-29,1090
2025-07-30,441
2025-07-31,1550
2025-08-01,1159
2025-08-02,253
2025-08-03,2251
2025-08-04,1016
2025-08-05,635
2025-08-06,502
2025-08-07,867
2025-08-08,2025
2025-08-09,371
2025-08-10,1485
2025-08-11,1530
2025-08-12,2816
2025-08-13,3639
2025-08-14,5291
2025-08-15,3351
2025-08-16,235
2025-08-17,509
2025-08-18,2211
2025-08-19,1023
2025-08-20,720
2025-08-21,1854
2025-08-22,647
2025-08-23,405
2025-08-24,1230
2025-08-25,535
2025-08-26,629
2025-08-27,831
2025-08-28,1311
2025-08-29,2214
2025-08-30,383
2025-08-31,275
2025-09-01,558
2025-09-02,393
2025-09-03,951
2025-09-04,671
2025-09-05,422
2025-09-06,293
2025-09-07,390
2025-09-08,355
2025-09-09,2356
2025-09-10,278
2025-09-11,358
2025-09-12,272
2025-09-13,242
2025-09-14,141
2025-09-15,313
2025-09-16,547
2025-09-17,251
2025-09-18,491
2025-09-19,477
2025-09-20,397
2025-09-21,383
2025-09-22,317
2025-09-23,734
2025-09-24,1731
2025-09-25,376
2025-09-26,1509
2025-09-27,227
2025-09-28,2585
2025-09-29,1909
2025-09-30,1105
2025-10-01,777
2025-10-02,1365
2025-10-03,2117
2025-10-04,249
2025-10-05,414
2025-10-06,1937
2025-10-07,1724
2025-10-08,3467
2025-10-09,1016
2025-10-10,2281
2025-10-11,980
2025-10-12,1582
2025-10-13,1363
2025-10-14,1219
2025-10-15,651
2025-10-16,2357
2025-10-17,1298
2025-10-18,345
2025-10-19,179
2025-10-20,1180
2025-10-21,995
2025-10-22,933
2025-10-23,446
2025-10-24,3761
2025-10-25,280
2025-10-26,364
2025-10-27,1403
2025-10-28,1166
2025-10-29,1242
2025-10-30,4656
2025-10-31,4005
2025-11-01,743
2025-11-02,1088
2025-11-03,649
2025-11-04,392
2025-11-05,1895
2025-11-06,415
2025-11-07,306
2025-11-08,139
2025-11-09,148
2025-11-10,187
2025-11-11,745
2025-11-12,470
2025-11-13,359
2025-11-14,786
2025-11-15,388
2025-11-16,254
2025-11-17,709
2025-11-18,599
2025-11-19,347
2025-11-20,434
2025-11-21,660
2025-11-22,943
2025-11-23,197
2025-11-24,405
2025-11-25,246
2025-11-26,381
2025-11-27,380
2025-11-28,206
2025-11-29,522
2025-11-30,212
2025-12-01,1047
2025-12-02,1524
2025-12-03,514
2025-12-04,333
2025-12-05,1244
2025-12-06,1165
2025-12-07,375
2025-12-08,1037
2025-12-09,2032
2025-12-10,1430
2025-12-11,1138
2025-12-12,559
2025-12-13,375
2025-12-14,285
2025-12-15,747
2025-12-16,526
2025-12-17,417
2025-12-18,476
2025-12-19,415
2025-12-20,639
2025-12-21,554
2025-12-22,969
2025-12-23,430
2025-12-24,1222
2025-12-25,463
2025-12-26,465
2025-12-27,362
2025-12-28,652
2025-12-29,5181
2025-12-30,869
2025-12-31,1803
2026-01-01,1620
2026-01-02,1671
2026-01-03,626
2026-01-04,646
2026-01-05,1342
2026-01-06,3963
2026-01-07,1066
2026-01-08,1692
2026-01-09,1015
2026-01-10,1096
2026-01-11,711
2026-01-12,2092
2026-01-13,1443
2026-01-14,2594
2026-01-15,1068
2026-01-16,677
2026-01-17,1473
2026-01-18,829
2026-01-19,3798
2026-01-20,3110
2026-01-21,2346
2026-01-22,3721
2026-01-23,3857
2026-01-24,537
2026-01-25,1730
2026-01-26,986
2026-01-27,1664
2026-01-28,1447
2026-01-29,2917
2026-01-30,978
2026-01-31,1511
2026-02-01,684
2026-02-02,1472
2026-02-03,1381
2026-02-04,627
2026-02-05,1561
2026-02-06,2443
2026-02-07,492
2026-02-08,440
2026-02-09,1058
2026-02-10,563
2026-02-11,1388
2026-02-12,628
2026-02-13,498
2026-02-14,379
2026-02-15,399
2026-02-16,474
2026-02-17,291
2026-02-18,1460
2026-02-19,470
2026-02-20,925
2026-02-21,395
2026-02-22,234
2026-02-23,943
2026-02-24,710
2026-02-25,687
2026-02-26,327
2026-02-27,333
2026-02-28,313
2026-03-01,217
2026-03-02,365
2026-03-03,334
2026-03-04,677
2026-03-05,274
2026-03-06,321
2026-03-07,539
2026-03-08,205
2026-03-09,619
2026-03-10,462
2026-03-11,318
2026-03-12,375
2026-03-13,382
2026-03-14,201
2026-03-15,203
2026-03-16,723
2026-03-17,975
2026-03-18,715
2026-03-19,1005
2026-03-20,702
2026-03-21,191
2026-03-22,159
2026-03-23,562
2026-03-24,345
2026-03-25,362
2026-03-26,529
2026-03-27,983
2026-03-28,155
2026-03-29,766
2026-03-30,481
2026-03-31,909
2026-04-01,850
2026-04-02,958
2026-04-03,918
2026-04-04,805
2026-04-05,880
2026-04-06,735
