date,Number of Unique Depositors
2023-01-22,504925
2023-01-23,507111
2023-01-24,507463
2023-01-25,508308
2023-01-26,508802
2023-01-27,509088
2023-01-28,509523
2023-01-29,509984
2023-01-30,510467
2023-01-31,511490
2023-02-01,512001
2023-02-02,512730
2023-02-03,513173
2023-02-04,513876
2023-02-05,514310
2023-02-06,514652
2023-02-07,515015
2023-02-08,515742
2023-02-09,516787
2023-02-10,517361
2023-02-11,518081
2023-02-12,518381
2023-02-13,518652
2023-02-14,519725
2023-02-15,520231
2023-02-16,521165
2023-02-17,521758
2023-02-18,522176
2023-02-19,522756
2023-02-20,523963
2023-02-21,525132
2023-02-22,526123
2023-02-23,526870
2023-02-24,527367
2023-02-25,533595
2023-02-26,535866
2023-02-27,541486
2023-02-28,543751
2023-03-01,544269
2023-03-02,545382
2023-03-03,545906
2023-03-04,546252
2023-03-05,546381
2023-03-06,546868
2023-03-07,547321
2023-03-08,547737
2023-03-09,548937
2023-03-10,549284
2023-03-11,549775
2023-03-12,550298
2023-03-13,550771
2023-03-14,551366
2023-03-15,552087
2023-03-16,552673
2023-03-17,553372
2023-03-18,553910
2023-03-19,554217
2023-03-20,555193
2023-03-21,555497
2023-03-22,556522
2023-03-23,557002
2023-03-24,557410
2023-03-25,557843
2023-03-26,558119
2023-03-27,558434
2023-03-28,559208
2023-03-29,560021
2023-03-30,560913
2023-03-31,562649
2023-04-01,562956
2023-04-02,563159
2023-04-03,563351
2023-04-04,563872
2023-04-05,564566
2023-04-06,565156
2023-04-07,565534
2023-04-08,565976
2023-04-09,566267
2023-04-10,566586
2023-04-11,566953
2023-04-12,567483
2023-04-13,570445
2023-04-14,573906
2023-04-15,575171
2023-04-16,578931
2023-04-17,581778
2023-04-18,585253
2023-04-19,588181
2023-04-20,591540
2023-04-21,595556
2023-04-22,597234
2023-04-23,598656
2023-04-24,602754
2023-04-25,605689
2023-04-26,609346
2023-04-27,612462
2023-04-28,615125
2023-04-29,616455
2023-04-30,617625
2023-05-01,619469
2023-05-02,622485
2023-05-03,628604
2023-05-04,632300
2023-05-05,634430
2023-05-06,639983
2023-05-07,645586
2023-05-08,647570
2023-05-09,650898
2023-05-10,657465
2023-05-11,664315
2023-05-12,671422
2023-05-13,674312
2023-05-14,675928
2023-05-15,678558
2023-05-16,683469
2023-05-17,687713
2023-05-18,693551
2023-05-19,697727
2023-05-20,702068
2023-05-21,705158
2023-05-22,707449
2023-05-23,714318
2023-05-24,716774
2023-05-25,718708
2023-05-26,723823
2023-05-27,726156
2023-05-28,727566
2023-05-29,729519
2023-05-30,731961
2023-05-31,735184
2023-06-01,747913
2023-06-02,754861
2023-06-03,756903
2023-06-04,757667
2023-06-05,760295
2023-06-06,763235
2023-06-07,765876
2023-06-08,769401
2023-06-09,770848
2023-06-10,771514
2023-06-11,772918
2023-06-12,774525
2023-06-13,776931
2023-06-14,778207
2023-06-15,780549
2023-06-16,781765
2023-06-17,782790
2023-06-18,783624
2023-06-19,785810
2023-06-20,787628
2023-06-21,790224
2023-06-22,795037
2023-06-23,796802
2023-06-24,797935
2023-06-25,799350
2023-06-26,801379
2023-06-27,804701
2023-06-28,805630
2023-06-29,806826
2023-06-30,808735
2023-07-01,810345
2023-07-02,811451
2023-07-03,812148
2023-07-04,813535
2023-07-05,814596
2023-07-06,816061
2023-07-07,818109
2023-07-08,818881
2023-07-09,819279
2023-07-10,820209
2023-07-11,822463
2023-07-12,824932
2023-07-13,828890
2023-07-14,831964
2023-07-15,832949
2023-07-16,833734
2023-07-17,835037
2023-07-18,836210
2023-07-19,840143
2023-07-20,842862
2023-07-21,845683
2023-07-22,846929
2023-07-23,848443
2023-07-24,849248
2023-07-25,852591
2023-07-26,854553
2023-07-27,856602
2023-07-28,861037
2023-07-29,861911
2023-07-30,862994
2023-07-31,863898
2023-08-01,865087
2023-08-02,865990
2023-08-03,866712
2023-08-04,868119
2023-08-05,869100
2023-08-06,869620
2023-08-07,870459
2023-08-08,871787
2023-08-09,873536
2023-08-10,875617
2023-08-11,878899
2023-08-12,879876
2023-08-13,880652
2023-08-14,881557
2023-08-15,883269
2023-08-16,884517
2023-08-17,885677
2023-08-18,888729
2023-08-19,890748
2023-08-20,891551
2023-08-21,894316
2023-08-22,897903
2023-08-23,899079
2023-08-24,900951
2023-08-25,902767
2023-08-26,903654
2023-08-27,904255
2023-08-28,906180
2023-08-29,909788
2023-08-30,911549
2023-08-31,913450
2023-09-01,915104
2023-09-02,915737
2023-09-03,916150
2023-09-04,917460
2023-09-05,918799
2023-09-06,919498
2023-09-07,920554
2023-09-08,921931
2023-09-09,922585
2023-09-10,923038
2023-09-11,925042
2023-09-12,925977
2023-09-13,930209
2023-09-14,930976
2023-09-15,932718
2023-09-16,933100
2023-09-17,933772
2023-09-18,935674
2023-09-19,937523
2023-09-20,940159
2023-09-21,940867
2023-09-22,942150
2023-09-23,943213
2023-09-24,943983
2023-09-25,945005
2023-09-26,946974
2023-09-27,948031
2023-09-28,949005
2023-09-29,951358
2023-09-30,952211
2023-10-01,952975
2023-10-02,954347
2023-10-03,955755
2023-10-04,957194
2023-10-05,958617
2023-10-06,960520
2023-10-07,961036
2023-10-08,962011
2023-10-09,965464
2023-10-10,968391
2023-10-11,969489
2023-10-12,970967
2023-10-13,973220
2023-10-14,974840
2023-10-15,975355
2023-10-16,976552
2023-10-17,978645
2023-10-18,980361
2023-10-19,981420
2023-10-20,982182
2023-10-21,982906
2023-10-22,983380
2023-10-23,985394
2023-10-24,986556
2023-10-25,987833
2023-10-26,989177
2023-10-27,990587
2023-10-28,991302
2023-10-29,992396
2023-10-30,996297
2023-10-31,998593
2023-11-01,1000286
2023-11-02,1001439
2023-11-03,1004948
2023-11-04,1006572
2023-11-05,1008071
2023-11-06,1010991
2023-11-07,1013209
2023-11-08,1016835
2023-11-09,1019338
2023-11-10,1021013
2023-11-11,1021770
2023-11-12,1024487
2023-11-13,1025445
2023-11-14,1027123
2023-11-15,1027919
2023-11-16,1029078
2023-11-17,1030917
2023-11-18,1031759
2023-11-19,1032904
2023-11-20,1034209
2023-11-21,1035385
2023-11-22,1039321
2023-11-23,1041860
2023-11-24,1043252
2023-11-25,1044464
2023-11-26,1045067
2023-11-27,1046951
2023-11-28,1048245
2023-11-29,1049929
2023-11-30,1052395
2023-12-01,1055266
2023-12-02,1058060
2023-12-03,1063457
2023-12-04,1065087
2023-12-05,1066470
2023-12-06,1068121
2023-12-07,1069404
2023-12-08,1070773
2023-12-09,1071225
2023-12-10,1071800
2023-12-11,1073902
2023-12-12,1075462
2023-12-13,1078053
2023-12-14,1079485
2023-12-15,1080591
2023-12-16,1081017
2023-12-17,1082419
2023-12-18,1083853
2023-12-19,1085958
2023-12-20,1088682
2023-12-21,1090039
2023-12-22,1093209
2023-12-23,1094381
2023-12-24,1095513
2023-12-25,1097055
2023-12-26,1097746
2023-12-27,1100995
2023-12-28,1102447
2023-12-29,1104301
2023-12-30,1107033
2023-12-31,1108279
2024-01-01,1109822
2024-01-02,1111555
2024-01-03,1113378
2024-01-04,1114690
2024-01-05,1116512
2024-01-06,1117259
2024-01-07,1117897
2024-01-08,1119665
2024-01-09,1121368
2024-01-10,1124462
2024-01-11,1126359
2024-01-12,1128098
2024-01-13,1128859
2024-01-14,1129387
2024-01-15,1131612
2024-01-16,1133240
2024-01-17,1135238
2024-01-18,1138482
2024-01-19,1141142
2024-01-20,1142375
2024-01-21,1143593
2024-01-22,1145296
2024-01-23,1148203
2024-01-24,1150398
2024-01-25,1153811
2024-01-26,1158019
2024-01-27,1160575
2024-01-28,1161884
2024-01-29,1163948
2024-01-30,1166680
2024-01-31,1171951
2024-02-01,1176486
2024-02-02,1181766
2024-02-03,1182598
2024-02-04,1184259
2024-02-05,1186698
2024-02-06,1189145
2024-02-07,1194781
2024-02-08,1198836
2024-02-09,1203780
2024-02-10,1207450
2024-02-11,1209650
2024-02-12,1212136
2024-02-13,1216340
2024-02-14,1218979
2024-02-15,1221491
2024-02-16,1224557
2024-02-17,1227296
2024-02-18,1228000
2024-02-19,1229289
2024-02-20,1232123
2024-02-21,1233640
2024-02-22,1235837
2024-02-23,1237784
2024-02-24,1238832
2024-02-25,1240098
2024-02-26,1242979
2024-02-27,1247632
2024-02-28,1250718
2024-02-29,1253469
2024-03-01,1256112
2024-03-02,1258086
2024-03-03,1260007
2024-03-04,1260923
2024-03-05,1262531
2024-03-06,1265602
2024-03-07,1267713
2024-03-08,1270852
2024-03-09,1271637
2024-03-10,1272383
2024-03-11,1274117
2024-03-12,1274884
2024-03-13,1276737
2024-03-14,1279340
2024-03-15,1282625
2024-03-16,1284055
2024-03-17,1285422
2024-03-18,1287048
2024-03-19,1289412
2024-03-20,1294405
2024-03-21,1297541
2024-03-22,1299003
2024-03-23,1300117
2024-03-24,1300769
2024-03-25,1302626
2024-03-26,1305581
2024-03-27,1310253
2024-03-28,1312434
2024-03-29,1314523
2024-03-30,1316138
2024-03-31,1317476
2024-04-01,1319054
2024-04-02,1321232
2024-04-03,1324082
2024-04-04,1325361
2024-04-05,1326567
2024-04-06,1328147
2024-04-07,1329466
2024-04-08,1331143
2024-04-09,1334274
2024-04-10,1336547
2024-04-11,1340277
2024-04-12,1342470
2024-04-13,1343870
2024-04-14,1345328
2024-04-15,1348179
2024-04-16,1349120
2024-04-17,1350644
2024-04-18,1351353
2024-04-19,1352657
2024-04-20,1353918
2024-04-21,1354830
2024-04-22,1355973
2024-04-23,1357004
2024-04-24,1358184
2024-04-25,1358819
2024-04-26,1360007
2024-04-27,1361068
2024-04-28,1361341
2024-04-29,1362606
2024-04-30,1363044
2024-05-01,1363320
2024-05-02,1363655
2024-05-03,1364371
2024-05-04,1364821
2024-05-05,1365664
2024-05-06,1366110
2024-05-07,1367468
2024-05-08,1368149
2024-05-09,1368915
2024-05-10,1369660
2024-05-11,1370014
2024-05-12,1371020
2024-05-13,1371488
2024-05-14,1372595
2024-05-15,1373360
2024-05-16,1374100
2024-05-17,1374609
2024-05-18,1375109
2024-05-19,1375981
2024-05-20,1379295
