date,timestamp_utc,Fund Volume
2020-10-22,2020-10-22T00:00:00Z,299088
2020-10-23,2020-10-23T00:00:00Z,181016
2020-10-26,2020-10-26T00:00:00Z,250682
2020-10-27,2020-10-27T00:00:00Z,165913
2020-10-28,2020-10-28T00:00:00Z,173106
2020-10-29,2020-10-29T00:00:00Z,113693
2020-10-30,2020-10-30T00:00:00Z,129299
2020-11-02,2020-11-02T00:00:00Z,78923
2020-11-03,2020-11-03T00:00:00Z,142074
2020-11-04,2020-11-04T00:00:00Z,254309
2020-11-05,2020-11-05T00:00:00Z,220503
2020-11-06,2020-11-06T00:00:00Z,217209
2020-11-09,2020-11-09T00:00:00Z,176178
2020-11-10,2020-11-10T00:00:00Z,144630
2020-11-11,2020-11-11T00:00:00Z,268844
2020-11-12,2020-11-12T00:00:00Z,160628
2020-11-13,2020-11-13T00:00:00Z,162261
2020-11-16,2020-11-16T00:00:00Z,169083
2020-11-17,2020-11-17T00:00:00Z,423769
2020-11-18,2020-11-18T00:00:00Z,317085
2020-11-19,2020-11-19T00:00:00Z,137926
2020-11-20,2020-11-20T00:00:00Z,447500
2020-11-23,2020-11-23T00:00:00Z,776331
2020-11-24,2020-11-24T00:00:00Z,578336
2020-11-25,2020-11-25T00:00:00Z,694436
2020-11-27,2020-11-27T00:00:00Z,368838
2020-11-30,2020-11-30T00:00:00Z,410550
2020-12-01,2020-12-01T00:00:00Z,324450
2020-12-02,2020-12-02T00:00:00Z,259882
2020-12-03,2020-12-03T00:00:00Z,377292
2020-12-04,2020-12-04T00:00:00Z,321017
2020-12-07,2020-12-07T00:00:00Z,368965
2020-12-08,2020-12-08T00:00:00Z,292035
2020-12-09,2020-12-09T00:00:00Z,358179
2020-12-10,2020-12-10T00:00:00Z,272016
2020-12-11,2020-12-11T00:00:00Z,158027
2020-12-14,2020-12-14T00:00:00Z,198289
2020-12-15,2020-12-15T00:00:00Z,227635
2020-12-16,2020-12-16T00:00:00Z,399235
2020-12-17,2020-12-17T00:00:00Z,587312
2020-12-18,2020-12-18T00:00:00Z,3778953
2020-12-21,2020-12-21T00:00:00Z,2832117
2020-12-22,2020-12-22T00:00:00Z,2549151
2020-12-23,2020-12-23T00:00:00Z,4553347
2020-12-24,2020-12-24T00:00:00Z,5109134
2020-12-28,2020-12-28T00:00:00Z,5324740
2020-12-29,2020-12-29T00:00:00Z,5073935
2020-12-30,2020-12-30T00:00:00Z,2991251
2020-12-31,2020-12-31T00:00:00Z,3031718
2021-01-04,2021-01-04T00:00:00Z,26692813
2021-01-05,2021-01-05T00:00:00Z,14028608
2021-01-06,2021-01-06T00:00:00Z,13136362
2021-01-07,2021-01-07T00:00:00Z,13519636
2021-01-08,2021-01-08T00:00:00Z,10289160
2021-01-11,2021-01-11T00:00:00Z,11665015
2021-01-12,2021-01-12T00:00:00Z,6623757
2021-01-13,2021-01-13T00:00:00Z,6624507
2021-01-14,2021-01-14T00:00:00Z,6777185
2021-01-15,2021-01-15T00:00:00Z,6777185
2021-01-19,2021-01-19T00:00:00Z,9548134
2021-01-20,2021-01-20T00:00:00Z,6893825
2021-01-21,2021-01-21T00:00:00Z,6535647
2021-01-22,2021-01-22T00:00:00Z,5467519
2021-01-25,2021-01-25T00:00:00Z,7889038
2021-01-26,2021-01-26T00:00:00Z,8001191
2021-01-27,2021-01-27T00:00:00Z,7365488
2021-01-28,2021-01-28T00:00:00Z,7469621
2021-01-29,2021-01-29T00:00:00Z,6223804
2021-02-01,2021-02-01T00:00:00Z,7727320
2021-02-02,2021-02-02T00:00:00Z,10359769
2021-02-03,2021-02-03T00:00:00Z,9429319
2021-02-04,2021-02-04T00:00:00Z,7556791
2021-02-05,2021-02-05T00:00:00Z,7049032
2021-02-08,2021-02-08T00:00:00Z,10059289
2021-02-09,2021-02-09T00:00:00Z,6114656
2021-02-10,2021-02-10T00:00:00Z,6114656
2021-02-11,2021-02-11T00:00:00Z,3994449
2021-02-12,2021-02-12T00:00:00Z,5284437
2021-02-16,2021-02-16T00:00:00Z,6522332
2021-02-17,2021-02-17T00:00:00Z,5335294
2021-02-18,2021-02-18T00:00:00Z,8052809
2021-02-19,2021-02-19T00:00:00Z,8053723
2021-02-22,2021-02-22T00:00:00Z,9978294
2021-02-23,2021-02-23T00:00:00Z,11090371
2021-02-24,2021-02-24T00:00:00Z,4830040
2021-02-25,2021-02-25T00:00:00Z,4831025
2021-02-26,2021-02-26T00:00:00Z,6260565
2021-03-01,2021-03-01T00:00:00Z,5777485
2021-03-02,2021-03-02T00:00:00Z,3523579
2021-03-03,2021-03-03T00:00:00Z,4656012
2021-03-04,2021-03-04T00:00:00Z,5699100
2021-03-05,2021-03-05T00:00:00Z,8185282
2021-03-08,2021-03-08T00:00:00Z,6924587
2021-03-09,2021-03-09T00:00:00Z,4515406
2021-03-10,2021-03-10T00:00:00Z,3966774
2021-03-11,2021-03-11T00:00:00Z,3639163
2021-03-12,2021-03-12T00:00:00Z,4147356
2021-03-15,2021-03-15T00:00:00Z,5028846
2021-03-16,2021-03-16T00:00:00Z,2229437
2021-03-17,2021-03-17T00:00:00Z,4489766
2021-03-18,2021-03-18T00:00:00Z,3375488
2021-03-19,2021-03-19T00:00:00Z,3997659
2021-03-22,2021-03-22T00:00:00Z,2766486
2021-03-23,2021-03-23T00:00:00Z,2596394
2021-03-24,2021-03-24T00:00:00Z,3801211
2021-03-25,2021-03-25T00:00:00Z,5069512
2021-03-26,2021-03-26T00:00:00Z,2404942
2021-03-29,2021-03-29T00:00:00Z,4443552
2021-03-30,2021-03-30T00:00:00Z,2882440
2021-03-31,2021-03-31T00:00:00Z,3488590
2021-04-01,2021-04-01T00:00:00Z,4550073
2021-04-05,2021-04-05T00:00:00Z,7218074
2021-04-06,2021-04-06T00:00:00Z,4651950
2021-04-07,2021-04-07T00:00:00Z,4997705
2021-04-08,2021-04-08T00:00:00Z,3444278
2021-04-09,2021-04-09T00:00:00Z,2733606
2021-04-12,2021-04-12T00:00:00Z,4336077
2021-04-13,2021-04-13T00:00:00Z,10192552
2021-04-14,2021-04-14T00:00:00Z,8001999
2021-04-15,2021-04-15T00:00:00Z,6243868
2021-04-16,2021-04-16T00:00:00Z,5646021
2021-04-19,2021-04-19T00:00:00Z,8370955
2021-04-20,2021-04-20T00:00:00Z,7250944
2021-04-21,2021-04-21T00:00:00Z,5390015
2021-04-22,2021-04-22T00:00:00Z,15211188
2021-04-23,2021-04-23T00:00:00Z,9359542
2021-04-26,2021-04-26T00:00:00Z,6557783
2021-04-27,2021-04-27T00:00:00Z,7947245
2021-04-28,2021-04-28T00:00:00Z,6992077
2021-04-29,2021-04-29T00:00:00Z,10965306
2021-04-30,2021-04-30T00:00:00Z,6409063
2021-05-03,2021-05-03T00:00:00Z,14085485
2021-05-04,2021-05-04T00:00:00Z,17308524
2021-05-05,2021-05-05T00:00:00Z,8695189
2021-05-06,2021-05-06T00:00:00Z,11160998
2021-05-07,2021-05-07T00:00:00Z,6536661
2021-05-10,2021-05-10T00:00:00Z,15479942
2021-05-11,2021-05-11T00:00:00Z,11552010
2021-05-12,2021-05-12T00:00:00Z,15993002
2021-05-13,2021-05-13T00:00:00Z,21639668
2021-05-14,2021-05-14T00:00:00Z,11505850
2021-05-17,2021-05-17T00:00:00Z,15069313
2021-05-18,2021-05-18T00:00:00Z,6579425
2021-05-19,2021-05-19T00:00:00Z,33152965
2021-05-20,2021-05-20T00:00:00Z,13710512
2021-05-21,2021-05-21T00:00:00Z,16493954
2021-05-24,2021-05-24T00:00:00Z,15372209
2021-05-25,2021-05-25T00:00:00Z,8048765
2021-05-26,2021-05-26T00:00:00Z,7930968
2021-05-27,2021-05-27T00:00:00Z,6626884
2021-05-28,2021-05-28T00:00:00Z,8525814
2021-05-31,2021-05-31T00:00:00Z,37562
2021-06-01,2021-06-01T00:00:00Z,5775646
2021-06-02,2021-06-02T00:00:00Z,6360516
2021-06-03,2021-06-03T00:00:00Z,4853088
2021-06-04,2021-06-04T00:00:00Z,5203646
2021-06-07,2021-06-07T00:00:00Z,4588207
2021-06-08,2021-06-08T00:00:00Z,13796328
2021-06-09,2021-06-09T00:00:00Z,7178891
2021-06-10,2021-06-10T00:00:00Z,4502255
2021-06-11,2021-06-11T00:00:00Z,5042978
2021-06-14,2021-06-14T00:00:00Z,6170135
2021-06-15,2021-06-15T00:00:00Z,3767981
2021-06-16,2021-06-16T00:00:00Z,4067011
2021-06-17,2021-06-17T00:00:00Z,4025126
2021-06-18,2021-06-18T00:00:00Z,6592826
2021-06-21,2021-06-21T00:00:00Z,10308503
2021-06-22,2021-06-22T00:00:00Z,15548176
2021-06-23,2021-06-23T00:00:00Z,5143006
2021-06-24,2021-06-24T00:00:00Z,3830823
2021-06-25,2021-06-25T00:00:00Z,6954820
2021-06-28,2021-06-28T00:00:00Z,7359293
2021-06-29,2021-06-29T00:00:00Z,6151191
2021-06-30,2021-06-30T00:00:00Z,4391166
2021-07-01,2021-07-01T00:00:00Z,4494866
2021-07-02,2021-07-02T00:00:00Z,2918201
2021-07-05,2021-07-05T00:00:00Z,12520
2021-07-06,2021-07-06T00:00:00Z,5133342
2021-07-07,2021-07-07T00:00:00Z,4168457
2021-07-08,2021-07-08T00:00:00Z,6726208
2021-07-09,2021-07-09T00:00:00Z,4175552
2021-07-12,2021-07-12T00:00:00Z,4667051
2021-07-13,2021-07-13T00:00:00Z,4976336
2021-07-14,2021-07-14T00:00:00Z,3715674
2021-07-15,2021-07-15T00:00:00Z,5531407
2021-07-16,2021-07-16T00:00:00Z,3719340
2021-07-19,2021-07-19T00:00:00Z,4605017
2021-07-20,2021-07-20T00:00:00Z,4679554
2021-07-21,2021-07-21T00:00:00Z,6484260
2021-07-22,2021-07-22T00:00:00Z,3439273
2021-07-23,2021-07-23T00:00:00Z,3703468
2021-07-26,2021-07-26T00:00:00Z,9105207
2021-07-27,2021-07-27T00:00:00Z,5836233
2021-07-28,2021-07-28T00:00:00Z,4121510
2021-07-29,2021-07-29T00:00:00Z,3980458
2021-07-30,2021-07-30T00:00:00Z,3811703
2021-08-02,2021-08-02T00:00:00Z,6928481
2021-08-03,2021-08-03T00:00:00Z,4966159
2021-08-04,2021-08-04T00:00:00Z,6058570
2021-08-05,2021-08-05T00:00:00Z,10603157
