date,timestamp_utc,Fund Holdings
2021-10-13,2021-10-13T00:00:00Z,3205290.009458
2021-10-14,2021-10-14T00:00:00Z,3205635.956615
2021-10-15,2021-10-15T00:00:00Z,3205421.946464
2021-10-16,2021-10-16T00:00:00Z,3205421.946464
2021-10-17,2021-10-17T00:00:00Z,3205421.946464
2021-10-18,2021-10-18T00:00:00Z,3204978.493352
2021-10-19,2021-10-19T00:00:00Z,3205124.552567
2021-10-20,2021-10-20T00:00:00Z,3206003.818786
2021-10-21,2021-10-21T00:00:00Z,3205547.360183
2021-10-22,2021-10-22T00:00:00Z,3205263.870426
2021-10-23,2021-10-23T00:00:00Z,3205263.870426
2021-10-24,2021-10-24T00:00:00Z,3205263.870426
2021-10-25,2021-10-25T00:00:00Z,3205292.40497
2021-10-26,2021-10-26T00:00:00Z,3205590.0760270003
2021-10-27,2021-10-27T00:00:00Z,3208249.537641
2021-10-28,2021-10-28T00:00:00Z,3210387.797795
2021-10-29,2021-10-29T00:00:00Z,3211962.705242
2021-10-30,2021-10-30T00:00:00Z,3211962.705242
2021-10-31,2021-10-31T00:00:00Z,3211962.705242
2021-11-01,2021-11-01T00:00:00Z,3211693.583115
2021-11-02,2021-11-02T00:00:00Z,3211622.226737
2021-11-03,2021-11-03T00:00:00Z,3211898.4242860004
2021-11-04,2021-11-04T00:00:00Z,3211860.226917
2021-11-05,2021-11-05T00:00:00Z,3212671.1131160003
2021-11-06,2021-11-06T00:00:00Z,3212671.1131160003
2021-11-07,2021-11-07T00:00:00Z,3212671.1131160003
2021-11-08,2021-11-08T00:00:00Z,3212764.291709
2021-11-09,2021-11-09T00:00:00Z,3213220.783861
2021-11-10,2021-11-10T00:00:00Z,3213450.986992
2021-11-11,2021-11-11T00:00:00Z,3212992.77962
2021-11-12,2021-11-12T00:00:00Z,3212826.824843
2021-11-13,2021-11-13T00:00:00Z,3212826.824843
2021-11-14,2021-11-14T00:00:00Z,3212826.824843
2021-11-15,2021-11-15T00:00:00Z,3212944.851341
2021-11-16,2021-11-16T00:00:00Z,3212994.068667
2021-11-17,2021-11-17T00:00:00Z,3212616.182532
2021-11-18,2021-11-18T00:00:00Z,3212615.483623
2021-11-19,2021-11-19T00:00:00Z,3213635.01585
2021-11-20,2021-11-20T00:00:00Z,3213635.01585
2021-11-21,2021-11-21T00:00:00Z,3213635.01585
2021-11-22,2021-11-22T00:00:00Z,3213910.194708
2021-11-23,2021-11-23T00:00:00Z,3215892.397171
2021-11-24,2021-11-24T00:00:00Z,3217849.393319
2021-11-25,2021-11-25T00:00:00Z,3217801.497813
2021-11-26,2021-11-26T00:00:00Z,3218741.567603
2021-11-27,2021-11-27T00:00:00Z,3218741.567603
2021-11-28,2021-11-28T00:00:00Z,3218741.567603
2021-11-29,2021-11-29T00:00:00Z,3216671.136041
2021-11-30,2021-11-30T00:00:00Z,3216905.986204
2021-12-01,2021-12-01T00:00:00Z,3218150.10331
2021-12-02,2021-12-02T00:00:00Z,3218129.4271690003
2021-12-03,2021-12-03T00:00:00Z,3216835.135031
2021-12-04,2021-12-04T00:00:00Z,3216835.135031
2021-12-05,2021-12-05T00:00:00Z,3216835.135031
2021-12-06,2021-12-06T00:00:00Z,3214224.148177
