date,gecko_id,total_flow_usd
2026-03-30,bitcoin,69400000
2026-03-31,solana,0
2026-04-01,bitcoin,-173700000
2026-04-02,ethereum,-71200000
2026-04-06,solana,0
2026-04-07,solana,-15300000
2026-04-08,solana,-2000000
2026-04-09,ethereum,85200000
2026-04-10,ethereum,64900000
2026-04-13,ethereum,9500000
2026-04-14,ethereum,3300000
