name,symbol,pegType,pegMechanism,circulating,circulatingPrevDay,circulatingPrevWeek,circulatingPrevMonth,chains,price
Mezo USD,MUSD,peggedUSD,crypto-backed,"{""peggedUSD"":20914161.121484555}","{""peggedUSD"":19731767.958275516}","{""peggedUSD"":19211355.45982135}","{""peggedUSD"":19071797.795059893}","Mezo, Ethereum",1.0152747165436313
fxUSD,fxUSD,peggedUSD,crypto-backed,"{""peggedUSD"":20829615.416761108}","{""peggedUSD"":19520821.00730643}","{""peggedUSD"":17200239.52191112}","{""peggedUSD"":16425361.207910609}",Ethereum,0.9995971867170236
Fantom USD,FUSD,peggedUSD,crypto-backed,"{""peggedUSD"":18937052.032729585}","{""peggedUSD"":18937052.032729585}","{""peggedUSD"":18937052.032729585}","{""peggedUSD"":18937052.032729585}",Fantom,1.00000298439288
SpiceUSD,USDS,peggedUSD,algorithmic,"{""peggedUSD"":18047782.488423534}","{""peggedUSD"":18047782.488423534}","{""peggedUSD"":18047782.488423534}","{""peggedUSD"":18047782.488423534}","Avalanche, BSC, Polygon, Ethereum",1.00000298439288
GAIB AID,AID,peggedUSD,fiat-backed,"{""peggedUSD"":17846312.009450205}","{""peggedUSD"":17846312.009450205}","{""peggedUSD"":17874179.626140486}","{""peggedUSD"":19941921.664279085}","Ethereum, Base, Arbitrum, BSC",0.9984079669975401
TOR,TOR,peggedUSD,crypto-backed,"{""peggedUSD"":17070481.490329992}","{""peggedUSD"":17070481.490329992}","{""peggedUSD"":17070481.490329992}","{""peggedUSD"":17070481.490329992}",Fantom,
Resolv USD,USR,peggedUSD,crypto-backed,"{""peggedUSD"":16730840.212991027}","{""peggedUSD"":16730840.21299103}","{""peggedUSD"":16730840.21299103}","{""peggedUSD"":12698101.92972361}","Ethereum, Base, BSC, Soneium, Hyperliquid L1, Berachain",0.12294230136621342
Mento Dollar,USDm,peggedUSD,algorithmic,"{""peggedUSD"":16559392.757654443}","{""peggedUSD"":16745713.298131095}","{""peggedUSD"":16810108.42975508}","{""peggedUSD"":15823637.890612122}","Celo, Monad, Ethereum, Solana, Kaia",0.9996791238910439
USP,USP,peggedUSD,crypto-backed,"{""peggedUSD"":16230281.019467654}","{""peggedUSD"":16230281.019467654}","{""peggedUSD"":15050013.844733706}","{""peggedUSD"":15180811.758810423}",Ethereum,1.0822402676978755
Hylo HYUSD,HYUSD,peggedUSD,crypto-backed,"{""peggedUSD"":15606032.280364}","{""peggedUSD"":15514074.182391}","{""peggedUSD"":15764859.225033}","{""peggedUSD"":17562125.629468}",Solana,
Alchemix USD,ALUSD,peggedUSD,algorithmic,"{""peggedUSD"":15384125.108084051}","{""peggedUSD"":13660978.191593818}","{""peggedUSD"":13660978.191593818}","{""peggedUSD"":13661548.02299134}","Ethereum, OP Mainnet, Arbitrum, Fantom",0.993232073538835
Felix feUSD,FEUSD,peggedUSD,crypto-backed,"{""peggedUSD"":15024676.608908957}","{""peggedUSD"":15012144.247053547}","{""peggedUSD"":14879228.740739256}","{""peggedUSD"":15318994.665619647}",Hyperliquid L1,0.9955051184842424
Moneta,USDM,peggedUSD,fiat-backed,"{""peggedUSD"":14545705.339969898}","{""peggedUSD"":14522606.271033406}","{""peggedUSD"":14401406.599327048}","{""peggedUSD"":14704326.93335764}",Cardano,1.00000298439288
Real USD,USDR,peggedUSD,algorithmic,"{""peggedUSD"":12163041.778204324}","{""peggedUSD"":12163041.778204324}","{""peggedUSD"":12163041.778204324}","{""peggedUSD"":12163041.778204324}","Polygon, re.al",0.2749263856266674
Stable Coin,SBC,peggedUSD,fiat-backed,"{""peggedUSD"":12099866.542677596}","{""peggedUSD"":12093259.694460459}","{""peggedUSD"":12378909.060824735}","{""peggedUSD"":4948664.47822114}","Solana, Ethereum, Polygon, Base, EthereumClassic, Stellar, Celo, Avalanche, Arbitrum, OP Mainnet",0.9997576159519359
Neutrino USD,USDN,peggedUSD,algorithmic,"{""peggedUSD"":11898626.609019564}","{""peggedUSD"":11898626.617333766}","{""peggedUSD"":11898626.642276378}","{""peggedUSD"":11898626.71710421}","Waves, Ethereum, BSC, Polygon",0.029099741595657685
YUSD Stablecoin,YUSD,peggedUSD,crypto-backed,"{""peggedUSD"":11798741.858831178}","{""peggedUSD"":11798741.858831178}","{""peggedUSD"":11798741.858831178}","{""peggedUSD"":11798741.858831178}",Avalanche,0.9967362101738699
Youves uUSD,UUSD,peggedUSD,crypto-backed,"{""peggedUSD"":11779716.619316507}","{""peggedUSD"":11769367.389912605}","{""peggedUSD"":11749996.713666892}","{""peggedUSD"":11690712.944537181}",Tezos,0.9487263718050544
Hydrated Dollar,HOLLAR,peggedUSD,crypto-backed,"{""peggedUSD"":11622688.164737388}","{""peggedUSD"":11608116.421495795}","{""peggedUSD"":11729182.849234436}","{""peggedUSD"":12040379.516365508}",Hydration,
Worldwide USD,WUSD,peggedUSD,fiat-backed,"{""peggedUSD"":11542374.260719473}","{""peggedUSD"":11542374.520455362}","{""peggedUSD"":11535641.179348828}","{""peggedUSD"":11889105.893224545}","Ethereum, Polygon",0.9989841964859204
R,R,peggedUSD,crypto-backed,"{""peggedUSD"":10722215.504521368}","{""peggedUSD"":10722215.504521368}","{""peggedUSD"":10722215.504521368}","{""peggedUSD"":10722215.504521368}","Ethereum, Base",1.00000298439288
Pinto,PINTO,peggedUSD,crypto-backed,"{""peggedUSD"":10631061.333603}","{""peggedUSD"":10630935.702192}","{""peggedUSD"":10630782.734021}","{""peggedUSD"":10630468.198798}",Base,
Anzen USDz,USDz,peggedUSD,fiat-backed,"{""peggedUSD"":10437789.981085151}","{""peggedUSD"":10437789.981085151}","{""peggedUSD"":10437789.981085151}","{""peggedUSD"":17291096.399635617}","Base, Ethereum, Manta, Blast",0.9902728097881124
Noble Dollar,USDN,peggedUSD,fiat-backed,"{""peggedUSD"":10330126.251143264}","{""peggedUSD"":13090679.413154231}","{""peggedUSD"":13697884.194254814}","{""peggedUSD"":24575678.318861965}",Noble,0.9999044089716155
Anzens USDA,USDA,peggedUSD,fiat-backed,"{""peggedUSD"":9602771.285154246}","{""peggedUSD"":9602771.285154246}","{""peggedUSD"":9602743.191593511}","{""peggedUSD"":9738830.516839923}",Cardano,1.0033414547890098
Lift Dollar,USDL,peggedUSD,fiat-backed,"{""peggedUSD"":9003252.317569753}",{},{},{},"Arbitrum, Ethereum",
Hermetica USDh,USDH,peggedUSD,fiat-backed,"{""peggedUSD"":8768030.45792009}","{""peggedUSD"":8767058.43963884}","{""peggedUSD"":9043813.58434557}","{""peggedUSD"":10998820.7200102}",Stacks,
USD+,USD+,peggedUSD,crypto-backed,"{""peggedUSD"":8391602.960024}","{""peggedUSD"":8392653.824849}","{""peggedUSD"":8309458.9063409995}","{""peggedUSD"":8472800.714304}","Base, Arbitrum, Avalanche, BSC, OP Mainnet, ZKsync Era, Linea, Polygon, Blast",0
NXUSD,NXUSD,peggedUSD,crypto-backed,"{""peggedUSD"":7644230.426048321}","{""peggedUSD"":7644230.426048321}","{""peggedUSD"":7644230.426048321}","{""peggedUSD"":7632230.426048323}","Avalanche, Polygon",
Bitcoin USD,BtcUSD,peggedUSD,crypto-backed,"{""peggedUSD"":7604704.112701782}","{""peggedUSD"":7602706.89525915}","{""peggedUSD"":7596371.139974185}","{""peggedUSD"":7604860.82513233}","Base, Bifrost Network",0.9918048708333475
USBD,USBD,peggedUSD,crypto-backed,"{""peggedUSD"":7507184.486543117}","{""peggedUSD"":7507184.486543117}","{""peggedUSD"":7507184.486543117}","{""peggedUSD"":7478225.089646905}","Hemi, Ethereum, GOAT, CORE, Plume Mainnet, Sonic, BSC",
Mu Digital AZND,AZND,peggedUSD,crypto-backed,"{""peggedUSD"":7200086.534753909}","{""peggedUSD"":8399954.974885829}","{""peggedUSD"":9799801.488373065}","{""peggedUSD"":10489725.841448922}",Monad,0.9998903667765995
USDX Money USDX,USDX,peggedUSD,crypto-backed,"{""peggedUSD"":7066185.886863931}","{""peggedUSD"":0}","{""peggedUSD"":0}","{""peggedUSD"":0}","BSC, Arbitrum, Ethereum",0.010339112279847877
Web 3 Dollar,USD3,peggedUSD,crypto-backed,"{""peggedUSD"":7008092.062542324}","{""peggedUSD"":7008092.062542324}","{""peggedUSD"":7010085.182877558}","{""peggedUSD"":6942492.994389243}","Ethereum, Base",
dForce USD,USX,peggedUSD,crypto-backed,"{""peggedUSD"":6978480.03637685}","{""peggedUSD"":6978480.04025584}","{""peggedUSD"":6978481.040106101}","{""peggedUSD"":6978618.247323633}","Arbitrum, OP Mainnet, Ethereum, Base, BSC, Polygon, Conflux, Avalanche, Kava",0.4610674403861906
Origin Dollar,OUSD,peggedUSD,crypto-backed,"{""peggedUSD"":6745880.048265232}","{""peggedUSD"":6684371.228943297}","{""peggedUSD"":7634181.453562639}","{""peggedUSD"":7575981.074029184}",Ethereum,0.9992826185276086
Solayer USD,sUSD,peggedUSD,fiat-backed,"{""peggedUSD"":6215116.359471904}","{""peggedUSD"":6238751.004749513}","{""peggedUSD"":6267969.01940323}","{""peggedUSD"":6342193.340855516}",Solana,1.109902171172061
HomeCoin,HOME,peggedUSD,crypto-backed,"{""peggedUSD"":6066850.483774353}","{""peggedUSD"":6066850.483774353}","{""peggedUSD"":6066850.483774353}","{""peggedUSD"":6066850.483774353}",Ethereum,1.00000298439288
USDX,USDX,peggedUSD,crypto-backed,"{""peggedUSD"":6014024.143080492}","{""peggedUSD"":6042318.861672459}","{""peggedUSD"":6097232.899218278}","{""peggedUSD"":6209800.329976454}",Kava,0.5518444130822838
StablR USD,USDR,peggedUSD,fiat-backed,"{""peggedUSD"":5965509.763845435}","{""peggedUSD"":5965509.763845435}","{""peggedUSD"":5965509.763845435}","{""peggedUSD"":5765579.95205791}",Ethereum,0.999636063668798
USDU Finance,USDU,peggedUSD,crypto-backed,"{""peggedUSD"":5034571.412206083}","{""peggedUSD"":5034571.412206083}","{""peggedUSD"":5034571.412206083}","{""peggedUSD"":5281248.261088511}",Ethereum,0.9998596133049042
Plume USD,pUSD,peggedUSD,crypto-backed,"{""peggedUSD"":4892946.08007329}","{""peggedUSD"":3905895.3671143437}","{""peggedUSD"":7386685.712556009}","{""peggedUSD"":7047251.507499951}","Plume Mainnet, Ethereum",1.0003485665254517
XAI,XAI,peggedUSD,crypto-backed,"{""peggedUSD"":4858106.408739138}","{""peggedUSD"":4858106.408739138}","{""peggedUSD"":4858039.260857228}","{""peggedUSD"":4858039.260857228}",Ethereum,1.00000298439288
Dollar on Chain,DOC,peggedUSD,crypto-backed,"{""peggedUSD"":4682779.084562652}","{""peggedUSD"":4666743.096875013}","{""peggedUSD"":4631600.580959247}","{""peggedUSD"":4770524.082311603}","Rootstock, Arbitrum, Ethereum",1.00000298439288
YU,YU,peggedUSD,crypto-backed,"{""peggedUSD"":4259852.582327149}","{""peggedUSD"":4259852.582327149}","{""peggedUSD"":4259852.582327149}","{""peggedUSD"":4241448.194097804}","Ethereum, Solana, Base, BSC",0.14754673937640012
Parrot USD,PAI,peggedUSD,crypto-backed,"{""peggedUSD"":4223733.400091}","{""peggedUSD"":4223733.400091}","{""peggedUSD"":4223733.402359}","{""peggedUSD"":4223733.416517}",Solana,
Parallel USDp,USDp,peggedUSD,crypto-backed,"{""peggedUSD"":3964140.558430744}","{""peggedUSD"":3795196.552666748}","{""peggedUSD"":3879648.821200329}","{""peggedUSD"":3398500.903612118}","Avalanche, Hyperliquid L1, Sonic, Base, Ethereum, OP Mainnet, Arbitrum, Sei, BSC, Polygon, Berachain, TAC, Scroll, Gnosis, Unichain, Ink, Plasma, Linea, Hemi, Fraxtal, Plume Mainnet, World Chain, X Layer, Katana",1.00000298439288
Fei USD,FEI,peggedUSD,algorithmic,"{""peggedUSD"":3756213.640630885}","{""peggedUSD"":3756213.640630885}","{""peggedUSD"":3745801.3627510956}","{""peggedUSD"":3719615.300131385}",Ethereum,1.0007071803777485
Djed StableCoin,DJED,peggedUSD,algorithmic,"{""peggedUSD"":3430577.100856083}","{""peggedUSD"":3430577.100856083}","{""peggedUSD"":3435035.4867549143}","{""peggedUSD"":3497088.9036423047}",Cardano,0.9968963528131496
Pareto USP,USP,peggedUSD,crypto-backed,"{""peggedUSD"":3368014.496358074}","{""peggedUSD"":3368014.496358074}","{""peggedUSD"":3355370.377341983}","{""peggedUSD"":3565091.9425617703}",Ethereum,
mStable USD,MUSD,peggedUSD,crypto-backed,"{""peggedUSD"":3207203.4388566264}","{""peggedUSD"":3207203.4388566264}","{""peggedUSD"":3207203.4388566264}","{""peggedUSD"":3207203.4388566264}","Ethereum, Polygon, Gnosis",0.9999149690597379
Solomon USDv,USDV,peggedUSD,crypto-backed,"{""peggedUSD"":3019561.857212478}","{""peggedUSD"":3019561.657105821}","{""peggedUSD"":3017699.992634994}","{""peggedUSD"":3016239.1233994686}",Solana,1.0009336548960122
DigitalDollar,DUSD,peggedUSD,fiat-backed,"{""peggedUSD"":2952332.7033144035}","{""peggedUSD"":2952332.7033144035}","{""peggedUSD"":2952332.7033144035}","{""peggedUSD"":2952332.7033144035}",Arbitrum,1.00000298439288
Palm USD,PUSD,peggedUSD,fiat-backed,"{""peggedUSD"":2951113.59902611}","{""peggedUSD"":2951113.59902611}","{""peggedUSD"":451106.13804391003}","{""peggedUSD"":451106.13804391003}","Solana, Ethereum, BSC, Tron",1.00000298439288
Balanced Dollars,BNUSD,peggedUSD,crypto-backed,"{""peggedUSD"":2844021.859912303}","{""peggedUSD"":2840116.4933764655}","{""peggedUSD"":2830451.6573040043}","{""peggedUSD"":2858984.422142867}","Icon, Archway, Base, Avalanche, Arbitrum, Injective, BSC, Havah, OP Mainnet",1.000128952447667
Nexus USD,NUSD,peggedUSD,crypto-backed,"{""peggedUSD"":2664002.864097716}","{""peggedUSD"":2664023.1397073353}","{""peggedUSD"":2664020.14383336}","{""peggedUSD"":2664020.1438333592}","Ethereum, BSC, Avalanche, Aurora, Boba, Arbitrum, OP Mainnet, Polygon, Cronos, Fantom, Metis, Harmony, DFK",1.00000298439288
USDP Stablecoin,USDP,peggedUSD,crypto-backed,"{""peggedUSD"":2638519.2683828482}","{""peggedUSD"":2638519.2683828482}","{""peggedUSD"":2638519.2683828482}","{""peggedUSD"":2638618.5390825784}","Ethereum, Gnosis, BSC, Fantom",1.00000298439288
Citrea USD,ctUSD,peggedUSD,fiat-backed,"{""peggedUSD"":2546579.879207}","{""peggedUSD"":2546569.189207}","{""peggedUSD"":1546574.729207}","{""peggedUSD"":1047184.829943}",Citrea,
Vai,VAI,peggedUSD,crypto-backed,"{""peggedUSD"":2476387.6411638656}","{""peggedUSD"":2476387.6411638656}","{""peggedUSD"":2481748.487182629}","{""peggedUSD"":2480681.8209368326}",BSC,0.9998734742262234
US Sonic Dollar,USSD,peggedUSD,crypto-backed,"{""peggedUSD"":2281258.7525319476}","{""peggedUSD"":2226247.4055519477}","{""peggedUSD"":2191054.0059369477}","{""peggedUSD"":681763.3370340001}",Sonic,
Synnax Stablecoin,syUSD,peggedUSD,crypto-backed,"{""peggedUSD"":2150642.2905625096}","{""peggedUSD"":2150642.2905625096}","{""peggedUSD"":2194476.1997740422}","{""peggedUSD"":3589569.9539492056}",Sei,
iUSD,IUSD,peggedUSD,crypto-backed,"{""peggedUSD"":2106749.883555381}","{""peggedUSD"":2109853.8517722655}","{""peggedUSD"":2106440.1604878767}","{""peggedUSD"":2128163.1494825915}",Cardano,1.0009641650266017
XUSD,XUSD,peggedUSD,crypto-backed,"{""peggedUSD"":2027165.087205037}","{""peggedUSD"":2020641.824654769}","{""peggedUSD"":2017882.2146114577}","{""peggedUSD"":2038712.6459885428}",Rootstock,0.9991334594663872
Liquid Loans USDL,USDL,peggedUSD,crypto-backed,"{""peggedUSD"":1922805.7372355275}","{""peggedUSD"":1937171.3217077446}","{""peggedUSD"":1963906.5059808968}","{""peggedUSD"":2571103.850567895}",PulseChain,1.0029358824012164
Sovryn Dollar,DLLR,peggedUSD,crypto-backed,"{""peggedUSD"":1895882.8914035177}","{""peggedUSD"":1896432.314917132}","{""peggedUSD"":1910258.5032544595}","{""peggedUSD"":1939689.486567516}",Rootstock,0.9964112336448921
Glo Dollar,USDGLO,peggedUSD,fiat-backed,"{""peggedUSD"":1811064.3842317231}","{""peggedUSD"":1824228.390404655}","{""peggedUSD"":1826600.2349054802}","{""peggedUSD"":1840149.0466393887}","Celo, Ethereum, OP Mainnet, Base, Stellar, Arbitrum, Polygon, VeChain",0.9999344438555016
dTRINITY USD,dUSD,peggedUSD,crypto-backed,"{""peggedUSD"":1531088.711009998}","{""peggedUSD"":1529961.8990441419}","{""peggedUSD"":1525092.8169887282}","{""peggedUSD"":1824337.1036206651}","Ethereum, Fraxtal, Sonic, Katana, Ronin",0.994259527662926
USDW,USDW,peggedUSD,crypto-backed,"{""peggedUSD"":1444856.0510279255}","{""peggedUSD"":1444856.0510279255}","{""peggedUSD"":1444856.0510279255}","{""peggedUSD"":1444856.0510279255}",EthereumPoW,1.00000298439288
RIF US Dollar,USDRIF,peggedUSD,crypto-backed,"{""peggedUSD"":1420242.3921570515}","{""peggedUSD"":1395025.120240336}","{""peggedUSD"":1395059.3802961372}","{""peggedUSD"":1338714.4788318807}",Rootstock,0.9940691995066726
USN,USN,peggedUSD,algorithmic,"{""peggedUSD"":1419104.1200293934}","{""peggedUSD"":1419104.1200293934}","{""peggedUSD"":1419104.1200293934}","{""peggedUSD"":1419104.1200293934}","Near, Aurora",1.00000298439288
USDM,USDM,peggedUSD,fiat-backed,"{""peggedUSD"":1397210.4353328845}","{""peggedUSD"":1397210.4353328845}","{""peggedUSD"":1397210.4353328845}","{""peggedUSD"":1397210.4353328845}","Ethereum, ZKsync Era, Arbitrum, Base, OP Mainnet, Polygon",0.9989440551019558
SMARDEX USDN,USDN,peggedUSD,crypto-backed,"{""peggedUSD"":1369978.1981982235}","{""peggedUSD"":1374966.9895948947}","{""peggedUSD"":1410978.0582007396}","{""peggedUSD"":1424602.7147934306}",Ethereum,0.9977582793342453
Nerite USND,USND,peggedUSD,crypto-backed,"{""peggedUSD"":1309710.1788728775}","{""peggedUSD"":1313479.3354696513}","{""peggedUSD"":1269858.629981849}","{""peggedUSD"":1298836.6383819657}",Arbitrum,0.9985967097631263
USDA,USDA,peggedUSD,crypto-backed,"{""peggedUSD"":1272729.657336701}","{""peggedUSD"":1428835.2373633413}","{""peggedUSD"":1440440.6212201125}","{""peggedUSD"":1466011.3236172034}",Ethereum,
USDH,USDH,peggedUSD,crypto-backed,"{""peggedUSD"":1231097.0148386697}","{""peggedUSD"":1231063.4615579695}","{""peggedUSD"":1230958.1443207879}","{""peggedUSD"":1230557.2475147396}",Solana,0.9985309697787736
Note,NOTE,peggedUSD,crypto-backed,"{""peggedUSD"":1194636.2925932263}","{""peggedUSD"":1194636.2925932263}","{""peggedUSD"":1194650.3344064653}","{""peggedUSD"":1196469.6652530234}",Canto,1.00000298439288
zkUSD Dollar,zkUSD,peggedUSD,crypto-backed,"{""peggedUSD"":1179103.001651101}","{""peggedUSD"":1179103.001651101}","{""peggedUSD"":1179103.001651101}","{""peggedUSD"":1179103.001651101}",ZKsync Era,1.00000298439288
Fathom Dollar,FXD,peggedUSD,crypto-backed,"{""peggedUSD"":1133574.978365774}","{""peggedUSD"":1133574.978365774}","{""peggedUSD"":1133692.9451072414}","{""peggedUSD"":1170593.3730478366}",XDC,0.7996102673802472
Last USD,USDXL,peggedUSD,crypto-backed,"{""peggedUSD"":1127493.0742832825}","{""peggedUSD"":1135658.3043186173}","{""peggedUSD"":1145078.498248782}","{""peggedUSD"":1299631.8501498997}",Hyperliquid L1,0.9900275267644868
Saga Dollar,D,peggedUSD,crypto-backed,"{""peggedUSD"":1092435.5734661263}","{""peggedUSD"":1092435.5734661263}","{""peggedUSD"":1092435.5734661263}","{""peggedUSD"":1092435.5734661263}",Saga,1.00000298439288
Reservoir Stablecoin,rUSD,peggedUSD,fiat-backed,"{""peggedUSD"":1087999.963200822}","{""peggedUSD"":2073159.3887604692}","{""peggedUSD"":2687853.30684751}","{""peggedUSD"":365901.3144256565}","Ethereum, Berachain, Base, Katana, World Chain, BSC, Avalanche, Arbitrum, Unichain, Linea, Plume Mainnet, Monad, Solana, Hyperliquid L1, Sonic, Sei",0.9997772607521952
Asymmetry USDaf V2,USDaf,peggedUSD,crypto-backed,"{""peggedUSD"":973018.459066199}","{""peggedUSD"":1007215.4863918406}","{""peggedUSD"":1248812.1943373634}","{""peggedUSD"":1414835.3606458753}",Ethereum,0.9870982496173641
Meme Dollar,PINA,peggedUSD,algorithmic,"{""peggedUSD"":913473.6211812737}","{""peggedUSD"":913473.6211812737}","{""peggedUSD"":913473.6211812737}","{""peggedUSD"":913473.6211812737}",Ethereum,1.00000298439288
Rings scUSD,SCUSD,peggedUSD,crypto-backed,"{""peggedUSD"":911107.560430862}","{""peggedUSD"":911393.4743425609}","{""peggedUSD"":917725.7678915282}","{""peggedUSD"":962438.0602178564}",Sonic,0.9978089847387596
Czodiac USD,CZUSD,peggedUSD,crypto-backed,"{""peggedUSD"":906568.0358076115}","{""peggedUSD"":906568.0358076115}","{""peggedUSD"":906568.0358076115}","{""peggedUSD"":908426.2074314546}",BSC,1.00000298439288
ZUSD,ZUSD,peggedUSD,fiat-backed,"{""peggedUSD"":726850.754570743}","{""peggedUSD"":726850.754570743}","{""peggedUSD"":726836.7545289615}","{""peggedUSD"":726836.7545289615}","Stellar, Ethereum, Solana, OP Mainnet, Arbitrum",1.00000298439288
Digital Standard Unit,DSU,peggedUSD,crypto-backed,"{""peggedUSD"":713723.2435692506}","{""peggedUSD"":713723.2435692506}","{""peggedUSD"":713723.2435692506}","{""peggedUSD"":713723.2435692506}","Arbitrum, Ethereum, OP Mainnet",1.00000298439288
PXDC Stablecoin,PXDC,peggedUSD,crypto-backed,"{""peggedUSD"":701338.1625876162}","{""peggedUSD"":693440.5317291475}","{""peggedUSD"":693219.0518153359}","{""peggedUSD"":688935.9986274677}",PulseChain,0.9929733077476821
USK,USK,peggedUSD,crypto-backed,"{""peggedUSD"":678201.6272179999}","{""peggedUSD"":678201.6272179999}","{""peggedUSD"":678201.627218}","{""peggedUSD"":790290.708126}","Kujira, Osmosis",
Orby USC,USC,peggedUSD,crypto-backed,"{""peggedUSD"":669227.9621299703}","{""peggedUSD"":672176.7192805388}","{""peggedUSD"":704328.1908947298}","{""peggedUSD"":1737188.7657157646}",Cronos,
Level USD,LVLUSD,peggedUSD,crypto-backed,"{""peggedUSD"":664967.7488806742}","{""peggedUSD"":664967.7488806742}","{""peggedUSD"":678580.5645975557}","{""peggedUSD"":688212.8671581246}",Ethereum,0.9989912664133129
Sperax USD,USDS,peggedUSD,crypto-backed,"{""peggedUSD"":661117.955681063}","{""peggedUSD"":660868.4957311254}","{""peggedUSD"":661562.2322311671}","{""peggedUSD"":742932.5330031668}",Arbitrum,0.9995665787947263
Lets Get HAI,HAI,peggedUSD,crypto-backed,"{""peggedUSD"":633046.6361315821}","{""peggedUSD"":634240.6685078193}","{""peggedUSD"":633241.199963396}","{""peggedUSD"":638737.6104582532}",OP Mainnet,1.296285364867052
eUSD (V2),eUSD(v2),peggedUSD,crypto-backed,"{""peggedUSD"":603603.7822038309}","{""peggedUSD"":603603.7822038309}","{""peggedUSD"":603603.7822038309}","{""peggedUSD"":603603.7822038309}",Ethereum,
Sigma Money bnbUSD,BNBUSD,peggedUSD,crypto-backed,"{""peggedUSD"":598360.5599529481}","{""peggedUSD"":626857.0557414845}","{""peggedUSD"":625906.3248356321}","{""peggedUSD"":1085083.6739408618}",BSC,1.0005671650271926
Threshold USD,THUSD,peggedUSD,crypto-backed,"{""peggedUSD"":595272.173279345}","{""peggedUSD"":595272.173279345}","{""peggedUSD"":595272.173279345}","{""peggedUSD"":595272.173279345}",Ethereum,
Good Game US Dollar,GGUSD,peggedUSD,crypto-backed,"{""peggedUSD"":584554.0433119652}","{""peggedUSD"":590640.7678817684}","{""peggedUSD"":601006.5241096099}","{""peggedUSD"":1145566.2349691049}","Polygon, Solana, BSC",0.9997992909100643
WEUSD,WEUSD,peggedUSD,crypto-backed,"{""peggedUSD"":571761.227188}","{""peggedUSD"":571984.100674}","{""peggedUSD"":572250.947533}","{""peggedUSD"":825605.8094039999}","Movement, BSC, Arbitrum, Base",
Nectar,NECT,peggedUSD,crypto-backed,"{""peggedUSD"":547694.5760293239}","{""peggedUSD"":547618.6832199087}","{""peggedUSD"":544669.1198656083}","{""peggedUSD"":551254.7596245864}",Berachain,0.9971189250276418
Stable Jack aUSD,aUSD,peggedUSD,crypto-backed,"{""peggedUSD"":535426.0411338821}","{""peggedUSD"":534939.0876505947}","{""peggedUSD"":533507.1081836318}","{""peggedUSD"":521614.18132140813}",Avalanche,1.00000298439288
Alto DUSD,DUSD,peggedUSD,crypto-backed,"{""peggedUSD"":531875.2033918446}","{""peggedUSD"":535751.1794288447}","{""peggedUSD"":537533.7794866487}",{},Ethereum,
Inter Stable Token,IST,peggedUSD,crypto-backed,"{""peggedUSD"":521993.1001848965}","{""peggedUSD"":521993.12035760045}","{""peggedUSD"":521993.44753162534}","{""peggedUSD"":521993.48348039243}","Agoric, Osmosis",1.008635197453221
USDK,USDK,peggedUSD,fiat-backed,"{""peggedUSD"":488712.4585056288}","{""peggedUSD"":488712.4585056288}","{""peggedUSD"":488712.4585056288}","{""peggedUSD"":488712.4585056288}","Ethereum, OKExChain, Polygon, Solana",1.00000298439288
Verified USD,USDV,peggedUSD,fiat-backed,"{""peggedUSD"":470400.686347}","{""peggedUSD"":470400.686347}","{""peggedUSD"":470400.686347}","{""peggedUSD"":470400.68634699995}","Ethereum, BSC, Arbitrum, Avalanche, Polygon, OP Mainnet, Viction",
Kolibri USD,KUSD,peggedUSD,crypto-backed,"{""peggedUSD"":458469.4394979823}","{""peggedUSD"":453177.22714744933}","{""peggedUSD"":457396.14615961036}","{""peggedUSD"":452521.47312263446}",Tezos,0.9622204273696375
3USD,3USD,peggedUSD,crypto-backed,"{""peggedUSD"":452818.1102575188}","{""peggedUSD"":452814.18258101324}","{""peggedUSD"":452814.00980636105}","{""peggedUSD"":452806.6834763009}",Karura,1.00000298439288
mantraUSD,mantraUSD,peggedUSD,crypto-backed,"{""peggedUSD"":448643.48346278287}","{""peggedUSD"":445836.1777994824}","{""peggedUSD"":445836.1777994824}","{""peggedUSD"":445836.1777994824}",MANTRA,0.9998596133049042
Bread,BREAD,peggedUSD,crypto-backed,"{""peggedUSD"":417976.51497259433}","{""peggedUSD"":418334.23682248406}","{""peggedUSD"":415773.2478669828}","{""peggedUSD"":430153.93659907166}",Gnosis,0.99914860833884
GRAI,GRAI,peggedUSD,crypto-backed,"{""peggedUSD"":406878.55005076795}","{""peggedUSD"":406878.5500507679}","{""peggedUSD"":407271.2317856932}","{""peggedUSD"":408037.6217131358}","Ethereum, ZKsync Era, Arbitrum, Linea, Mantle, OP Mainnet, Polygon zkEVM",0.9474296316234955
rUSD,rUSD,peggedUSD,crypto-backed,"{""peggedUSD"":368552.5600705997}","{""peggedUSD"":368552.5600705997}","{""peggedUSD"":370911.4424608185}","{""peggedUSD"":395481.4648353243}",Ethereum,0.9990212311945988
Legacy BOLD,BOLD,peggedUSD,crypto-backed,"{""peggedUSD"":309433.2658581014}","{""peggedUSD"":311422.1522325931}","{""peggedUSD"":317399.6202248354}","{""peggedUSD"":363271.10770640505}","Ethereum, OP Mainnet, Base, Arbitrum, Avalanche, Scroll",1.00000298439288
Opus CASH,CASH,peggedUSD,crypto-backed,"{""peggedUSD"":308990.6951130329}","{""peggedUSD"":308983.43525320594}","{""peggedUSD"":311853.2066423408}","{""peggedUSD"":339151.8660874556}",StarkNet,0.9998682524943961
