date,timestamp_utc,Exchange Outflow (Mean)
2020-04-14,2020-04-14T00:00:00Z,9230.54499507
2020-04-15,2020-04-15T00:00:00Z,12420.66884383
2020-04-16,2020-04-16T00:00:00Z,17488.78107575
2020-04-17,2020-04-17T00:00:00Z,8011.07667466
2020-04-18,2020-04-18T00:00:00Z,8569.57807294
2020-04-19,2020-04-19T00:00:00Z,6136.8387035
2020-04-20,2020-04-20T00:00:00Z,10215.9215277
2020-04-21,2020-04-21T00:00:00Z,8374.8455668
2020-04-22,2020-04-22T00:00:00Z,7029.69331293
2020-04-23,2020-04-23T00:00:00Z,14385.3648003
2020-04-24,2020-04-24T00:00:00Z,28735.10572378
2020-04-25,2020-04-25T00:00:00Z,10656.19696974
2020-04-26,2020-04-26T00:00:00Z,8237.3243584
2020-04-27,2020-04-27T00:00:00Z,7668.50805243
2020-04-28,2020-04-28T00:00:00Z,9806.78903268
2020-04-29,2020-04-29T00:00:00Z,15764.64038365
2020-04-30,2020-04-30T00:00:00Z,15101.31540155
2020-05-01,2020-05-01T00:00:00Z,15409.42641305
2020-05-02,2020-05-02T00:00:00Z,11970.89478139
2020-05-03,2020-05-03T00:00:00Z,15521.13381435
2020-05-04,2020-05-04T00:00:00Z,11701.38621791
2020-05-05,2020-05-05T00:00:00Z,11483.65418771
2020-05-06,2020-05-06T00:00:00Z,11485.13160546
2020-05-07,2020-05-07T00:00:00Z,14859.90225462
2020-05-08,2020-05-08T00:00:00Z,110634.08632372
2020-05-09,2020-05-09T00:00:00Z,11941.6693642
2020-05-10,2020-05-10T00:00:00Z,23237.08514459
2020-05-11,2020-05-11T00:00:00Z,16131.84636341
2020-05-12,2020-05-12T00:00:00Z,11869.98240261
2020-05-13,2020-05-13T00:00:00Z,11087.6486762
2020-05-14,2020-05-14T00:00:00Z,17981.59768908
2020-05-15,2020-05-15T00:00:00Z,16556.18457638
2020-05-16,2020-05-16T00:00:00Z,15610.10063897
2020-05-17,2020-05-17T00:00:00Z,13997.27586065
2020-05-18,2020-05-18T00:00:00Z,16319.23177525
2020-05-19,2020-05-19T00:00:00Z,11716.02059348
2020-05-20,2020-05-20T00:00:00Z,13761.24508259
2020-05-21,2020-05-21T00:00:00Z,9567.45494399
2020-05-22,2020-05-22T00:00:00Z,22055.33461216
2020-05-23,2020-05-23T00:00:00Z,9232.64313716
2020-05-24,2020-05-24T00:00:00Z,14914.78814093
2020-05-25,2020-05-25T00:00:00Z,11310.16144085
2020-05-26,2020-05-26T00:00:00Z,15016.83869594
2020-05-27,2020-05-27T00:00:00Z,14990.4123546
2020-05-28,2020-05-28T00:00:00Z,14379.04050165
2020-05-29,2020-05-29T00:00:00Z,9235.52123495
2020-05-30,2020-05-30T00:00:00Z,14343.47141104
2020-05-31,2020-05-31T00:00:00Z,17285.76989128
2020-06-01,2020-06-01T00:00:00Z,17753.93111167
2020-06-02,2020-06-02T00:00:00Z,25650.66477014
2020-06-03,2020-06-03T00:00:00Z,15695.41642663
2020-06-04,2020-06-04T00:00:00Z,16854.85213439
2020-06-05,2020-06-05T00:00:00Z,15125.69395048
2020-06-06,2020-06-06T00:00:00Z,7225.44090277
2020-06-07,2020-06-07T00:00:00Z,11418.6653572
2020-06-08,2020-06-08T00:00:00Z,13001.62552547
2020-06-09,2020-06-09T00:00:00Z,9951.51898685
2020-06-10,2020-06-10T00:00:00Z,32882.16398036
2020-06-11,2020-06-11T00:00:00Z,24828.50968286
2020-06-12,2020-06-12T00:00:00Z,12724.28254155
2020-06-13,2020-06-13T00:00:00Z,9406.31722868
2020-06-14,2020-06-14T00:00:00Z,10945.71644994
2020-06-15,2020-06-15T00:00:00Z,11876.13830529
