date,timestamp_utc,Exchange Inflow (Top10)
2020-05-25,2020-05-25T00:00:00Z,8936853.674091
2020-05-26,2020-05-26T00:00:00Z,13258339.551616
2020-05-27,2020-05-27T00:00:00Z,18925305.16158
2020-05-28,2020-05-28T00:00:00Z,16607708.915113
2020-05-29,2020-05-29T00:00:00Z,193536045.91376296
2020-05-30,2020-05-30T00:00:00Z,6248824.984759
2020-05-31,2020-05-31T00:00:00Z,12086633.663035
2020-06-01,2020-06-01T00:00:00Z,49941852.821428
2020-06-02,2020-06-02T00:00:00Z,28248725.757986
2020-06-03,2020-06-03T00:00:00Z,32851118.715657
2020-06-04,2020-06-04T00:00:00Z,35533267.111578
2020-06-05,2020-06-05T00:00:00Z,28745841.239149
2020-06-06,2020-06-06T00:00:00Z,31500293.884373
2020-06-07,2020-06-07T00:00:00Z,8834652.357691
2020-06-08,2020-06-08T00:00:00Z,33742788.276504
2020-06-09,2020-06-09T00:00:00Z,42645715.001185
2020-06-10,2020-06-10T00:00:00Z,134835828.252705
2020-06-11,2020-06-11T00:00:00Z,244555048.367163
2020-06-12,2020-06-12T00:00:00Z,15722471.306786
2020-06-13,2020-06-13T00:00:00Z,32451577.891038
2020-06-14,2020-06-14T00:00:00Z,11144105.474491
2020-06-15,2020-06-15T00:00:00Z,47911848.590896
2020-06-16,2020-06-16T00:00:00Z,16213655.375865
2020-06-17,2020-06-17T00:00:00Z,26120009.005645
2020-06-18,2020-06-18T00:00:00Z,12545559.064884
2020-06-19,2020-06-19T00:00:00Z,16394889.244935
2020-06-20,2020-06-20T00:00:00Z,14171378.139521
2020-06-21,2020-06-21T00:00:00Z,7885690.209356
2020-06-22,2020-06-22T00:00:00Z,35708611.653969
2020-06-23,2020-06-23T00:00:00Z,17240862.40852
2020-06-24,2020-06-24T00:00:00Z,40385063.16032399
2020-06-25,2020-06-25T00:00:00Z,13758392.127426
2020-06-26,2020-06-26T00:00:00Z,13867694.847267
2020-06-27,2020-06-27T00:00:00Z,17716171.732167
2020-06-28,2020-06-28T00:00:00Z,17529925.872739
2020-06-29,2020-06-29T00:00:00Z,16050364.0815
2020-06-30,2020-06-30T00:00:00Z,14458836.065136
2020-07-01,2020-07-01T00:00:00Z,19348422.197117
2020-07-02,2020-07-02T00:00:00Z,34902217.812645
2020-07-03,2020-07-03T00:00:00Z,45877504.208875
2020-07-04,2020-07-04T00:00:00Z,14933292.8679
2020-07-05,2020-07-05T00:00:00Z,15908579.487739
2020-07-06,2020-07-06T00:00:00Z,137715248.08658302
2020-07-07,2020-07-07T00:00:00Z,974406614.3727072
2020-07-08,2020-07-08T00:00:00Z,47634562.544948
2020-07-09,2020-07-09T00:00:00Z,42143376.006577
2020-07-10,2020-07-10T00:00:00Z,44646223.015611
2020-07-11,2020-07-11T00:00:00Z,104164821.02382
2020-07-12,2020-07-12T00:00:00Z,53378796.59910601
2020-07-13,2020-07-13T00:00:00Z,18890055.736171
2020-07-14,2020-07-14T00:00:00Z,40198474.387012
2020-07-15,2020-07-15T00:00:00Z,17580103.349776
2020-07-16,2020-07-16T00:00:00Z,65713943.540351
2020-07-17,2020-07-17T00:00:00Z,12739913.955322
2020-07-18,2020-07-18T00:00:00Z,43661604.15448099
2020-07-19,2020-07-19T00:00:00Z,12191636.96995
2020-07-20,2020-07-20T00:00:00Z,115750548.083033
2020-07-21,2020-07-21T00:00:00Z,46302388.45371401
2020-07-22,2020-07-22T00:00:00Z,112432451.286618
2020-07-23,2020-07-23T00:00:00Z,43586870.990018
2020-07-24,2020-07-24T00:00:00Z,49902752.880727
2020-07-25,2020-07-25T00:00:00Z,37435799.55224399
