date,Exchange Depositing Transactions
2019-05-03,42970
2019-05-04,38079
2019-05-05,35227
2019-05-06,45011
2019-05-07,48417
2019-05-08,44898
2019-05-09,42335
2019-05-10,43357
2019-05-11,47182
2019-05-12,41672
2019-05-13,49882
2019-05-14,53298
2019-05-15,63647
2019-05-16,61057
2019-05-17,50177
2019-05-18,38659
2019-05-19,38354
2019-05-20,41870
2019-05-21,44527
2019-05-22,40207
2019-05-23,40517
2019-05-24,40698
2019-05-25,35114
2019-05-26,37283
2019-05-27,47198
2019-05-28,43947
2019-05-29,41849
2019-05-30,47908
2019-05-31,42235
2019-06-01,35701
