date,Exchange Reserve
2023-08-14,21687352.60330564
2023-08-15,21649386.35318341
2023-08-16,21710785.386846628
2023-08-17,21699134.895256087
2023-08-18,21621548.64804213
2023-08-19,21603156.05294901
2023-08-20,21581271.863895345
2023-08-21,21577661.49760321
2023-08-22,21543119.8940056
2023-08-23,21521052.979460016
2023-08-24,21488562.48364302
2023-08-25,21435933.86909569
2023-08-26,21432150.642224263
2023-08-27,21434686.01235847
2023-08-28,21444289.152856328
2023-08-29,21457695.3322268
2023-08-30,21444817.736047965
2023-08-31,21514417.076229203
2023-09-01,21487731.401910268
2023-09-02,21491601.898486786
2023-09-03,21461542.9941484
2023-09-04,21206821.820834592
2023-09-05,21236119.62793864
2023-09-06,21247740.79624348
2023-09-07,21220986.18918677
2023-09-08,21220428.062292542
2023-09-09,21214822.11335442
2023-09-10,21182110.749501765
2023-09-11,21182983.68498989
2023-09-12,21220214.515531685
2023-09-13,21207975.6545638
2023-09-14,21177042.17514335
2023-09-15,21252259.477746133
2023-09-16,21204437.449127
2023-09-17,21200991.325903703
2023-09-18,21154289.232163694
2023-09-19,21181082.34524744
2023-09-20,21161080.556527484
2023-09-21,21166042.97743868
2023-09-22,21155886.29469929
2023-09-23,21117274.91407555
2023-09-24,21127585.01681128
2023-09-25,21152416.360846
2023-09-26,21207390.45615726
2023-09-27,21186096.37929327
2023-09-28,21177962.770234857
2023-09-29,21144171.92892168
2023-09-30,21176860.03323777
2023-10-01,21185596.15924029
2023-10-02,21143622.15784944
2023-10-03,21172891.046848163
2023-10-04,21167754.162194777
2023-10-05,21176102.558901697
2023-10-06,21220609.9039416
2023-10-07,21214940.518934604
2023-10-08,21242639.77286922
2023-10-09,21231032.524021104
2023-10-10,21201488.915531788
2023-10-11,21212601.60227828
2023-10-12,21201048.082175
2023-10-13,21186533.127625026
2023-10-14,21170064.72576848
2023-10-15,21166095.16876166
2023-10-16,21157875.863081686
2023-10-17,21129631.53004356
2023-10-18,21110761.31295969
2023-10-19,21092793.59310396
2023-10-20,21100946.57974632
2023-10-21,21096877.93442664
2023-10-22,21107737.39161628
2023-10-23,21114863.063880943
2023-10-24,21150739.964367647
2023-10-25,21175929.237174142
2023-10-26,21186197.20212381
2023-10-27,21157538.45234165
2023-10-28,21146073.17977539
2023-10-29,21141897.099396475
2023-10-30,21090383.5021004
2023-10-31,21146634.3784566
2023-11-01,21153821.81810272
2023-11-02,21116985.806440134
2023-11-03,21086634.76252627
2023-11-04,21073623.34996569
2023-11-05,21056146.30145339
2023-11-06,20985539.949361105
2023-11-07,20995741.536605123
2023-11-08,20982664.932397146
2023-11-09,21069210.4542447
2023-11-10,21109720.46144896
2023-11-11,21099264.07267048
2023-11-12,21037533.345922776
2023-11-13,21034157.45021321
2023-11-14,20974018.797978584
2023-11-15,21096918.495258834
2023-11-16,21136690.88125898
2023-11-17,21137155.418291405
2023-11-18,21084280.2872622
2023-11-19,21006858.287491515
2023-11-20,21002847.953482155
2023-11-21,20936859.444674145
2023-11-22,20850973.776369065
2023-11-23,20839285.693700884
2023-11-24,20796399.18271954
2023-11-25,20763086.054787423
2023-11-26,20742954.951890606
2023-11-27,20780415.832191605
2023-11-28,20813791.03824596
2023-11-29,20802497.7623447
2023-11-30,20797970.153246
2023-12-01,20749421.783695072
2023-12-02,20728969.08197739
2023-12-03,20704928.979569137
2023-12-04,20718557.78104259
2023-12-05,20726990.39038146
2023-12-06,20764452.942395687
2023-12-07,20750155.86605852
2023-12-08,20744898.777697973
2023-12-09,20770288.96334215
2023-12-10,20785808.314012907
2023-12-11,20772728.91601217
2023-12-12,20819166.714165024
2023-12-13,20842948.99229636
2023-12-14,20810502.26278712
2023-12-15,20779923.060243625
2023-12-16,20826557.424215805
2023-12-17,20758289.37458076
2023-12-18,20750057.877489697
2023-12-19,20778984.192160763
2023-12-20,20862346.66115869
2023-12-21,20941443.77291213
2023-12-22,20793113.98345593
2023-12-23,20785095.11200209
2023-12-24,20766141.444282304
2023-12-25,20786886.835808903
2023-12-26,20793030.6300174
2023-12-27,20744874.61725127
2023-12-28,20729057.289711263
2023-12-29,20682217.93943528
2023-12-30,20668745.2074098
2023-12-31,20625030.25488341
2024-01-01,20663090.5858002
2024-01-02,20675762.8093972
2024-01-03,20659033.962000515
2024-01-04,20653811.47099421
2024-01-05,20708917.310179178
2024-01-06,20699780.52295386
2024-01-07,20676591.01535894
2024-01-08,20681543.173206907
2024-01-09,20723198.32672884
2024-01-10,20720790.451410454
2024-01-11,20776316.32918905
2024-01-12,20745010.55587504
2024-01-13,20752930.332791302
2024-01-14,20771052.15254189
2024-01-15,20722810.49399755
2024-01-16,20702057.280024588
2024-01-17,20669194.66609012
2024-01-18,20578381.87798171
2024-01-19,20549317.17546213
2024-01-20,20566453.58995042
2024-01-21,20579437.284839395
2024-01-22,20574234.98034387
2024-01-23,20525881.50262511
2024-01-24,20475506.018138696
2024-01-25,20532221.984973185
2024-01-26,20509585.75642368
2024-01-27,20478249.35877252
2024-01-28,20412539.485472534
2024-01-29,20438583.812015697
2024-01-30,20479023.656157102
2024-01-31,20385749.050266773
2024-02-01,20336656.96235522
2024-02-02,20358779.583666176
2024-02-03,20342394.552970365
2024-02-04,20291314.06299012
2024-02-05,20204594.770792544
2024-02-06,20188518.349255383
2024-02-07,20083917.44943809
2024-02-08,20018461.93645601
2024-02-09,19980903.5172998
2024-02-10,19977635.68624014
2024-02-11,19986670.749107964
2024-02-12,19991074.120067395
2024-02-13,19981046.81684166
2024-02-14,19980389.96705573
2024-02-15,19977087.392982844
2024-02-16,19907434.719574586
2024-02-17,19906225.5421083
2024-02-18,19880953.669088043
2024-02-19,19862381.688306496
2024-02-20,19850630.67383324
2024-02-21,19825185.9179392
2024-02-22,19789507.91259325
2024-02-23,19735747.93900926
2024-02-24,19719793.69283611
2024-02-25,19722610.693539955
2024-02-26,19707989.093787704
2024-02-27,19681132.76898399
2024-02-28,19727917.318707183
2024-02-29,19717712.47413473
2024-03-01,19697581.991163764
2024-03-02,19663666.45843365
2024-03-03,19670371.30520085
2024-03-04,19651998.967058804
2024-03-05,19737913.514141
2024-03-06,19801507.07399031
2024-03-07,19846949.98821139
2024-03-08,19900446.495765083
2024-03-09,19887753.829679944
2024-03-10,19902630.9018812
2024-03-11,19880536.99178521
2024-03-12,19974782.56385104
2024-03-13,19924346.85399825
2024-03-14,19999561.778791007
2024-03-15,20117585.59274829
2024-03-16,20147859.117692184
2024-03-17,20179093.58448328
2024-03-18,20207319.753863137
2024-03-19,20254097.64287257
2024-03-20,20232038.751881864
2024-03-21,20238582.643198457
2024-03-22,20219420.143762987
2024-03-23,20188567.02796374
2024-03-24,20195398.50658852
2024-03-25,20225161.806665733
2024-03-26,20109203.510595813
2024-03-27,20166647.87621999
2024-03-28,20129677.88167594
2024-03-29,20101820.48501908
2024-03-30,20065447.302414075
2024-03-31,20037621.97672836
2024-04-01,20064352.54831869
2024-04-02,20095760.655193847
2024-04-03,20114317.149378207
2024-04-04,20077846.333700944
2024-04-05,20082009.13085002
2024-04-06,20054282.415635865
2024-04-07,20085436.10748945
2024-04-08,20125420.380499512
2024-04-09,20043217.12418331
2024-04-10,20028132.44391874
2024-04-11,19986086.54175852
2024-04-12,19986202.64521438
2024-04-13,19984115.05293885
2024-04-14,19987756.079865005
2024-04-15,19957170.013504896
2024-04-16,19967071.23248035
2024-04-17,19920690.189407405
2024-04-18,19784638.475185096
2024-04-19,19809284.43801549
2024-04-20,19791140.68048778
2024-04-21,19770241.03625973
2024-04-22,19753503.60896742
2024-04-23,19752169.05933696
2024-04-24,19703392.4048126
2024-04-25,19712544.385999925
2024-04-26,19702998.219612703
2024-04-27,19711714.495543808
2024-04-28,19705586.42176992
2024-04-29,19778396.178383432
2024-04-30,19738231.57946541
2024-05-01,19796811.285602983
2024-05-02,19796613.18474146
