gecko_id,tvl,tokensymbol,cmcid,name,chainid
latoken,16594.941282288648,LA,2090.0,Lachain,225.0
,16380.396359467091,VBC,,VirBiCoin,329.0
qie,16143.819362169439,QIE,21988.0,QIE,1990.0
comdex,15648.000987417912,CMDX,14713.0,Comdex,
,15245.890829376702,,,Cyber,7560.0
althea,14914.707679346311,ALTHEA,,Althea,258432.0
parex,14905.303434259607,PRX,18094.0,Parex,322202.0
kintsugi,14597.185962785416,KINT,13675.0,Kintsugi,
lukso-token-2,14236.288146297415,LYX,27622.0,LUKSO,42.0
omax-token,13895.454004095867,OMAX,13916.0,Omax,
versatize-coin,12313.878269713221,VTCN,23619.0,BCHyper,3030.0
chihuahua-token,11579.80507453017,HUAHUA,17208.0,Chihuahua,
ethereum-pow-iou,11528.077135584981,ETHW,21296.0,EthereumPoW,
aurora-dao,11442.765490910964,IDEX,,XCHAIN,
penumbra,10999.3843775574,UM,,Penumbra,
,8656.19501278046,,,Rari,1380012617.0
multivac,8493.77670685715,MTV,3853.0,MultiVAC,
,8065.237734821533,-,,Neo X Mainnet,47763.0
mxc,6892.973722998641,MXC,3628.0,Moonchain,18686.0
haven1,6888.449633635075,H1,,Haven1,8811.0
xoc,6795.937564848915,XOC,,Xone Chain,3721.0
gochain,6647.353922409498,GO,2861.0,GoChain,60.0
vinuchain,6571.9876214616725,VC,28580.0,VinuChain,207.0
,6571.904304186242,-,,Silicon zkEVM,2355.0
,5936.929392705905,,,Form Network,478.0
,5916.073352387201,JBC,,JBC,
joltify,5653.6873534430815,JOLT,19855.0,Joltify,
planq,5258.679298924269,PLQ,28804.0,Planq,7070.0
darwinia-network-native-token,4236.270701460599,RING,5798.0,Darwinia,
callisto,4133.631612689008,CLO,2757.0,Callisto,820.0
xion-2,3824.6245052377853,XION,,XION,
fx-coin,3187.811647722338,FX,3884.0,FunctionX,
taraxa,3018.965948696302,TARA,8715.0,Taraxa,841.0
,2929.1674665482674,,,Ham,5112.0
ong,2772.623340674745,ONG,3217.0,OntologyEVM,58.0
darwinia-crab-network,2301.104300104165,CRAB,9243.0,Crab,44.0
,2137.3546142300456,,,DuckChain,
swan-chain,1985.452999393662,SWAN,,Swan,254.0
,1601.0432890096263,MANTA,,Manta Atlantic,
bostrom,1569.599964563228,BOOT,19111.0,Bostrom,
,1563.576785740828,,,REIchain,55555.0
concordium,1454.9542121835188,CCD,18031.0,Concordium,
rei-network,1351.473494782457,REI,19819.0,REI,47805.0
elys-network,1230.1717053072393,ELYS,32959.0,Elys,
,1145.6817721721031,,,Milkomeda A1,2002.0
bitcicoin,1127.1272038742402,BITCI,8357.0,Bitcichain,1907.0
sx-network,825.2570225457392,SX,8377.0,SX Network,
,530.6293823184078,,,Palm,11297108109.0
,440.3473304768799,,,EOS EVM,
,260.7275195530759,,,soonBase,
japan-open-chain,247.53873580635909,JOC,35773.0,JOC,81.0
aeternity,209.71196538666905,AE,1700.0,Aeternity,
,134.8909337940068,,,Camp Network,
degen-base,61.69477562432657,DEGEN,,Degen,666666666.0
endurance,26.40829976569672,ACE,28674.0,Endurance,648.0
islamic-coin,11.310869525695862,ISLM,26220.0,HAQQ,11235.0
,6.529956307594076,MTT,,MTT Network,6880.0
xphere,4.935605459110775,XP,36056.0,Xphere,20250217.0
water-3,0.7731748415922863,WATER,32282.0,Waterfall,181.0
,0.08297641526118482,,,Kopi,
,0.02142208805858668,,,Milkomeda C1 (Deprecated),2001.0
bitrise-token,9.998760109152208e-19,BRISE,11079.0,Bitgert,32520.0
,0.0,,,Boba_Bnb,
binancecoin,0.0,BNB,1839.0,Binance,56.0
zencash,0.0,ZEN,,Horizen EON,7332.0
cube-network,0.0,CUBE,20519.0,Cube,1818.0
sifchain,0.0,EROWAN,8541.0,Sifchain,
hoo-token,0.0,HOO,7543.0,Hoo,70.0
,0.0,,,DFS Network,
genshiro,0.0,GENS,10278.0,Genshiro,
lamden,0.0,TAU,2337.0,Lamden,
clover-finance,0.0,CLV,8384.0,CLV,1024.0
high-performance-blockchain,0.0,HPB,2345.0,HPB,269.0
fsn,0.0,FSN,2530.0,Fusion,32659.0
