date,timestamp_utc,Fees Burnt USD (Total)
2021-08-26,2021-08-26T00:00:00Z,25639920.63709583
2021-08-27,2021-08-27T00:00:00Z,36444293.36096808
2021-08-28,2021-08-28T00:00:00Z,25133751.96902709
2021-08-29,2021-08-29T00:00:00Z,26920536.662536964
2021-08-30,2021-08-30T00:00:00Z,32502643.52267565
2021-08-31,2021-08-31T00:00:00Z,37506153.16171135
2021-09-01,2021-09-01T00:00:00Z,43870639.45797184
2021-09-02,2021-09-02T00:00:00Z,38360493.91366136
2021-09-03,2021-09-03T00:00:00Z,54515434.82283665
2021-09-04,2021-09-04T00:00:00Z,41429998.79803992
2021-09-05,2021-09-05T00:00:00Z,39244813.26283452
2021-09-06,2021-09-06T00:00:00Z,41239908.13709919
2021-09-07,2021-09-07T00:00:00Z,48390279.58948863
2021-09-08,2021-09-08T00:00:00Z,49883453.58577159
2021-09-09,2021-09-09T00:00:00Z,45477585.73994784
2021-09-10,2021-09-10T00:00:00Z,27803033.957037307
2021-09-11,2021-09-11T00:00:00Z,19025900.64743451
2021-09-12,2021-09-12T00:00:00Z,19604818.19290575
2021-09-13,2021-09-13T00:00:00Z,22726781.25430316
2021-09-14,2021-09-14T00:00:00Z,22613241.20981054
2021-09-15,2021-09-15T00:00:00Z,22534793.089605004
2021-09-16,2021-09-16T00:00:00Z,27573670.39483321
2021-09-17,2021-09-17T00:00:00Z,23457566.82638868
2021-09-18,2021-09-18T00:00:00Z,16936085.42682114
2021-09-19,2021-09-19T00:00:00Z,16523735.607218225
2021-09-20,2021-09-20T00:00:00Z,23500234.76645364
2021-09-21,2021-09-21T00:00:00Z,25364152.27104008
2021-09-22,2021-09-22T00:00:00Z,19026132.76752377
2021-09-23,2021-09-23T00:00:00Z,20824248.763858814
2021-09-24,2021-09-24T00:00:00Z,19260872.488591906
2021-09-25,2021-09-25T00:00:00Z,12636857.974275738
2021-09-26,2021-09-26T00:00:00Z,18130538.596126657
2021-09-27,2021-09-27T00:00:00Z,22416613.60105261
2021-09-28,2021-09-28T00:00:00Z,22376891.418214697
2021-09-29,2021-09-29T00:00:00Z,21284648.594184484
2021-09-30,2021-09-30T00:00:00Z,30726952.46573808
2021-10-01,2021-10-01T00:00:00Z,26447195.25632628
2021-10-02,2021-10-02T00:00:00Z,18844430.26056829
2021-10-03,2021-10-03T00:00:00Z,18857761.799568888
2021-10-04,2021-10-04T00:00:00Z,31119193.679689303
2021-10-05,2021-10-05T00:00:00Z,40251318.72637507
2021-10-06,2021-10-06T00:00:00Z,47622362.58093312
2021-10-07,2021-10-07T00:00:00Z,45458337.45939448
2021-10-08,2021-10-08T00:00:00Z,41054597.599131726
2021-10-09,2021-10-09T00:00:00Z,25746053.413832955
2021-10-10,2021-10-10T00:00:00Z,24980942.916486416
2021-10-11,2021-10-11T00:00:00Z,34640994.323242605
2021-10-12,2021-10-12T00:00:00Z,27994522.49336524
2021-10-13,2021-10-13T00:00:00Z,31641173.928582475
2021-10-14,2021-10-14T00:00:00Z,45103435.60144634
2021-10-15,2021-10-15T00:00:00Z,45410646.60872396
2021-10-16,2021-10-16T00:00:00Z,29908177.991090603
2021-10-17,2021-10-17T00:00:00Z,26228054.85141363
2021-10-18,2021-10-18T00:00:00Z,31915459.8488435
2021-10-19,2021-10-19T00:00:00Z,25838246.4449779
2021-10-20,2021-10-20T00:00:00Z,29897901.644346792
2021-10-21,2021-10-21T00:00:00Z,34864330.8199161
2021-10-22,2021-10-22T00:00:00Z,31289488.14825893
2021-10-23,2021-10-23T00:00:00Z,24336635.700118657
2021-10-24,2021-10-24T00:00:00Z,26792262.62238958
2021-10-25,2021-10-25T00:00:00Z,37354737.046373904
2021-10-26,2021-10-26T00:00:00Z,46511483.54328177
2021-10-27,2021-10-27T00:00:00Z,58145302.16695783
2021-10-28,2021-10-28T00:00:00Z,72256702.37830986
2021-10-29,2021-10-29T00:00:00Z,69039139.03439878
2021-10-30,2021-10-30T00:00:00Z,62026003.55196712
2021-10-31,2021-10-31T00:00:00Z,56731813.17110799
2021-11-01,2021-11-01T00:00:00Z,61904806.2163834
2021-11-02,2021-11-02T00:00:00Z,71633655.81137984
2021-11-03,2021-11-03T00:00:00Z,66719698.44673723
2021-11-04,2021-11-04T00:00:00Z,57847670.17100788
2021-11-05,2021-11-05T00:00:00Z,53998153.05246846
2021-11-06,2021-11-06T00:00:00Z,46144046.30798739
2021-11-07,2021-11-07T00:00:00Z,41251080.28557588
2021-11-08,2021-11-08T00:00:00Z,53293227.96010936
2021-11-09,2021-11-09T00:00:00Z,74152160.02085048
2021-11-10,2021-11-10T00:00:00Z,69616605.38017793
2021-11-11,2021-11-11T00:00:00Z,67439151.27067378
2021-11-12,2021-11-12T00:00:00Z,62670851.57794445
2021-11-13,2021-11-13T00:00:00Z,54595477.257778
2021-11-14,2021-11-14T00:00:00Z,46828215.75287926
2021-11-15,2021-11-15T00:00:00Z,62045364.82681778
2021-11-16,2021-11-16T00:00:00Z,53701015.57204391
2021-11-17,2021-11-17T00:00:00Z,51860425.72429863
2021-11-18,2021-11-18T00:00:00Z,51337661.43962056
2021-11-19,2021-11-19T00:00:00Z,46521397.87605102
2021-11-20,2021-11-20T00:00:00Z,41261601.42111099
2021-11-21,2021-11-21T00:00:00Z,40411381.411068045
2021-11-22,2021-11-22T00:00:00Z,54654086.39903697
2021-11-23,2021-11-23T00:00:00Z,52156979.63138231
2021-11-24,2021-11-24T00:00:00Z,49011676.04652876
2021-11-25,2021-11-25T00:00:00Z,49488550.16472533
2021-11-26,2021-11-26T00:00:00Z,39690757.6417325
2021-11-27,2021-11-27T00:00:00Z,41018335.696731165
2021-11-28,2021-11-28T00:00:00Z,43529572.30063768
2021-11-29,2021-11-29T00:00:00Z,48075204.90151329
2021-11-30,2021-11-30T00:00:00Z,58624001.68692424
2021-12-01,2021-12-01T00:00:00Z,56295781.88317153
2021-12-02,2021-12-02T00:00:00Z,45436601.7507541
2021-12-03,2021-12-03T00:00:00Z,40599265.88998024
2021-12-04,2021-12-04T00:00:00Z,51539889.54877676
2021-12-05,2021-12-05T00:00:00Z,37611219.94899444
2021-12-06,2021-12-06T00:00:00Z,41032257.02980037
2021-12-07,2021-12-07T00:00:00Z,35806451.66015502
2021-12-08,2021-12-08T00:00:00Z,31257581.168022502
2021-12-09,2021-12-09T00:00:00Z,30217520.32380744
2021-12-10,2021-12-10T00:00:00Z,31364501.985430144
2021-12-11,2021-12-11T00:00:00Z,28026704.20705754
2021-12-12,2021-12-12T00:00:00Z,23702711.363851205
2021-12-13,2021-12-13T00:00:00Z,27940317.34292689
2021-12-14,2021-12-14T00:00:00Z,26461617.635660555
2021-12-15,2021-12-15T00:00:00Z,32372804.00598251
2021-12-16,2021-12-16T00:00:00Z,37287511.48639831
2021-12-17,2021-12-17T00:00:00Z,30928882.983333867
2021-12-18,2021-12-18T00:00:00Z,23845580.57805937
2021-12-19,2021-12-19T00:00:00Z,19289705.90152171
2021-12-20,2021-12-20T00:00:00Z,24065717.264924537
2021-12-21,2021-12-21T00:00:00Z,24571806.3251766
2021-12-22,2021-12-22T00:00:00Z,27910184.76549898
2021-12-23,2021-12-23T00:00:00Z,29572748.62619132
2021-12-24,2021-12-24T00:00:00Z,25602242.691585347
2021-12-25,2021-12-25T00:00:00Z,26512750.19179496
2021-12-26,2021-12-26T00:00:00Z,20672353.5530088
2021-12-27,2021-12-27T00:00:00Z,28889168.587073103
2021-12-28,2021-12-28T00:00:00Z,35230813.49813303
2021-12-29,2021-12-29T00:00:00Z,41321170.19521022
2021-12-30,2021-12-30T00:00:00Z,36733985.477743566
2021-12-31,2021-12-31T00:00:00Z,31007273.695651576
2022-01-01,2022-01-01T00:00:00Z,27969047.727302056
2022-01-02,2022-01-02T00:00:00Z,35954041.58900344
2022-01-03,2022-01-03T00:00:00Z,36298255.64390728
2022-01-04,2022-01-04T00:00:00Z,45408896.9521246
2022-01-05,2022-01-05T00:00:00Z,46690298.179923005
2022-01-06,2022-01-06T00:00:00Z,41651712.541197374
2022-01-07,2022-01-07T00:00:00Z,43078968.619054936
2022-01-08,2022-01-08T00:00:00Z,33198752.78323567
2022-01-09,2022-01-09T00:00:00Z,44374657.16647721
2022-01-10,2022-01-10T00:00:00Z,59888439.85938399
2022-01-11,2022-01-11T00:00:00Z,55274840.53275897
2022-01-12,2022-01-12T00:00:00Z,57123660.29441253
2022-01-13,2022-01-13T00:00:00Z,49621469.7910194
2022-01-14,2022-01-14T00:00:00Z,56916610.69689231
2022-01-15,2022-01-15T00:00:00Z,40008887.28824302
