date,0 ~ 1 USD,1 ~ 10 USD,10 ~ 100 USD,100 ~ 1K USD,1K ~ 10K USD,10K ~ 100K USD,100K ~ 1M USD,1M ~ USD
2024-02-16,36566.52105847,319556.05087047,14513528.39389142,91445814.8772091,347842460.1240867,1521863631.885719,6113077713.638484,40558509758.83004
2024-02-17,29678.60410577,436103.21707185,21393497.37882367,91475801.47783986,282235142.09749824,1285132173.3285654,4470539806.263573,22691359644.88773
2024-02-18,23053.65623867,501667.56511489,9888204.54646778,73734103.06613214,256524640.4316717,1111021112.280498,4120040098.847424,24184064562.16911
2024-02-19,33983.8146774,532091.7661124,12482569.19907056,88476013.24898408,325164384.2308442,1408280308.1056864,4922576636.138544,36449881191.92251
2024-02-20,27397.88346791,450646.05041444,12013274.26240404,90921358.98111688,318577101.093039,1502094934.1202989,6509061674.80732,43353212233.21095
2024-02-21,25329.99527124,455892.58484804,10092848.46198044,81650106.35755768,309462272.86020935,1351389378.01587,6845638452.683313,44201214343.534256
2024-02-22,31595.39065686,428987.87932857,11874764.4754091,88343655.50866129,328149421.2538048,1493003731.4384496,6050124511.130012,39181250563.46752
2024-02-23,30590.82834435,580059.04939256,15318469.50975467,105182242.09117033,347524455.7491275,1462388641.845966,5143088876.259625,33739760472.96754
2024-02-24,26574.57047396,553653.5981577,13915265.50191292,80945870.37541717,272932502.9108607,1110775310.8314478,3769683767.24575,22018762066.650364
2024-02-25,102538.61356216,578387.36782183,15479029.73089894,88756540.64373313,299862965.6355454,1232679178.0753052,3798708029.827343,22414832301.87472
2024-02-26,45206.31253247,475425.79633784,11991951.7793273,87543219.28197074,344463119.9611289,1572791647.9824424,6059699012.258516,42892358606.32896
2024-02-27,32460.66406566,545463.95833377,9853334.97114902,90359874.91383266,409468251.77777225,1871228360.867804,7083598770.770797,60921129897.988815
2024-02-28,36422.28929764,463534.49588752,11853807.56781405,109922206.79211555,540316398.0782529,2471213029.818321,9142204964.420254,80086358667.05444
2024-02-29,31595.06077591,484694.28100175,10783843.5767776,103538575.47387668,517648452.3958799,2277721616.526935,8418432137.45051,72851841103.3607
2024-03-01,44368.52525422,658531.47911117,13379323.55871273,111326208.98761664,439193275.4582917,2011038682.354708,7576594479.992523,63105504422.10931
