date,0 ~ 0.01 BTC,0.01 ~ 0.1 BTC,0.1 ~ 1 BTC,1 ~ 10 BTC,10 ~ 100 BTC,100 ~ 1K BTC,1K ~ 10K BTC,10K ~ BTC
2025-05-10,961.24841032,2884.02249102,13446.45162609,50124.97090094,189820.73111843,113611.46930045,54674.00100449,52479.39294036
2025-05-11,782.31885005,2552.72305814,12544.44100414,46198.43059526,189464.25306598,112926.55215972,87448.4846353,37944.6736587
2025-05-12,1038.61838407,3170.52944127,15576.95995734,65213.54911642,232292.63507277,193529.95969495,91467.46298401,91141.86864713
2025-05-13,1036.7329371,3283.54956849,15928.34871201,56981.75075341,240491.56543155,183957.14898315,128083.25976808,124704.18299094
2025-05-14,1089.74487484,3411.0242038,15526.2581557,64086.88760166,211252.7019597,174645.98702477,207059.18857375,37902.41357775
2025-05-15,1110.43014523,3188.72466783,15426.8270319,60250.97618853,224601.74154965,213168.94510451,159437.97355648,80327.43480037
2025-05-16,1100.75373143,3107.92995579,14751.74424657,55576.20002189,228881.58983937,170791.35763617,103772.86287595,56798.05247524
2025-05-17,1029.04528674,2505.98905775,12080.21819779,37942.90402295,173327.16348616,80099.08771674,31112.36879997,37873.18724555
2025-05-18,1070.19479603,2220.30799923,11661.91426077,40594.31357759,176713.7210465,92277.34490609,75684.74888133,0.0
2025-05-19,1113.27451456,2970.09237142,14447.9608847,62636.0509181,214850.37132757,190727.80735033,89831.80764297,71484.79119185
2025-05-20,1204.72704709,3258.96978846,15977.09816704,61710.71970015,208457.77617517,218081.16308888,139355.97056427,56923.60664128
2025-05-21,1160.81520384,3721.74614288,17978.47339145,66231.76642003,247780.68611396,320698.80105572,127241.7312112,52934.88899669
2025-05-22,1232.63695459,4531.58154487,21312.32782134,76415.44858995,261259.34358354,314272.39100255,298895.87381873,56851.74168525
2025-05-23,1185.99550697,3488.46633533,16772.19920568,65338.52174014,245389.8661606,232427.19346378,188187.80322476,71551.83390502
2025-05-24,987.69864391,2399.51077704,12456.32555617,49142.50174797,170435.54395915,89549.44576754,79093.92624379,52240.83232671
2025-05-25,855.51639717,2085.79632681,11740.08732589,45898.19904566,168537.31118311,69510.98655982,93499.9135234,37981.18789118
2025-05-26,978.36055111,2901.6959512,15066.15654849,58559.94348981,205378.33879689,153216.97106254,66649.70112933,56993.30279281
2025-05-27,980.84390781,2890.42819394,15192.14339999,74792.8401071,230334.0542845,182602.43690097,102688.22180199,18981.38871795
2025-05-28,1242.74493563,3131.45904283,15136.69400047,58334.88526426,228992.02958445,205883.1584492,125784.26601187,83706.30785579
2025-05-29,1106.23705557,3104.352585,15000.38589457,56679.76821986,216506.04433823,171678.64238415,76650.61024843,56880.10477961
2025-05-30,1170.55190994,3165.30287121,15957.16483368,59905.05097201,229057.42212901,223235.37109715,135354.77765409,37882.2537116
2025-05-31,933.46117037,2396.87184011,13492.1599623,46962.74878548,171459.48441509,62982.14906663,80549.24822322,37981.47202115
2025-06-01,851.65412396,2159.72614027,11995.41886607,51240.318905,160587.74409489,50645.76829103,110481.33365528,61275.1792299
2025-06-02,1034.70837572,2908.83002721,15201.79460677,64574.05642081,206681.93222328,160977.96108351,155474.6385842,161639.71699136
2025-06-03,1080.77992419,3172.55386166,15754.72887291,63714.96751576,221703.97339756,164423.40103241,132722.62990212,177128.28059722
2025-06-04,1012.79857722,3061.32053715,14385.75456092,61878.61675317,199852.45071716,198910.15138544,180181.4118412,38134.2575294
2025-06-05,1031.11401864,3188.43688754,15711.26486974,65298.32713353,214041.89815329,188000.41899087,141414.84437408,57207.84921135
2025-06-06,1003.63414182,2899.99538107,15675.46233344,59803.1167309,238032.30359482,177470.91608709,114700.31066583,19075.46253542
2025-06-07,841.50971699,2301.94284699,11900.70667947,46441.58701632,151606.08857889,69704.83377139,44480.28721727,76362.49298556
2025-06-08,806.03955171,2167.65889798,11279.17950674,45444.38798035,136138.63012824,54461.0771309,82792.98752231,57258.29864668
2025-06-09,998.89471525,3117.73212714,15516.0890884,60297.39748776,195746.45718122,141177.58889069,115351.21472669,57242.3544254
2025-06-10,1367.97952955,3582.33776214,17979.39338445,61436.50364838,220842.73651526,183953.86023285,164874.96285974,76349.90094858
2025-06-11,1274.12780893,3043.80910625,15162.90764088,56746.97998904,213935.64280407,145319.53161695,131832.1673673,57126.32267814
2025-06-12,1103.6595714,2924.37563191,15761.17358407,55699.8760614,206478.33344464,104891.99522857,111058.74095805,38062.6335549
2025-06-13,1025.81887272,2976.33615948,15577.54457705,64357.91431372,231053.06489077,170211.1324627,148086.06956989,19066.3988474
2025-06-14,837.8429235,2293.22089889,11712.04891694,42072.66663824,143541.17456924,58875.60293877,72269.40868295,19062.29211597
2025-06-15,733.06908308,2296.47950818,12549.42359819,42353.86310129,128657.08405837,53066.26960467,39876.52439247,0.0
2025-06-16,996.22221394,3064.65167897,14986.93490456,63564.29437361,188053.2994484,121978.7188435,109378.29541781,82746.67293063
2025-06-17,990.25354428,3092.2664902,15099.62025638,61602.80109406,207067.71949627,135836.9802057,186562.60603794,77574.29423848
2025-06-18,1057.08622104,2866.91796022,14158.00530292,52655.839436,208287.60476882,161190.58022912,98623.90498739,57596.55668152
2025-06-19,1037.39653272,2974.47605149,13931.35106292,51984.97227898,131995.09446159,74669.50878339,99531.70512025,57637.70563904
2025-06-20,1076.08267698,2874.4471595,14911.18046174,55764.90935252,167349.23937755,123923.75503979,146380.48162215,57599.2630143
2025-06-21,892.56295035,2255.92686802,12123.89521625,41703.94572093,122441.3265901,64675.59163307,59876.57680567,19195.24212874
2025-06-22,775.50701884,2485.12110482,13131.46062304,46779.94256122,147300.56061625,89530.40721606,138517.3726035,60923.35635058
2025-06-23,841.61954308,2803.436458,14358.63045633,58428.72541704,176918.00752048,140425.86734871,173565.04638924,87146.64713246
2025-06-24,989.30674301,3070.38872661,15867.08442365,52913.64984825,190084.36816718,176282.05710776,175044.43878069,81142.47648769
2025-06-25,1122.12663254,3266.85196281,15736.05374245,52719.34558838,199103.81129059,181445.71721709,175692.41134538,91826.71176773
2025-06-26,1141.22433591,3119.54602667,15843.03768579,54558.52729978,187079.87977093,194187.41328263,153336.41583629,57942.46953604
2025-06-27,995.96315658,2895.83930115,14673.04867529,49628.78843318,192545.89702756,175387.24624523,159628.22879805,68960.01923135
2025-06-28,1133.05869108,2382.54146899,11906.40155764,38147.21639541,112139.86932929,71931.26398593,69533.71372323,53440.09826726
2025-06-29,868.85312488,2286.7199023,11705.21715611,35966.06110849,119336.59479863,47474.39914415,76892.8496805,39194.27510783
2025-06-30,1021.63974159,3153.11246899,15666.11610712,58252.22756128,164771.12027606,195313.58201053,137798.07480488,53283.81542194
2025-07-01,1022.43945511,3214.92587329,15532.95466913,58500.45211296,160918.16530559,135392.81069878,82090.49682477,39399.18938802
2025-07-02,1089.47885779,3509.92263345,16594.9127317,66277.79613308,162613.58969886,126872.36639347,74948.27105785,19726.0183298
2025-07-03,1069.41537385,3649.79755935,15586.829104,58962.91889543,161419.28976319,163470.11865954,133108.35155508,71080.46311071
2025-07-04,1013.25502836,2915.26636238,13798.44628222,49999.02852289,144274.55972257,109358.85699371,93530.18874848,138969.32942136
2025-07-05,897.35201683,2046.89517582,10645.9694915,37503.43160889,92560.20164538,44159.99209144,48296.41009551,39237.72138762
2025-07-06,993.87067464,2168.96038865,10612.37168021,41523.28053381,88934.94479488,56478.61080921,21455.92225043,61667.75557606
2025-07-07,903.50739343,2819.54249527,13409.97791804,64722.88752,138886.09384526,162956.11010834,83991.09782809,80312.72118653
2025-07-08,1069.12151424,3045.41330309,14166.85320042,48314.83366639,154422.71241271,134991.46181079,73603.94836226,39258.67599899
2025-07-09,1101.33238828,3275.37688844,14879.75769408,50402.57662001,166269.85027405,112608.94506395,85591.51630482,60144.67363682
2025-07-10,1186.36715823,3889.85741263,18064.48459154,63264.57185169,215687.56381499,159421.32313809,196214.98969363,58790.38588676
2025-07-11,1221.74407217,4388.16214144,20765.1985564,75541.57034579,237514.10503271,335829.75757524,260016.95138734,78765.27643873
2025-07-12,1039.62039737,2545.04129959,13211.70812022,43557.08709979,127292.34577448,164543.86103775,122450.30038995,58549.58470748
2025-07-13,891.19315096,2443.33784776,12515.30137299,39738.14986152,127522.59664699,122037.60987983,88910.73776448,58608.37427091
2025-07-14,1216.64233237,4276.76146544,20215.59594807,73541.18061312,253168.08311862,263950.49420975,313840.08712368,128127.79638932
2025-07-15,1074.21042526,3323.40542468,15607.16918468,61733.40918252,234269.05060062,300271.46892742,421154.92524804,108599.8779373
2025-07-16,1000.25884123,3049.49758762,15076.18974452,50482.03861695,189780.02696259,215571.56401506,242024.05067433,216356.89262593
2025-07-17,1200.42390384,3560.63994898,17126.39417278,51763.85862209,210367.48669941,280515.82407925,331178.29581487,156177.06271824
2025-07-18,1055.56649456,3159.10450468,16251.67454446,55582.10933143,206647.13402261,249277.37850269,220355.52754061,97581.80714157
2025-07-19,891.96508529,2181.60630083,11337.30955904,43009.03686975,131523.50327709,92459.27141682,101811.44073845,38842.77705419
2025-07-20,884.22600558,2193.69112671,11553.27770511,33278.023803,133189.95444316,89239.45678231,81929.74455477,58479.53238357
2025-07-21,1054.31677314,3312.39724115,14709.61050616,49623.01045703,172267.85720234,239454.39152056,143086.37714817,274533.20704066
2025-07-22,1038.71355231,2915.02350783,14213.44379822,51543.26418528,204931.2676189,204053.6491123,143070.08785388,92388.78251622
2025-07-23,1007.41539169,3031.4331237,14224.53963866,50635.54186043,206608.27396845,161457.14784149,124914.71540211,55419.82805247
2025-07-24,953.69878113,2937.11738257,13199.41572535,52569.39416254,170184.03891705,172666.4328068,180583.38619185,60676.53908424
2025-07-25,1009.60792603,2977.28864374,13878.58165183,53851.46332547,235822.41112954,307583.11727838,364540.94101517,33520.1672663
2025-07-26,969.84639628,2179.43736272,10887.16607674,35017.09787286,175863.76852625,93478.690214,50555.33772638,98938.03013674
2025-07-27,897.00982943,2147.27528182,10552.67326767,35745.44182706,160740.62533763,71664.3463717,120262.85250076,58590.41835258
2025-07-28,1005.58601705,2825.18704994,13210.71461205,49531.93910783,185156.93914659,172986.48874552,158661.67727406,58493.13037142
2025-07-29,920.36956921,2927.98904787,14151.94678267,47849.89473558,182540.89884111,169837.99703446,127326.08496562,38957.41735088
2025-07-30,975.96866737,2829.99313086,14091.76677051,50736.36069349,185870.31208582,148539.90026774,140771.95841612,86535.12117255
2025-07-31,1132.08636088,3107.19059035,14677.92068588,50681.31365198,206018.19519119,136505.46862306,126932.81439498,38962.85705132
2025-08-01,1131.87818634,3252.84396987,15539.44557058,56726.03674912,217683.03857221,178139.62497399,190191.00042962,101879.67096963
