date,Average Dormancy
2023-04-27,5.93708725
2023-04-28,6.66362635
2023-04-29,17.37055689
2023-04-30,3.32993397
2023-05-01,5.63485652
2023-05-02,7.48821926
2023-05-03,15.50894303
2023-05-04,6.32562882
2023-05-05,5.82103193
2023-05-06,2.01501232
2023-05-07,26.00170593
2023-05-08,10.95161907
2023-05-09,4.31889808
2023-05-10,9.469952
2023-05-11,9.74639862
2023-05-12,8.66060195
2023-05-13,4.66624224
2023-05-14,15.10271776
2023-05-15,44.73878806
2023-05-16,11.11961446
2023-05-17,5.22337082
2023-05-18,5.37593014
2023-05-19,6.37485816
2023-05-20,6.62349847
2023-05-21,6.38141442
2023-05-22,22.90194048
2023-05-23,6.29246468
2023-05-24,6.32997374
2023-05-25,42.81860287
2023-05-26,12.1167687
2023-05-27,4.52835687
2023-05-28,7.91912493
2023-05-29,7.95222249
2023-05-30,10.36697553
2023-05-31,7.45498685
2023-06-01,10.37171552
2023-06-02,4.73030107
2023-06-03,3.772229
2023-06-04,3.07023349
2023-06-05,5.83137136
2023-06-06,4.56461039
2023-06-07,4.77400579
2023-06-08,9.26923945
2023-06-09,4.4975297
2023-06-10,5.93825067
2023-06-11,3.53030342
2023-06-12,6.97986451
2023-06-13,9.00157949
2023-06-14,9.61073428
2023-06-15,10.37850644
2023-06-16,6.37134237
2023-06-17,4.16510365
2023-06-18,17.04029757
2023-06-19,11.20538054
2023-06-20,16.46045659
2023-06-21,17.7626019
2023-06-22,6.10835243
2023-06-23,18.8948498
2023-06-24,7.57608687
2023-06-25,7.62268776
2023-06-26,5.26963631
2023-06-27,10.21032323
2023-06-28,7.96033613
2023-06-29,15.83834718
2023-06-30,5.984444
2023-07-01,42.07808793
2023-07-02,7.05965961
2023-07-03,7.3630253
2023-07-04,5.09167171
2023-07-05,6.10983805
2023-07-06,23.72840135
2023-07-07,4.76464701
2023-07-08,2.88151878
2023-07-09,5.23069047
2023-07-10,7.95814299
2023-07-11,15.28279475
2023-07-12,7.67290484
2023-07-13,11.59727283
2023-07-14,8.83622534
2023-07-15,3.53412633
2023-07-16,3.88750636
2023-07-17,11.90964753
2023-07-18,10.33205959
2023-07-19,10.71058275
2023-07-20,8.56867831
2023-07-21,12.78285022
2023-07-22,13.34503844
2023-07-23,6.89021788
2023-07-24,9.87541257
2023-07-25,6.70865775
2023-07-26,5.36731797
2023-07-27,31.28069403
2023-07-28,78.06541277
2023-07-29,5.80187927
2023-07-30,4.97626505
2023-07-31,9.61159497
2023-08-01,4.9985471
2023-08-02,15.31495995
2023-08-03,4.84278087
2023-08-04,8.70802434
2023-08-05,3.08219265
2023-08-06,6.09880333
2023-08-07,4.8108404
2023-08-08,9.36992854
