date,Supply-Adjusted CDD
2022-06-28,0.48086695
2022-06-29,0.74697871
2022-06-30,0.79069037
2022-07-01,0.41736455
2022-07-02,0.20627068
2022-07-03,0.40150706
2022-07-04,0.15873458
2022-07-05,0.23190392
2022-07-06,0.49449711
2022-07-07,0.22723407
2022-07-08,0.35644643
2022-07-09,0.23045925
2022-07-10,0.11246333
2022-07-11,1.01487188
2022-07-12,0.3047572
2022-07-13,0.14344073
2022-07-14,0.42441992
2022-07-15,0.72364488
2022-07-16,0.1277047
2022-07-17,0.08515666
2022-07-18,0.3542118
2022-07-19,2.15387367
2022-07-20,0.5031209
2022-07-21,1.85477383
2022-07-22,0.50272044
2022-07-23,0.27293074
2022-07-24,0.15367569
2022-07-25,0.35469971
2022-07-26,0.32240921
2022-07-27,0.22453478
2022-07-28,0.20155576
2022-07-29,0.24163798
2022-07-30,0.12954187
2022-07-31,0.24967363
2022-08-01,0.17728672
2022-08-02,0.31126288
2022-08-03,0.23058879
2022-08-04,0.54047388
2022-08-05,0.16344515
2022-08-06,0.18724293
2022-08-07,0.21008774
2022-08-08,0.23515583
2022-08-09,0.52715042
2022-08-10,0.83781985
2022-08-11,0.23395738
2022-08-12,0.2735079
2022-08-13,0.12079066
2022-08-14,0.10205712
2022-08-15,0.19621395
2022-08-16,0.17565281
2022-08-17,0.28905591
2022-08-18,0.320697
2022-08-19,0.42680985
2022-08-20,0.15146339
2022-08-21,0.08404286
2022-08-22,0.28960211
2022-08-23,0.26874177
2022-08-24,0.20590764
2022-08-25,0.19531111
2022-08-26,0.31299027
2022-08-27,0.19914024
2022-08-28,0.92386047
2022-08-29,0.99808884
2022-08-30,0.5831128
2022-08-31,0.19805905
2022-09-01,0.30602346
2022-09-02,0.3257598
2022-09-03,0.1732764
2022-09-04,0.91708877
2022-09-05,0.17850837
2022-09-06,0.60584836
2022-09-07,0.37262101
2022-09-08,0.22628124
2022-09-09,0.244697
2022-09-10,0.15828691
2022-09-11,0.15557435
2022-09-12,0.22803093
2022-09-13,0.82801739
2022-09-14,0.37782768
2022-09-15,0.35424929
2022-09-16,0.17145409
2022-09-17,0.12222134
2022-09-18,0.08511931
2022-09-19,0.67129151
2022-09-20,0.30506278
2022-09-21,0.37073418
2022-09-22,0.24729169
2022-09-23,0.2422002
2022-09-24,0.08136399
2022-09-25,0.13580935
2022-09-26,0.24368973
2022-09-27,0.59140775
2022-09-28,0.31297195
2022-09-29,0.31747922
2022-09-30,0.44894822
2022-10-01,0.1217553
2022-10-02,0.10842682
2022-10-03,0.23044968
2022-10-04,0.28307844
2022-10-05,0.39164187
2022-10-06,0.26802195
2022-10-07,0.34771054
2022-10-08,0.24891977
2022-10-09,0.09010602
2022-10-10,0.2399509
2022-10-11,0.34564072
2022-10-12,0.49836332
2022-10-13,0.25301973
2022-10-14,0.25365113
2022-10-15,0.09761793
2022-10-16,0.16926265
2022-10-17,1.21407323
2022-10-18,2.89007134
2022-10-19,0.4167862
2022-10-20,0.17152321
2022-10-21,0.24077688
2022-10-22,0.71315684
2022-10-23,0.1287346
2022-10-24,0.23371805
2022-10-25,0.63608039
2022-10-26,1.00553026
2022-10-27,0.64868962
2022-10-28,0.2459401
2022-10-29,0.18227687
2022-10-30,0.15629329
2022-10-31,0.33108094
2022-11-01,0.35620672
2022-11-02,0.95109051
2022-11-03,0.42251246
2022-11-04,1.99748406
2022-11-05,0.47876129
2022-11-06,0.46865941
2022-11-07,1.08766294
2022-11-08,0.72420087
2022-11-09,1.37781487
2022-11-10,0.87265584
2022-11-11,2.4669357
2022-11-12,1.61409996
2022-11-13,0.23501369
2022-11-14,0.73153025
2022-11-15,0.74207914
2022-11-16,1.83625575
2022-11-17,0.98554463
2022-11-18,3.93355558
2022-11-19,0.21319496
2022-11-20,0.48506469
2022-11-21,0.67026989
2022-11-22,0.85518479
2022-11-23,4.50846028
2022-11-24,0.45933285
2022-11-25,0.31302257
2022-11-26,0.21410876
2022-11-27,0.19388426
2022-11-28,0.50677108
2022-11-29,0.44231442
2022-11-30,0.37576511
2022-12-01,0.72566824
2022-12-02,0.47272369
2022-12-03,0.16341966
2022-12-04,0.29541208
2022-12-05,0.87530259
2022-12-06,0.40137003
2022-12-07,0.27798134
2022-12-08,0.31053181
2022-12-09,0.60116192
2022-12-10,0.23392355
2022-12-11,0.2481039
2022-12-12,0.29889583
2022-12-13,0.57844977
2022-12-14,0.6703261
2022-12-15,0.28731969
2022-12-16,0.42547177
2022-12-17,0.31299766
2022-12-18,0.20776593
2022-12-19,0.73767192
2022-12-20,0.21927726
2022-12-21,0.36570463
2022-12-22,0.33596231
2022-12-23,0.49410172
2022-12-24,0.20252447
2022-12-25,0.32190264
2022-12-26,0.14151333
2022-12-27,0.2558516
2022-12-28,0.90977862
2022-12-29,0.69481122
2022-12-30,0.58310353
2022-12-31,1.02930298
2023-01-01,0.21856729
2023-01-02,0.27241257
2023-01-03,0.43081348
2023-01-04,0.42906554
2023-01-05,1.60116504
2023-01-06,0.56520565
2023-01-07,0.42079619
2023-01-08,0.22149233
2023-01-09,0.29677437
2023-01-10,0.62886566
2023-01-11,0.55490572
2023-01-12,0.42798409
2023-01-13,0.41606836
2023-01-14,0.26798228
2023-01-15,0.28625822
2023-01-16,0.85275979
2023-01-17,0.3599127
2023-01-18,0.53971809
2023-01-19,0.40661743
2023-01-20,0.31778349
2023-01-21,0.25035462
2023-01-22,0.14724128
2023-01-23,0.28252453
2023-01-24,0.30764943
2023-01-25,0.3171566
2023-01-26,1.56130462
2023-01-27,0.67038359
2023-01-28,0.14907645
2023-01-29,0.17982022
2023-01-30,0.24649701
2023-01-31,0.34560051
2023-02-01,0.53389039
2023-02-02,0.21643684
2023-02-03,0.40819741
2023-02-04,0.14977542
2023-02-05,0.20978426
2023-02-06,0.22785974
2023-02-07,0.2028411
2023-02-08,0.30750527
2023-02-09,0.35508136
2023-02-10,0.35796363
2023-02-11,0.20821703
2023-02-12,0.20073504
2023-02-13,0.25582633
2023-02-14,0.16261065
2023-02-15,0.33257157
2023-02-16,0.3442656
2023-02-17,0.24877827
2023-02-18,0.11960399
2023-02-19,0.24101837
2023-02-20,0.15368091
2023-02-21,0.26753499
2023-02-22,0.39657676
2023-02-23,0.20931959
2023-02-24,0.48551626
2023-02-25,0.17589753
2023-02-26,0.18180401
2023-02-27,0.48659158
2023-02-28,0.74639061
2023-03-01,0.75545894
2023-03-02,0.26970139
2023-03-03,0.2932144
2023-03-04,0.21120682
2023-03-05,0.52441982
2023-03-06,0.39601448
2023-03-07,1.29849117
2023-03-08,0.28655283
2023-03-09,0.42165202
2023-03-10,0.30124131
2023-03-11,0.34927167
2023-03-12,0.18882355
2023-03-13,0.65189375
2023-03-14,0.73433498
2023-03-15,0.62223316
2023-03-16,0.49710796
2023-03-17,0.47297944
2023-03-18,0.22505799
2023-03-19,0.24411691
2023-03-20,0.40669471
2023-03-21,0.38478575
2023-03-22,0.47453816
2023-03-23,0.58072215
2023-03-24,0.47272919
2023-03-25,0.18110084
2023-03-26,0.26623837
2023-03-27,0.58008866
2023-03-28,0.26753837
2023-03-29,0.23920613
2023-03-30,4.71808009
2023-03-31,0.78236713
2023-04-01,0.23410173
2023-04-02,0.1360691
2023-04-03,0.36856119
2023-04-04,0.50415554
2023-04-05,0.64001593
2023-04-06,0.52019786
2023-04-07,0.4163982
2023-04-08,0.11453216
2023-04-09,0.08602216
2023-04-10,0.40164005
2023-04-11,1.06260018
2023-04-12,0.9689906
2023-04-13,0.44028296
2023-04-14,0.65902466
2023-04-15,0.17769944
2023-04-16,0.17353487
2023-04-17,0.34371784
2023-04-18,0.30242097
2023-04-19,1.40706781
2023-04-20,0.26623549
2023-04-21,0.3494456
2023-04-22,0.12222219
2023-04-23,0.16543493
2023-04-24,0.27755272
2023-04-25,0.26343373
2023-04-26,0.30146581
2023-04-27,0.26629108
2023-04-28,0.29692015
2023-04-29,0.52819793
2023-04-30,0.11627102
2023-05-01,0.23740208
2023-05-02,0.26002608
2023-05-03,0.76127856
2023-05-04,0.27376391
2023-05-05,0.246791
2023-05-06,0.09071562
2023-05-07,1.3684163
2023-05-08,0.45218638
2023-05-09,0.16612862
2023-05-10,0.41384088
2023-05-11,0.42956224
2023-05-12,0.42950099
2023-05-13,0.12690298
2023-05-14,0.40592479
2023-05-15,1.65717907
2023-05-16,0.50683256
2023-05-17,0.22531209
2023-05-18,0.231395
2023-05-19,0.23872938
2023-05-20,0.16671171
2023-05-21,0.17497189
2023-05-22,0.98827774
2023-05-23,0.30752371
2023-05-24,0.32358629
2023-05-25,1.87366965
2023-05-26,0.45002614
2023-05-27,0.12638029
2023-05-28,0.25719298
2023-05-29,0.36077304
2023-05-30,0.54086544
2023-05-31,0.53442866
2023-06-01,0.58807861
2023-06-02,0.30615511
2023-06-03,0.15712049
2023-06-04,0.15224315
2023-06-05,0.46170152
2023-06-06,0.31835815
2023-06-07,0.25103391
2023-06-08,0.50579791
2023-06-09,0.25920167
2023-06-10,0.31550531
2023-06-11,0.18643065
2023-06-12,0.41975611
2023-06-13,0.46442823
2023-06-14,0.47518143
2023-06-15,0.49782711
2023-06-16,0.32565894
2023-06-17,0.14516041
2023-06-18,0.66253896
2023-06-19,0.55254281
2023-06-20,0.89912614
2023-06-21,1.11426998
2023-06-22,0.36963755
2023-06-23,1.03047049
2023-06-24,0.28437779
2023-06-25,0.30440806
