date,Sum Coin Age
2022-12-04,26063538826.38581
2022-12-05,26065999546.15802
2022-12-06,26077483623.220432
2022-12-07,26091403609.79931
2022-12-08,26104613913.74524
2022-12-09,26112121467.750034
2022-12-10,26126983463.42875
2022-12-11,26141513843.35764
2022-12-12,26154871325.38229
2022-12-13,26163042361.334656
2022-12-14,26169158011.126774
2022-12-15,26183122116.91416
2022-12-16,26194209287.49195
2022-12-17,26207391482.25656
2022-12-18,26222657205.3072
2022-12-19,26227634081.98575
2022-12-20,26242746322.48779
2022-12-21,26254828413.747417
2022-12-22,26267449245.25761
2022-12-23,26277419305.282646
2022-12-24,26292768784.075115
2022-12-25,26305857689.88849
2022-12-26,26322342170.63838
2022-12-27,26336637578.60625
2022-12-28,26338126624.207867
2022-12-29,26344180928.762005
2022-12-30,26352162131.71984
2022-12-31,26351373946.38312
2023-01-01,26366585945.65705
2023-01-02,26380792228.94292
2023-01-03,26391714454.85207
2023-01-04,26402669810.497864
2023-01-05,26391165494.73502
2023-01-06,26399476255.29649
2023-01-07,26410613716.3906
2023-01-08,26425519180.8124
2023-01-09,26439080160.9801
2023-01-10,26446225302.124737
2023-01-11,26454783057.321583
2023-01-12,26465959852.96231
2023-01-13,26477065288.377163
2023-01-14,26491259876.614635
2023-01-15,26505026503.79785
2023-01-16,26507861428.832664
2023-01-17,26519971680.130367
2023-01-18,26529069434.357216
2023-01-19,26540539212.978123
2023-01-20,26553664957.65718
2023-01-21,26568022279.245068
2023-01-22,26584238301.08064
2023-01-23,26598360225.297512
2023-01-24,26611574872.057743
2023-01-25,26624877685.76023
2023-01-26,26613989486.5856
2023-01-27,26620040841.81399
2023-01-28,26636402194.64257
2023-01-29,26652555952.35757
2023-01-30,26666821423.53616
2023-01-31,26679644387.800053
2023-02-01,26688503104.937813
2023-02-02,26703803608.46113
2023-02-03,26715223872.443687
2023-02-04,26731607770.82436
2023-02-05,26746883556.459305
2023-02-06,26761286535.917625
2023-02-07,26777091984.237595
2023-02-08,26790094904.83088
2023-02-09,26802858341.215206
2023-02-10,26815241166.14548
2023-02-11,26829746968.948784
2023-02-12,26845649778.3768
2023-02-13,26860356516.4785
2023-02-14,26876208080.47592
2023-02-15,26889354909.74972
2023-02-16,26902027004.127464
2023-02-17,26916500612.397263
2023-02-18,26933546970.48055
2023-02-19,26948100659.211403
2023-02-20,26964400752.619305
2023-02-21,26978574149.37089
2023-02-22,26990202701.958443
2023-02-23,27005386723.32846
2023-02-24,27015386068.98233
2023-02-25,27031347491.186047
2023-02-26,27047093676.87588
2023-02-27,27057070667.62376
2023-02-28,27061776348.445297
2023-03-01,27066615650.18611
2023-03-02,27080734565.70592
2023-03-03,27094443735.620075
2023-03-04,27109491242.97225
2023-03-05,27118418476.27444
2023-03-06,27130303310.40225
2023-03-07,27124750881.38194
2023-03-08,27138328604.176807
2023-03-09,27149570409.659355
2023-03-10,27163199080.449387
2023-03-11,27175683216.759266
2023-03-12,27190934329.71125
2023-03-13,27197988347.41584
2023-03-14,27202982662.27709
2023-03-15,27210482476.638115
2023-03-16,27220284637.439514
2023-03-17,27230399999.28668
2023-03-18,27245350780.88119
2023-03-19,27259940536.60165
2023-03-20,27271526786.99962
2023-03-21,27283386218.597805
2023-03-22,27293554703.19041
2023-03-23,27301667529.26347
2023-03-24,27311779246.83272
2023-03-25,27327556343.689583
2023-03-26,27341743138.35441
2023-03-27,27349774803.22407
2023-03-28,27364064198.72364
2023-03-29,27378837933.85265
2023-03-30,27306839677.82927
2023-03-31,27311178905.019604
2023-04-01,27325994583.83033
2023-04-02,27342692607.07761
2023-04-03,27354896782.45894
