date,NVM Ratio
2022-02-27,1.16789294
2022-02-28,0.88134242
2022-03-01,0.75109954
2022-03-02,0.69392402
2022-03-03,0.79099081
2022-03-04,0.80917434
2022-03-05,1.14249139
2022-03-06,1.21383334
2022-03-07,0.857664
2022-03-08,0.80634118
2022-03-09,0.86048668
2022-03-10,0.75348941
2022-03-11,0.89828478
2022-03-12,1.12798802
2022-03-13,1.25364022
2022-03-14,0.87843455
2022-03-15,0.85718025
2022-03-16,0.7647991
2022-03-17,0.73606527
2022-03-18,0.81938555
2022-03-19,1.03750651
2022-03-20,1.28665435
2022-03-21,0.88430926
2022-03-22,0.92545447
2022-03-23,0.8749292
2022-03-24,0.92135561
2022-03-25,0.7292218
2022-03-26,1.23147563
2022-03-27,1.35606018
2022-03-28,0.82274363
2022-03-29,0.97874859
2022-03-30,1.00462015
2022-03-31,0.90727452
2022-04-01,0.77603446
2022-04-02,0.98215373
2022-04-03,1.37387639
2022-04-04,0.91938465
2022-04-05,0.96635379
2022-04-06,0.9732498
2022-04-07,0.94371466
2022-04-08,0.94116876
2022-04-09,1.26223458
2022-04-10,1.44296269
2022-04-11,0.79146392
2022-04-12,0.77848906
2022-04-13,0.88559312
2022-04-14,0.91457254
2022-04-15,0.97420671
2022-04-16,1.21714829
2022-04-17,1.34908805
2022-04-18,0.90520833
2022-04-19,0.88625534
2022-04-20,0.84123163
2022-04-21,0.79534638
2022-04-22,0.8447664
2022-04-23,1.024071
2022-04-24,1.15158725
2022-04-25,0.76732949
2022-04-26,0.78457409
2022-04-27,0.80250019
2022-04-28,0.74309786
2022-04-29,0.65643251
2022-04-30,0.7745367
2022-05-01,1.05832303
2022-05-02,0.77264317
2022-05-03,0.80452011
2022-05-04,1.00248006
2022-05-05,0.50711504
2022-05-06,0.57484644
2022-05-07,0.97021843
2022-05-08,0.91470384
2022-05-09,0.53221841
2022-05-10,0.61780573
2022-05-11,0.55129579
2022-05-12,0.50882339
2022-05-13,0.52132823
2022-05-14,0.47826904
2022-05-15,0.57535954
2022-05-16,0.47660749
2022-05-17,0.54561907
2022-05-18,0.67804448
2022-05-19,0.71687782
2022-05-20,0.6241388
2022-05-21,0.91816515
2022-05-22,1.0352017
2022-05-23,0.63646104
2022-05-24,0.79324852
2022-05-25,0.53340343
2022-05-26,0.68028061
2022-05-27,0.62980159
2022-05-28,0.89129006
2022-05-29,0.99270648
2022-05-30,0.69107774
2022-05-31,0.61219463
2022-06-01,0.61075459
2022-06-02,0.64162889
2022-06-03,0.63923618
2022-06-04,0.94644223
2022-06-05,1.04866566
2022-06-06,0.65867771
2022-06-07,0.67085472
2022-06-08,0.72861838
2022-06-09,0.68949664
2022-06-10,0.67833783
2022-06-11,0.75857419
2022-06-12,0.88648034
2022-06-13,0.42631912
2022-06-14,0.35353951
2022-06-15,0.37941882
2022-06-16,0.49097056
2022-06-17,0.50663088
2022-06-18,0.41697298
2022-06-19,0.70286175
2022-06-20,0.56819505
2022-06-21,0.47445183
2022-06-22,0.49465404
2022-06-23,0.54818416
2022-06-24,0.52142836
2022-06-25,0.7248347
2022-06-26,0.78976819
2022-06-27,0.42010606
2022-06-28,0.47281662
2022-06-29,0.45515834
2022-06-30,0.41529713
2022-07-01,0.41847813
2022-07-02,0.51649281
2022-07-03,0.68654005
2022-07-04,0.53340251
2022-07-05,0.51361079
2022-07-06,0.408274
2022-07-07,0.410758
2022-07-08,0.46418899
2022-07-09,0.68116017
2022-07-10,0.79808956
2022-07-11,0.54645838
2022-07-12,0.41697631
2022-07-13,0.59094507
2022-07-14,0.40391739
2022-07-15,0.440504
2022-07-16,0.65407092
2022-07-17,0.75925213
2022-07-18,0.56526191
2022-07-19,0.45356927
2022-07-20,0.52857638
2022-07-21,0.48011409
2022-07-22,0.60188093
2022-07-23,0.7197089
2022-07-24,0.80887169
2022-07-25,0.5017232
2022-07-26,0.44304755
2022-07-27,0.55891758
2022-07-28,0.44521524
2022-07-29,0.5039406
2022-07-30,0.71136261
2022-07-31,0.75356123
2022-08-01,0.54509078
2022-08-02,0.49441595
2022-08-03,0.45960736
2022-08-04,0.47864789
2022-08-05,0.49822232
2022-08-06,0.57858689
2022-08-07,0.8829548
2022-08-08,0.53829739
2022-08-09,0.49201596
2022-08-10,0.4330981
2022-08-11,0.45100397
2022-08-12,0.51075393
2022-08-13,0.6895605
2022-08-14,0.70014668
2022-08-15,0.55188955
2022-08-16,0.43242889
2022-08-17,0.53912353
2022-08-18,0.43623166
2022-08-19,0.40353281
2022-08-20,0.57427909
2022-08-21,0.70404978
2022-08-22,0.52627638
2022-08-23,0.47468262
2022-08-24,0.48389479
2022-08-25,0.49222814
2022-08-26,0.45142463
2022-08-27,0.5444596
2022-08-28,0.63538135
2022-08-29,0.44376081
2022-08-30,0.42258379
2022-08-31,0.45359868
2022-09-01,0.41401388
2022-09-02,0.39002682
2022-09-03,0.42952019
2022-09-04,0.64635875
2022-09-05,0.43470471
2022-09-06,0.41975878
2022-09-07,0.40385345
2022-09-08,0.42831191
2022-09-09,0.38497326
2022-09-10,0.52029726
2022-09-11,0.56908578
2022-09-12,0.44406316
2022-09-13,0.43204118
2022-09-14,0.40135986
2022-09-15,0.4168587
2022-09-16,0.43685948
2022-09-17,0.44773465
2022-09-18,0.62416182
2022-09-19,0.45152622
2022-09-20,0.39157261
2022-09-21,0.42821772
2022-09-22,0.50153218
2022-09-23,0.38396895
2022-09-24,0.55689229
2022-09-25,0.58031523
2022-09-26,0.43006694
2022-09-27,0.40560738
2022-09-28,0.50381092
2022-09-29,0.48399436
2022-09-30,0.3826936
2022-10-01,0.48121053
2022-10-02,0.52389739
2022-10-03,0.38958815
2022-10-04,0.45025475
2022-10-05,0.49129137
2022-10-06,0.4367882
2022-10-07,0.42486117
2022-10-08,0.5627764
2022-10-09,0.62922629
2022-10-10,0.44348179
2022-10-11,0.45699543
2022-10-12,0.48602181
2022-10-13,0.41873368
2022-10-14,0.38524485
2022-10-15,0.50077962
2022-10-16,0.64028072
2022-10-17,0.49604865
2022-10-18,0.47721653
2022-10-19,0.43491796
2022-10-20,0.46544887
2022-10-21,0.43318192
2022-10-22,0.53881149
2022-10-23,0.58531585
2022-10-24,0.44218985
2022-10-25,0.56690947
2022-10-26,0.36652216
2022-10-27,0.4877206
2022-10-28,0.45210327
2022-10-29,0.5212429
2022-10-30,0.58138207
2022-10-31,0.42542461
2022-11-01,0.43165533
2022-11-02,0.5155636
2022-11-03,0.38394246
2022-11-04,0.455911
2022-11-05,0.47900034
2022-11-06,0.60166161
2022-11-07,0.47584126
2022-11-08,0.32336983
2022-11-09,0.26658259
2022-11-10,0.31086146
2022-11-11,0.34922
2022-11-12,0.38280442
2022-11-13,0.39638521
2022-11-14,0.36011235
2022-11-15,0.32986169
2022-11-16,0.35531439
2022-11-17,0.414151
2022-11-18,0.34450389
2022-11-19,0.26472892
2022-11-20,0.30676636
2022-11-21,0.32204592
2022-11-22,0.36741617
2022-11-23,0.28730058
2022-11-24,0.32522492
2022-11-25,0.33281412
2022-11-26,0.4024315
2022-11-27,0.43905405
2022-11-28,0.35851685
2022-11-29,0.34507439
2022-11-30,0.37810707
2022-12-01,0.3087922
2022-12-02,0.35319614
2022-12-03,0.37275919
2022-12-04,0.45953234
2022-12-05,0.35434666
2022-12-06,0.37398397
2022-12-07,0.38864224
2022-12-08,0.43151747
2022-12-09,0.37516482
2022-12-10,0.38154563
2022-12-11,0.55985111
2022-12-12,0.40804424
2022-12-13,0.36689784
2022-12-14,0.4039013
2022-12-15,0.40486682
2022-12-16,0.41775261
2022-12-17,0.34784966
2022-12-18,0.50483176
2022-12-19,0.34465126
2022-12-20,0.36437933
2022-12-21,0.38301833
2022-12-22,0.40305488
2022-12-23,0.41199945
2022-12-24,0.56725311
2022-12-25,0.57872097
2022-12-26,0.54213442
2022-12-27,0.43538014
2022-12-28,0.38833139
2022-12-29,0.36076844
2022-12-30,0.28320753
2022-12-31,0.45323232
2023-01-01,0.62988701
2023-01-02,0.45170563
2023-01-03,0.33841533
2023-01-04,0.38815022
2023-01-05,0.37812536
2023-01-06,0.36849504
2023-01-07,0.51676689
2023-01-08,0.56744431
2023-01-09,0.35098835
2023-01-10,0.26013118
2023-01-11,0.39718497
2023-01-12,0.33923263
2023-01-13,0.34285883
2023-01-14,0.43140903
2023-01-15,0.63225437
2023-01-16,0.44684452
2023-01-17,0.42773131
2023-01-18,0.45466354
2023-01-19,0.47691402
2023-01-20,0.53188076
2023-01-21,0.55519492
2023-01-22,0.60578371
2023-01-23,0.52401974
2023-01-24,0.53731905
2023-01-25,0.54056521
2023-01-26,0.56590148
