date,Mean Coin Age
2023-01-17,1376.56614949
2023-01-18,1376.97584459
2023-01-19,1377.50638105
2023-01-20,1378.1286229
2023-01-21,1378.81204374
2023-01-22,1379.5860439
2023-01-23,1380.24816717
2023-01-24,1380.87613143
2023-01-25,1381.48800913
2023-01-26,1380.85364231
2023-01-27,1381.09864347
2023-01-28,1381.87222287
2023-01-29,1382.63808675
2023-01-30,1383.3162335
2023-01-31,1383.92981356
2023-02-01,1384.32784847
2023-02-02,1385.05637538
2023-02-03,1385.58897523
2023-02-04,1386.37760953
2023-02-05,1387.10151343
2023-02-06,1387.78188344
2023-02-07,1388.53761356
2023-02-08,1389.14975558
2023-02-09,1389.73861632
2023-02-10,1390.31443948
2023-02-11,1390.99982373
2023-02-12,1391.75125378
2023-02-13,1392.44330758
2023-02-14,1393.19553917
2023-02-15,1393.80343208
2023-02-16,1394.37942684
2023-02-17,1395.0550515
2023-02-18,1395.86258374
2023-02-19,1396.54356335
2023-02-20,1397.32176013
2023-02-21,1397.98062525
2023-02-22,1398.51978545
2023-02-23,1399.22907153
2023-02-24,1399.68597686
2023-02-25,1400.46442546
2023-02-26,1401.20399336
2023-02-27,1401.65732473
2023-02-28,1401.83891522
2023-03-01,1402.01243256
2023-03-02,1402.67838131
2023-03-03,1403.31214334
2023-03-04,1404.02242114
2023-03-05,1404.41430704
2023-03-06,1404.96977356
2023-03-07,1404.6072234
2023-03-08,1405.24983309
2023-03-09,1405.77052664
2023-03-10,1406.41430293
2023-03-11,1406.98556208
2023-03-12,1407.7018313
2023-03-13,1407.99549813
2023-03-14,1408.1875249
2023-03-15,1408.50877109
2023-03-16,1408.95508405
2023-03-17,1409.41164194
2023-03-18,1410.11157785
2023-03-19,1410.79914492
2023-03-20,1411.3284725
2023-03-21,1411.87599363
2023-03-22,1412.32956887
2023-03-23,1412.66576673
2023-03-24,1413.11494309
2023-03-25,1413.86495664
2023-03-26,1414.53308252
2023-03-27,1414.88089376
2023-03-28,1415.55879367
2023-03-29,1416.25573638
2023-03-30,1412.46062148
2023-03-31,1412.62067859
2023-04-01,1413.32302861
2023-04-02,1414.11855324
2023-04-03,1414.68982868
2023-04-04,1415.10578429
2023-04-05,1415.40670247
2023-04-06,1415.81060127
2023-04-07,1416.33121424
2023-04-08,1417.15002794
2023-04-09,1417.99797936
2023-04-10,1418.53917189
2023-04-11,1418.408302
2023-04-12,1418.35611682
2023-04-13,1418.85717921
2023-04-14,1419.14032989
2023-04-15,1419.88380443
2023-04-16,1420.64000012
2023-04-17,1421.21965445
2023-04-18,1421.84859255
2023-04-19,1421.39169696
2023-04-20,1422.06361559
2023-04-21,1422.64046146
2023-04-22,1423.44604051
2023-04-23,1424.22537744
2023-04-24,1424.86665833
2023-04-25,1425.56019396
2023-04-26,1426.19929148
2023-04-27,1426.85453761
2023-04-28,1427.4895463
2023-04-29,1427.8950447
2023-04-30,1428.73237909
2023-05-01,1429.41320373
2023-05-02,1430.08347224
2023-05-03,1430.26163099
2023-05-04,1430.92750737
2023-05-05,1431.61566265
2023-05-06,1432.44818697
2023-05-07,1432.02915488
2023-05-08,1432.51129547
2023-05-09,1433.2533389
2023-05-10,1433.78906053
2023-05-11,1434.28829277
2023-05-12,1434.79302295
2023-05-13,1435.59041286
2023-05-14,1436.11269901
2023-05-15,1435.36948695
2023-05-16,1435.80829152
2023-05-17,1436.51056514
2023-05-18,1437.19754915
2023-05-19,1437.88843945
2023-05-20,1438.67913315
2023-05-21,1439.42523474
2023-05-22,1439.37768114
2023-05-23,1439.98634673
2023-05-24,1440.59512031
2023-05-25,1439.66256311
2023-05-26,1440.14477184
2023-05-27,1440.9497785
2023-05-28,1441.61582853
2023-05-29,1442.18524986
2023-05-30,1442.56394441
2023-05-31,1442.96252717
2023-06-01,1443.30485987
2023-06-02,1443.92964277
2023-06-03,1444.69030659
2023-06-04,1445.49823083
2023-06-05,1445.96785259
2023-06-06,1446.57395298
2023-06-07,1447.26503487
2023-06-08,1447.68810446
2023-06-09,1448.3466293
2023-06-10,1448.96692788
2023-06-11,1449.70013396
2023-06-12,1450.20603689
2023-06-13,1450.67202645
2023-06-14,1451.14041306
2023-06-15,1451.56671535
2023-06-16,1452.18930387
2023-06-17,1452.95626939
2023-06-18,1453.23618475
2023-06-19,1453.61660079
2023-06-20,1453.64877693
2023-06-21,1453.4847316
2023-06-22,1454.03982402
2023-06-23,1453.95380027
2023-06-24,1454.60218675
2023-06-25,1455.22389851
2023-06-26,1455.88450772
2023-06-27,1456.29453069
2023-06-28,1456.86028803
2023-06-29,1456.86129149
2023-06-30,1457.43323576
2023-07-01,1456.72121199
2023-07-02,1457.43048163
2023-07-03,1458.00655986
2023-07-04,1458.67192436
2023-07-05,1459.36956331
2023-07-06,1459.17234274
2023-07-07,1459.87300822
2023-07-08,1460.67328126
2023-07-09,1461.40734286
2023-07-10,1461.96500679
2023-07-11,1462.24603851
2023-07-12,1462.83561528
2023-07-13,1463.22748358
2023-07-14,1463.7205973
2023-07-15,1464.53572211
2023-07-16,1465.31954465
2023-07-17,1465.73171158
2023-07-18,1466.0688597
2023-07-19,1466.49346514
2023-07-20,1467.05641117
2023-07-21,1467.52830891
2023-07-22,1468.07841433
2023-07-23,1468.84172206
2023-07-24,1469.37628252
2023-07-25,1470.09881183
2023-07-26,1470.8256078
2023-07-27,1470.5824442
2023-07-28,1468.33287715
2023-07-29,1469.09867046
2023-07-30,1469.89880591
2023-07-31,1470.4205623
2023-08-01,1471.17758152
2023-08-02,1471.55232077
2023-08-03,1472.31572832
2023-08-04,1472.94857988
2023-08-05,1473.78444177
2023-08-06,1474.55812172
2023-08-07,1475.27444498
2023-08-08,1475.77365947
2023-08-09,1476.40897067
2023-08-10,1477.04135205
2023-08-11,1477.76390865
2023-08-12,1478.42896388
2023-08-13,1479.16330022
2023-08-14,1479.48957789
2023-08-15,1480.0342652
2023-08-16,1480.59927351
2023-08-17,1481.00025562
2023-08-18,1481.33462916
2023-08-19,1482.15779308
2023-08-20,1482.93119429
2023-08-21,1483.52109513
2023-08-22,1484.07044144
2023-08-23,1484.74986913
2023-08-24,1485.42286602
2023-08-25,1486.11223899
2023-08-26,1486.94155262
2023-08-27,1487.53298379
2023-08-28,1488.17758831
2023-08-29,1488.37971439
2023-08-30,1489.04441997
2023-08-31,1489.64745544
2023-09-01,1490.24766947
2023-09-02,1491.06564723
2023-09-03,1491.80891949
2023-09-04,1492.47187533
2023-09-05,1493.09762312
2023-09-06,1493.68677522
2023-09-07,1494.41242478
2023-09-08,1495.14230309
2023-09-09,1495.91536288
2023-09-10,1496.74898946
2023-09-11,1497.38548999
2023-09-12,1498.04334189
2023-09-13,1498.7964686
2023-09-14,1499.33762174
2023-09-15,1499.9556247
2023-09-16,1500.74154473
2023-09-17,1501.55764939
2023-09-18,1501.83619416
2023-09-19,1501.34011405
2023-09-20,1501.82020938
2023-09-21,1502.58014376
2023-09-22,1503.38931016
