date,NVT Ratio
2023-11-17,26.19175885
2023-11-18,40.15016674
2023-11-19,35.45688813
2023-11-20,21.00036027
2023-11-21,19.62482538
2023-11-22,21.49565453
2023-11-23,40.9394864
2023-11-24,21.92964422
2023-11-25,30.42553765
2023-11-26,28.98173547
2023-11-27,23.04682526
2023-11-28,24.13323387
2023-11-29,22.26086706
2023-11-30,21.9043474
2023-12-01,19.0587764
2023-12-02,26.5395344
2023-12-03,26.88647183
2023-12-04,17.96308717
2023-12-05,20.72760274
2023-12-06,19.20823921
2023-12-07,21.99562906
2023-12-08,20.01480454
2023-12-09,31.36792117
2023-12-10,36.10457214
2023-12-11,19.5007965
2023-12-12,20.95912105
2023-12-13,23.90089235
2023-12-14,23.63701196
2023-12-15,25.39842747
2023-12-16,34.84879509
2023-12-17,44.06794382
2023-12-18,26.5227724
2023-12-19,26.26413516
2023-12-20,24.12236916
2023-12-21,26.59179008
2023-12-22,23.39099407
2023-12-23,43.13833127
2023-12-24,34.75422856
2023-12-25,40.8145022
2023-12-26,24.63635629
2023-12-27,25.82628053
2023-12-28,27.81837148
2023-12-29,23.88615348
2023-12-30,31.47312412
2023-12-31,33.87206638
2024-01-01,38.10344112
2024-01-02,22.9375829
2024-01-03,22.36390926
2024-01-04,18.93948344
2024-01-05,25.18550769
2024-01-06,34.96894192
2024-01-07,34.05466076
2024-01-08,24.01667601
2024-01-09,17.16736781
2024-01-10,15.17979828
2024-01-11,16.9103649
2024-01-12,12.98729696
2024-01-13,27.61359143
2024-01-14,37.89086956
2024-01-15,27.67886163
2024-01-16,21.3645251
2024-01-17,16.20711491
2024-01-18,16.97319167
2024-01-19,20.99742225
2024-01-20,36.98552691
2024-01-21,34.36200409
2024-01-22,17.33090271
2024-01-23,20.41342197
2024-01-24,17.74362115
2024-01-25,19.42543166
2024-01-26,18.69196854
2024-01-27,30.7034968
2024-01-28,43.6467521
2024-01-29,21.82452918
2024-01-30,17.16330267
2024-01-31,14.27115403
2024-02-01,20.31647623
2024-02-02,23.03503021
2024-02-03,32.77550714
2024-02-04,35.90475523
2024-02-05,23.09182835
2024-02-06,21.13654894
2024-02-07,23.78137854
2024-02-08,20.61794551
2024-02-09,18.89183779
2024-02-10,31.52797395
2024-02-11,30.93059254
2024-02-12,20.61726585
2024-02-13,18.3489847
2024-02-14,16.16734077
2024-02-15,20.04399917
2024-02-16,21.04275434
2024-02-17,35.15360676
2024-02-18,34.40791045
2024-02-19,23.5322377
2024-02-20,19.8105646
2024-02-21,19.28265771
2024-02-22,21.34843514
2024-02-23,24.41796186
2024-02-24,37.14176338
2024-02-25,36.47933284
2024-02-26,21.00897694
2024-02-27,15.92274727
2024-02-28,13.29600483
2024-02-29,14.27161757
2024-03-01,16.72883967
2024-03-02,32.94047896
2024-03-03,31.37415505
2024-03-04,16.72478134
2024-03-05,11.35078106
2024-03-06,13.87841476
2024-03-07,15.78102911
2024-03-08,16.45678858
2024-03-09,29.00582055
2024-03-10,27.02797492
2024-03-11,14.6103244
2024-03-12,14.20713431
2024-03-13,12.12904978
2024-03-14,15.26232879
2024-03-15,17.24812911
2024-03-16,29.71074132
2024-03-17,29.29027239
2024-03-18,20.42324589
2024-03-19,17.22500098
2024-03-20,18.89423505
2024-03-21,22.21117311
2024-03-22,22.32928918
2024-03-23,27.28109517
2024-03-24,39.51306941
2024-03-25,16.02072368
2024-03-26,16.85443647
2024-03-27,19.89010537
2024-03-28,20.2936147
2024-03-29,21.30055603
2024-03-30,37.60066174
2024-03-31,43.69887675
2024-04-01,15.62371591
2024-04-02,17.88328489
2024-04-03,21.61868718
2024-04-04,23.26603291
2024-04-05,20.55182687
2024-04-06,33.33524209
2024-04-07,35.48909877
2024-04-08,20.09519842
2024-04-09,23.215224
2024-04-10,26.00550852
2024-04-11,24.01256483
2024-04-12,23.99308249
2024-04-13,29.91659844
2024-04-14,30.03259928
2024-04-15,20.48490237
2024-04-16,19.42299888
2024-04-17,19.49895657
2024-04-18,20.24710867
2024-04-19,24.29691632
2024-04-20,51.72236965
2024-04-21,41.1687926
2024-04-22,28.67250831
2024-04-23,27.08891767
2024-04-24,24.53288016
2024-04-25,32.22550357
2024-04-26,25.19498002
2024-04-27,35.62503311
2024-04-28,34.63288585
2024-04-29,26.00229674
2024-04-30,20.38192623
2024-05-01,22.24117997
2024-05-02,27.00242478
2024-05-03,29.51558595
2024-05-04,43.83138435
2024-05-05,44.58924782
2024-05-06,28.95422149
2024-05-07,27.64280439
2024-05-08,29.06439132
2024-05-09,28.77034493
2024-05-10,27.26301187
2024-05-11,45.34054963
2024-05-12,40.10925276
2024-05-13,25.75154021
2024-05-14,28.27359111
2024-05-15,24.47445076
2024-05-16,22.10148086
2024-05-17,23.90293121
2024-05-18,37.03794868
2024-05-19,36.07330844
2024-05-20,25.76487277
2024-05-21,19.90913933
2024-05-22,25.46094916
2024-05-23,30.04336766
2024-05-24,31.02646516
2024-05-25,54.68566838
2024-05-26,38.35327796
2024-05-27,34.43737433
2024-05-28,19.15863564
2024-05-29,27.35826577
2024-05-30,27.65233737
2024-05-31,23.03624463
2024-06-01,45.50903008
2024-06-02,33.7968897
2024-06-03,21.63523356
2024-06-04,23.25341302
2024-06-05,19.75302537
2024-06-06,25.34419896
2024-06-07,28.46379805
2024-06-08,38.67095226
2024-06-09,47.72418128
2024-06-10,29.00053714
2024-06-11,23.78610653
2024-06-12,29.1842882
2024-06-13,33.72383876
2024-06-14,26.86120619
2024-06-15,41.61180912
2024-06-16,43.53986372
2024-06-17,26.14394405
2024-06-18,24.02834683
2024-06-19,32.24473747
2024-06-20,31.19691356
2024-06-21,28.55965356
2024-06-22,54.84296623
2024-06-23,54.93760701
2024-06-24,20.97068708
2024-06-25,31.86660874
2024-06-26,27.33632204
2024-06-27,16.12455689
2024-06-28,25.27915102
2024-06-29,43.59867642
2024-06-30,53.92680133
2024-07-01,29.57164547
2024-07-02,31.27295443
2024-07-03,26.55382631
2024-07-04,22.02116969
2024-07-05,20.39714248
2024-07-06,37.38977004
2024-07-07,36.1083193
2024-07-08,21.23782752
2024-07-09,24.19599741
2024-07-10,23.19963771
2024-07-11,24.50242041
2024-07-12,26.92919349
2024-07-13,37.10867321
2024-07-14,36.62285496
2024-07-15,21.35523505
2024-07-16,17.65353325
2024-07-17,23.42952967
2024-07-18,36.86666375
2024-07-19,26.10150989
2024-07-20,35.35173631
2024-07-21,42.4806744
2024-07-22,24.21740965
2024-07-23,20.09675173
2024-07-24,26.21697927
