date,Realized Price
2022-11-08,21010.52763
2022-11-09,20908.34710339
2022-11-10,20868.30220773
2022-11-11,20833.36450751
2022-11-12,20782.16454683
2022-11-13,20768.33307007
2022-11-14,20733.01228502
2022-11-15,20695.40166365
2022-11-16,20648.23435472
2022-11-17,20562.34260838
2022-11-18,20338.20787275
2022-11-19,20326.34670155
2022-11-20,20312.32410205
2022-11-21,20276.13124543
2022-11-22,20247.1569923
2022-11-23,20256.7059342
2022-11-24,20244.43954837
2022-11-25,20231.41375748
2022-11-26,20218.90837101
2022-11-27,20214.03955486
2022-11-28,20186.15385094
2022-11-29,20177.38076006
2022-11-30,20166.35474132
2022-12-01,20158.01514142
2022-12-02,20144.38918344
2022-12-03,20139.32077869
2022-12-04,20128.59962059
2022-12-05,20073.42899403
2022-12-06,20055.15995666
2022-12-07,20050.71327458
2022-12-08,20040.71728081
2022-12-09,20023.75190881
2022-12-10,20023.24054666
2022-12-11,20016.70644509
2022-12-12,20011.23636538
2022-12-13,20000.24347893
2022-12-14,19984.97782747
2022-12-15,19978.65837717
2022-12-16,19968.87486591
2022-12-17,19960.43560747
2022-12-18,19956.62159802
2022-12-19,19928.79974033
2022-12-20,19923.37777703
2022-12-21,19908.6642178
2022-12-22,19901.14413285
2022-12-23,19892.74504287
2022-12-24,19888.48582317
2022-12-25,19877.55471104
2022-12-26,19874.79942999
2022-12-27,19864.69477107
2022-12-28,19837.09723313
2022-12-29,19816.94426661
2022-12-30,19809.03560979
2022-12-31,19767.29581248
2023-01-01,19763.80959027
2023-01-02,19762.05765299
2023-01-03,19753.04880657
2023-01-04,19741.59086312
2023-01-05,19734.40596689
2023-01-06,19722.61384283
2023-01-07,19717.86261679
2023-01-08,19715.62005315
2023-01-09,19714.42601731
2023-01-10,19703.59050201
2023-01-11,19687.06423602
2023-01-12,19695.34290706
2023-01-13,19705.64098583
2023-01-14,19719.62370634
2023-01-15,19722.9143119
2023-01-16,19732.02523157
2023-01-17,19744.82822018
2023-01-18,19745.17137197
2023-01-19,19739.04970973
2023-01-20,19748.20134425
2023-01-21,19761.55027053
2023-01-22,19768.71017422
2023-01-23,19773.77169017
2023-01-24,19779.96804697
2023-01-25,19785.66843532
2023-01-26,19776.89811553
2023-01-27,19765.34561816
2023-01-28,19768.68259644
2023-01-29,19774.85565878
2023-01-30,19779.09914445
2023-01-31,19785.21881085
2023-02-01,19804.38031354
2023-02-02,19813.26890364
2023-02-03,19818.63176974
2023-02-04,19826.10258745
2023-02-05,19826.44019195
2023-02-06,19828.45452123
2023-02-07,19830.30726381
2023-02-08,19834.02205154
2023-02-09,19833.30255158
2023-02-10,19824.94732795
2023-02-11,19823.72845494
2023-02-12,19822.60322002
2023-02-13,19818.79215971
2023-02-14,19818.57569458
2023-02-15,19827.04614913
2023-02-16,19846.48392897
2023-02-17,19851.19919844
2023-02-18,19855.43648315
2023-02-19,19858.99590147
2023-02-20,19864.11595951
2023-02-21,19867.78129299
2023-02-22,19862.84032267
2023-02-23,19867.98859774
2023-02-24,19865.64738364
2023-02-25,19861.48476921
2023-02-26,19862.73483038
2023-02-27,19866.479147
2023-02-28,19849.40171833
2023-03-01,19840.78623001
2023-03-02,19838.27459038
2023-03-03,19830.56819209
2023-03-04,19828.71399542
2023-03-05,19816.92525579
2023-03-06,19812.2960196
2023-03-07,19745.55123291
2023-03-08,19740.37103839
2023-03-09,19728.90824375
2023-03-10,19708.15644067
2023-03-11,19703.25585643
2023-03-12,19702.10129926
2023-03-13,19728.66848647
2023-03-14,19760.15540355
2023-03-15,19772.15077677
2023-03-16,19782.36615428
2023-03-17,19828.0107169
2023-03-18,19841.21633141
2023-03-19,19854.14227858
2023-03-20,19875.20881382
2023-03-21,19894.98611142
2023-03-22,19909.46288039
2023-03-23,19936.43755538
2023-03-24,19946.06060705
2023-03-25,19948.01907419
2023-03-26,19956.10836807
2023-03-27,19984.82407764
2023-03-28,19989.83193917
2023-03-29,20006.89569459
2023-03-30,19707.16639173
2023-03-31,19725.01336673
2023-04-01,19734.16376021
2023-04-02,19737.13385824
2023-04-03,19743.64930727
2023-04-04,19749.62060777
2023-04-05,19767.61010812
2023-04-06,19769.11437161
2023-04-07,19765.10113447
2023-04-08,19767.33808553
2023-04-09,19769.53997372
2023-04-10,19781.8491573
2023-04-11,19818.51708281
2023-04-12,19825.12522075
2023-04-13,19842.12468787
2023-04-14,19864.26366219
2023-04-15,19867.83176616
2023-04-16,19872.31881463
2023-04-17,19873.48525762
2023-04-18,19888.00023231
2023-04-19,19901.83177586
2023-04-20,19900.55324431
2023-04-21,19903.43560264
2023-04-22,19902.46338702
2023-04-23,19906.74319793
2023-04-24,19904.90840272
2023-04-25,19904.17334464
2023-04-26,19919.30615614
2023-04-27,19926.97796348
2023-04-28,19937.38119383
2023-04-29,19945.32846714
2023-04-30,19947.68334649
2023-05-01,19944.38417153
2023-05-02,19948.29042298
2023-05-03,19979.01637127
2023-05-04,19982.6140399
2023-05-05,19989.43953289
2023-05-06,19991.00412843
2023-05-07,20094.29659805
2023-05-08,20100.83281405
2023-05-09,20096.3004668
2023-05-10,20096.53946572
2023-05-11,20092.07432638
2023-05-12,20089.87017789
2023-05-13,20090.02112564
2023-05-14,20092.26879167
2023-05-15,20115.16629071
2023-05-16,20121.42809414
2023-05-17,20122.33533998
2023-05-18,20120.95662402
2023-05-19,20117.28713608
2023-05-20,20118.56897516
2023-05-21,20119.51128459
2023-05-22,20146.34816924
2023-05-23,20151.03399203
2023-05-24,20147.55547755
2023-05-25,20158.17767507
2023-05-26,20159.35140434
2023-05-27,20159.65276162
2023-05-28,20165.69471698
2023-05-29,20172.7149466
2023-05-30,20181.38312609
2023-05-31,20181.43373859
2023-06-01,20184.71516731
2023-06-02,20188.20253401
2023-06-03,20188.09285977
2023-06-04,20188.6229384
2023-06-05,20183.09677742
2023-06-06,20183.38549783
2023-06-07,20185.24769249
2023-06-08,20185.85073785
2023-06-09,20186.46809494
2023-06-10,20179.72597063
2023-06-11,20179.02178416
2023-06-12,20175.56247101
2023-06-13,20174.38717982
2023-06-14,20175.24365491
2023-06-15,20166.8650564
2023-06-16,20167.9283863
2023-06-17,20169.30813577
2023-06-18,20176.31499896
2023-06-19,20163.91236856
2023-06-20,20163.98740002
2023-06-21,20191.93324788
2023-06-22,20213.27611233
2023-06-23,20233.45509207
2023-06-24,20246.21402321
2023-06-25,20254.14111318
2023-06-26,20266.63320581
2023-06-27,20289.13695516
2023-06-28,20308.45874235
2023-06-29,20309.86606325
2023-06-30,20328.53320899
2023-07-01,20357.88196621
2023-07-02,20362.80650598
2023-07-03,20372.72183348
2023-07-04,20380.80863046
2023-07-05,20385.03809465
2023-07-06,20363.76273006
2023-07-07,20367.71769164
2023-07-08,20370.08206883
2023-07-09,20374.32853353
2023-07-10,20379.2135393
2023-07-11,20391.52321943
2023-07-12,20399.37439164
2023-07-13,20403.34807933
2023-07-14,20408.72592621
2023-07-15,20407.63421087
2023-07-16,20409.46956874
2023-07-17,20402.7352398
2023-07-18,20412.79427439
2023-07-19,20421.72877227
2023-07-20,20426.07871789
2023-07-21,20418.13172587
2023-07-22,20421.25101669
2023-07-23,20424.42069838
2023-07-24,20422.52805163
2023-07-25,20421.82723561
2023-07-26,20422.20256478
2023-07-27,20405.77679108
2023-07-28,20342.6952783
2023-07-29,20343.93897736
2023-07-30,20344.36599027
2023-07-31,20342.702408
2023-08-01,20341.98015712
2023-08-02,20338.03924074
2023-08-03,20338.69832349
2023-08-04,20340.58666215
2023-08-05,20340.72350373
2023-08-06,20342.56407548
2023-08-07,20342.3999823
2023-08-08,20344.35595873
2023-08-09,20350.0453159
2023-08-10,20350.82806914
2023-08-11,20354.56644997
2023-08-12,20357.8704666
2023-08-13,20360.70184671
2023-08-14,20363.51195083
2023-08-15,20365.20581718
2023-08-16,20365.21683752
2023-08-17,20357.16652021
2023-08-18,20338.65151714
2023-08-19,20335.27515537
2023-08-20,20334.27061369
2023-08-21,20324.86116646
2023-08-22,20317.28107001
2023-08-23,20313.25544993
2023-08-24,20304.70247284
2023-08-25,20296.81839825
2023-08-26,20294.89660996
2023-08-27,20296.85685856
2023-08-28,20292.98795703
2023-08-29,20281.95434147
2023-08-30,20284.09175662
2023-08-31,20280.84655402
2023-09-01,20272.50433941
2023-09-02,20270.9547833
2023-09-03,20269.16710262
2023-09-04,20267.09144847
2023-09-05,20261.59925174
2023-09-06,20257.52857026
2023-09-07,20254.63477137
2023-09-08,20253.80962619
2023-09-09,20251.36334891
2023-09-10,20250.74593889
2023-09-11,20243.95110904
2023-09-12,20242.00840746
2023-09-13,20241.70467227
2023-09-14,20248.47851463
2023-09-15,20250.83663986
2023-09-16,20251.51567691
2023-09-17,20252.22957073
2023-09-18,20259.65625585
2023-09-19,20274.30991888
2023-09-20,20273.61568361
2023-09-21,20271.9552487
2023-09-22,20271.33652311
2023-09-23,20271.28424782
2023-09-24,20271.48440409
