date,Fees USD (Total)
2020-02-20,266256.39741059
2020-02-21,227976.97374273
2020-02-22,176786.05694205
2020-02-23,163826.21582852
2020-02-24,222631.75117435
2020-02-25,232386.54441384
2020-02-26,264038.04375837
2020-02-27,237553.58055979
2020-02-28,228285.0889093
2020-02-29,160412.77486984
2020-03-01,123687.60882719
2020-03-02,201650.55333633
2020-03-03,217003.74649454
2020-03-04,212325.04841021
2020-03-05,220105.54993138
2020-03-06,242022.62038913
2020-03-07,167745.26917765
2020-03-08,138199.63633943
2020-03-09,201174.72199124
2020-03-10,222027.94857737
2020-03-11,231407.95659618
2020-03-12,377446.50734481
2020-03-13,443816.92066027
2020-03-14,285570.48044233
2020-03-15,235701.76325742
2020-03-16,305827.17458266
2020-03-17,329930.43141666
2020-03-18,309986.33982517
2020-03-19,394448.4644147
2020-03-20,512414.04722236
2020-03-21,290453.85761853
2020-03-22,203726.66703705
2020-03-23,317055.87920603
2020-03-24,297082.56401797
2020-03-25,301480.62027091
2020-03-26,366642.79507545
2020-03-27,277471.90588381
2020-03-28,179376.56075321
2020-03-29,128668.29827204
2020-03-30,165226.18874671
2020-03-31,187358.73390221
2020-04-01,168176.36588602
2020-04-02,168405.79250752
2020-04-03,175998.20676882
2020-04-04,112674.89163793
2020-04-05,92700.67134097
2020-04-06,149459.23647639
2020-04-07,185336.17642915
2020-04-08,165449.91208025
2020-04-09,170058.56286949
2020-04-10,144380.14219878
2020-04-11,94287.58842743
2020-04-12,89349.19465272
2020-04-13,112801.03722915
2020-04-14,154669.12990208
2020-04-15,180171.63776093
2020-04-16,198801.96423274
2020-04-17,180407.49319207
2020-04-18,137824.56333107
2020-04-19,111442.7121701
2020-04-20,154345.19380735
2020-04-21,160210.71001163
2020-04-22,178383.55638126
2020-04-23,301528.03290088
2020-04-24,278513.36429353
2020-04-25,209797.51023717
2020-04-26,157702.64050417
2020-04-27,216266.5729396
2020-04-28,214649.66841573
2020-04-29,435912.50184809
2020-04-30,941451.79536655
2020-05-01,967521.59237432
2020-05-02,605402.33972694
2020-05-03,513232.55828309
2020-05-04,588403.65073321
2020-05-05,640854.86578523
2020-05-06,629262.72385414
2020-05-07,842310.92507878
2020-05-08,1032756.68789045
2020-05-09,847400.83073412
2020-05-10,549424.75001623
2020-05-11,770685.40516826
2020-05-12,963808.93413393
2020-05-13,985284.08012932
2020-05-14,1401281.10703068
2020-05-15,1539246.23549738
2020-05-16,1019063.13967586
2020-05-17,972129.46394346
2020-05-18,1591857.24386122
2020-05-19,1764613.62982113
2020-05-20,1856776.84320465
2020-05-21,1861983.71300119
2020-05-22,1448922.59650558
2020-05-23,993887.03945257
2020-05-24,669293.58263057
2020-05-25,814253.80903758
2020-05-26,712345.87799133
2020-05-27,706379.30569966
2020-05-28,826858.0507637
2020-05-29,889466.12626939
2020-05-30,650475.15209336
2020-05-31,582442.44187548
2020-06-01,765110.26703365
2020-06-02,964193.6097159
2020-06-03,785303.40405646
2020-06-04,605677.83668701
2020-06-05,545143.22452886
2020-06-06,307738.69610842
2020-06-07,252884.94787722
2020-06-08,405355.02455029
2020-06-09,341484.61281728
2020-06-10,375717.38945361
2020-06-11,370941.68505731
2020-06-12,281925.71790905
2020-06-13,198790.75151107
2020-06-14,153292.31858121
2020-06-15,317649.20768743
2020-06-16,480212.02955057
2020-06-17,451392.30942766
2020-06-18,414817.44374682
2020-06-19,469407.86359909
2020-06-20,279173.40956914
2020-06-21,233580.80383066
2020-06-22,343607.25412372
2020-06-23,441659.64904981
2020-06-24,398978.0759267
2020-06-25,370373.91292527
2020-06-26,312489.3709206
2020-06-27,213287.39027028
2020-06-28,178666.82046896
2020-06-29,304538.61861889
2020-06-30,393144.71337691
2020-07-01,578045.2938747
2020-07-02,512039.88344881
2020-07-03,489024.43375555
2020-07-04,289630.03239293
2020-07-05,227397.37257139
2020-07-06,340690.56095902
2020-07-07,377369.14237353
2020-07-08,446742.58932833
2020-07-09,513052.92863151
2020-07-10,445518.66923956
2020-07-11,302008.86678029
2020-07-12,227333.40299475
2020-07-13,379808.92364904
2020-07-14,580633.73897732
2020-07-15,593178.89199167
2020-07-16,713905.30969983
2020-07-17,706512.78719882
2020-07-18,698955.548358
2020-07-19,420622.05819708
2020-07-20,721040.13543564
2020-07-21,952973.10952434
2020-07-22,1340919.79108279
2020-07-23,1287787.74072189
2020-07-24,1188074.90927565
2020-07-25,856324.69132694
2020-07-26,753040.0322567
2020-07-27,1271195.09995431
2020-07-28,2061140.02935951
2020-07-29,1938389.00868466
2020-07-30,1985066.88151122
2020-07-31,1921973.58166945
2020-08-01,1489894.52487462
2020-08-02,1206694.50457159
2020-08-03,1469238.3877039
2020-08-04,1250966.20924143
2020-08-05,1570649.83530107
2020-08-06,2306867.93889778
2020-08-07,1605979.43480511
2020-08-08,922408.55969245
2020-08-09,730574.63423493
2020-08-10,1586840.75939552
2020-08-11,1757637.62993261
2020-08-12,1435808.57239924
2020-08-13,1258970.75693475
2020-08-14,1251559.97870955
2020-08-15,801190.42287895
2020-08-16,716042.30211287
2020-08-17,989967.01539713
2020-08-18,1920930.39605663
2020-08-19,1738635.55285237
2020-08-20,1541997.95520963
2020-08-21,1595475.71315774
2020-08-22,1080307.12661856
2020-08-23,686996.2897744
2020-08-24,921124.96862623
2020-08-25,1032081.3636065
2020-08-26,1237121.2173759
2020-08-27,1392458.40329842
2020-08-28,1182416.09390813
2020-08-29,757392.7444604
2020-08-30,744396.60145405
2020-08-31,1069756.74121617
2020-09-01,1496857.58885829
2020-09-02,1468215.15231733
2020-09-03,1473835.36366383
2020-09-04,1615386.62314386
2020-09-05,1230321.3440764
2020-09-06,722043.03724943
2020-09-07,980561.02540978
2020-09-08,850654.57910862
2020-09-09,910251.50268887
2020-09-10,1141374.32643653
2020-09-11,980184.25206011
2020-09-12,602283.29880075
2020-09-13,509124.40883437
2020-09-14,796539.64328236
2020-09-15,831318.68682767
2020-09-16,847310.94622588
2020-09-17,772124.11291255
2020-09-18,757375.96569993
2020-09-19,523607.8763507
2020-09-20,359930.34139385
2020-09-21,649774.48723239
2020-09-22,776747.27809294
2020-09-23,1002215.43533445
2020-09-24,862484.78475313
2020-09-25,823205.08844013
2020-09-26,445333.38446578
2020-09-27,402583.13107644
2020-09-28,616988.68208936
2020-09-29,890695.22064845
2020-09-30,1020581.34037206
2020-10-01,1093774.5366752
2020-10-02,1289179.11689445
2020-10-03,758390.77535198
2020-10-04,592228.1411618
2020-10-05,1053163.13674239
2020-10-06,1211639.02723737
2020-10-07,1180510.58240377
2020-10-08,1111250.51231509
2020-10-09,1217691.52512098
2020-10-10,859863.22451688
2020-10-11,582201.17025157
2020-10-12,858287.2366369
2020-10-13,846960.65304986
2020-10-14,831962.56597327
2020-10-15,893176.23191396
2020-10-16,728023.9375567
2020-10-17,401772.42170061
2020-10-18,416680.76063272
2020-10-19,587595.48396977
2020-10-20,910552.78893305
2020-10-21,1460900.59353431
2020-10-22,2157676.70188202
2020-10-23,1860033.83541726
2020-10-24,1221483.76368153
2020-10-25,850950.75463366
2020-10-26,1452188.00989281
2020-10-27,2579702.48614629
2020-10-28,3035758.3430198
2020-10-29,3457450.2986253
2020-10-30,3521542.42894999
2020-10-31,3622688.96405354
2020-11-01,2443161.90900485
2020-11-02,2837447.71493688
2020-11-03,3938357.57540109
2020-11-04,2849146.71434077
2020-11-05,3861068.23734017
2020-11-06,3735336.90972074
2020-11-07,2071506.97570593
2020-11-08,1454451.86391985
2020-11-09,2179893.84276784
2020-11-10,2369427.6497059
2020-11-11,1678061.16525368
2020-11-12,1641044.14087782
2020-11-13,1634341.31597353
2020-11-14,946650.87492927
