date,open,high,low,close,Volume,Open Interest,Open Interest (Open),Open Interest (High,Open Interest (Low),Open Interest (Close)
2022-04-17,40005.0,43040.0,38505.0,39455.0,56029,16935,,,,
2022-04-24,39665.0,40800.0,37625.0,38285.0,63789,6618,,,,
2022-05-01,38250.0,40085.0,35190.0,35925.0,79879,12783,,,,
2022-05-08,34765.0,34765.0,25350.0,30035.0,178011,17278,,,,
2022-05-15,30795.0,31400.0,28595.0,29260.0,71247,18671,,,,
2022-05-22,29845.0,30670.0,27835.0,28815.0,67993,13204,,,,
2022-05-29,29150.0,32440.0,29140.0,29535.0,54188,12552,,,,
2022-06-05,29910.0,31800.0,28745.0,28920.0,51310,14929,,,,
2022-06-12,27455.0,27455.0,20035.0,20510.0,31960,1872,,,,
2022-06-19,20350.0,21730.0,19740.0,21255.0,26143,8557,,,,
2022-06-26,21275.0,21565.0,18500.0,19315.0,50720,11490,,,,
2022-07-03,19175.0,22535.0,18995.0,21765.0,50992,10745,,,,
2022-07-10,21170.0,21210.0,18830.0,21190.0,48474,13222,,,,
2022-07-17,21050.0,24320.0,20740.0,22615.0,59854,13421,,,,
2022-07-24,22815.0,24610.0,20720.0,23990.0,41914,10334,,,,
2022-07-31,23700.0,23740.0,22410.0,22960.0,33886,12091,,,,
2022-08-07,23260.0,25015.0,22640.0,24240.0,36779,12340,,,,
2022-08-14,24395.0,25270.0,21050.0,21230.0,42824,14057,,,,
2022-08-21,21500.0,21910.0,20310.0,20420.0,40419,12356,,,,
2022-08-28,20320.0,20500.0,19315.0,19775.0,33389,13391,,,,
2022-09-04,19765.0,21505.0,18335.0,21345.0,38042,14915,,,,
2022-09-11,21445.0,22830.0,19270.0,19575.0,44108,17502,,,,
2022-09-18,19540.0,19910.0,18080.0,18745.0,45844,17839,,,,
2022-09-25,18655.0,20390.0,18435.0,19425.0,56029,16278,,,,
2022-10-02,19230.0,20545.0,18790.0,19410.0,39908,17402,,,,
2022-10-09,19415.0,19960.0,17765.0,19110.0,45208,16613,,,,
2022-10-16,19010.0,19725.0,18615.0,19195.0,34378,16497,,,,
2022-10-23,19420.0,21035.0,19125.0,20680.0,48282,15399,,,,
2022-10-30,20700.0,21400.0,20030.0,21155.0,50298,16790,,,,
2022-11-06,21240.0,21240.0,14935.0,16050.0,161163,21203,,,,
2022-11-13,15860.0,17000.0,15250.0,16530.0,50652,20927,,,,
2022-11-20,16355.0,16450.0,15340.0,16300.0,28833,10144,,,,
2022-11-27,16240.0,17305.0,15670.0,16995.0,34047,10883,,,,
2022-12-04,16985.0,17420.0,16580.0,17035.0,23877,10711,,,,
2022-12-11,17110.0,18435.0,16685.0,16775.0,30616,10309,,,,
2022-12-18,16870.0,17070.0,16250.0,16780.0,20396,7930,,,,
2022-12-26,16845.0,16970.0,16085.0,16535.0,17218,4450,,,,
2023-01-02,16590.0,17085.0,16525.0,16895.0,14684,4976,,,,
2023-01-08,17015.0,19980.0,16955.0,19550.0,32098,5950,,,,
2023-01-15,20885.0,22520.0,20470.0,22390.0,38970,6229,,,,
2023-01-22,22605.0,23745.0,22360.0,23320.0,27756,4049,,,,
2023-01-29,23520.0,24440.0,22715.0,23485.0,29663,9729,,,,
2023-02-05,23230.0,23530.0,21500.0,21775.0,28801,9266,,,,
2023-02-12,21795.0,25340.0,21380.0,24870.0,57682,9644,,,,
2023-02-19,24500.0,25330.0,22970.0,23345.0,69363,6174,,,,
2023-02-26,23400.0,24160.0,22020.0,22320.0,30837,7193,,,,
2023-03-05,22390.0,22655.0,19530.0,19965.0,37276,7758,,,,
2023-03-12,21125.0,27150.0,21120.0,27000.0,74519,9707,,,,
2023-03-19,28065.0,29035.0,26680.0,27915.0,58965,10462,,,,
2023-03-26,27925.0,29440.0,26530.0,28740.0,49529,5663,,,,
