date,open,high,low,close,Volume,Open Interest,Open Interest (Open),Open Interest (High,Open Interest (Low),Open Interest (Close)
2024-02-11,2475.0,2887.5,2443.0,2797.0,135946,16524,,,,
2024-02-18,2850.0,3080.5,2850.0,2998.5,56818,16738,,,,
2024-02-25,3080.0,3565.5,3073.5,3497.5,119975,35481,,,,
2024-03-03,3560.0,4041.5,3307.5,3987.0,186949,44202,,,,
2024-03-10,3956.5,4135.5,3590.0,3706.0,84183,45783,,,,
2024-03-17,3630.0,3703.0,3068.5,3347.0,86102,35951,,,,
2024-03-24,3413.5,3701.5,3411.0,3604.5,48136,16760,,,,
2024-03-31,3648.5,3708.0,3218.5,3337.0,54237,22096,,,,
2024-04-07,3365.0,3758.5,3080.0,3214.5,96944,20593,,,,
2024-04-14,3288.0,3292.0,2865.0,3106.5,151906,28510,,,,
2024-04-21,3103.0,3293.0,3097.0,3160.0,105355,10468,,,,
2024-04-28,3182.0,3369.5,2825.5,3095.5,122128,18171,,,,
2024-05-05,3144.5,3247.5,2881.5,2903.5,77258,17046,,,,
2024-05-12,2921.5,3137.0,2867.0,3102.0,68282,16985,,,,
2024-05-19,3095.5,3965.5,3059.0,3755.0,240810,21419,,,,
2024-05-26,3763.0,3980.5,3729.5,3809.0,86419,21387,,,,
2024-06-02,3826.0,3922.5,3593.5,3709.5,151234,33079,,,,
2024-06-09,3721.0,3750.0,3368.5,3410.0,129250,47040,,,,
2024-06-16,3500.0,3670.0,3353.5,3534.5,99033,41690,,,,
2024-06-23,3503.5,3506.0,3222.5,3381.0,114324,18862,,,,
2024-06-30,3408.0,3543.5,2813.0,2997.0,119266,32143,,,,
2024-07-07,2970.0,3223.5,2835.0,3126.5,113011,34724,,,,
2024-07-14,3245.0,3557.0,3242.0,3537.5,125668,34015,,,,
2024-07-21,3529.5,3570.0,3116.5,3307.0,160538,18700,,,,
2024-07-28,3286.0,3431.0,3000.5,3025.0,208073,23134,,,,
2024-08-04,2965.0,2975.5,2122.5,2602.0,438587,62720,,,,
2024-08-11,2583.5,2792.5,2519.0,2635.5,237539,54763,,,,
2024-08-18,2645.0,2772.0,2541.5,2757.0,165245,55351,,,,
2024-08-25,2782.5,2796.0,2394.0,2522.5,142630,22443,,,,
2024-09-01,2524.5,2579.5,2171.5,2228.5,194302,28396,,,,
2024-09-08,2253.0,2438.0,2242.5,2428.0,112731,28576,,,,
2024-09-15,2365.5,2578.5,2256.0,2545.0,117683,27328,,,,
2024-09-22,2558.0,2753.5,2530.5,2724.0,113397,20093,,,,
2024-09-29,2700.0,2700.0,2317.0,2440.5,148515,23474,,,,
2024-10-06,2431.0,2532.0,2332.5,2466.0,109235,26074,,,,
2024-10-13,2469.5,2697.0,2448.0,2658.5,139001,29761,,,,
2024-10-20,2711.0,2777.0,2446.5,2492.0,138526,19483,,,,
2024-10-27,2519.5,2752.5,2480.0,2530.5,195255,41675,,,,
2024-11-03,2482.5,3012.0,2369.0,2970.0,322835,57009,,,,
2024-11-10,3200.0,3481.5,3027.0,3109.0,465678,98708,,,,
2024-11-17,3075.5,3449.0,3045.5,3306.5,340438,109049,,,,
2024-11-24,3364.5,3755.0,3301.0,3641.0,236403,57065,,,,
2024-12-01,3750.0,4141.5,3539.5,4095.5,722652,121535,,,,
2024-12-08,4075.5,4075.5,3507.0,3940.0,555087,162987,,,,
2024-12-15,3919.5,4134.5,3105.0,3448.0,662987,183565,,,,
2024-12-22,3308.5,3594.0,3219.5,3366.0,197830,46749,,,,
2024-12-29,3335.0,3669.0,3325.0,3640.5,193973,62119,,,,
2025-01-05,3659.0,3783.0,3167.5,3277.5,310446,53054,,,,
2025-01-12,3272.5,3549.0,2925.5,3532.5,308415,66225,,,,
2025-01-19,3285.0,3469.5,3155.0,3335.5,294711,81077,,,,
2025-01-26,3301.0,3474.5,3021.0,3346.5,260539,49477,,,,
2025-02-02,3045.5,3045.5,2260.0,2592.0,714610,112162,,,,
2025-02-09,2626.0,2802.5,2553.5,2736.0,245290,79140,,,,
2025-02-16,2692.0,2857.5,2609.5,2626.0,267322,77793,,,,
2025-02-23,2756.0,2857.5,2086.5,2233.0,287538,36961,,,,
2025-03-02,2510.0,2592.5,2003.0,2164.0,483637,101348,,,,
2025-03-09,2040.0,2156.5,1756.5,1939.0,328960,141727,,,,
2025-03-16,1898.5,2080.0,1854.0,1974.5,194015,150383,,,,
2025-03-23,1986.0,2106.5,1868.0,1877.5,197122,34782,,,,
2025-03-30,1832.5,1964.5,1756.5,1816.5,187945,39219,,,,
2025-04-06,1595.0,1691.0,1387.0,1568.0,405157,67287,,,,
2025-04-13,1594.0,1694.0,1539.0,1583.5,152091,70834,,,,
2025-04-20,1587.0,1844.5,1530.0,1818.5,235653,40706,,,,
2025-04-27,1820.0,1892.0,1743.5,1853.5,197309,53447,,,,
2025-05-04,1853.0,2500.0,1758.0,2342.5,369482,73324,,,,
2025-05-11,2500.0,2751.5,2417.5,2603.5,419440,73986,,,,
2025-05-18,2454.0,2741.0,2345.0,2565.0,568350,117325,,,,
2025-05-25,2537.0,2816.5,2510.0,2590.5,253479,42089,,,,
2025-06-01,2562.0,2697.5,2396.0,2497.0,271580,67392,,,,
2025-06-08,2550.0,2892.0,2446.0,2535.5,579090,97415,,,,
2025-06-15,2525.0,2688.5,2370.5,2418.5,355250,107538,,,,
2025-06-22,2178.0,2542.5,2165.0,2429.0,291493,40253,,,,
2025-06-29,2445.0,2651.5,2383.5,2600.5,338473,46880,,,,
2025-07-03,2592.0,3054.0,2522.5,3022.0,521442,85040,,,,
2025-07-13,2993.0,3685.5,2941.0,3557.0,947730,69323,,,,
2025-07-20,3777.5,3865.0,3547.5,3679.0,801602,55442,,,,
2025-07-27,3871.0,3980.5,3501.5,3528.0,1031778,85565,,,,
2025-08-03,3508.0,4098.5,3493.0,4087.5,868897,132177,,,,
2025-08-10,4230.0,4824.0,4183.5,4398.0,1511547,110621,,,,
2025-08-17,4490.0,4880.5,4070.0,4848.0,1509401,135496,,,,
2025-08-24,4812.5,4851.0,4287.5,4362.5,947616,96272,,,,
2025-08-31,4456.0,4513.5,4263.0,4346.0,793730,106512,,,,
2025-09-07,4315.0,4721.5,4285.5,4691.5,723580,105517,,,,
2025-09-14,4664.0,4693.0,4335.5,4447.5,694698,163459,,,,
